year,sex,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.15755,1202,8584,0.14984,0.16526
2009,male,No,0.84245,7382,8584,0.83474,0.85016
2009,female,Yes,0.12310,1046,9391,0.11645,0.12975
2009,female,No,0.87690,8345,9391,0.87025,0.88355
2014,male,Yes,0.13752,1637,12377,0.13145,0.14358
2014,male,No,0.86248,10740,12377,0.85642,0.86855
2014,female,Yes,0.11261,1693,14589,0.10748,0.11774
2014,female,No,0.88739,12896,14589,0.88226,0.89252
2019,male,Yes,0.14065,1792,12231,0.13449,0.14681
2019,male,No,0.85935,10439,12231,0.85319,0.86551
2019,female,Yes,0.11760,1678,13399,0.11215,0.12305
2019,female,No,0.88240,11721,13399,0.87695,0.88785
