year,age_gr,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Urban regions,Yes,0.39328,999,2662,0.37472,0.41184
2002,17-29 y.,Urban regions,No,0.60652,1663,2662,0.58796,0.62508
2002,17-29 y.,Rural regions,Yes,0.39895,580,1479,0.37399,0.42392
2002,17-29 y.,Rural regions,No,0.60105,899,1479,0.57608,0.62601
2002,30-45 y.,Urban regions,Yes,0.40417,1929,5002,0.39057,0.41777
2002,30-45 y.,Urban regions,No,0.59493,3073,5002,0.58132,0.60853
2002,30-45 y.,Rural regions,Yes,0.38547,925,2434,0.36613,0.40481
2002,30-45 y.,Rural regions,No,0.61425,1509,2434,0.59491,0.63360
2002,46-65 y.,Urban regions,Yes,0.31334,1519,5245,0.30079,0.32590
2002,46-65 y.,Urban regions,No,0.68596,3726,5245,0.67340,0.69853
2002,46-65 y.,Rural regions,Yes,0.27589,685,2606,0.25872,0.29305
2002,46-65 y.,Rural regions,No,0.72411,1921,2606,0.70695,0.74128
2002,66 and older,Urban regions,Yes,0.11067,279,2357,0.09800,0.12334
2002,66 and older,Urban regions,No,0.88933,2078,2357,0.87666,0.90200
2002,66 and older,Rural regions,Yes,0.08727,111,1232,0.07150,0.10303
2002,66 and older,Rural regions,No,0.91125,1121,1232,0.89536,0.92713
2004,17-29 y.,Urban regions,Yes,0.38615,941,2578,0.36735,0.40495
2004,17-29 y.,Urban regions,No,0.61036,1637,2578,0.59153,0.62918
2004,17-29 y.,Rural regions,Yes,0.39808,552,1376,0.37221,0.42396
2004,17-29 y.,Rural regions,No,0.60192,824,1376,0.57604,0.62779
2004,30-45 y.,Urban regions,Yes,0.39271,1643,4417,0.37830,0.40711
2004,30-45 y.,Urban regions,No,0.60357,2774,4417,0.58914,0.61800
2004,30-45 y.,Rural regions,Yes,0.37982,777,2094,0.35902,0.40061
2004,30-45 y.,Rural regions,No,0.61769,1317,2094,0.59687,0.63851
2004,46-65 y.,Urban regions,Yes,0.31686,1402,4862,0.30378,0.32993
2004,46-65 y.,Urban regions,No,0.67985,3460,4862,0.66674,0.69297
2004,46-65 y.,Rural regions,Yes,0.27385,645,2488,0.25633,0.29138
2004,46-65 y.,Rural regions,No,0.72412,1843,2488,0.70655,0.74169
2004,66 and older,Urban regions,Yes,0.10921,285,2459,0.09688,0.12154
2004,66 and older,Urban regions,No,0.88556,2174,2459,0.87297,0.89814
2004,66 and older,Rural regions,Yes,0.10227,131,1287,0.08571,0.11883
2004,66 and older,Rural regions,No,0.89176,1156,1287,0.87478,0.90874
2006,17-29 y.,Urban regions,Yes,0.37944,900,2395,0.36000,0.39888
2006,17-29 y.,Urban regions,No,0.56437,1495,2395,0.54451,0.58423
2006,17-29 y.,Rural regions,Yes,0.37381,518,1277,0.34726,0.40035
2006,17-29 y.,Rural regions,No,0.55335,759,1277,0.52607,0.58063
2006,30-45 y.,Urban regions,Yes,0.38947,1528,4215,0.37475,0.40419
2006,30-45 y.,Urban regions,No,0.60621,2687,4215,0.59146,0.62096
2006,30-45 y.,Rural regions,Yes,0.36620,721,2057,0.34538,0.38703
2006,30-45 y.,Rural regions,No,0.63358,1336,2057,0.61276,0.65441
2006,46-65 y.,Urban regions,Yes,0.31978,1394,4937,0.30677,0.33280
2006,46-65 y.,Urban regions,No,0.67951,3543,4937,0.66649,0.69253
2006,46-65 y.,Rural regions,Yes,0.29561,729,2637,0.27819,0.31303
2006,46-65 y.,Rural regions,No,0.70401,1908,2637,0.68658,0.72143
2006,66 and older,Urban regions,Yes,0.11625,339,2873,0.10452,0.12797
2006,66 and older,Urban regions,No,0.88218,2534,2873,0.87039,0.89397
2006,66 and older,Rural regions,Yes,0.09341,143,1551,0.07892,0.10789
2006,66 and older,Rural regions,No,0.90546,1408,1551,0.89090,0.92003
2008,17-29 y.,Urban regions,Yes,0.34093,705,2085,0.32058,0.36128
2008,17-29 y.,Urban regions,No,0.58586,1380,2085,0.56471,0.60701
2008,17-29 y.,Rural regions,Yes,0.32672,370,1066,0.29856,0.35489
2008,17-29 y.,Rural regions,No,0.59582,696,1066,0.56634,0.62529
2008,30-45 y.,Urban regions,Yes,0.35371,1159,3446,0.33775,0.36968
2008,30-45 y.,Urban regions,No,0.64616,2287,3446,0.63019,0.66212
2008,30-45 y.,Rural regions,Yes,0.36246,595,1721,0.33974,0.38518
2008,30-45 y.,Rural regions,No,0.63562,1126,1721,0.61288,0.65837
2008,46-65 y.,Urban regions,Yes,0.31190,1191,4324,0.29809,0.32571
2008,46-65 y.,Urban regions,No,0.68594,3133,4324,0.67210,0.69977
2008,46-65 y.,Rural regions,Yes,0.31048,691,2361,0.29181,0.32914
2008,46-65 y.,Rural regions,No,0.68649,1670,2361,0.66777,0.70520
2008,66 and older,Urban regions,Yes,0.11514,323,2794,0.10330,0.12698
2008,66 and older,Urban regions,No,0.88229,2471,2794,0.87034,0.89425
2008,66 and older,Rural regions,Yes,0.10794,155,1494,0.09220,0.12368
2008,66 and older,Rural regions,No,0.89049,1339,1494,0.87465,0.90633
2010,17-29 y.,Urban regions,Yes,0.26778,532,1692,0.24667,0.28888
2010,17-29 y.,Urban regions,No,0.55457,1160,1692,0.53088,0.57826
2010,17-29 y.,Rural regions,Yes,0.28099,283,816,0.25013,0.31184
2010,17-29 y.,Rural regions,No,0.53177,533,816,0.49751,0.56603
2010,30-45 y.,Urban regions,Yes,0.26823,890,2720,0.25158,0.28488
2010,30-45 y.,Urban regions,No,0.49726,1830,2720,0.47847,0.51605
2010,30-45 y.,Rural regions,Yes,0.26572,467,1382,0.24243,0.28902
2010,30-45 y.,Rural regions,No,0.48062,915,1382,0.45427,0.50697
2010,46-65 y.,Urban regions,Yes,0.31206,1090,3859,0.29744,0.32668
2010,46-65 y.,Urban regions,No,0.64763,2769,3859,0.63255,0.66270
2010,46-65 y.,Rural regions,Yes,0.29800,641,2144,0.27863,0.31736
2010,46-65 y.,Rural regions,No,0.66183,1503,2144,0.64180,0.68186
2010,66 and older,Urban regions,Yes,0.11462,300,2609,0.10240,0.12685
2010,66 and older,Urban regions,No,0.88466,2309,2609,0.87240,0.89692
2010,66 and older,Rural regions,Yes,0.09550,134,1399,0.08009,0.11091
2010,66 and older,Rural regions,No,0.90169,1265,1399,0.88608,0.91729
2012,17-29 y.,Urban regions,Yes,0.25359,549,1918,0.23411,0.27306
2012,17-29 y.,Urban regions,No,0.59062,1369,1918,0.56861,0.61263
2012,17-29 y.,Rural regions,Yes,0.27791,340,959,0.24954,0.30628
2012,17-29 y.,Rural regions,No,0.54652,619,959,0.51499,0.57804
2012,30-45 y.,Urban regions,Yes,0.25751,958,3020,0.24192,0.27311
2012,30-45 y.,Urban regions,No,0.54570,2062,3020,0.52794,0.56346
2012,30-45 y.,Rural regions,Yes,0.28713,543,1558,0.26465,0.30960
2012,30-45 y.,Rural regions,No,0.48099,1015,1558,0.45617,0.50581
2012,46-65 y.,Urban regions,Yes,0.30205,1413,4787,0.28904,0.31506
2012,46-65 y.,Urban regions,No,0.64492,3374,4787,0.63136,0.65848
2012,46-65 y.,Rural regions,Yes,0.29662,907,3021,0.28033,0.31291
2012,46-65 y.,Rural regions,No,0.65671,2114,3021,0.63978,0.67364
2012,66 and older,Urban regions,Yes,0.11242,353,3282,0.10161,0.12323
2012,66 and older,Urban regions,No,0.88126,2929,3282,0.87019,0.89233
2012,66 and older,Rural regions,Yes,0.11649,201,1877,0.10197,0.13100
2012,66 and older,Rural regions,No,0.87565,1676,1877,0.86072,0.89058
2014,17-29 y.,Urban regions,Yes,0.25288,858,2911,0.23709,0.26868
2014,17-29 y.,Urban regions,No,0.67522,2053,2911,0.65820,0.69223
2014,17-29 y.,Rural regions,Yes,0.34031,524,1374,0.31524,0.36537
2014,17-29 y.,Rural regions,No,0.58760,850,1374,0.56156,0.61363
2014,30-45 y.,Urban regions,Yes,0.31227,1734,5653,0.30019,0.32435
2014,30-45 y.,Urban regions,No,0.68737,3919,5653,0.67529,0.69946
2014,30-45 y.,Rural regions,Yes,0.35116,963,2858,0.33365,0.36866
2014,30-45 y.,Rural regions,No,0.64820,1895,2858,0.63069,0.66571
2014,46-65 y.,Urban regions,Yes,0.32372,1734,5884,0.31177,0.33568
2014,46-65 y.,Urban regions,No,0.67407,4150,5884,0.66209,0.68604
2014,46-65 y.,Rural regions,Yes,0.31742,1029,3408,0.30179,0.33305
2014,46-65 y.,Rural regions,No,0.67779,2379,3408,0.66210,0.69349
2014,66 and older,Urban regions,Yes,0.11394,358,3153,0.10285,0.12503
2014,66 and older,Urban regions,No,0.88390,2795,3153,0.87271,0.89508
2014,66 and older,Rural regions,Yes,0.11289,207,1790,0.09823,0.12756
2014,66 and older,Rural regions,No,0.88421,1583,1790,0.86938,0.89903
2016,17-29 y.,Urban regions,Yes,0.22534,668,2572,0.20919,0.24149
2016,17-29 y.,Urban regions,No,0.67711,1904,2572,0.65903,0.69518
2016,17-29 y.,Rural regions,Yes,0.27041,403,1219,0.24546,0.29535
2016,17-29 y.,Rural regions,No,0.62768,816,1219,0.60053,0.65483
2016,30-45 y.,Urban regions,Yes,0.28335,1385,4668,0.27042,0.29628
2016,30-45 y.,Urban regions,No,0.70036,3283,4668,0.68722,0.71350
2016,30-45 y.,Rural regions,Yes,0.36301,833,2371,0.34365,0.38237
2016,30-45 y.,Rural regions,No,0.62361,1538,2371,0.60410,0.64311
2016,46-65 y.,Urban regions,Yes,0.31028,1561,5439,0.29799,0.32258
2016,46-65 y.,Urban regions,No,0.68603,3878,5439,0.67369,0.69837
2016,46-65 y.,Rural regions,Yes,0.30015,923,3147,0.28413,0.31616
2016,46-65 y.,Rural regions,No,0.69785,2224,3147,0.68181,0.71390
2016,66 and older,Urban regions,Yes,0.12245,337,2962,0.11064,0.13425
2016,66 and older,Urban regions,No,0.87574,2625,2962,0.86385,0.88762
2016,66 and older,Rural regions,Yes,0.09826,182,1744,0.08428,0.11223
2016,66 and older,Rural regions,No,0.89968,1562,1744,0.88557,0.91378
2018,17-29 y.,Urban regions,Yes,0.22834,707,2885,0.21302,0.24366
2018,17-29 y.,Urban regions,No,0.68105,2178,2885,0.66404,0.69806
2018,17-29 y.,Rural regions,Yes,0.25022,399,1343,0.22704,0.27339
2018,17-29 y.,Rural regions,No,0.64277,944,1343,0.61713,0.66841
2018,30-45 y.,Urban regions,Yes,0.27386,1304,4491,0.26082,0.28691
2018,30-45 y.,Urban regions,No,0.70714,3187,4491,0.69383,0.72045
2018,30-45 y.,Rural regions,Yes,0.32494,746,2211,0.30541,0.34446
2018,30-45 y.,Rural regions,No,0.66025,1465,2211,0.64050,0.67999
2018,46-65 y.,Urban regions,Yes,0.30563,1692,6062,0.29403,0.31723
2018,46-65 y.,Urban regions,No,0.68931,4370,6062,0.67766,0.70096
2018,46-65 y.,Rural regions,Yes,0.31615,1048,3557,0.30086,0.33143
2018,46-65 y.,Rural regions,No,0.67866,2509,3557,0.66332,0.69401
2018,66 and older,Urban regions,Yes,0.10837,369,3147,0.09751,0.11924
2018,66 and older,Urban regions,No,0.89010,2778,3147,0.87917,0.90103
2018,66 and older,Rural regions,Yes,0.11235,212,1835,0.09790,0.12680
2018,66 and older,Rural regions,No,0.88423,1623,1835,0.86958,0.89887
2020,17-29 y.,Urban regions,Yes,0.20697,824,3622,0.19377,0.22016
2020,17-29 y.,Urban regions,No,0.72225,2798,3622,0.70766,0.73684
2020,17-29 y.,Rural regions,Yes,0.20893,387,1444,0.18795,0.22991
2020,17-29 y.,Rural regions,No,0.68367,1057,1444,0.65968,0.70767
2020,30-45 y.,Urban regions,Yes,0.25149,1540,5545,0.24006,0.26291
2020,30-45 y.,Urban regions,No,0.74184,4005,5545,0.73032,0.75336
2020,30-45 y.,Rural regions,Yes,0.32053,819,2487,0.30219,0.33888
2020,30-45 y.,Rural regions,No,0.67577,1668,2487,0.65737,0.69417
2020,46-65 y.,Urban regions,Yes,0.26804,1757,6754,0.25747,0.27860
2020,46-65 y.,Urban regions,No,0.72928,4997,6754,0.71869,0.73988
2020,46-65 y.,Rural regions,Yes,0.30384,1015,3628,0.28887,0.31881
2020,46-65 y.,Rural regions,No,0.69482,2613,3628,0.67983,0.70980
2020,66 and older,Urban regions,Yes,0.12519,392,3093,0.11353,0.13686
2020,66 and older,Urban regions,No,0.87157,2701,3093,0.85978,0.88336
2020,66 and older,Rural regions,Yes,0.12694,229,1807,0.11159,0.14229
2020,66 and older,Rural regions,No,0.87021,1578,1807,0.85471,0.88571
