year,age_gr,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Pre-primary Level,Yes,0.22469,136,611,0.19157,0.25781
2002,17-29 y.,Pre-primary Level,No,0.77531,475,611,0.74219,0.80843
2002,17-29 y.,Lower Secondary Level,Yes,0.47498,418,872,0.44181,0.50814
2002,17-29 y.,Lower Secondary Level,No,0.52502,454,872,0.49186,0.55819
2002,17-29 y.,Upper Secondary Level,Yes,0.43048,759,1841,0.40785,0.45310
2002,17-29 y.,Upper Secondary Level,No,0.56952,1082,1841,0.54690,0.59215
2002,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.29063,83,278,0.23716,0.34410
2002,17-29 y.,Post-secondary Non-tertiary Level,No,0.70937,195,278,0.65590,0.76284
2002,17-29 y.,First Stage of Tertiary Education,Yes,0.32741,43,116,0.24164,0.41318
2002,17-29 y.,First Stage of Tertiary Education,No,0.67259,73,116,0.58682,0.75836
2002,17-29 y.,Second Stage of Tertiary Education,Yes,0.20884,40,226,0.15572,0.26195
2002,17-29 y.,Second Stage of Tertiary Education,No,0.79116,186,226,0.73805,0.84428
2002,30-45 y.,Primary Level,Yes,0.55901,43,82,0.45088,0.66714
2002,30-45 y.,Primary Level,No,0.44099,39,82,0.33286,0.54912
2002,30-45 y.,Lower Secondary Level,Yes,0.57575,269,470,0.53102,0.62048
2002,30-45 y.,Lower Secondary Level,No,0.42425,201,470,0.37952,0.46898
2002,30-45 y.,Upper Secondary Level,Yes,0.44166,1698,3832,0.42594,0.45739
2002,30-45 y.,Upper Secondary Level,No,0.55719,2134,3832,0.54146,0.57292
2002,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.34742,186,560,0.30795,0.38689
2002,30-45 y.,Post-secondary Non-tertiary Level,No,0.65258,374,560,0.61311,0.69205
2002,30-45 y.,First Stage of Tertiary Education,Yes,0.34123,244,738,0.30700,0.37546
2002,30-45 y.,First Stage of Tertiary Education,No,0.65877,494,738,0.62454,0.69300
2002,30-45 y.,Second Stage of Tertiary Education,Yes,0.25674,403,1738,0.23620,0.27728
2002,30-45 y.,Second Stage of Tertiary Education,No,0.74282,1335,1738,0.72226,0.76337
2002,46-65 y.,Primary Level,Yes,0.38211,38,104,0.28827,0.47595
2002,46-65 y.,Primary Level,No,0.61789,66,104,0.52405,0.71173
2002,46-65 y.,Lower Secondary Level,Yes,0.30959,216,758,0.27666,0.34253
2002,46-65 y.,Lower Secondary Level,No,0.68849,542,758,0.65550,0.72148
2002,46-65 y.,Upper Secondary Level,Yes,0.33019,1259,4051,0.31570,0.34467
2002,46-65 y.,Upper Secondary Level,No,0.66952,2792,4051,0.65503,0.68401
2002,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.27656,71,230,0.21863,0.33450
2002,46-65 y.,Post-secondary Non-tertiary Level,No,0.72344,159,230,0.66550,0.78137
2002,46-65 y.,First Stage of Tertiary Education,Yes,0.23754,160,649,0.20477,0.27031
2002,46-65 y.,First Stage of Tertiary Education,No,0.76246,489,649,0.72969,0.79523
2002,46-65 y.,Second Stage of Tertiary Education,Yes,0.23814,459,2050,0.21969,0.25658
2002,46-65 y.,Second Stage of Tertiary Education,No,0.76137,1591,2050,0.74291,0.77983
2002,66 and older,Primary Level,No,0.94034,53,53,0.87596,1.00472
2002,66 and older,Lower Secondary Level,Yes,0.06847,59,790,0.05084,0.08609
2002,66 and older,Lower Secondary Level,No,0.93153,731,790,0.91391,0.94916
2002,66 and older,Upper Secondary Level,Yes,0.11187,213,1852,0.09751,0.12623
2002,66 and older,Upper Secondary Level,No,0.88772,1639,1852,0.87333,0.90210
2002,66 and older,Post-secondary Non-tertiary Level,No,0.85782,84,84,0.78269,0.93295
2002,66 and older,First Stage of Tertiary Education,No,0.89265,217,217,0.85137,0.93394
2002,66 and older,Second Stage of Tertiary Education,Yes,0.12908,75,542,0.10082,0.15733
2002,66 and older,Second Stage of Tertiary Education,No,0.86874,467,542,0.84028,0.89719
2004,17-29 y.,Pre-primary Level,Yes,0.23766,150,639,0.20463,0.27069
2004,17-29 y.,Pre-primary Level,No,0.76234,489,639,0.72931,0.79537
2004,17-29 y.,Lower Secondary Level,Yes,0.46344,362,768,0.42815,0.49873
2004,17-29 y.,Lower Secondary Level,No,0.53400,406,768,0.49869,0.56930
2004,17-29 y.,Upper Secondary Level,Yes,0.41926,694,1704,0.39582,0.44269
2004,17-29 y.,Upper Secondary Level,No,0.58074,1010,1704,0.55731,0.60418
2004,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.30582,85,278,0.25156,0.36008
2004,17-29 y.,Post-secondary Non-tertiary Level,No,0.69418,193,278,0.63992,0.74844
2004,17-29 y.,First Stage of Tertiary Education,Yes,0.38918,34,93,0.28955,0.48881
2004,17-29 y.,First Stage of Tertiary Education,No,0.61082,59,93,0.51119,0.71045
2004,17-29 y.,Second Stage of Tertiary Education,Yes,0.25605,44,196,0.19479,0.31731
2004,17-29 y.,Second Stage of Tertiary Education,No,0.73876,152,196,0.67710,0.80042
2004,30-45 y.,Primary Level,Yes,0.60242,40,73,0.48937,0.71546
2004,30-45 y.,Primary Level,No,0.39525,33,73,0.28232,0.50818
2004,30-45 y.,Lower Secondary Level,Yes,0.50156,205,418,0.45357,0.54955
2004,30-45 y.,Lower Secondary Level,No,0.49536,213,418,0.44737,0.54335
2004,30-45 y.,Upper Secondary Level,Yes,0.43666,1444,3336,0.41982,0.45349
2004,30-45 y.,Upper Secondary Level,No,0.55880,1892,3336,0.54195,0.57565
2004,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.34823,171,523,0.30736,0.38910
2004,30-45 y.,Post-secondary Non-tertiary Level,No,0.64525,352,523,0.60421,0.68629
