year,age_gr,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,17-29 y.,Yes,0.39519,1579,4141,0.38030,0.41009
2002,17-29 y.,No,0.60468,2562,4141,0.58978,0.61957
2002,30-45 y.,Yes,0.39825,2854,7436,0.38712,0.40938
2002,30-45 y.,No,0.60104,4582,7436,0.58991,0.61217
2002,46-65 y.,Yes,0.30155,2204,7851,0.29140,0.31170
2002,46-65 y.,No,0.69797,5647,7851,0.68782,0.70813
2002,66 and older,Yes,0.10314,390,3589,0.09319,0.11310
2002,66 and older,No,0.89638,3199,3589,0.88640,0.90635
2004,17-29 y.,Yes,0.39006,1493,3954,0.37486,0.40527
2004,17-29 y.,No,0.60759,2461,3954,0.59237,0.62281
2004,30-45 y.,Yes,0.38886,2420,6511,0.37702,0.40070
2004,30-45 y.,No,0.60778,4091,6511,0.59592,0.61965
2004,46-65 y.,Yes,0.30294,2047,7350,0.29244,0.31345
2004,46-65 y.,No,0.69417,5303,7350,0.68364,0.70471
2004,66 and older,Yes,0.10697,416,3746,0.09707,0.11687
2004,66 and older,No,0.88756,3330,3746,0.87744,0.89768
2006,17-29 y.,Yes,0.37760,1418,3672,0.36192,0.39328
2006,17-29 y.,No,0.56077,2254,3672,0.54471,0.57682
2006,30-45 y.,Yes,0.38238,2249,6272,0.37035,0.39441
2006,30-45 y.,No,0.61456,4023,6272,0.60251,0.62660
2006,46-65 y.,Yes,0.31176,2123,7574,0.30133,0.32219
2006,46-65 y.,No,0.68764,5451,7574,0.67720,0.69808
2006,66 and older,Yes,0.10877,482,4424,0.09959,0.11794
2006,66 and older,No,0.88980,3942,4424,0.88057,0.89903
2008,17-29 y.,Yes,0.33627,1075,3151,0.31977,0.35277
2008,17-29 y.,No,0.58913,2076,3151,0.57195,0.60631
2008,30-45 y.,Yes,0.35634,1754,5167,0.34328,0.36940
2008,30-45 y.,No,0.64299,3413,5167,0.62992,0.65605
2008,46-65 y.,Yes,0.31143,1882,6685,0.30033,0.32253
2008,46-65 y.,No,0.68612,4803,6685,0.67499,0.69725
2008,66 and older,Yes,0.11280,478,4288,0.10333,0.12227
2008,66 and older,No,0.88496,3810,4288,0.87540,0.89451
2010,17-29 y.,Yes,0.27196,815,2508,0.25454,0.28937
2010,17-29 y.,No,0.54736,1693,2508,0.52788,0.56685
2010,30-45 y.,Yes,0.26750,1357,4102,0.25395,0.28105
2010,30-45 y.,No,0.49243,2745,4102,0.47713,0.50774
2010,46-65 y.,Yes,0.30729,1731,6003,0.29562,0.31897
2010,46-65 y.,No,0.65244,4272,6003,0.64040,0.66449
2010,66 and older,Yes,0.10840,434,4008,0.09878,0.11803
2010,66 and older,No,0.89020,3574,4008,0.88052,0.89988
2012,17-29 y.,Yes,0.26137,889,2877,0.24531,0.27743
2012,17-29 y.,No,0.57651,1988,2877,0.55845,0.59457
2012,30-45 y.,Yes,0.26629,1501,4578,0.25348,0.27909
2012,30-45 y.,No,0.52652,3077,4578,0.51206,0.54099
2012,46-65 y.,Yes,0.30012,2320,7808,0.28995,0.31028
2012,46-65 y.,No,0.64912,5488,7808,0.63853,0.65971
2012,66 and older,Yes,0.11376,554,5159,0.10509,0.12242
2012,66 and older,No,0.87942,4605,5159,0.87053,0.88830
2014,17-29 y.,Yes,0.27882,1382,4285,0.26539,0.29225
2014,17-29 y.,No,0.64922,2903,4285,0.63493,0.66351
2014,30-45 y.,Yes,0.32360,2697,8511,0.31366,0.33354
2014,30-45 y.,No,0.67596,5814,8511,0.66601,0.68590
2014,46-65 y.,Yes,0.32143,2763,9292,0.31194,0.33093
2014,46-65 y.,No,0.67542,6529,9292,0.66590,0.68494
2014,66 and older,Yes,0.11360,565,4943,0.10475,0.12245
2014,66 and older,No,0.88400,4378,4943,0.87507,0.89293
2016,17-29 y.,Yes,0.23819,1071,3791,0.22463,0.25175
2016,17-29 y.,No,0.66302,2720,3791,0.64797,0.67807
2016,30-45 y.,Yes,0.30703,2218,7039,0.29626,0.31781
2016,30-45 y.,No,0.67754,4821,7039,0.66662,0.68846
2016,46-65 y.,Yes,0.30672,2484,8586,0.29696,0.31647
2016,46-65 y.,No,0.69019,6102,8586,0.68041,0.69997
2016,66 and older,Yes,0.11456,519,4706,0.10546,0.12366
2016,66 and older,No,0.88355,4187,4706,0.87438,0.89271
2018,17-29 y.,Yes,0.23443,1106,4228,0.22165,0.24720
2018,17-29 y.,No,0.67040,3122,4228,0.65623,0.68457
2018,30-45 y.,Yes,0.28827,2050,6702,0.27742,0.29911
2018,30-45 y.,No,0.69392,4652,6702,0.68288,0.70495
2018,46-65 y.,Yes,0.30922,2740,9619,0.29998,0.31846
2018,46-65 y.,No,0.68567,6879,9619,0.67639,0.69495
2018,66 and older,Yes,0.10967,581,4982,0.10099,0.11834
2018,66 and older,No,0.88819,4401,4982,0.87944,0.89694
2020,17-29 y.,Yes,0.20752,1211,5066,0.19635,0.21869
2020,17-29 y.,No,0.71131,3855,5066,0.69883,0.72379
2020,30-45 y.,Yes,0.27199,2359,8032,0.26226,0.28172
2020,30-45 y.,No,0.72222,5673,8032,0.71243,0.73202
2020,46-65 y.,Yes,0.28027,2772,10382,0.27163,0.28891
2020,46-65 y.,No,0.71751,7610,10382,0.70885,0.72617
2020,66 and older,Yes,0.12577,621,4900,0.11648,0.13505
2020,66 and older,No,0.87112,4279,4900,0.86174,0.88051
