year,pgisced97,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Pre-primary Level,Yes,0.22580,137,612,0.19264,0.25895
2002,Pre-primary Level,No,0.77420,475,612,0.74105,0.80736
2002,Primary Level,Yes,0.39057,109,287,0.33403,0.44711
2002,Primary Level,No,0.60943,178,287,0.55289,0.66597
2002,Lower Secondary Level,Yes,0.30402,962,2890,0.28725,0.32080
2002,Lower Secondary Level,No,0.69549,1928,2890,0.67870,0.71227
2002,Upper Secondary Level,Yes,0.33333,3929,11576,0.32474,0.34191
2002,Upper Secondary Level,No,0.66613,7647,11576,0.65754,0.67472
2002,Post-secondary Non-tertiary Level,Yes,0.29879,355,1167,0.27252,0.32507
2002,Post-secondary Non-tertiary Level,No,0.70121,812,1167,0.67493,0.72748
2002,First Stage of Tertiary Education,Yes,0.25965,470,1743,0.23907,0.28024
2002,First Stage of Tertiary Education,No,0.74035,1273,1743,0.71976,0.76093
2002,Second Stage of Tertiary Education,Yes,0.22627,977,4556,0.21412,0.23843
2002,Second Stage of Tertiary Education,No,0.77301,3579,4556,0.76085,0.78518
2004,Pre-primary Level,Yes,0.23709,150,639,0.20409,0.27009
2004,Pre-primary Level,No,0.76050,489,639,0.72738,0.79362
2004,Primary Level,Yes,0.40506,102,255,0.34468,0.46543
2004,Primary Level,No,0.58839,153,255,0.52786,0.64891
2004,Lower Secondary Level,Yes,0.29911,805,2564,0.28138,0.31684
2004,Lower Secondary Level,No,0.69684,1759,2564,0.67904,0.71463
2004,Upper Secondary Level,Yes,0.32620,3561,10756,0.31734,0.33506
2004,Upper Secondary Level,No,0.67039,7195,10756,0.66150,0.67927
2004,Post-secondary Non-tertiary Level,Yes,0.29328,337,1155,0.26701,0.31955
2004,Post-secondary Non-tertiary Level,No,0.70301,818,1155,0.67665,0.72937
2004,First Stage of Tertiary Education,Yes,0.25379,434,1640,0.23272,0.27485
2004,First Stage of Tertiary Education,No,0.74410,1206,1640,0.72298,0.76523
2004,Second Stage of Tertiary Education,Yes,0.22499,877,4286,0.21249,0.23750
2004,Second Stage of Tertiary Education,No,0.77280,3409,4286,0.76026,0.78535
2006,Pre-primary Level,Yes,0.14681,87,397,0.11195,0.18167
2006,Pre-primary Level,No,0.48825,310,397,0.43901,0.53748
2006,Primary Level,Yes,0.47366,100,240,0.41036,0.53696
2006,Primary Level,No,0.52141,140,240,0.45807,0.58474
2006,Lower Secondary Level,Yes,0.31455,802,2477,0.29626,0.33284
2006,Lower Secondary Level,No,0.66701,1675,2477,0.64844,0.68557
2006,Upper Secondary Level,Yes,0.32577,3519,11066,0.31704,0.33450
2006,Upper Secondary Level,No,0.67175,7547,11066,0.66300,0.68050
2006,Post-secondary Non-tertiary Level,Yes,0.29117,344,1213,0.26559,0.31675
2006,Post-secondary Non-tertiary Level,No,0.70760,869,1213,0.68199,0.73321
2006,First Stage of Tertiary Education,Yes,0.25550,404,1650,0.23445,0.27655
2006,First Stage of Tertiary Education,No,0.74424,1246,1650,0.72319,0.76530
2006,Second Stage of Tertiary Education,Yes,0.21397,883,4574,0.20208,0.22586
2006,Second Stage of Tertiary Education,No,0.78543,3691,4574,0.77353,0.79733
2008,Pre-primary Level,Yes,0.10499,56,354,0.07302,0.13697
2008,Pre-primary Level,No,0.48934,298,354,0.43719,0.54149
2008,Primary Level,Yes,0.46051,79,184,0.38829,0.53272
2008,Primary Level,No,0.53949,105,184,0.46728,0.61171
2008,Lower Secondary Level,Yes,0.29363,592,2006,0.27369,0.31356
2008,Lower Secondary Level,No,0.67977,1414,2006,0.65935,0.70019
2008,Upper Secondary Level,Yes,0.31704,2963,9717,0.30778,0.32629
2008,Upper Secondary Level,No,0.68056,6754,9717,0.67129,0.68984
2008,Post-secondary Non-tertiary Level,Yes,0.27825,297,1091,0.25164,0.30485
2008,Post-secondary Non-tertiary Level,No,0.72009,794,1091,0.69343,0.74674
2008,First Stage of Tertiary Education,Yes,0.23977,332,1414,0.21751,0.26203
2008,First Stage of Tertiary Education,No,0.75628,1082,1414,0.73389,0.77867
2008,Second Stage of Tertiary Education,Yes,0.18911,747,4190,0.17725,0.20096
2008,Second Stage of Tertiary Education,No,0.81058,3443,4190,0.79871,0.82245
2010,Pre-primary Level,Yes,0.08010,32,271,0.04772,0.11248
2010,Pre-primary Level,No,0.46855,239,271,0.40903,0.52807
2010,Primary Level,Yes,0.34054,59,138,0.26118,0.41989
2010,Primary Level,No,0.40869,79,138,0.32637,0.49101
2010,Lower Secondary Level,Yes,0.24925,461,1609,0.22811,0.27039
2010,Lower Secondary Level,No,0.62216,1148,1609,0.59846,0.64586
2010,Upper Secondary Level,Yes,0.27744,2496,8284,0.26780,0.28708
2010,Upper Secondary Level,No,0.63378,5788,8284,0.62340,0.64415
