year,regtyp,ple0081_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,Yes,0.25917,4726,15266,0.25222,0.26612
2002,Urban regions,No,0.57173,10540,15266,0.56388,0.57958
2002,Rural regions,Yes,0.24146,2301,7751,0.23193,0.25099
2002,Rural regions,No,0.58914,5450,7751,0.57818,0.60009
2004,Urban regions,Yes,0.25497,4271,14316,0.24783,0.26211
2004,Urban regions,No,0.57679,10045,14316,0.56870,0.58488
2004,Rural regions,Yes,0.24051,2105,7245,0.23066,0.25035
2004,Rural regions,No,0.59882,5140,7245,0.58754,0.61011
2006,Urban regions,Yes,0.25764,4161,14420,0.25050,0.26477
2006,Urban regions,No,0.57544,10259,14420,0.56737,0.58350
2006,Rural regions,Yes,0.23893,2111,7522,0.22929,0.24857
2006,Rural regions,No,0.59397,5411,7522,0.58287,0.60507
2008,Urban regions,Yes,0.24035,3378,12649,0.23290,0.24780
2008,Urban regions,No,0.59553,9271,12649,0.58698,0.60409
2008,Rural regions,Yes,0.23959,1811,6642,0.22932,0.24985
2008,Rural regions,No,0.60464,4831,6642,0.59288,0.61640
2010,Urban regions,Yes,0.20950,2812,10880,0.20185,0.21715
2010,Urban regions,No,0.55008,8068,10880,0.54073,0.55943
2010,Rural regions,Yes,0.20450,1525,5741,0.19406,0.21493
2010,Rural regions,No,0.56096,4216,5741,0.54812,0.57380
2012,Urban regions,Yes,0.20075,3273,13007,0.19387,0.20763
2012,Urban regions,No,0.56479,9734,13007,0.55627,0.57332
2012,Rural regions,Yes,0.21263,1991,7415,0.20331,0.22194
2012,Rural regions,No,0.55777,5424,7415,0.54646,0.56907
2014,Urban regions,Yes,0.21833,4684,17601,0.21223,0.22443
2014,Urban regions,No,0.61802,12917,17601,0.61084,0.62520
2014,Rural regions,Yes,0.24042,2723,9430,0.23179,0.24904
2014,Rural regions,No,0.60981,6707,9430,0.59997,0.61966
2016,Urban regions,Yes,0.20733,3951,15641,0.20098,0.21369
2016,Urban regions,No,0.62274,11690,15641,0.61514,0.63034
2016,Rural regions,Yes,0.22305,2341,8481,0.21419,0.23191
2016,Rural regions,No,0.61604,6140,8481,0.60569,0.62639
2018,Urban regions,Yes,0.20151,4072,16585,0.19541,0.20762
2018,Urban regions,No,0.63039,12513,16585,0.62304,0.63774
2018,Rural regions,Yes,0.21911,2405,8946,0.21054,0.22768
2018,Rural regions,No,0.61687,6541,8946,0.60680,0.62695
2020,Urban regions,Yes,0.18504,4513,19014,0.17952,0.19056
2020,Urban regions,No,0.64743,14501,19014,0.64064,0.65423
2020,Rural regions,Yes,0.21064,2450,9366,0.20239,0.21890
2020,Rural regions,No,0.62052,6916,9366,0.61069,0.63035
