,Unnamed: 0,year,regtyp,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Urban regions,Owner,Yes,0.89295,2882,11628,0.8694,0.91381
1,1,2001,Urban regions,Owner,No,0.10705,246,11628,0.10002,0.11282
2,2,2001,Urban regions,Tenant,Yes,0.66231,3301,11628,0.64796,0.67757
3,3,2001,Urban regions,Tenant,No,0.33769,1304,11628,0.32908,0.34748
4,4,2001,Rural regions,Owner,Yes,0.87563,1927,11628,0.85261,0.90035
5,5,2001,Rural regions,Owner,No,0.12437,198,11628,0.11717,0.13327
6,6,2001,Rural regions,Tenant,Yes,0.66007,1283,11628,0.63788,0.6842
7,7,2001,Rural regions,Tenant,No,0.33993,487,11628,0.32364,0.3538
8,8,2003,Urban regions,Owner,Yes,0.89373,3302,11762,0.87226,0.91686
9,9,2003,Urban regions,Owner,No,0.10627,236,11762,0.09867,0.11345
10,10,2003,Urban regions,Tenant,Yes,0.65259,3134,11762,0.63505,0.67339
11,11,2003,Urban regions,Tenant,No,0.34741,1273,11762,0.33728,0.3573
12,12,2003,Rural regions,Owner,Yes,0.88632,1945,11762,0.85403,0.91213
13,13,2003,Rural regions,Owner,No,0.11368,160,11762,0.10679,0.12183
14,14,2003,Rural regions,Tenant,Yes,0.66518,1242,11762,0.64032,0.68862
15,15,2003,Rural regions,Tenant,No,0.33482,470,11762,0.31719,0.35203
16,16,2005,Urban regions,Owner,Yes,0.89634,3097,11154,0.8744,0.91987
17,17,2005,Urban regions,Owner,No,0.10366,220,11154,0.09552,0.11042
18,18,2005,Urban regions,Tenant,Yes,0.65001,2961,11154,0.63181,0.66655
19,19,2005,Urban regions,Tenant,No,0.34999,1230,11154,0.3396,0.3627
20,20,2005,Rural regions,Owner,Yes,0.89087,1899,11154,0.85367,0.92678
21,21,2005,Rural regions,Owner,No,0.10913,151,11154,0.10066,0.11793
22,22,2005,Rural regions,Tenant,Yes,0.67522,1151,11154,0.64583,0.70292
23,23,2005,Rural regions,Tenant,No,0.32478,445,11154,0.30917,0.34173
24,24,2007,Urban regions,Owner,Yes,0.91184,3243,11403,0.88205,0.93907
25,25,2007,Urban regions,Owner,No,0.08816,196,11403,0.08134,0.09364
26,26,2007,Urban regions,Tenant,Yes,0.63611,2890,11403,0.61931,0.65532
27,27,2007,Urban regions,Tenant,No,0.36389,1222,11403,0.35253,0.37732
28,28,2007,Rural regions,Owner,Yes,0.9023,2018,11403,0.86845,0.93491
29,29,2007,Rural regions,Owner,No,0.0977,140,11403,0.08892,0.10633
30,30,2007,Rural regions,Tenant,Yes,0.68166,1218,11403,0.653,0.71439
31,31,2007,Rural regions,Tenant,No,0.31834,476,11403,0.30057,0.33382
32,32,2011,Urban regions,Owner,Yes,0.91074,3360,12052,0.87742,0.94062
33,33,2011,Urban regions,Owner,No,0.08926,218,12052,0.08171,0.0954
34,34,2011,Urban regions,Tenant,Yes,0.63085,2903,12052,0.61234,0.65056
35,35,2011,Urban regions,Tenant,No,0.36915,1362,12052,0.35333,0.38393
36,36,2011,Rural regions,Owner,Yes,0.92387,2220,12052,0.88842,0.95487
37,37,2011,Rural regions,Owner,No,0.07613,131,12052,0.06875,0.08257
38,38,2011,Rural regions,Tenant,Yes,0.66587,1306,12052,0.63243,0.70214
39,39,2011,Rural regions,Tenant,No,0.33413,552,12052,0.31162,0.35605
40,40,2013,Urban regions,Owner,Yes,0.91062,3496,13931,0.88303,0.93799
41,41,2013,Urban regions,Owner,No,0.08938,235,13931,0.08179,0.09586
42,42,2013,Urban regions,Tenant,Yes,0.62457,3753,13931,0.60539,0.64777
43,43,2013,Urban regions,Tenant,No,0.37543,1867,13931,0.35958,0.38868
44,44,2013,Rural regions,Owner,Yes,0.91784,2228,13931,0.88788,0.95124
45,45,2013,Rural regions,Owner,No,0.08216,134,13931,0.07359,0.09043
46,46,2013,Rural regions,Tenant,Yes,0.6762,1622,13931,0.64151,0.70919
47,47,2013,Rural regions,Tenant,No,0.3238,596,13931,0.30178,0.34666
48,48,2016,Urban regions,Owner,Yes,0.91626,3554,14280,0.87943,0.94485
