,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Single-person household,1st Quintile,Yes,0.27935,256,11356,0.26388,0.29684
1,1,2001,Single-person household,1st Quintile,No,0.72065,569,11356,0.69519,0.74534
2,2,2001,Single-person household,2nd Quintile,Yes,0.41031,271,11356,0.38699,0.43718
3,3,2001,Single-person household,2nd Quintile,No,0.58969,348,11356,0.56726,0.61375
4,4,2001,Single-person household,3rd Quintile,Yes,0.56386,309,11356,0.53082,0.60008
5,5,2001,Single-person household,3rd Quintile,No,0.43614,216,11356,0.41546,0.4567
6,6,2001,Single-person household,4th Quintile,Yes,0.69256,344,11356,0.65904,0.72803
7,7,2001,Single-person household,4th Quintile,No,0.30744,138,11356,0.28492,0.32629
8,8,2001,Single-person household,5th Quintile,Yes,0.80911,372,11356,0.77255,0.84345
9,9,2001,Single-person household,5th Quintile,No,0.19089,81,11356,0.17652,0.20853
10,10,2001,Couple without children,1st Quintile,Yes,0.66835,267,11356,0.62693,0.7162
11,11,2001,Couple without children,1st Quintile,No,0.33165,145,11356,0.30551,0.36124
12,12,2001,Couple without children,2nd Quintile,Yes,0.79181,489,11356,0.75457,0.82612
13,13,2001,Couple without children,2nd Quintile,No,0.20819,122,11356,0.18995,0.23293
14,14,2001,Couple without children,3rd Quintile,Yes,0.86314,643,11356,0.82853,0.89952
15,15,2001,Couple without children,3rd Quintile,No,0.13686,91,11356,0.1239,0.15234
16,16,2001,Couple without children,4th Quintile,Yes,0.93022,793,11356,0.89065,0.96878
17,17,2001,Couple without children,4th Quintile,No,0.06978,56,11356,0.06222,0.08164
18,18,2001,Couple without children,5th Quintile,Yes,1.0,945,11356,0.96179,1.03393
19,19,2001,Single parent,1st Quintile,Yes,0.5326,159,11356,0.48803,0.57823
20,20,2001,Single parent,1st Quintile,No,0.4674,141,11356,0.42716,0.51587
21,21,2001,Single parent,2nd Quintile,Yes,0.75145,123,11356,0.67604,0.83304
22,22,2001,Single parent,2nd Quintile,No,0.24855,45,11356,0.1954,0.28931
