year,hhtyp,rentown,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Owner,Yes,0.63066,486,11511,0.63017,0.63115
2001,Single-person household,Owner,No,0.36934,284,11511,0.36885,0.36983
2001,Single-person household,Tenant,Yes,0.47502,1066,11511,0.47472,0.47533
2001,Single-person household,Tenant,No,0.52498,1069,11511,0.52467,0.52528
2001,Couple without children,Owner,Yes,0.94203,1666,11511,0.94184,0.94222
2001,Couple without children,Owner,No,0.05797,110,11511,0.05778,0.05816
2001,Couple without children,Tenant,Yes,0.81409,1471,11511,0.81376,0.81442
2001,Couple without children,Tenant,No,0.18591,327,11511,0.18558,0.18624
2001,Single parent,Owner,Yes,1.00000,175,11511,1.00000,1.00000
2001,Single parent,Tenant,Yes,0.62067,315,11511,0.61993,0.62141
2001,Single parent,Tenant,No,0.37933,197,11511,0.37859,0.38007
2001,Couple with children,Owner,Yes,1.00000,2307,11511,1.00000,1.00000
2001,Couple with children,Tenant,Yes,0.92012,1668,11511,0.91987,0.92037
2001,Couple with children,Tenant,No,0.07988,161,11511,0.07963,0.08013
2001,Multi-generational household,Owner,Yes,1.00000,111,11511,1.00000,1.00000
2001,Multi-generational household,Tenant,Yes,1.00000,34,11511,1.00000,1.00000
2001,Other Combinations,Owner,Yes,1.00000,64,11511,1.00000,1.00000
2003,Single-person household,Owner,Yes,0.65131,523,11662,0.65084,0.65179
2003,Single-person household,Owner,No,0.34869,260,11662,0.34821,0.34916
2003,Single-person household,Tenant,Yes,0.48187,1064,11662,0.48157,0.48217
2003,Single-person household,Tenant,No,0.51813,1048,11662,0.51783,0.51843
2003,Couple without children,Owner,Yes,0.94596,1920,11662,0.94578,0.94614
2003,Couple without children,Owner,No,0.05404,96,11662,0.05386,0.05422
2003,Couple without children,Tenant,Yes,0.80926,1473,11662,0.80893,0.80959
2003,Couple without children,Tenant,No,0.19074,321,11662,0.19041,0.19107
2003,Single parent,Owner,Yes,1.00000,180,11662,1.00000,1.00000
2003,Single parent,Tenant,Yes,0.58861,289,11662,0.58789,0.58932
2003,Single parent,Tenant,No,0.41139,212,11662,0.41068,0.41211
2003,Couple with children,Owner,Yes,1.00000,2486,11662,1.00000,1.00000
2003,Couple with children,Tenant,Yes,0.91304,1488,11662,0.91277,0.91330
2003,Couple with children,Tenant,No,0.08696,132,11662,0.08670,0.08723
2003,Multi-generational household,Owner,Yes,1.00000,78,11662,1.00000,1.00000
2003,Multi-generational household,Tenant,Yes,1.00000,32,11662,1.00000,1.00000
2003,Other Combinations,Owner,Yes,1.00000,60,11662,1.00000,1.00000
2005,Single-person household,Owner,Yes,0.65146,540,11079,0.65099,0.65193
2005,Single-person household,Owner,No,0.34854,262,11079,0.34807,0.34901
2005,Single-person household,Tenant,Yes,0.48496,1063,11079,0.48466,0.48526
2005,Single-person household,Tenant,No,0.51504,1025,11079,0.51474,0.51534
2005,Couple without children,Owner,Yes,0.95613,1882,11079,0.95596,0.95629
2005,Couple without children,Owner,No,0.04387,82,11079,0.04371,0.04404
2005,Couple without children,Tenant,Yes,0.82114,1434,11079,0.82082,0.82146
2005,Couple without children,Tenant,No,0.17886,281,11079,0.17854,0.17918
2005,Single parent,Owner,Yes,1.00000,184,11079,1.00000,1.00000
2005,Single parent,Tenant,Yes,0.60777,295,11079,0.60709,0.60845
2005,Single parent,Tenant,No,0.39223,199,11079,0.39155,0.39291
2005,Couple with children,Owner,Yes,1.00000,2266,11079,1.00000,1.00000
2005,Couple with children,Tenant,Yes,0.88895,1268,11079,0.88865,0.88925
2005,Couple with children,Tenant,No,0.11105,143,11079,0.11075,0.11135
2005,Multi-generational household,Owner,Yes,1.00000,72,11079,1.00000,1.00000
2005,Other Combinations,Owner,Yes,1.00000,52,11079,1.00000,1.00000
2005,Other Combinations,Tenant,Yes,1.00000,31,11079,1.00000,1.00000
2007,Single-person household,Owner,Yes,0.71172,651,11312,0.71129,0.71215
2007,Single-person household,Owner,No,0.28828,235,11312,0.28785,0.28871
2007,Single-person household,Tenant,Yes,0.47794,1123,11312,0.47764,0.47823
2007,Single-person household,Tenant,No,0.52206,1073,11312,0.52177,0.52236
2007,Couple without children,Owner,Yes,0.96268,2091,11312,0.96253,0.96283
2007,Couple without children,Owner,No,0.03732,76,11312,0.03717,0.03747
2007,Couple without children,Tenant,Yes,0.82624,1434,11312,0.82592,0.82656
2007,Couple without children,Tenant,No,0.17376,266,11312,0.17344,0.17408
2007,Single parent,Owner,Yes,1.00000,199,11312,1.00000,1.00000
2007,Single parent,Tenant,Yes,0.56369,287,11312,0.56298,0.56441
2007,Single parent,Tenant,No,0.43631,211,11312,0.43559,0.43702
2007,Couple with children,Owner,Yes,1.00000,2211,11312,1.00000,1.00000
2007,Couple with children,Tenant,Yes,0.90120,1220,11312,0.90091,0.90148
2007,Couple with children,Tenant,No,0.09880,126,11312,0.09852,0.09909
2007,Multi-generational household,Owner,Yes,1.00000,60,11312,1.00000,1.00000
2007,Other Combinations,Owner,Yes,1.00000,49,11312,1.00000,1.00000
2011,Single-person household,Owner,Yes,0.77587,828,11981,0.77550,0.77624
2011,Single-person household,Owner,No,0.22413,239,11981,0.22376,0.22450
2011,Single-person household,Tenant,Yes,0.48703,1202,11981,0.48674,0.48733
2011,Single-person household,Tenant,No,0.51297,1226,11981,0.51267,0.51326
2011,Couple without children,Owner,Yes,0.96186,2427,11981,0.96172,0.96201
2011,Couple without children,Owner,No,0.03814,83,11981,0.03799,0.03828
2011,Couple without children,Tenant,Yes,0.83445,1551,11981,0.83412,0.83477
2011,Couple without children,Tenant,No,0.16555,301,11981,0.16523,0.16588
2011,Single parent,Owner,Yes,1.00000,208,11981,1.00000,1.00000
2011,Single parent,Tenant,Yes,0.59934,317,11981,0.59827,0.60040
2011,Single parent,Tenant,No,0.40066,240,11981,0.39960,0.40173
2011,Couple with children,Owner,Yes,1.00000,2020,11981,1.00000,1.00000
2011,Couple with children,Tenant,Yes,0.91789,1087,11981,0.91755,0.91823
2011,Couple with children,Tenant,No,0.08211,122,11981,0.08177,0.08245
2011,Multi-generational household,Owner,Yes,1.00000,56,11981,1.00000,1.00000
2011,Other Combinations,Owner,Yes,1.00000,41,11981,1.00000,1.00000
2011,Other Combinations,Tenant,Yes,1.00000,33,11981,1.00000,1.00000
2013,Single-person household,Owner,Yes,0.77799,819,13862,0.77763,0.77836
2013,Single-person household,Owner,No,0.22201,221,13862,0.22164,0.22237
2013,Single-person household,Tenant,Yes,0.49383,1305,13862,0.49353,0.49413
2013,Single-person household,Tenant,No,0.50617,1365,13862,0.50587,0.50647
2013,Couple without children,Owner,Yes,0.96098,2422,13862,0.96083,0.96112
2013,Couple without children,Owner,No,0.03902,94,13862,0.03888,0.03917
2013,Couple without children,Tenant,Yes,0.82842,1705,13862,0.82809,0.82875
2013,Couple without children,Tenant,No,0.17158,368,13862,0.17125,0.17191
2013,Single parent,Owner,Yes,1.00000,228,13862,1.00000,1.00000
2013,Single parent,Tenant,Yes,0.58115,409,13862,0.58018,0.58211
