year,regtyp,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.75052,6183,11628,0,0.73869,0,0.76085
2001,Urban regions,No,0.24948,1550,11628,0,0.24326,0,0.25697
2001,Rural regions,Yes,0.77076,3210,11628,0,0.75269,0,0.78772
2001,Rural regions,No,0.22924,685,11628,0,0.21931,0,0.23812
2003,Urban regions,Yes,0.74581,6436,11762,0,0.72955,0,0.75788
2003,Urban regions,No,0.25419,1509,11762,0,0.24624,0,0.26080
2003,Rural regions,Yes,0.77757,3187,11762,0,0.75437,0,0.79532
2003,Rural regions,No,0.22243,630,11762,0,0.21291,0,0.23245
2005,Urban regions,Yes,0.74234,6059,11155,0,0.72572,0,0.75804
2005,Urban regions,No,0.25766,1450,11155,0,0.24921,0,0.26583
2005,Rural regions,Yes,0.78670,3050,11155,0,0.76562,0,0.81359
2005,Rural regions,No,0.21330,596,11155,0,0.20164,0,0.22409
2007,Urban regions,Yes,0.74304,6133,11403,0,0.72805,0,0.75772
2007,Urban regions,No,0.25696,1418,11403,0,0.24860,0,0.26513
2007,Rural regions,Yes,0.79329,3236,11403,0,0.76980,0,0.81328
2007,Rural regions,No,0.20671,616,11403,0,0.19699,0,0.21589
2011,Urban regions,Yes,0.75135,6263,12052,0,0.73219,0,0.76943
2011,Urban regions,No,0.24865,1580,12052,0,0.23823,0,0.25752
2011,Rural regions,Yes,0.80416,3526,12052,0,0.78275,0,0.82759
2011,Rural regions,No,0.19584,683,12052,0,0.18571,0,0.20890
2013,Urban regions,Yes,0.74674,7249,13931,0,0.73204,0,0.76282
2013,Urban regions,No,0.25326,2102,13931,0,0.24335,0,0.26315
2013,Rural regions,Yes,0.80266,3850,13931,0,0.77543,0,0.82915
2013,Rural regions,No,0.19734,730,13931,0,0.18788,0,0.20787
2016,Urban regions,Yes,0.75290,7378,14281,0,0.73566,0,0.77239
2016,Urban regions,No,0.24710,1972,14281,0,0.23630,0,0.25650
2016,Rural regions,Yes,0.81015,4182,14281,0,0.78108,0,0.83611
2016,Rural regions,No,0.18985,749,14281,0,0.17833,0,0.20308
2017,Urban regions,Yes,0.75119,8434,17462,0,0.73393,0,0.76646
2017,Urban regions,No,0.24881,3039,17462,0,0.23872,0,0.25979
2017,Rural regions,Yes,0.81287,4819,17462,0,0.78857,0,0.83745
2017,Rural regions,No,0.18713,1170,17462,0,0.17373,0,0.19914
2018,Urban regions,Yes,0.75773,8510,17858,0,0.73986,0,0.77556
2018,Urban regions,No,0.24227,3395,17858,0,0.23132,0,0.25229
2018,Rural regions,Yes,0.81432,4762,17858,0,0.78800,0,0.84233
2018,Rural regions,No,0.18568,1191,17858,0,0.17017,0,0.20160
2019,Urban regions,Yes,0.76590,8386,15667,0,0.74626,0,0.78539
2019,Urban regions,No,0.23410,1910,15667,0,0.22293,0,0.24620
2019,Rural regions,Yes,0.82624,4686,15667,0,0.79934,0,0.85743
2019,Rural regions,No,0.17376,685,15667,0,0.16115,0,0.18838
2021,Urban regions,Yes,0.77181,6461,12559,0,0.74829,0,0.79329
2021,Urban regions,No,0.22819,2146,12559,0,0.21519,0,0.24151
2021,Rural regions,Yes,0.85048,3433,12559,0,0.81488,0,0.89061
2021,Rural regions,No,0.14952,519,12559,0,0.13633,0,0.16587
