year,quintil_oecd_hh,regtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Urban regions,Yes,0.46918,755,1427,0.44328,0.49508
2001,1st Quintile,Urban regions,No,0.53082,672,1427,0.50492,0.55672
2001,1st Quintile,Rural regions,Yes,0.52187,475,790,0.48702,0.55673
2001,1st Quintile,Rural regions,No,0.47813,315,790,0.44327,0.51298
2001,2nd Quintile,Urban regions,Yes,0.68781,1134,1485,0.66424,0.71139
2001,2nd Quintile,Urban regions,No,0.31219,351,1485,0.28861,0.33576
2001,2nd Quintile,Rural regions,Yes,0.72095,758,959,0.69254,0.74935
2001,2nd Quintile,Rural regions,No,0.27905,201,959,0.25065,0.30746
2001,3rd Quintile,Urban regions,Yes,0.78388,1301,1549,0.76338,0.80439
2001,3rd Quintile,Urban regions,No,0.21612,248,1549,0.19561,0.23662
2001,3rd Quintile,Rural regions,Yes,0.82101,771,880,0.79567,0.84636
2001,3rd Quintile,Rural regions,No,0.17899,109,880,0.15364,0.20433
2001,4th Quintile,Urban regions,Yes,0.84381,1422,1608,0.82606,0.86156
2001,4th Quintile,Urban regions,No,0.15619,186,1608,0.13844,0.17394
2001,4th Quintile,Rural regions,Yes,0.93673,716,751,0.91931,0.95416
2001,4th Quintile,Rural regions,No,0.06327,35,751,0.04584,0.08069
2001,5th Quintile,Urban regions,Yes,0.92562,1584,1678,0.91307,0.93818
2001,5th Quintile,Urban regions,No,0.07438,94,1678,0.06182,0.08693
2001,5th Quintile,Rural regions,Yes,0.94598,476,476,0.92565,0.96631
2003,1st Quintile,Urban regions,Yes,0.44880,666,1320,0.42196,0.47565
2003,1st Quintile,Urban regions,No,0.55120,654,1320,0.52435,0.57804
2003,1st Quintile,Rural regions,Yes,0.52428,416,714,0.48762,0.56094
2003,1st Quintile,Rural regions,No,0.47572,298,714,0.43906,0.51238
2003,2nd Quintile,Urban regions,Yes,0.69082,999,1334,0.66601,0.71563
2003,2nd Quintile,Urban regions,No,0.30918,335,1334,0.28437,0.33399
2003,2nd Quintile,Rural regions,Yes,0.74062,700,865,0.71140,0.76985
2003,2nd Quintile,Rural regions,No,0.25938,165,865,0.23015,0.28860
2003,3rd Quintile,Urban regions,Yes,0.78645,1203,1440,0.76528,0.80763
2003,3rd Quintile,Urban regions,No,0.21355,237,1440,0.19237,0.23472
2003,3rd Quintile,Rural regions,Yes,0.84058,691,786,0.81497,0.86619
2003,3rd Quintile,Rural regions,No,0.15942,95,786,0.13381,0.18503
