year,regtyp,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Yes,0.75871,5498,6801,0.74854,0.76888
2001,Urban regions,West,No,0.24129,1303,6801,0.23112,0.25146
2001,Urban regions,East,Yes,0.67078,699,948,0.64085,0.70071
2001,Urban regions,East,No,0.32922,249,948,0.29929,0.35915
2001,Rural regions,West,Yes,0.82020,1737,2004,0.80338,0.83701
2001,Rural regions,West,No,0.17980,267,2004,0.16299,0.19662
2001,Rural regions,East,Yes,0.69696,1459,1875,0.67615,0.71777
2001,Rural regions,East,No,0.30304,416,1875,0.28223,0.32385
2003,Urban regions,West,Yes,0.75626,5754,7002,0.74620,0.76631
2003,Urban regions,West,No,0.24374,1248,7002,0.23369,0.25380
2003,Urban regions,East,Yes,0.64296,694,957,0.61259,0.67334
2003,Urban regions,East,No,0.35704,263,957,0.32666,0.38741
2003,Rural regions,West,Yes,0.81517,1719,1971,0.79803,0.83231
2003,Rural regions,West,No,0.18483,252,1971,0.16769,0.20197
2003,Rural regions,East,Yes,0.72157,1456,1832,0.70104,0.74210
2003,Rural regions,East,No,0.27843,376,1832,0.25790,0.29896
2005,Urban regions,West,Yes,0.75240,5389,6587,0.74197,0.76282
2005,Urban regions,West,No,0.24760,1198,6587,0.23718,0.25803
2005,Urban regions,East,Yes,0.65109,682,935,0.62052,0.68166
2005,Urban regions,East,No,0.34891,253,935,0.31834,0.37948
2005,Rural regions,West,Yes,0.81722,1643,1888,0.79978,0.83466
2005,Rural regions,West,No,0.18278,245,1888,0.16534,0.20022
2005,Rural regions,East,Yes,0.73825,1395,1745,0.71762,0.75888
2005,Rural regions,East,No,0.26175,350,1745,0.24112,0.28238
2007,Urban regions,West,Yes,0.75348,5455,6634,0.74311,0.76386
2007,Urban regions,West,No,0.24652,1179,6634,0.23614,0.25689
2007,Urban regions,East,Yes,0.64898,699,939,0.61843,0.67952
2007,Urban regions,East,No,0.35102,240,939,0.32048,0.38157
