year,hhtyp,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.51618,1552,11584,0,0.50402,0,0.52668
2001,Single-person household,No,0.48382,1353,11584,0,0.47355,0,0.49540
2001,Couple without children,Yes,0.88011,3137,11584,0,0.86136,0,0.89547
2001,Couple without children,No,0.11989,437,11584,0,0.11324,0,0.12608
2001,Single parent,Yes,0.69592,490,11584,0,0.66005,0,0.72876
2001,Single parent,No,0.30408,214,11584,0,0.27632,0,0.32774
2001,Couple with children,Yes,0.95915,3975,11584,0,0.94089,0,0.97760
2001,Couple with children,No,0.04085,187,11584,0,0.03714,0,0.04438
2001,Multi-generational household,Yes,1.00000,145,11584,0,0.88999,0,1.09954
2001,Other Combinations,Yes,1.00000,94,11584,0,0.88296,0,1.11947
2003,Single-person household,Yes,0.52763,1587,11727,0,0.51260,0,0.54099
2003,Single-person household,No,0.47237,1308,11727,0,0.46068,0,0.48470
2003,Couple without children,Yes,0.88083,3393,11727,0,0.86382,0,0.89885
2003,Couple without children,No,0.11917,417,11727,0,0.11203,0,0.12749
2003,Single parent,Yes,0.66915,469,11727,0,0.63107,0,0.70796
2003,Single parent,No,0.33085,225,11727,0,0.30774,0,0.35709
2003,Couple with children,Yes,0.95745,3974,11727,0,0.93069,0,0.98134
2003,Couple with children,No,0.04255,154,11727,0,0.03835,0,0.04676
2003,Multi-generational household,Yes,1.00000,110,11727,0,0.83252,0,1.16887
2003,Other Combinations,Yes,1.00000,90,11727,0,0.85103,0,1.13591
2005,Single-person household,Yes,0.53068,1604,11125,0,0.51567,0,0.54486
2005,Single-person household,No,0.46932,1287,11125,0,0.45613,0,0.48388
2005,Couple without children,Yes,0.89048,3316,11125,0,0.86464,0,0.91111
2005,Couple without children,No,0.10952,363,11125,0,0.10167,0,0.11887
2005,Single parent,Yes,0.67710,479,11125,0,0.62761,0,0.72622
2005,Single parent,No,0.32290,211,11125,0,0.29672,0,0.35767
2005,Couple with children,Yes,0.94907,3534,11125,0,0.92467,0,0.97689
2005,Couple with children,No,0.05093,155,11125,0,0.04484,0,0.05719
2005,Multi-generational household,Yes,1.00000,93,11125,0,0.78472,0,1.21707
2005,Other Combinations,Yes,1.00000,83,11125,0,0.83246,0,1.18881
2007,Single-person household,Yes,0.54318,1774,11377,0,0.52748,0,0.55847
2007,Single-person household,No,0.45682,1308,11377,0,0.44334,0,0.47117
2007,Couple without children,Yes,0.89891,3525,11377,0,0.87407,0,0.92291
2007,Couple without children,No,0.10109,342,11377,0,0.09353,0,0.10730
2007,Single parent,Yes,0.64973,486,11377,0,0.60604,0,0.69251
2007,Single parent,No,0.35027,223,11377,0,0.32388,0,0.38093
2007,Couple with children,Yes,0.95440,3431,11377,0,0.92788,0,0.98053
2007,Couple with children,No,0.04560,135,11377,0,0.03973,0,0.05197
2007,Multi-generational household,Yes,1.00000,79,11377,0,0.78819,0,1.22907
2007,Other Combinations,Yes,1.00000,74,11377,0,0.79468,0,1.20799
2011,Single-person household,Yes,0.57691,2030,12022,0,0.56110,0,0.59179
2011,Single-person household,No,0.42309,1465,12022,0,0.40931,0,0.43601
2011,Couple without children,Yes,0.90684,3978,12022,0,0.88298,0,0.93610
2011,Couple without children,No,0.09316,384,12022,0,0.08475,0,0.10196
2011,Single parent,Yes,0.70105,525,12022,0,0.63952,0,0.76608
2011,Single parent,No,0.29895,255,12022,0,0.25377,0,0.35175
2011,Couple with children,Yes,0.96880,3107,12022,0,0.93672,0,1.00146
2011,Couple with children,No,0.03120,129,12022,0,0.02498,0,0.03699
2011,Multi-generational household,Yes,1.00000,75,12022,0,0.78635,0,1.27281
2011,Other Combinations,Yes,1.00000,74,12022,0,0.83177,0,1.19077
2013,Single-person household,Yes,0.58345,2124,13915,0,0.56720,0,0.60086
2013,Single-person household,No,0.41655,1586,13915,0,0.40230,0,0.43048
2013,Couple without children,Yes,0.90497,4127,13915,0,0.87859,0,0.93089
2013,Couple without children,No,0.09503,462,13915,0,0.08737,0,0.10269
2013,Single parent,Yes,0.68968,637,13915,0,0.63703,0,0.74055
2013,Single parent,No,0.31032,346,13915,0,0.26897,0,0.34932
2013,Couple with children,Yes,0.94678,3867,13915,0,0.90790,0,0.98058
2013,Couple with children,No,0.05322,322,13915,0,0.04604,0,0.06029
2013,Multi-generational household,Yes,1.00000,100,13915,0,0.83073,0,1.23981
2013,Other Combinations,Yes,0.72685,244,13915,0,0.62595,0,0.84356
2013,Other Combinations,No,0.27315,100,13915,0,0.23168,0,0.32674
2016,Single-person household,Yes,0.58719,1968,14259,0,0.56960,0,0.60839
2016,Single-person household,No,0.41281,1413,14259,0,0.39384,0,0.42609
2016,Couple without children,Yes,0.91861,3693,14259,0,0.89159,0,0.94991
2016,Couple without children,No,0.08139,396,14259,0,0.07354,0,0.08809
2016,Single parent,Yes,0.68684,1060,14259,0,0.64011,0,0.73881
2016,Single parent,No,0.31316,463,14259,0,0.28053,0,0.33920
2016,Couple with children,Yes,0.93791,4616,14259,0,0.90247,0,0.97460
2016,Couple with children,No,0.06209,370,14259,0,0.05332,0,0.07352
2016,Multi-generational household,Yes,1.00000,86,14259,0,0.74411,0,1.28456
2016,Other Combinations,Yes,0.72415,137,14259,0,0.60828,0,0.85181
2016,Other Combinations,No,0.27585,57,14259,0,0.21958,0,0.35040
2017,Single-person household,Yes,0.58741,2285,17462,0,0.56972,0,0.60791
2017,Single-person household,No,0.41259,1843,17462,0,0.39540,0,0.42882
2017,Couple without children,Yes,0.92314,4228,17462,0,0.89427,0,0.95501
2017,Couple without children,No,0.07686,446,17462,0,0.06820,0,0.08514
2017,Single parent,Yes,0.69048,1119,17462,0,0.64395,0,0.73689
2017,Single parent,No,0.30952,582,17462,0,0.27483,0,0.35123
2017,Couple with children,Yes,0.93703,5294,17462,0,0.89901,0,0.96476
2017,Couple with children,No,0.06297,1138,17462,0,0.05492,0,0.07261
2017,Multi-generational household,Yes,0.85293,102,17462,0,0.65012,0,1.09098
2017,Multi-generational household,No,0.14707,39,17462,0,0.09436,0,0.20505
2017,Other Combinations,Yes,0.75926,225,17462,0,0.66053,0,0.88315
2017,Other Combinations,No,0.24074,161,17462,0,0.18111,0,0.30971
2018,Single-person household,Yes,0.60716,2427,17858,0,0.58688,0,0.62970
2018,Single-person household,No,0.39284,2023,17858,0,0.37401,0,0.41012
2018,Couple without children,Yes,0.91206,4141,17858,0,0.88601,0,0.93825
2018,Couple without children,No,0.08794,492,17858,0,0.07963,0,0.09863
2018,Single parent,Yes,0.70125,1085,17858,0,0.64274,0,0.75673
2018,Single parent,No,0.29875,655,17858,0,0.26505,0,0.33219
2018,Couple with children,Yes,0.93338,5278,17858,0,0.89950,0,0.97153
2018,Couple with children,No,0.06662,1187,17858,0,0.05899,0,0.07627
2018,Multi-generational household,Yes,0.83084,108,17858,0,0.65626,0,1.05447
2018,Multi-generational household,No,0.16916,53,17858,0,0.10268,0,0.24598
2018,Other Combinations,Yes,0.81066,233,17858,0,0.67544,0,0.95067
2018,Other Combinations,No,0.18934,176,17858,0,0.14215,0,0.23604
2019,Single-person household,Yes,0.61805,2558,16115,0,0.59881,0,0.64039
2019,Single-person household,No,0.38195,1583,16115,0,0.36357,0,0.39751
2019,Couple without children,Yes,0.91096,4660,16115,0,0.87999,0,0.93850
2019,Couple without children,No,0.08904,430,16115,0,0.07902,0,0.09991
2019,Single parent,Yes,0.71552,1038,16115,0,0.65964,0,0.76517
2019,Single parent,No,0.28448,381,16115,0,0.25565,0,0.31123
2019,Couple with children,Yes,0.95123,4860,16115,0,0.91568,0,0.98346
2019,Couple with children,No,0.04877,296,16115,0,0.04269,0,0.05579
2019,Multi-generational household,Yes,1.00000,86,16115,0,0.75773,0,1.31473
2019,Other Combinations,Yes,0.76550,176,16115,0,0.66369,0,0.87517
2019,Other Combinations,No,0.23450,47,16115,0,0.15578,0,0.32976
2021,Single-person household,Yes,0.64672,2085,12421,0,0.61311,0,0.67290
2021,Single-person household,No,0.35328,1454,12421,0,0.33499,0,0.37353
2021,Couple without children,Yes,0.91837,3116,12421,0,0.88286,0,0.95844
2021,Couple without children,No,0.08163,350,12421,0,0.06922,0,0.09402
2021,Single parent,Yes,0.76739,726,12421,0,0.70166,0,0.82906
2021,Single parent,No,0.23261,298,12421,0,0.19210,0,0.28286
2021,Couple with children,Yes,0.94604,3560,12421,0,0.90227,0,0.99597
2021,Couple with children,No,0.05396,424,12421,0,0.04562,0,0.06553
2021,Multi-generational household,Yes,1.00000,66,12421,0,0.61987,0,1.41873
2021,Other Combinations,Yes,0.89825,254,12421,0,0.77585,0,1.05962
2021,Other Combinations,No,0.10175,88,12421,0,0.07135,0,0.13738
