year,quintil_oecd,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Yes,0.55698,1142,1738,0.53362,0.58034
1985,1st Quintile,Urban regions,No,0.21757,596,1738,0.19817,0.23698
1985,1st Quintile,Rural regions,Yes,0.59069,373,519,0.54835,0.63303
1985,1st Quintile,Rural regions,No,0.18595,146,519,0.15244,0.21945
1985,2nd Quintile,Urban regions,Yes,0.60439,1159,1661,0.58086,0.62791
1985,2nd Quintile,Urban regions,No,0.20529,502,1661,0.18586,0.22472
1985,2nd Quintile,Rural regions,Yes,0.54409,345,498,0.50030,0.58788
1985,2nd Quintile,Rural regions,No,0.22033,153,498,0.18389,0.25677
1985,3rd Quintile,Urban regions,Yes,0.61691,1209,1728,0.59398,0.63984
1985,3rd Quintile,Urban regions,No,0.22547,519,1728,0.20576,0.24518
1985,3rd Quintile,Rural regions,Yes,0.60136,341,479,0.55747,0.64526
1985,3rd Quintile,Rural regions,No,0.24335,138,479,0.20488,0.28182
1985,4th Quintile,Urban regions,Yes,0.61025,1246,1811,0.58778,0.63272
1985,4th Quintile,Urban regions,No,0.26691,565,1811,0.24653,0.28729
1985,4th Quintile,Rural regions,Yes,0.63037,290,402,0.58312,0.67762
1985,4th Quintile,Rural regions,No,0.22340,112,402,0.18263,0.26416
1985,5th Quintile,Urban regions,Yes,0.61853,1173,1740,0.59570,0.64136
1985,5th Quintile,Urban regions,No,0.28117,567,1740,0.26004,0.30230
1985,5th Quintile,Rural regions,Yes,0.66440,312,442,0.62033,0.70847
1985,5th Quintile,Rural regions,No,0.26145,130,442,0.22044,0.30246
1986,1st Quintile,Urban regions,Yes,0.59797,1134,1628,0.57415,0.62180
1986,1st Quintile,Urban regions,No,0.18430,494,1628,0.16546,0.20314
1986,1st Quintile,Rural regions,Yes,0.57293,313,446,0.52697,0.61889
1986,1st Quintile,Rural regions,No,0.20648,133,446,0.16887,0.24409
1986,2nd Quintile,Urban regions,Yes,0.57620,1096,1595,0.55194,0.60046
1986,2nd Quintile,Urban regions,No,0.22099,499,1595,0.20062,0.24136
1986,2nd Quintile,Rural regions,Yes,0.56604,355,497,0.52242,0.60966
1986,2nd Quintile,Rural regions,No,0.21368,142,497,0.17761,0.24976
1986,3rd Quintile,Urban regions,Yes,0.62378,1177,1644,0.60035,0.64720
1986,3rd Quintile,Urban regions,No,0.21604,467,1644,0.19614,0.23594
1986,3rd Quintile,Rural regions,Yes,0.58648,327,454,0.54113,0.63183
1986,3rd Quintile,Rural regions,No,0.22045,127,454,0.18228,0.25863
1986,4th Quintile,Urban regions,Yes,0.64157,1267,1785,0.61931,0.66382
1986,4th Quintile,Urban regions,No,0.23893,518,1785,0.21914,0.25871
1986,4th Quintile,Rural regions,Yes,0.64758,311,433,0.60253,0.69263
1986,4th Quintile,Rural regions,No,0.21817,122,433,0.17922,0.25712
1986,5th Quintile,Urban regions,Yes,0.65565,1186,1694,0.63302,0.67828
1986,5th Quintile,Urban regions,No,0.24860,508,1694,0.22801,0.26919
1986,5th Quintile,Rural regions,Yes,0.67202,290,401,0.62602,0.71803
1986,5th Quintile,Rural regions,No,0.23384,111,401,0.19236,0.27533
1987,1st Quintile,Urban regions,Yes,0.59071,1049,1564,0.56633,0.61508
1987,1st Quintile,Urban regions,No,0.20348,515,1564,0.18352,0.22344
1987,1st Quintile,Rural regions,Yes,0.56223,332,471,0.51738,0.60709
1987,1st Quintile,Rural regions,No,0.19699,139,471,0.16103,0.23295
1987,2nd Quintile,Urban regions,Yes,0.58757,1114,1602,0.56345,0.61168
1987,2nd Quintile,Urban regions,No,0.20863,488,1602,0.18872,0.22853
1987,2nd Quintile,Rural regions,Yes,0.55549,324,461,0.51008,0.60090
1987,2nd Quintile,Rural regions,No,0.20671,137,461,0.16970,0.24372
1987,3rd Quintile,Urban regions,Yes,0.58967,1114,1632,0.56580,0.61354
1987,3rd Quintile,Urban regions,No,0.23185,518,1632,0.21137,0.25234
1987,3rd Quintile,Rural regions,Yes,0.65012,353,472,0.60704,0.69319
1987,3rd Quintile,Rural regions,No,0.19285,119,472,0.15722,0.22848
1987,4th Quintile,Urban regions,Yes,0.64534,1226,1733,0.62281,0.66787
1987,4th Quintile,Urban regions,No,0.24031,507,1733,0.22019,0.26043
1987,4th Quintile,Rural regions,Yes,0.60676,298,423,0.56015,0.65336
1987,4th Quintile,Rural regions,No,0.23274,125,423,0.19242,0.27306
1987,5th Quintile,Urban regions,Yes,0.65166,1211,1711,0.62908,0.67425
1987,5th Quintile,Urban regions,No,0.24814,500,1711,0.22766,0.26861
1987,5th Quintile,Rural regions,Yes,0.63298,257,380,0.58446,0.68151
1987,5th Quintile,Rural regions,No,0.27397,123,380,0.22907,0.31887
1988,1st Quintile,Urban regions,Yes,0.55283,993,1529,0.52789,0.57776
1988,1st Quintile,Urban regions,No,0.22491,536,1529,0.20398,0.24585
1988,1st Quintile,Rural regions,Yes,0.55970,296,435,0.51299,0.60640
1988,1st Quintile,Rural regions,No,0.20752,139,435,0.16936,0.24567
1988,2nd Quintile,Urban regions,Yes,0.56096,1035,1561,0.53633,0.58559
1988,2nd Quintile,Urban regions,No,0.23697,526,1561,0.21587,0.25807
1988,2nd Quintile,Rural regions,Yes,0.51252,266,416,0.46443,0.56061
1988,2nd Quintile,Rural regions,No,0.23163,150,416,0.19104,0.27222
1988,3rd Quintile,Urban regions,Yes,0.57608,1053,1572,0.55165,0.60052
1988,3rd Quintile,Urban regions,No,0.25134,519,1572,0.22989,0.27279
1988,3rd Quintile,Rural regions,Yes,0.55106,273,423,0.50361,0.59852
1988,3rd Quintile,Rural regions,No,0.28111,150,423,0.23822,0.32400
1988,4th Quintile,Urban regions,Yes,0.58952,1066,1609,0.56547,0.61356
1988,4th Quintile,Urban regions,No,0.28935,543,1609,0.26718,0.31151
1988,4th Quintile,Rural regions,Yes,0.56488,302,454,0.51922,0.61053
1988,4th Quintile,Rural regions,No,0.27912,152,454,0.23781,0.32043
1988,5th Quintile,Urban regions,Yes,0.59150,1032,1607,0.56746,0.61554
1988,5th Quintile,Urban regions,No,0.31289,575,1607,0.29022,0.33557
1988,5th Quintile,Rural regions,Yes,0.61907,215,327,0.56635,0.67178
1988,5th Quintile,Rural regions,No,0.28670,112,327,0.23761,0.33579
1989,1st Quintile,Urban regions,Yes,0.55639,997,1536,0.53154,0.58124
1989,1st Quintile,Urban regions,No,0.22156,539,1536,0.20078,0.24233
1989,1st Quintile,Rural regions,Yes,0.58796,269,383,0.53860,0.63732
1989,1st Quintile,Rural regions,No,0.19284,114,383,0.15328,0.23241
1989,2nd Quintile,Urban regions,Yes,0.53610,1000,1538,0.51117,0.56103
1989,2nd Quintile,Urban regions,No,0.25269,538,1538,0.23096,0.27441
1989,2nd Quintile,Rural regions,Yes,0.50931,278,417,0.46127,0.55735
1989,2nd Quintile,Rural regions,No,0.23143,139,417,0.19090,0.27196
1989,3rd Quintile,Urban regions,Yes,0.58149,1009,1487,0.55641,0.60657
1989,3rd Quintile,Urban regions,No,0.24593,478,1487,0.22404,0.26783
1989,3rd Quintile,Rural regions,Yes,0.57506,275,399,0.52649,0.62363
1989,3rd Quintile,Rural regions,No,0.22723,124,399,0.18606,0.26840
1989,4th Quintile,Urban regions,Yes,0.61728,1069,1580,0.59330,0.64125
