year,migback,pgisced97,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Yes,0.53815,87,158,0.46017,0.61614
1984,No migration background,Pre-primary Level,No,0.46185,71,158,0.38386,0.53983
1984,No migration background,Primary Level,Yes,0.76170,58,58,0.65109,0.87230
1984,No migration background,Lower Secondary Level,Yes,0.73658,1693,2338,0.71872,0.75444
1984,No migration background,Lower Secondary Level,No,0.26342,645,2338,0.24556,0.28128
1984,No migration background,Upper Secondary Level,Yes,0.71035,3257,4629,0.69728,0.72342
1984,No migration background,Upper Secondary Level,No,0.28965,1372,4629,0.27658,0.30272
1984,No migration background,Post-secondary Non-tertiary Level,Yes,0.71736,133,185,0.65229,0.78242
1984,No migration background,Post-secondary Non-tertiary Level,No,0.28264,52,185,0.21758,0.34771
1984,No migration background,First Stage of Tertiary Education,Yes,0.75812,454,604,0.72394,0.79230
1984,No migration background,First Stage of Tertiary Education,No,0.24188,150,604,0.20770,0.27606
1984,No migration background,Second Stage of Tertiary Education,Yes,0.67781,447,666,0.64229,0.71333
1984,No migration background,Second Stage of Tertiary Education,No,0.32219,219,666,0.28667,0.35771
1984,Direct migration background,No answer / don't know,Yes,0.68130,33,33,0.51985,0.84275
1984,Direct migration background,Primary Level,Yes,0.60672,569,918,0.57510,0.63833
1984,Direct migration background,Primary Level,No,0.39328,349,918,0.36167,0.42490
1984,Direct migration background,Lower Secondary Level,Yes,0.66897,643,1057,0.64058,0.69735
1984,Direct migration background,Lower Secondary Level,No,0.33103,414,1057,0.30265,0.35942
1984,Direct migration background,Upper Secondary Level,Yes,0.66748,637,1025,0.63862,0.69633
1984,Direct migration background,Upper Secondary Level,No,0.33252,388,1025,0.30367,0.36138
1984,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.54149,66,123,0.45307,0.62991
1984,Direct migration background,Post-secondary Non-tertiary Level,No,0.45851,57,123,0.37009,0.54693
1984,Direct migration background,First Stage of Tertiary Education,Yes,0.74992,37,37,0.60845,0.89139
1984,Direct migration background,Second Stage of Tertiary Education,Yes,0.68142,74,121,0.59805,0.76478
1984,Direct migration background,Second Stage of Tertiary Education,No,0.31858,47,121,0.23522,0.40195
1985,No migration background,Pre-primary Level,Yes,0.60074,94,155,0.52339,0.67809
1985,No migration background,Pre-primary Level,No,0.39926,61,155,0.32191,0.47661
1985,No migration background,Primary Level,Yes,0.71954,59,59,0.60393,0.83515
1985,No migration background,Lower Secondary Level,Yes,0.75209,1544,2091,0.73358,0.77061
1985,No migration background,Lower Secondary Level,No,0.24791,547,2091,0.22939,0.26642
1985,No migration background,Upper Secondary Level,Yes,0.72025,2989,4221,0.70670,0.73379
1985,No migration background,Upper Secondary Level,No,0.27975,1232,4221,0.26621,0.29330
1985,No migration background,Post-secondary Non-tertiary Level,Yes,0.73702,125,174,0.67142,0.80262
1985,No migration background,Post-secondary Non-tertiary Level,No,0.26298,49,174,0.19738,0.32858
1985,No migration background,First Stage of Tertiary Education,Yes,0.72938,411,568,0.69281,0.76595
1985,No migration background,First Stage of Tertiary Education,No,0.27062,157,568,0.23405,0.30719
1985,No migration background,Second Stage of Tertiary Education,Yes,0.66433,424,641,0.62774,0.70091
1985,No migration background,Second Stage of Tertiary Education,No,0.33567,217,641,0.29909,0.37226
1985,Direct migration background,No answer / don't know,Yes,0.66820,43,43,0.52579,0.81060
1985,Direct migration background,Primary Level,Yes,0.63042,487,745,0.59573,0.66510
1985,Direct migration background,Primary Level,No,0.36958,258,745,0.33490,0.40427
1985,Direct migration background,Lower Secondary Level,Yes,0.68472,567,911,0.65453,0.71491
1985,Direct migration background,Lower Secondary Level,No,0.31528,344,911,0.28509,0.34547
1985,Direct migration background,Upper Secondary Level,Yes,0.67933,574,905,0.64890,0.70975
1985,Direct migration background,Upper Secondary Level,No,0.32067,331,905,0.29025,0.35110
1985,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.64671,67,101,0.55303,0.74040
1985,Direct migration background,Post-secondary Non-tertiary Level,No,0.35329,34,101,0.25960,0.44697
1985,Direct migration background,First Stage of Tertiary Education,Yes,0.69896,31,31,0.53481,0.86311
1985,Direct migration background,Second Stage of Tertiary Education,Yes,0.60459,61,110,0.51280,0.69638
