year,pgisced97,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Yes,0.46712,50,95,0.36626,0.56798
1984,Pre-primary Level,male,No,0.49874,45,95,0.39767,0.59982
1984,Pre-primary Level,female,Yes,0.56606,51,92,0.46423,0.66789
1984,Pre-primary Level,female,No,0.39672,41,92,0.29621,0.49724
1984,Primary Level,male,Yes,0.59513,229,411,0.54762,0.64265
1984,Primary Level,male,No,0.40392,182,411,0.35642,0.45142
1984,Primary Level,female,Yes,0.70825,401,588,0.67148,0.74502
1984,Primary Level,female,No,0.29175,187,588,0.25498,0.32852
1984,Lower Secondary Level,male,Yes,0.58163,640,1143,0.55302,0.61024
1984,Lower Secondary Level,male,No,0.41703,503,1143,0.38843,0.44563
1984,Lower Secondary Level,female,Yes,0.78095,1726,2305,0.76406,0.79784
1984,Lower Secondary Level,female,No,0.21800,579,2305,0.20114,0.23485
1984,Upper Secondary Level,male,Yes,0.63469,1952,3159,0.61789,0.65148
1984,Upper Secondary Level,male,No,0.36531,1207,3159,0.34852,0.38211
1984,Upper Secondary Level,female,Yes,0.79178,1971,2547,0.77601,0.80755
1984,Upper Secondary Level,female,No,0.20822,576,2547,0.19245,0.22399
1984,Post-secondary Non-tertiary Level,male,Yes,0.60197,111,193,0.53273,0.67121
1984,Post-secondary Non-tertiary Level,male,No,0.39803,82,193,0.32879,0.46727
1984,Post-secondary Non-tertiary Level,female,Yes,0.82388,88,88,0.74384,0.90393
1984,First Stage of Tertiary Education,male,Yes,0.71446,273,384,0.66922,0.75969
1984,First Stage of Tertiary Education,male,No,0.28554,111,384,0.24031,0.33078
1984,First Stage of Tertiary Education,female,Yes,0.81163,219,275,0.76533,0.85793
1984,First Stage of Tertiary Education,female,No,0.18837,56,275,0.14207,0.23467
1984,Second Stage of Tertiary Education,male,Yes,0.62262,330,535,0.58151,0.66373
1984,Second Stage of Tertiary Education,male,No,0.37738,205,535,0.33627,0.41849
1984,Second Stage of Tertiary Education,female,Yes,0.79305,193,255,0.74323,0.84287
1984,Second Stage of Tertiary Education,female,No,0.20695,62,255,0.15713,0.25677
1985,Pre-primary Level,male,Yes,0.55124,61,112,0.45871,0.64377
1985,Pre-primary Level,male,No,0.44543,51,112,0.35297,0.53789
1985,Pre-primary Level,female,Yes,0.68147,50,50,0.55102,0.81193
1985,Primary Level,male,Yes,0.60310,210,346,0.55148,0.65473
1985,Primary Level,male,No,0.39690,136,346,0.34527,0.44852
1985,Primary Level,female,Yes,0.71944,339,488,0.67954,0.75934
1985,Primary Level,female,No,0.28056,149,488,0.24066,0.32046
1985,Lower Secondary Level,male,Yes,0.63684,618,1026,0.60740,0.66628
1985,Lower Secondary Level,male,No,0.36295,408,1026,0.33352,0.39239
1985,Lower Secondary Level,female,Yes,0.78333,1529,2035,0.76543,0.80124
1985,Lower Secondary Level,female,No,0.21667,506,2035,0.19876,0.23457
1985,Upper Secondary Level,male,Yes,0.65711,1799,2841,0.63965,0.67457
1985,Upper Secondary Level,male,No,0.34286,1042,2841,0.32540,0.36031
1985,Upper Secondary Level,female,Yes,0.78555,1792,2340,0.76892,0.80218
1985,Upper Secondary Level,female,No,0.21445,548,2340,0.19782,0.23108
1985,Post-secondary Non-tertiary Level,male,Yes,0.67973,113,170,0.60938,0.75008
1985,Post-secondary Non-tertiary Level,male,No,0.32027,57,170,0.24992,0.39062
1985,Post-secondary Non-tertiary Level,female,Yes,0.79246,79,79,0.70245,0.88246
1985,First Stage of Tertiary Education,male,Yes,0.68243,242,360,0.63427,0.73059
