year,age_gr,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,Yes,0.63967,2127,3435,0.62361,0.65573
1984,17-29 y.,No answer / don't know,No,0.36033,1308,3435,0.34427,0.37639
1984,30-45 y.,No answer / don't know,Yes,0.64426,2483,3906,0.62924,0.65928
1984,30-45 y.,No answer / don't know,No,0.35574,1423,3906,0.34072,0.37076
1984,46-65 y.,No answer / don't know,Yes,0.74974,2598,3556,0.73550,0.76398
1984,46-65 y.,No answer / don't know,No,0.25026,958,3556,0.23602,0.26450
1984,66 and older,No answer / don't know,Yes,0.84488,1070,1267,0.82494,0.86482
1984,66 and older,No answer / don't know,No,0.15512,197,1267,0.13518,0.17506
1985,17-29 y.,Urban regions,Yes,0.65033,1550,2498,0.63163,0.66904
1985,17-29 y.,Urban regions,No,0.34967,948,2498,0.33096,0.36837
1985,17-29 y.,Rural regions,Yes,0.67286,427,642,0.63654,0.70919
1985,17-29 y.,Rural regions,No,0.32714,215,642,0.29081,0.36346
1985,30-45 y.,Urban regions,Yes,0.63603,1737,2752,0.61805,0.65401
1985,30-45 y.,Urban regions,No,0.36397,1015,2752,0.34599,0.38195
1985,30-45 y.,Rural regions,Yes,0.65280,476,723,0.61807,0.68752
1985,30-45 y.,Rural regions,No,0.34720,247,723,0.31248,0.38193
1985,46-65 y.,Urban regions,Yes,0.75688,1950,2616,0.74044,0.77332
1985,46-65 y.,Urban regions,No,0.24312,666,2616,0.22668,0.25956
1985,46-65 y.,Rural regions,Yes,0.74701,509,688,0.71450,0.77952
1985,46-65 y.,Rural regions,No,0.25299,179,688,0.22048,0.28550
1985,66 and older,Urban regions,Yes,0.85577,699,819,0.83169,0.87984
1985,66 and older,Urban regions,No,0.14423,120,819,0.12016,0.16831
1985,66 and older,Rural regions,Yes,0.86605,250,288,0.82664,0.90545
1985,66 and older,Rural regions,No,0.13395,38,288,0.09455,0.17336
1986,17-29 y.,Urban regions,Yes,0.68288,1545,2423,0.66434,0.70141
1986,17-29 y.,Urban regions,No,0.31712,878,2423,0.29859,0.33566
1986,17-29 y.,Rural regions,Yes,0.67774,425,632,0.64128,0.71421
1986,17-29 y.,Rural regions,No,0.32226,207,632,0.28579,0.35872
1986,30-45 y.,Urban regions,Yes,0.66674,1727,2597,0.64860,0.68487
1986,30-45 y.,Urban regions,No,0.33326,870,2597,0.31513,0.35140
1986,30-45 y.,Rural regions,Yes,0.66268,435,672,0.62691,0.69845
1986,30-45 y.,Rural regions,No,0.33732,237,672,0.30155,0.37309
1986,46-65 y.,Urban regions,Yes,0.76755,1936,2565,0.75120,0.78390
1986,46-65 y.,Urban regions,No,0.23245,629,2565,0.21610,0.24880
1986,46-65 y.,Rural regions,Yes,0.75636,505,663,0.72366,0.78906
1986,46-65 y.,Rural regions,No,0.24364,158,663,0.21094,0.27634
1986,66 and older,Urban regions,Yes,0.85939,655,767,0.83477,0.88400
