year,age_gr,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.63883,2127,3435,0.62277,0.65490
1984,17-29 y.,West,No,0.35986,1308,3435,0.34381,0.37591
1984,30-45 y.,West,Yes,0.64426,2483,3906,0.62924,0.65928
1984,30-45 y.,West,No,0.35574,1423,3906,0.34072,0.37076
1984,46-65 y.,West,Yes,0.74974,2598,3556,0.73550,0.76398
1984,46-65 y.,West,No,0.25026,958,3556,0.23602,0.26450
1984,66 and older,West,Yes,0.84488,1070,1267,0.82494,0.86482
1984,66 and older,West,No,0.15512,197,1267,0.13518,0.17506
1985,17-29 y.,West,Yes,0.65568,1977,3140,0.63906,0.67230
1985,17-29 y.,West,No,0.34432,1163,3140,0.32770,0.36094
1985,30-45 y.,West,Yes,0.63998,2213,3475,0.62402,0.65594
1985,30-45 y.,West,No,0.36002,1262,3475,0.34406,0.37598
1985,46-65 y.,West,Yes,0.75451,2459,3304,0.73984,0.76919
1985,46-65 y.,West,No,0.24549,845,3304,0.23081,0.26016
1985,66 and older,West,Yes,0.85855,949,1107,0.83801,0.87909
1985,66 and older,West,No,0.14145,158,1107,0.12091,0.16199
1986,17-29 y.,West,Yes,0.68153,1970,3055,0.66501,0.69806
1986,17-29 y.,West,No,0.31832,1085,3055,0.30180,0.33484
1986,30-45 y.,West,Yes,0.66580,2162,3269,0.64963,0.68197
1986,30-45 y.,West,No,0.33420,1107,3269,0.31803,0.35037
1986,46-65 y.,West,Yes,0.76494,2441,3228,0.75030,0.77957
1986,46-65 y.,West,No,0.23506,787,3228,0.22043,0.24970
1986,66 and older,West,Yes,0.86255,886,1031,0.84152,0.88358
1986,66 and older,West,No,0.13745,145,1031,0.11642,0.15848
1987,17-29 y.,West,Yes,0.67225,1920,3008,0.65547,0.68903
1987,17-29 y.,West,No,0.32701,1088,3008,0.31024,0.34377
1987,30-45 y.,West,Yes,0.64380,2041,3168,0.62713,0.66048
1987,30-45 y.,West,No,0.35620,1127,3168,0.33952,0.37287
1987,46-65 y.,West,Yes,0.76524,2395,3208,0.75057,0.77991
1987,46-65 y.,West,No,0.23476,813,3208,0.22009,0.24943
1987,66 and older,West,Yes,0.87076,922,1068,0.85063,0.89089
1987,66 and older,West,No,0.12924,146,1068,0.10911,0.14937
1988,17-29 y.,West,Yes,0.60699,1663,2864,0.58910,0.62488
1988,17-29 y.,West,No,0.39168,1201,2864,0.37380,0.40956
1988,30-45 y.,West,Yes,0.60063,1771,2942,0.58293,0.61833
1988,30-45 y.,West,No,0.39651,1171,2942,0.37883,0.41419
1988,46-65 y.,West,Yes,0.71116,2226,3099,0.69521,0.72712
1988,46-65 y.,West,No,0.28405,873,3099,0.26817,0.29993
1988,66 and older,West,Yes,0.85220,873,1030,0.83052,0.87389
1988,66 and older,West,No,0.14344,157,1030,0.12203,0.16486
1989,17-29 y.,West,Yes,0.63370,1730,2818,0.61590,0.65149
1989,17-29 y.,West,No,0.36424,1088,2818,0.34647,0.38201
1989,30-45 y.,West,Yes,0.60269,1742,2832,0.58466,0.62072
1989,30-45 y.,West,No,0.39367,1090,2832,0.37567,0.41167
1989,46-65 y.,West,Yes,0.72732,2115,2971,0.71130,0.74334
1989,46-65 y.,West,No,0.26858,856,2971,0.25264,0.28452
1989,66 and older,West,Yes,0.85483,857,1006,0.83305,0.87661
1989,66 and older,West,No,0.14020,149,1006,0.11873,0.16167
1991,17-29 y.,West,Yes,0.66330,1707,2695,0.64545,0.68114
1991,17-29 y.,West,No,0.33214,988,2695,0.31435,0.34992
1991,17-29 y.,East,Yes,0.53757,524,981,0.50635,0.56878
1991,17-29 y.,East,No,0.45898,457,981,0.42778,0.49018
1991,30-45 y.,West,Yes,0.62633,1758,2813,0.60845,0.64421
1991,30-45 y.,West,No,0.37046,1055,2813,0.35261,0.38831
1991,30-45 y.,East,Yes,0.50544,767,1484,0.47999,0.53088
1991,30-45 y.,East,No,0.49121,717,1484,0.46576,0.51665
1991,46-65 y.,West,Yes,0.74896,2103,2831,0.73298,0.76493
1991,46-65 y.,West,No,0.24315,728,2831,0.22734,0.25895
1991,46-65 y.,East,Yes,0.64978,823,1270,0.62353,0.67603
1991,46-65 y.,East,No,0.34523,447,1270,0.31907,0.37139
1991,66 and older,West,Yes,0.86597,914,1049,0.84535,0.88660
1991,66 and older,West,No,0.12902,135,1049,0.10872,0.14931
1991,66 and older,East,Yes,0.80161,314,390,0.76199,0.84124
1991,66 and older,East,No,0.19465,76,390,0.15530,0.23399
1992,17-29 y.,West,Yes,0.61772,1572,2640,0.59918,0.63626
1992,17-29 y.,West,No,0.37555,1068,2640,0.35708,0.39403
1992,17-29 y.,East,Yes,0.59511,546,909,0.56318,0.62704
1992,17-29 y.,East,No,0.39805,363,909,0.36621,0.42989
1992,30-45 y.,West,Yes,0.63171,1787,2788,0.61380,0.64962
1992,30-45 y.,West,No,0.35796,1001,2788,0.34016,0.37576
