year,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.58726,8278,12164,0.57851,0.59601
1984,West,No,0.23901,3886,12164,0.23143,0.24659
1985,West,Yes,0.60219,7598,11026,0.59306,0.61133
1985,West,No,0.23644,3428,11026,0.22850,0.24437
1986,West,Yes,0.61605,7459,10583,0.60679,0.62532
1986,West,No,0.22142,3124,10583,0.21351,0.22933
1987,West,Yes,0.61024,7278,10452,0.60089,0.61959
1987,West,No,0.22485,3174,10452,0.21684,0.23285
1988,West,Yes,0.57086,6533,9935,0.56113,0.58060
1988,West,No,0.26167,3402,9935,0.25302,0.27031
1989,West,Yes,0.58180,6444,9627,0.57195,0.59166
1989,West,No,0.25197,3183,9627,0.24329,0.26064
1991,West,Yes,0.59354,6482,9388,0.58361,0.60348
1991,West,No,0.23024,2906,9388,0.22172,0.23875
1991,East,Yes,0.49050,2428,4125,0.47524,0.50576
1991,East,No,0.31400,1697,4125,0.29983,0.32816
1992,West,Yes,0.57446,6238,9213,0.56436,0.58455
1992,West,No,0.24164,2975,9213,0.23290,0.25038
1992,East,Yes,0.55509,2627,3943,0.53958,0.57060
1992,East,No,0.25154,1316,3943,0.23799,0.26508
1994,West,Yes,0.62897,6705,9045,0.61902,0.63893
1994,West,No,0.18829,2340,9045,0.18024,0.19635
1994,East,Yes,0.66205,3027,3761,0.64693,0.67717
1994,East,No,0.15385,734,3761,0.14232,0.16538
1995,West,Yes,0.57966,6509,9516,0.56974,0.58958
1995,West,No,0.23225,3007,9516,0.22376,0.24073
1995,East,Yes,0.60787,2640,3661,0.59205,0.62368
1995,East,No,0.20849,1021,3661,0.19533,0.22165
1996,West,Yes,0.58066,6426,9241,0.57060,0.59072
1996,West,No,0.22638,2815,9241,0.21785,0.23492
1996,East,Yes,0.59407,2569,3654,0.57815,0.61000
1996,East,No,0.22723,1085,3654,0.21364,0.24082
1997,West,Yes,0.57270,6190,9154,0.56257,0.58284
1997,West,No,0.24438,2964,9154,0.23558,0.25318
1997,East,Yes,0.61521,2562,3622,0.59936,0.63106
1997,East,No,0.21814,1060,3622,0.20468,0.23159
1998,West,Yes,0.55300,6788,10280,0.54338,0.56261
1998,West,No,0.26125,3492,10280,0.25275,0.26974
1998,East,Yes,0.58882,2642,3849,0.57327,0.60437
1998,East,No,0.24504,1207,3849,0.23145,0.25863
1999,West,Yes,0.57773,6775,9837,0.56797,0.58749
1999,West,No,0.24109,3062,9837,0.23264,0.24955
1999,East,Yes,0.61637,2728,3775,0.60086,0.63189
1999,East,No,0.22740,1047,3775,0.21402,0.24077
2000,West,Yes,0.55637,12180,18190,0.54915,0.56359
2000,West,No,0.26283,6010,18190,0.25643,0.26923
2000,East,Yes,0.60481,4108,5822,0.59225,0.61737
2000,East,No,0.23995,1714,5822,0.22898,0.25092
2001,West,Yes,0.56344,11146,16426,0.55585,0.57102
2001,West,No,0.25505,5280,16426,0.24838,0.26172
2001,East,Yes,0.62037,3893,5411,0.60744,0.63330
2001,East,No,0.23284,1518,5411,0.22158,0.24411
2002,West,Yes,0.55154,11746,17541,0.54417,0.55890
2002,West,No,0.26848,5795,17541,0.26192,0.27504
2002,East,Yes,0.61666,3800,5419,0.60371,0.62961
2002,East,No,0.24618,1619,5419,0.23471,0.25765
2003,West,Yes,0.56636,11464,16726,0.55885,0.57387
2003,West,No,0.25225,5262,16726,0.24567,0.25884
