year,pgisced97,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.79693,44,44,0.67668,0.91717
1984,Pre-primary Level,West,Yes,0.53488,101,187,0.46320,0.60657
1984,Pre-primary Level,West,No,0.46512,86,187,0.39343,0.53680
1984,Primary Level,West,Yes,0.65916,630,999,0.62975,0.68856
1984,Primary Level,West,No,0.34084,369,999,0.31144,0.37025
1984,Lower Secondary Level,West,Yes,0.72990,2366,3448,0.71508,0.74472
1984,Lower Secondary Level,West,No,0.27010,1082,3448,0.25528,0.28492
1984,Upper Secondary Level,West,Yes,0.70728,3923,5706,0.69547,0.71909
1984,Upper Secondary Level,West,No,0.29272,1783,5706,0.28091,0.30453
1984,Post-secondary Non-tertiary Level,West,Yes,0.69007,199,309,0.63842,0.74172
1984,Post-secondary Non-tertiary Level,West,No,0.30993,110,309,0.25828,0.36158
1984,First Stage of Tertiary Education,West,Yes,0.75516,492,659,0.72230,0.78801
1984,First Stage of Tertiary Education,West,No,0.24484,167,659,0.21199,0.27770
1984,Second Stage of Tertiary Education,West,Yes,0.67856,523,790,0.64597,0.71115
1984,Second Stage of Tertiary Education,West,No,0.32144,267,790,0.28885,0.35403
1985,No answer / don't know,West,Yes,0.66530,76,114,0.57830,0.75231
1985,No answer / don't know,West,No,0.33470,38,114,0.24769,0.42170
1985,Pre-primary Level,West,Yes,0.60353,111,187,0.53323,0.67383
1985,Pre-primary Level,West,No,0.39647,76,187,0.32617,0.46677
1985,Primary Level,West,Yes,0.66544,549,834,0.63340,0.69749
1985,Primary Level,West,No,0.33456,285,834,0.30251,0.36660
1985,Lower Secondary Level,West,Yes,0.74525,2147,3061,0.72981,0.76069
1985,Lower Secondary Level,West,No,0.25475,914,3061,0.23931,0.27019
1985,Upper Secondary Level,West,Yes,0.71722,3591,5181,0.70495,0.72948
1985,Upper Secondary Level,West,No,0.28278,1590,5181,0.27052,0.29505
1985,Post-secondary Non-tertiary Level,West,Yes,0.72471,192,275,0.67182,0.77760
1985,Post-secondary Non-tertiary Level,West,No,0.27529,83,275,0.22240,0.32818
1985,First Stage of Tertiary Education,West,Yes,0.72577,443,619,0.69059,0.76094
1985,First Stage of Tertiary Education,West,No,0.27423,176,619,0.23906,0.30941
1985,Second Stage of Tertiary Education,West,Yes,0.66161,489,755,0.62783,0.69538
1985,Second Stage of Tertiary Education,West,No,0.33839,266,755,0.30462,0.37217
1986,No answer / don't know,West,Yes,0.70003,82,113,0.61516,0.78490
1986,No answer / don't know,West,No,0.29997,31,113,0.21510,0.38484
1986,Pre-primary Level,West,Yes,0.64014,114,188,0.57135,0.70893
1986,Pre-primary Level,West,No,0.35986,74,188,0.29107,0.42865
1986,Primary Level,West,Yes,0.69360,516,778,0.66118,0.72601
1986,Primary Level,West,No,0.30640,262,778,0.27399,0.33882
1986,Lower Secondary Level,West,Yes,0.76403,2091,2907,0.74859,0.77947
