year,pgisced97,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,No answer / don't know,Yes,0.79693,44,44,0.67668,0.91717
1984,Pre-primary Level,No answer / don't know,Yes,0.53488,101,187,0.46320,0.60657
1984,Pre-primary Level,No answer / don't know,No,0.46512,86,187,0.39343,0.53680
1984,Primary Level,No answer / don't know,Yes,0.65916,630,999,0.62975,0.68856
1984,Primary Level,No answer / don't know,No,0.34084,369,999,0.31144,0.37025
1984,Lower Secondary Level,No answer / don't know,Yes,0.72990,2366,3448,0.71508,0.74472
1984,Lower Secondary Level,No answer / don't know,No,0.27010,1082,3448,0.25528,0.28492
1984,Upper Secondary Level,No answer / don't know,Yes,0.70728,3923,5706,0.69547,0.71909
1984,Upper Secondary Level,No answer / don't know,No,0.29272,1783,5706,0.28091,0.30453
1984,Post-secondary Non-tertiary Level,No answer / don't know,Yes,0.69007,199,309,0.63842,0.74172
1984,Post-secondary Non-tertiary Level,No answer / don't know,No,0.30993,110,309,0.25828,0.36158
1984,First Stage of Tertiary Education,No answer / don't know,Yes,0.75516,492,659,0.72230,0.78801
1984,First Stage of Tertiary Education,No answer / don't know,No,0.24484,167,659,0.21199,0.27770
1984,Second Stage of Tertiary Education,No answer / don't know,Yes,0.67856,523,790,0.64597,0.71115
1984,Second Stage of Tertiary Education,No answer / don't know,No,0.32144,267,790,0.28885,0.35403
1985,No answer / don't know,Urban regions,Yes,0.64654,63,98,0.55141,0.74167
1985,No answer / don't know,Urban regions,No,0.35346,35,98,0.25833,0.44859
1985,Pre-primary Level,Urban regions,Yes,0.62495,91,150,0.54721,0.70269
1985,Pre-primary Level,Urban regions,No,0.37505,59,150,0.29731,0.45279
1985,Primary Level,Urban regions,Yes,0.63889,468,727,0.60395,0.67383
1985,Primary Level,Urban regions,No,0.36111,259,727,0.32617,0.39605
1985,Primary Level,Rural regions,Yes,0.75997,81,81,0.66638,0.85357
1985,Lower Secondary Level,Urban regions,Yes,0.74284,1618,2320,0.72505,0.76063
1985,Lower Secondary Level,Urban regions,No,0.25716,702,2320,0.23937,0.27495
1985,Lower Secondary Level,Rural regions,Yes,0.75130,529,741,0.72016,0.78245
1985,Lower Secondary Level,Rural regions,No,0.24870,212,741,0.21755,0.27984
1985,Upper Secondary Level,Urban regions,Yes,0.71538,2782,4042,0.70146,0.72929
1985,Upper Secondary Level,Urban regions,No,0.28462,1260,4042,0.27071,0.29854
1985,Upper Secondary Level,Rural regions,Yes,0.72312,809,1139,0.69712,0.74912
1985,Upper Secondary Level,Rural regions,No,0.27688,330,1139,0.25088,0.30288
1985,Post-secondary Non-tertiary Level,Urban regions,Yes,0.72121,160,231,0.66326,0.77916
1985,Post-secondary Non-tertiary Level,Urban regions,No,0.27879,71,231,0.22084,0.33674
1985,Post-secondary Non-tertiary Level,Rural regions,Yes,0.74123,32,32,0.58706,0.89541
1985,First Stage of Tertiary Education,Urban regions,Yes,0.73447,350,484,0.69509,0.77386
1985,First Stage of Tertiary Education,Urban regions,No,0.26553,134,484,0.22614,0.30491
1985,First Stage of Tertiary Education,Rural regions,Yes,0.69699,93,135,0.61917,0.77480
1985,First Stage of Tertiary Education,Rural regions,No,0.30301,42,135,0.22520,0.38083
1985,Second Stage of Tertiary Education,Urban regions,Yes,0.65009,404,633,0.61290,0.68727
1985,Second Stage of Tertiary Education,Urban regions,No,0.34991,229,633,0.31273,0.38710
1985,Second Stage of Tertiary Education,Rural regions,Yes,0.71512,85,122,0.63469,0.79554
1985,Second Stage of Tertiary Education,Rural regions,No,0.28488,37,122,0.20446,0.36531
1986,No answer / don't know,Urban regions,Yes,0.68293,67,67,0.57066,0.79520
1986,Pre-primary Level,Urban regions,Yes,0.62302,96,165,0.54885,0.69719
1986,Pre-primary Level,Urban regions,No,0.37698,69,165,0.30281,0.45115
1986,Primary Level,Urban regions,Yes,0.68216,444,673,0.64695,0.71736
1986,Primary Level,Urban regions,No,0.31784,229,673,0.28264,0.35305
1986,Primary Level,Rural regions,Yes,0.73217,72,105,0.64706,0.81728
1986,Primary Level,Rural regions,No,0.26783,33,105,0.18272,0.35294
1986,Lower Secondary Level,Urban regions,Yes,0.76683,1577,2206,0.74918,0.78448
1986,Lower Secondary Level,Urban regions,No,0.23317,629,2206,0.21552,0.25082
1986,Lower Secondary Level,Rural regions,Yes,0.75686,514,701,0.72508,0.78864
1986,Lower Secondary Level,Rural regions,No,0.24314,187,701,0.21136,0.27492
1986,Upper Secondary Level,Urban regions,Yes,0.72726,2740,3904,0.71328,0.74123
1986,Upper Secondary Level,Urban regions,No,0.27274,1164,3904,0.25877,0.28672
1986,Upper Secondary Level,Rural regions,Yes,0.72953,781,1089,0.70313,0.75592
1986,Upper Secondary Level,Rural regions,No,0.27047,308,1089,0.24408,0.29687
1986,Post-secondary Non-tertiary Level,Urban regions,Yes,0.75993,165,228,0.70436,0.81549
1986,Post-secondary Non-tertiary Level,Urban regions,No,0.24007,63,228,0.18451,0.29564
1986,Post-secondary Non-tertiary Level,Rural regions,Yes,0.75251,32,32,0.60059,0.90443
1986,First Stage of Tertiary Education,Urban regions,Yes,0.78096,351,457,0.74300,0.81892
1986,First Stage of Tertiary Education,Urban regions,No,0.21904,106,457,0.18108,0.25700
1986,First Stage of Tertiary Education,Rural regions,Yes,0.74254,87,124,0.66526,0.81981
1986,First Stage of Tertiary Education,Rural regions,No,0.25746,37,124,0.18019,0.33474
1986,Second Stage of Tertiary Education,Urban regions,Yes,0.69241,423,624,0.65617,0.72865
1986,Second Stage of Tertiary Education,Urban regions,No,0.30759,201,624,0.27135,0.34383
1986,Second Stage of Tertiary Education,Rural regions,Yes,0.64895,77,125,0.56494,0.73296
1986,Second Stage of Tertiary Education,Rural regions,No,0.35105,48,125,0.26704,0.43506
1987,No answer / don't know,Urban regions,Yes,0.70478,67,105,0.61711,0.79245
1987,No answer / don't know,Urban regions,No,0.29522,38,105,0.20755,0.38289
1987,Pre-primary Level,Urban regions,Yes,0.63311,92,165,0.55934,0.70687
1987,Pre-primary Level,Urban regions,No,0.36689,73,165,0.29313,0.44066
1987,Primary Level,Urban regions,Yes,0.67110,422,650,0.63495,0.70724
1987,Primary Level,Urban regions,No,0.32890,228,650,0.29276,0.36505
1987,Primary Level,Rural regions,Yes,0.82824,80,80,0.74506,0.91141
1987,Lower Secondary Level,Urban regions,Yes,0.75164,1501,2165,0.73344,0.76985
1987,Lower Secondary Level,Urban regions,No,0.24836,664,2165,0.23015,0.26656
1987,Lower Secondary Level,Rural regions,Yes,0.77744,488,671,0.74594,0.80893
1987,Lower Secondary Level,Rural regions,No,0.22256,183,671,0.19107,0.25406
1987,Upper Secondary Level,Urban regions,Yes,0.72966,2724,3863,0.71565,0.74366
1987,Upper Secondary Level,Urban regions,No,0.27034,1139,3863,0.25634,0.28435
1987,Upper Secondary Level,Rural regions,Yes,0.70725,761,1107,0.68043,0.73407
1987,Upper Secondary Level,Rural regions,No,0.29275,346,1107,0.26593,0.31957
1987,Post-secondary Non-tertiary Level,Urban regions,Yes,0.73506,161,233,0.67828,0.79185
1987,Post-secondary Non-tertiary Level,Urban regions,No,0.26494,72,233,0.20815,0.32172
1987,First Stage of Tertiary Education,Urban regions,Yes,0.77957,351,446,0.74106,0.81809
1987,First Stage of Tertiary Education,Urban regions,No,0.22043,95,446,0.18191,0.25894
1987,First Stage of Tertiary Education,Rural regions,Yes,0.71052,84,119,0.62869,0.79235
1987,First Stage of Tertiary Education,Rural regions,No,0.28948,35,119,0.20765,0.37131
1987,Second Stage of Tertiary Education,Urban regions,Yes,0.66167,396,618,0.62434,0.69900
1987,Second Stage of Tertiary Education,Urban regions,No,0.33833,222,618,0.30100,0.37566
1987,Second Stage of Tertiary Education,Rural regions,Yes,0.73498,86,124,0.65698,0.81298
1987,Second Stage of Tertiary Education,Rural regions,No,0.26502,38,124,0.18702,0.34302
