year,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Yes,0.58726,8278,12164,0.57851,0.59601
1984,No,0.23901,3886,12164,0.23143,0.24659
1985,Yes,0.60219,7598,11026,0.59306,0.61133
1985,No,0.23644,3428,11026,0.22850,0.24437
1986,Yes,0.61605,7459,10583,0.60679,0.62532
1986,No,0.22142,3124,10583,0.21351,0.22933
1987,Yes,0.61024,7278,10452,0.60089,0.61959
1987,No,0.22485,3174,10452,0.21684,0.23285
1988,Yes,0.57086,6533,9935,0.56113,0.58060
1988,No,0.26167,3402,9935,0.25302,0.27031
1989,Yes,0.58180,6444,9627,0.57195,0.59166
1989,No,0.25197,3183,9627,0.24329,0.26064
1991,Yes,0.57214,8910,13513,0.56380,0.58048
1991,No,0.24764,4603,13513,0.24036,0.25491
1992,Yes,0.57051,8865,13156,0.56205,0.57896
1992,No,0.24366,4291,13156,0.23632,0.25100
1994,Yes,0.63556,9732,12806,0.62722,0.64389
1994,No,0.18144,3074,12806,0.17476,0.18811
1995,Yes,0.58510,9149,13177,0.57669,0.59352
1995,No,0.22766,4028,13177,0.22050,0.23482
1996,Yes,0.58320,8995,12895,0.57469,0.59171
1996,No,0.22654,3900,12895,0.21932,0.23377
1997,Yes,0.58069,8752,12776,0.57213,0.58924
1997,No,0.23945,4024,12776,0.23205,0.24685
1998,Yes,0.55978,9430,14129,0.55160,0.56797
1998,No,0.25818,4699,14129,0.25096,0.26539
1999,Yes,0.58488,9503,13612,0.57661,0.59316
1999,No,0.23856,4109,13612,0.23140,0.24572
2000,Yes,0.56540,16288,24012,0.55913,0.57167
2000,No,0.25857,7724,24012,0.25303,0.26410
2001,Yes,0.57386,15039,21837,0.56730,0.58042
2001,No,0.25098,6798,21837,0.24523,0.25673
2002,Yes,0.56340,15546,22960,0.55699,0.56982
2002,No,0.26441,7414,22960,0.25871,0.27012
2003,Yes,0.57772,15291,22048,0.57120,0.58424
2003,No,0.24921,6757,22048,0.24350,0.25492
2004,Yes,0.57164,14588,21532,0.56503,0.57825
2004,No,0.26111,6944,21532,0.25524,0.26698
2005,Yes,0.58162,14261,20596,0.57488,0.58835
2005,No,0.25340,6335,20596,0.24746,0.25934
2006,Yes,0.57043,15007,21923,0.56388,0.57698
2006,No,0.26133,6916,21923,0.25552,0.26715
2007,Yes,0.58418,14376,20415,0.57742,0.59094
2007,No,0.24594,6039,20415,0.24003,0.25185
2008,Yes,0.58741,13588,19227,0.58045,0.59437
2008,No,0.24678,5639,19227,0.24069,0.25288
2009,Yes,0.59925,13011,17935,0.59208,0.60642
2009,No,0.23990,4924,17935,0.23365,0.24615
2010,Yes,0.59300,16402,23818,0.58676,0.59924
2010,No,0.24421,7416,23818,0.23875,0.24966
2011,Yes,0.60121,19990,28312,0.59551,0.60691
2011,No,0.23363,8322,28312,0.22870,0.23856
2012,Yes,0.59780,19496,27531,0.59201,0.60359
2012,No,0.23792,8035,27531,0.23289,0.24295
2013,Yes,0.57402,18651,25645,0.56797,0.58007
2013,No,0.19546,6994,25645,0.19061,0.20032
2014,Yes,0.60185,18955,26980,0.59601,0.60769
2014,No,0.23831,8025,26980,0.23323,0.24340
2015,Yes,0.59297,17606,24960,0.58688,0.59907
2015,No,0.22813,7354,24960,0.22293,0.23334
2016,Yes,0.58931,16731,24055,0.58310,0.59553
2016,No,0.23933,7324,24055,0.23394,0.24472
2017,Yes,0.60573,18923,26344,0.59983,0.61163
2017,No,0.22135,7421,26344,0.21633,0.22636
2018,Yes,0.60239,18291,25504,0.59638,0.60839
2018,No,0.22879,7213,25504,0.22363,0.23395
2019,Yes,0.60792,18465,25655,0.60194,0.61389
2019,No,0.21988,7190,25655,0.21481,0.22495
2020,Yes,0.56417,18357,28295,0.55840,0.56995
2020,No,0.26405,9938,28295,0.25891,0.26919
2021,Yes,0.59326,12351,17145,0.58591,0.60061
2021,No,0.22890,4794,17145,0.22261,0.23519
2022,Yes,0.49511,17277,25521,0.48897,0.50124
2022,No,0.22372,8244,25521,0.21860,0.22883
