year,migback,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,No answer / don't know,Yes,0.71658,6139,8669,0.70710,0.72607
1984,No migration background,No answer / don't know,No,0.28342,2530,8669,0.27393,0.29290
1984,Direct migration background,No answer / don't know,Yes,0.65612,2067,3369,0.64008,0.67216
1984,Direct migration background,No answer / don't know,No,0.34388,1302,3369,0.32784,0.35992
1984,Indirect migration background,No answer / don't know,Yes,0.67390,72,126,0.59172,0.75608
1984,Indirect migration background,No answer / don't know,No,0.32610,54,126,0.24392,0.40828
1985,No migration background,Urban regions,Yes,0.72223,4267,6007,0.71091,0.73356
1985,No migration background,Urban regions,No,0.27777,1740,6007,0.26644,0.28909
1985,No migration background,Rural regions,Yes,0.72660,1409,1972,0.70693,0.74628
1985,No migration background,Rural regions,No,0.27340,563,1972,0.25372,0.29307
1985,Direct migration background,Urban regions,Yes,0.65194,1596,2555,0.63346,0.67041
1985,Direct migration background,Urban regions,No,0.34806,959,2555,0.32959,0.36654
1985,Direct migration background,Rural regions,Yes,0.75605,242,351,0.71106,0.80104
1985,Direct migration background,Rural regions,No,0.24395,109,351,0.19896,0.28894
1985,Indirect migration background,Urban regions,Yes,0.72894,73,123,0.65006,0.80781
1985,Indirect migration background,Urban regions,No,0.27106,50,123,0.19219,0.34994
1986,No migration background,Urban regions,Yes,0.73932,4182,5756,0.72798,0.75066
1986,No migration background,Urban regions,No,0.26068,1574,5756,0.24934,0.27202
1986,No migration background,Rural regions,Yes,0.73675,1338,1849,0.71667,0.75683
1986,No migration background,Rural regions,No,0.26325,511,1849,0.24317,0.28333
1986,Direct migration background,Urban regions,Yes,0.70360,1600,2463,0.68556,0.72164
1986,Direct migration background,Urban regions,No,0.29640,863,2463,0.27836,0.31444
1986,Direct migration background,Rural regions,Yes,0.71267,245,362,0.66598,0.75935
1986,Direct migration background,Rural regions,No,0.28733,117,362,0.24065,0.33402
1986,Indirect migration background,Urban regions,Yes,0.80395,81,133,0.73623,0.87168
1986,Indirect migration background,Urban regions,No,0.19605,52,133,0.12832,0.26377
1987,No migration background,Urban regions,Yes,0.73777,4083,5651,0.72630,0.74924
1987,No migration background,Urban regions,No,0.26223,1568,5651,0.25076,0.27370
1987,No migration background,Rural regions,Yes,0.73409,1298,1815,0.71376,0.75442
1987,No migration background,Rural regions,No,0.26591,517,1815,0.24558,0.28624
1987,Direct migration background,Urban regions,Yes,0.67080,1547,2443,0.65217,0.68944
