year,age_gr,pgisced97,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Yes,0.53488,101,187,0.46320,0.60657
1984,17-29 y.,Pre-primary Level,No,0.46512,86,187,0.39343,0.53680
1984,17-29 y.,Primary Level,Yes,0.66594,117,206,0.60138,0.73051
1984,17-29 y.,Primary Level,No,0.33406,89,206,0.26949,0.39862
1984,17-29 y.,Lower Secondary Level,Yes,0.62465,630,1046,0.59529,0.65401
1984,17-29 y.,Lower Secondary Level,No,0.37535,416,1046,0.34599,0.40471
1984,17-29 y.,Upper Secondary Level,Yes,0.64963,1022,1603,0.62627,0.67300
1984,17-29 y.,Upper Secondary Level,No,0.35037,581,1603,0.32700,0.37373
1984,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.64590,76,125,0.56172,0.73007
1984,17-29 y.,Post-secondary Non-tertiary Level,No,0.35410,49,125,0.26993,0.43828
1984,17-29 y.,First Stage of Tertiary Education,Yes,0.74444,92,125,0.66767,0.82121
1984,17-29 y.,First Stage of Tertiary Education,No,0.25556,33,125,0.17879,0.33233
1984,17-29 y.,Second Stage of Tertiary Education,Yes,0.63352,81,128,0.54972,0.71732
1984,17-29 y.,Second Stage of Tertiary Education,No,0.36648,47,128,0.28268,0.45028
1984,30-45 y.,Primary Level,Yes,0.61328,241,399,0.56543,0.66113
1984,30-45 y.,Primary Level,No,0.38672,158,399,0.33887,0.43457
1984,30-45 y.,Lower Secondary Level,Yes,0.62506,503,804,0.59158,0.65855
1984,30-45 y.,Lower Secondary Level,No,0.37494,301,804,0.34145,0.40842
1984,30-45 y.,Upper Secondary Level,Yes,0.64994,1261,1950,0.62877,0.67112
1984,30-45 y.,Upper Secondary Level,No,0.35006,689,1950,0.32888,0.37123
1984,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.75009,63,99,0.66437,0.83581
1984,30-45 y.,Post-secondary Non-tertiary Level,No,0.24991,36,99,0.16419,0.33563
1984,30-45 y.,First Stage of Tertiary Education,Yes,0.66421,166,248,0.60531,0.72310
1984,30-45 y.,First Stage of Tertiary Education,No,0.33579,82,248,0.27690,0.39469
1984,30-45 y.,Second Stage of Tertiary Education,Yes,0.61994,231,378,0.57094,0.66894
1984,30-45 y.,Second Stage of Tertiary Education,No,0.38006,147,378,0.33106,0.42906
1984,46-65 y.,Primary Level,Yes,0.67781,259,379,0.63070,0.72492
1984,46-65 y.,Primary Level,No,0.32219,120,379,0.27508,0.36930
1984,46-65 y.,Lower Secondary Level,Yes,0.75734,794,1084,0.73181,0.78287
1984,46-65 y.,Lower Secondary Level,No,0.24266,290,1084,0.21713,0.26819
1984,46-65 y.,Upper Secondary Level,Yes,0.74138,1158,1583,0.71981,0.76296
1984,46-65 y.,Upper Secondary Level,No,0.25862,425,1583,0.23704,0.28019
1984,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.64013,42,42,0.49322,0.78705
1984,46-65 y.,First Stage of Tertiary Education,Yes,0.81948,165,203,0.76644,0.87252
1984,46-65 y.,First Stage of Tertiary Education,No,0.18052,38,203,0.12748,0.23356
