year,regtyp,sex,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,male,Yes,0.62733,3603,5953,0.61505,0.63962
1984,No answer / don't know,male,No,0.37267,2350,5953,0.36038,0.38495
1984,No answer / don't know,female,Yes,0.78463,4675,6211,0.77441,0.79485
1984,No answer / don't know,female,No,0.21537,1536,6211,0.20515,0.22559
1985,Urban regions,male,Yes,0.64055,2629,4266,0.62614,0.65495
1985,Urban regions,male,No,0.35945,1637,4266,0.34505,0.37386
1985,Urban regions,female,Yes,0.78052,3307,4419,0.76831,0.79272
1985,Urban regions,female,No,0.21948,1112,4419,0.20728,0.23169
1985,Rural regions,male,Yes,0.66614,746,1148,0.63885,0.69344
1985,Rural regions,male,No,0.33386,402,1148,0.30656,0.36115
1985,Rural regions,female,Yes,0.78409,916,1193,0.76073,0.80744
1985,Rural regions,female,No,0.21591,277,1193,0.19256,0.23927
1986,Urban regions,male,Yes,0.65943,2622,4140,0.64499,0.67387
1986,Urban regions,male,No,0.34057,1518,4140,0.32613,0.35501
1986,Urban regions,female,Yes,0.80428,3241,4212,0.79230,0.81627
1986,Urban regions,female,No,0.19572,971,4212,0.18373,0.20770
1986,Rural regions,male,Yes,0.65172,691,1091,0.62343,0.68000
1986,Rural regions,male,No,0.34828,400,1091,0.32000,0.37657
1986,Rural regions,female,Yes,0.80978,905,1140,0.78699,0.83257
1986,Rural regions,female,No,0.19022,235,1140,0.16743,0.21301
1987,Urban regions,male,Yes,0.65348,2547,4100,0.63891,0.66805
1987,Urban regions,male,No,0.34652,1553,4100,0.33195,0.36109
1987,Urban regions,female,Yes,0.79813,3167,4145,0.78591,0.81035
1987,Urban regions,female,No,0.20187,978,4145,0.18965,0.21409
1987,Rural regions,male,Yes,0.66930,693,1072,0.64112,0.69748
1987,Rural regions,male,No,0.33070,379,1072,0.30252,0.35888
1987,Rural regions,female,Yes,0.79234,871,1135,0.76873,0.81594
1987,Rural regions,female,No,0.20766,264,1135,0.18406,0.23127
1988,Urban regions,male,Yes,0.61530,2297,3912,0.60005,0.63055
1988,Urban regions,male,No,0.38470,1615,3912,0.36945,0.39995
1988,Urban regions,female,Yes,0.74864,2884,3968,0.73515,0.76214
