year,pgisced97,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Pre-primary Level,Urban regions,Yes,0.11068,51,229,0.06995,0.15140
2011,Pre-primary Level,Urban regions,No,0.37520,178,229,0.31235,0.43805
2011,Pre-primary Level,Rural regions,No,0.32718,65,65,0.21223,0.44213
2011,Primary Level,Urban regions,Yes,0.53836,100,161,0.46111,0.61561
2011,Primary Level,Urban regions,No,0.30502,61,161,0.23367,0.37636
2011,Primary Level,Rural regions,Yes,0.67530,49,49,0.54282,0.80777
2011,Lower Secondary Level,Urban regions,Yes,0.59194,896,1394,0.56613,0.61775
2011,Lower Secondary Level,Urban regions,No,0.29231,498,1394,0.26843,0.31620
2011,Lower Secondary Level,Rural regions,Yes,0.57490,493,751,0.53952,0.61028
2011,Lower Secondary Level,Rural regions,No,0.30562,258,751,0.27265,0.33859
2011,Upper Secondary Level,Urban regions,Yes,0.58363,3959,6328,0.57148,0.59577
2011,Upper Secondary Level,Urban regions,No,0.33683,2369,6328,0.32519,0.34848
2011,Upper Secondary Level,Rural regions,Yes,0.59742,2570,4046,0.58231,0.61253
2011,Upper Secondary Level,Rural regions,No,0.31104,1476,4046,0.29677,0.32531
2011,Post-secondary Non-tertiary Level,Urban regions,Yes,0.48806,458,860,0.45464,0.52149
2011,Post-secondary Non-tertiary Level,Urban regions,No,0.36634,402,860,0.33412,0.39856
2011,Post-secondary Non-tertiary Level,Rural regions,Yes,0.44102,161,323,0.38679,0.49525
2011,Post-secondary Non-tertiary Level,Rural regions,No,0.42452,162,323,0.37054,0.47851
2011,First Stage of Tertiary Education,Urban regions,Yes,0.62493,558,850,0.59236,0.65749
2011,First Stage of Tertiary Education,Urban regions,No,0.29124,292,850,0.26067,0.32180
2011,First Stage of Tertiary Education,Rural regions,Yes,0.63516,366,571,0.59564,0.67468
2011,First Stage of Tertiary Education,Rural regions,No,0.28055,205,571,0.24367,0.31744
2011,Second Stage of Tertiary Education,Urban regions,Yes,0.49273,1792,3192,0.47539,0.51008
2011,Second Stage of Tertiary Education,Urban regions,No,0.39929,1400,3192,0.38230,0.41629
2011,Second Stage of Tertiary Education,Rural regions,Yes,0.57777,858,1340,0.55132,0.60423
2011,Second Stage of Tertiary Education,Rural regions,No,0.34092,482,1340,0.31553,0.36631
2013,Pre-primary Level,Urban regions,Yes,0.10810,46,182,0.06287,0.15334
2013,Pre-primary Level,Urban regions,No,0.29563,136,182,0.22915,0.36211
2013,Pre-primary Level,Rural regions,No,0.23408,60,60,0.12603,0.34212
2013,Primary Level,Urban regions,Yes,0.40013,83,123,0.31319,0.48707
2013,Primary Level,Urban regions,No,0.15797,40,123,0.09325,0.22268
2013,Primary Level,Rural regions,Yes,0.49822,49,49,0.35677,0.63967
2013,Lower Secondary Level,Urban regions,Yes,0.52637,819,1200,0.49811,0.55463
2013,Lower Secondary Level,Urban regions,No,0.20235,381,1200,0.17961,0.22509
2013,Lower Secondary Level,Rural regions,Yes,0.56669,456,638,0.52821,0.60517
2013,Lower Secondary Level,Rural regions,No,0.23711,182,638,0.20408,0.27014
2013,Upper Secondary Level,Urban regions,Yes,0.58499,3709,5594,0.57207,0.59790
2013,Upper Secondary Level,Urban regions,No,0.27207,1885,5594,0.26040,0.28373
2013,Upper Secondary Level,Rural regions,Yes,0.59360,2507,3742,0.57786,0.60934
2013,Upper Secondary Level,Rural regions,No,0.28973,1235,3742,0.27519,0.30426
2013,Post-secondary Non-tertiary Level,Urban regions,Yes,0.46777,453,777,0.43267,0.50288
2013,Post-secondary Non-tertiary Level,Urban regions,No,0.27111,324,777,0.23983,0.30238
2013,Post-secondary Non-tertiary Level,Rural regions,Yes,0.42374,152,307,0.36838,0.47911
2013,Post-secondary Non-tertiary Level,Rural regions,No,0.36780,155,307,0.31377,0.42183
2013,First Stage of Tertiary Education,Urban regions,Yes,0.59926,526,779,0.56482,0.63369
2013,First Stage of Tertiary Education,Urban regions,No,0.31648,253,779,0.28380,0.34916
2013,First Stage of Tertiary Education,Rural regions,Yes,0.67495,365,531,0.63508,0.71483
2013,First Stage of Tertiary Education,Rural regions,No,0.24867,166,531,0.21187,0.28547
2013,Second Stage of Tertiary Education,Urban regions,Yes,0.50085,1887,3131,0.48333,0.51836
2013,Second Stage of Tertiary Education,Urban regions,No,0.33150,1244,3131,0.31501,0.34799
2013,Second Stage of Tertiary Education,Rural regions,Yes,0.57170,849,1284,0.54462,0.59878
2013,Second Stage of Tertiary Education,Rural regions,No,0.29780,435,1284,0.27278,0.32283
2015,Pre-primary Level,Urban regions,Yes,0.12279,61,231,0.08037,0.16520
2015,Pre-primary Level,Urban regions,No,0.36221,170,231,0.30009,0.42433
2015,Pre-primary Level,Rural regions,No,0.43026,87,87,0.32562,0.53490
2015,Primary Level,Urban regions,Yes,0.58480,166,276,0.52656,0.64304
2015,Primary Level,Urban regions,No,0.30123,110,276,0.24701,0.35546
2015,Primary Level,Rural regions,Yes,0.65833,80,130,0.57649,0.74018
2015,Primary Level,Rural regions,No,0.29119,50,130,0.21279,0.36959
2015,Lower Secondary Level,Urban regions,Yes,0.61362,1021,1737,0.59072,0.63653
2015,Lower Secondary Level,Urban regions,No,0.32878,716,1737,0.30668,0.35088
2015,Lower Secondary Level,Rural regions,Yes,0.58991,541,909,0.55791,0.62190
2015,Lower Secondary Level,Rural regions,No,0.34200,368,909,0.31114,0.37285
2015,Upper Secondary Level,Urban regions,Yes,0.63906,4312,6938,0.62776,0.65037
2015,Upper Secondary Level,Urban regions,No,0.33544,2626,6938,0.32433,0.34655
2015,Upper Secondary Level,Rural regions,Yes,0.67182,2933,4614,0.65827,0.68537
2015,Upper Secondary Level,Rural regions,No,0.30345,1681,4614,0.29018,0.31672
2015,Post-secondary Non-tertiary Level,Urban regions,Yes,0.50992,725,1402,0.48375,0.53610
2015,Post-secondary Non-tertiary Level,Urban regions,No,0.44268,677,1402,0.41667,0.46869
2015,Post-secondary Non-tertiary Level,Rural regions,Yes,0.50076,278,534,0.45831,0.54320
2015,Post-secondary Non-tertiary Level,Rural regions,No,0.45670,256,534,0.41441,0.49899
2015,First Stage of Tertiary Education,Urban regions,Yes,0.63670,583,900,0.60526,0.66814
2015,First Stage of Tertiary Education,Urban regions,No,0.34616,317,900,0.31507,0.37726
2015,First Stage of Tertiary Education,Rural regions,Yes,0.66607,398,602,0.62837,0.70378
2015,First Stage of Tertiary Education,Rural regions,No,0.31978,204,602,0.28250,0.35707
2015,Second Stage of Tertiary Education,Urban regions,Yes,0.55044,2296,4172,0.53534,0.56554
2015,Second Stage of Tertiary Education,Urban regions,No,0.39433,1876,4172,0.37950,0.40916
2015,Second Stage of Tertiary Education,Rural regions,Yes,0.59206,986,1634,0.56822,0.61590
2015,Second Stage of Tertiary Education,Rural regions,No,0.38209,648,1634,0.35853,0.40566
2017,Pre-primary Level,Urban regions,Yes,0.19761,92,289,0.15162,0.24360
2017,Pre-primary Level,Urban regions,No,0.33050,197,289,0.27617,0.38482
2017,Pre-primary Level,Rural regions,Yes,0.17576,35,118,0.10679,0.24473
2017,Pre-primary Level,Rural regions,No,0.38530,83,118,0.29711,0.47348
