year,pgisced97,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No answer / don't know,West,Yes,0.35557,90,256,0.29682,0.41433
2011,No answer / don't know,West,No,0.64443,166,256,0.58567,0.70318
2011,No answer / don't know,East,No,0.62954,32,32,0.45954,0.79954
2011,Pre-primary Level,West,Yes,0.23059,62,277,0.18089,0.28028
2011,Pre-primary Level,West,No,0.76941,215,277,0.71972,0.81911
2011,Primary Level,West,Yes,0.70485,135,199,0.64131,0.76838
2011,Primary Level,West,No,0.29515,64,199,0.23162,0.35869
2011,Lower Secondary Level,West,Yes,0.67006,1206,1849,0.64862,0.69150
2011,Lower Secondary Level,West,No,0.32994,643,1849,0.30850,0.35138
2011,Lower Secondary Level,East,Yes,0.61580,183,296,0.56030,0.67131
2011,Lower Secondary Level,East,No,0.38420,113,296,0.32869,0.43970
2011,Upper Secondary Level,West,Yes,0.64205,4897,7775,0.63140,0.65271
2011,Upper Secondary Level,West,No,0.35795,2878,7775,0.34729,0.36860
2011,Upper Secondary Level,East,Yes,0.64411,1632,2599,0.62570,0.66252
2011,Upper Secondary Level,East,No,0.35589,967,2599,0.33748,0.37430
2011,Post-secondary Non-tertiary Level,West,Yes,0.56568,542,1009,0.53508,0.59628
2011,Post-secondary Non-tertiary Level,West,No,0.43432,467,1009,0.40372,0.46492
2011,Post-secondary Non-tertiary Level,East,Yes,0.47762,77,174,0.40319,0.55206
2011,Post-secondary Non-tertiary Level,East,No,0.52238,97,174,0.44794,0.59681
2011,First Stage of Tertiary Education,West,Yes,0.66841,640,1023,0.63955,0.69727
2011,First Stage of Tertiary Education,West,No,0.33159,383,1023,0.30273,0.36045
2011,First Stage of Tertiary Education,East,Yes,0.74551,284,398,0.70267,0.78836
2011,First Stage of Tertiary Education,East,No,0.25449,114,398,0.21164,0.29733
2011,Second Stage of Tertiary Education,West,Yes,0.54168,1800,3257,0.52456,0.55879
2011,Second Stage of Tertiary Education,West,No,0.45832,1457,3257,0.44121,0.47544
2011,Second Stage of Tertiary Education,East,Yes,0.68557,850,1275,0.66008,0.71107
2011,Second Stage of Tertiary Education,East,No,0.31443,425,1275,0.28893,0.33992
2013,No answer / don't know,West,Yes,0.40061,88,230,0.33714,0.46408
2013,No answer / don't know,West,No,0.59939,142,230,0.53592,0.66286
2013,Pre-primary Level,West,Yes,0.22943,51,226,0.17449,0.28437
2013,Pre-primary Level,West,No,0.77057,175,226,0.71563,0.82551
2013,Primary Level,West,Yes,0.75852,116,160,0.69200,0.82505
2013,Primary Level,West,No,0.24148,44,160,0.17495,0.30800
2013,Lower Secondary Level,West,Yes,0.72868,1117,1595,0.70686,0.75051
2013,Lower Secondary Level,West,No,0.27132,478,1595,0.24949,0.29314
2013,Lower Secondary Level,East,Yes,0.61937,158,243,0.55820,0.68055
2013,Lower Secondary Level,East,No,0.38063,85,243,0.31945,0.44180
2013,Upper Secondary Level,West,Yes,0.68128,4643,6991,0.67036,0.69221
2013,Upper Secondary Level,West,No,0.31872,2348,6991,0.30779,0.32964
2013,Upper Secondary Level,East,Yes,0.66830,1573,2345,0.64924,0.68736
2013,Upper Secondary Level,East,No,0.33170,772,2345,0.31264,0.35076
2013,Post-secondary Non-tertiary Level,West,Yes,0.62144,529,914,0.58998,0.65290
2013,Post-secondary Non-tertiary Level,West,No,0.37856,385,914,0.34710,0.41002
2013,Post-secondary Non-tertiary Level,East,Yes,0.51628,76,170,0.44093,0.59162
2013,Post-secondary Non-tertiary Level,East,No,0.48372,94,170,0.40838,0.55907
2013,First Stage of Tertiary Education,West,Yes,0.66967,624,941,0.63961,0.69974
2013,First Stage of Tertiary Education,West,No,0.33033,317,941,0.30026,0.36039
2013,First Stage of Tertiary Education,East,Yes,0.72039,267,369,0.67454,0.76625
2013,First Stage of Tertiary Education,East,No,0.27961,102,369,0.23375,0.32546
2013,Second Stage of Tertiary Education,West,Yes,0.60219,1920,3220,0.58529,0.61910
2013,Second Stage of Tertiary Education,West,No,0.39781,1300,3220,0.38090,0.41471
2013,Second Stage of Tertiary Education,East,Yes,0.66839,816,1195,0.64168,0.69509
2013,Second Stage of Tertiary Education,East,No,0.33161,379,1195,0.30491,0.35832
2015,No answer / don't know,West,Yes,0.35032,176,528,0.30959,0.39105
2015,No answer / don't know,West,No,0.64968,352,528,0.60895,0.69041
2015,No answer / don't know,East,Yes,0.47250,37,83,0.36444,0.58056
2015,No answer / don't know,East,No,0.52750,46,83,0.41944,0.63556
2015,Pre-primary Level,West,Yes,0.26017,76,294,0.20993,0.31041
2015,Pre-primary Level,West,No,0.73983,218,294,0.68959,0.79007
2015,Pre-primary Level,East,No,0.80591,39,39,0.68015,0.93166
2015,Primary Level,West,Yes,0.66786,217,358,0.61900,0.71671
2015,Primary Level,West,No,0.33214,141,358,0.28329,0.38100
2015,Lower Secondary Level,West,Yes,0.64946,1355,2311,0.63000,0.66892
2015,Lower Secondary Level,West,No,0.35054,956,2311,0.33108,0.37000
2015,Lower Secondary Level,East,Yes,0.61042,207,335,0.55812,0.66272
2015,Lower Secondary Level,East,No,0.38958,128,335,0.33728,0.44188
2015,Upper Secondary Level,West,Yes,0.66274,5476,8888,0.65291,0.67257
2015,Upper Secondary Level,West,No,0.33726,3412,8888,0.32743,0.34709
2015,Upper Secondary Level,East,Yes,0.68831,1769,2664,0.67072,0.70590
2015,Upper Secondary Level,East,No,0.31169,895,2664,0.29410,0.32928
2015,Post-secondary Non-tertiary Level,West,Yes,0.54356,876,1663,0.51961,0.56750
2015,Post-secondary Non-tertiary Level,West,No,0.45644,787,1663,0.43250,0.48039
2015,Post-secondary Non-tertiary Level,East,Yes,0.44733,127,273,0.38824,0.50642
2015,Post-secondary Non-tertiary Level,East,No,0.55267,146,273,0.49358,0.61176
2015,First Stage of Tertiary Education,West,Yes,0.64880,700,1110,0.62071,0.67690
2015,First Stage of Tertiary Education,West,No,0.35120,410,1110,0.32310,0.37929
2015,First Stage of Tertiary Education,East,Yes,0.68649,281,392,0.64050,0.73247
2015,First Stage of Tertiary Education,East,No,0.31351,111,392,0.26753,0.35950
2015,Second Stage of Tertiary Education,West,Yes,0.57129,2408,4459,0.55676,0.58582
2015,Second Stage of Tertiary Education,West,No,0.42871,2051,4459,0.41418,0.44324
2015,Second Stage of Tertiary Education,East,Yes,0.66528,874,1347,0.64007,0.69049
2015,Second Stage of Tertiary Education,East,No,0.33472,473,1347,0.30951,0.35993
2017,No answer / don't know,West,Yes,0.42209,206,518,0.37952,0.46467
2017,No answer / don't know,West,No,0.57791,312,518,0.53533,0.62048
2017,No answer / don't know,East,Yes,0.48555,41,92,0.38286,0.58823
2017,No answer / don't know,East,No,0.51445,51,92,0.41177,0.61714
2017,Pre-primary Level,West,Yes,0.34927,110,341,0.29859,0.39994
2017,Pre-primary Level,West,No,0.65073,231,341,0.60006,0.70141
2017,Pre-primary Level,East,No,0.57804,49,49,0.43832,0.71776
2017,Primary Level,West,Yes,0.66538,248,400,0.61908,0.71168
2017,Primary Level,West,No,0.33462,152,400,0.28832,0.38092
2017,Primary Level,East,Yes,0.68066,31,31,0.51383,0.84750
2017,Lower Secondary Level,West,Yes,0.64521,1400,2349,0.62585,0.66456
2017,Lower Secondary Level,West,No,0.35479,949,2349,0.33544,0.37415
2017,Lower Secondary Level,East,Yes,0.59631,226,376,0.54665,0.64597
2017,Lower Secondary Level,East,No,0.40369,150,376,0.35403,0.45335
2017,Upper Secondary Level,West,Yes,0.67509,5783,9165,0.66551,0.68468
2017,Upper Secondary Level,West,No,0.32491,3382,9165,0.31532,0.33449
2017,Upper Secondary Level,East,Yes,0.68908,1874,2832,0.67203,0.70613
2017,Upper Secondary Level,East,No,0.31092,958,2832,0.29387,0.32797
2017,Post-secondary Non-tertiary Level,West,Yes,0.58699,1016,1873,0.56468,0.60929
2017,Post-secondary Non-tertiary Level,West,No,0.41301,857,1873,0.39071,0.43532
2017,Post-secondary Non-tertiary Level,East,Yes,0.45367,156,325,0.39946,0.50788
2017,Post-secondary Non-tertiary Level,East,No,0.54633,169,325,0.49212,0.60054
2017,First Stage of Tertiary Education,West,Yes,0.65512,739,1119,0.62725,0.68298
2017,First Stage of Tertiary Education,West,No,0.34488,380,1119,0.31702,0.37275
2017,First Stage of Tertiary Education,East,Yes,0.75271,291,392,0.70995,0.79548
2017,First Stage of Tertiary Education,East,No,0.24729,101,392,0.20452,0.29005
2017,Second Stage of Tertiary Education,West,Yes,0.56401,2756,5047,0.55033,0.57770
2017,Second Stage of Tertiary Education,West,No,0.43599,2291,5047,0.42230,0.44967
2017,Second Stage of Tertiary Education,East,Yes,0.64267,946,1427,0.61780,0.66754
2017,Second Stage of Tertiary Education,East,No,0.35733,481,1427,0.33246,0.38220
2019,No answer / don't know,West,Yes,0.50478,203,453,0.45869,0.55088
2019,No answer / don't know,West,No,0.49522,250,453,0.44912,0.54131
2019,No answer / don't know,East,Yes,0.39868,50,111,0.30718,0.49018
2019,No answer / don't know,East,No,0.60132,61,111,0.50982,0.69282
2019,Pre-primary Level,West,Yes,0.31471,72,277,0.25992,0.36950
2019,Pre-primary Level,West,No,0.68529,205,277,0.63050,0.74008
2019,Primary Level,West,Yes,0.70288,222,337,0.65401,0.75174
2019,Primary Level,West,No,0.29712,115,337,0.24826,0.34599
2019,Primary Level,East,Yes,0.72402,32,32,0.56666,0.88138
2019,Lower Secondary Level,West,Yes,0.69974,1286,2029,0.67979,0.71969
2019,Lower Secondary Level,West,No,0.30026,743,2029,0.28031,0.32021
2019,Lower Secondary Level,East,Yes,0.60560,234,374,0.55600,0.65520
2019,Lower Secondary Level,East,No,0.39440,140,374,0.34480,0.44400
2019,Upper Secondary Level,West,Yes,0.71534,5764,8451,0.70572,0.72496
2019,Upper Secondary Level,West,No,0.28466,2687,8451,0.27504,0.29428
2019,Upper Secondary Level,East,Yes,0.74807,1843,2590,0.73135,0.76479
2019,Upper Secondary Level,East,No,0.25193,747,2590,0.23521,0.26865
2019,Post-secondary Non-tertiary Level,West,Yes,0.61685,1102,1830,0.59457,0.63913
2019,Post-secondary Non-tertiary Level,West,No,0.38315,728,1830,0.36087,0.40543
2019,Post-secondary Non-tertiary Level,East,Yes,0.55159,178,320,0.49701,0.60617
2019,Post-secondary Non-tertiary Level,East,No,0.44841,142,320,0.39383,0.50299
2019,First Stage of Tertiary Education,West,Yes,0.69007,856,1211,0.66402,0.71613
2019,First Stage of Tertiary Education,West,No,0.30993,355,1211,0.28387,0.33598
2019,First Stage of Tertiary Education,East,Yes,0.76626,325,434,0.72639,0.80612
2019,First Stage of Tertiary Education,East,No,0.23374,109,434,0.19388,0.27361
2019,Second Stage of Tertiary Education,West,Yes,0.60970,3258,5350,0.59663,0.62277
2019,Second Stage of Tertiary Education,West,No,0.39030,2092,5350,0.37723,0.40337
2019,Second Stage of Tertiary Education,East,Yes,0.70173,1126,1573,0.67911,0.72434
