year,age_gr,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,1st Quintile,Yes,0.23326,176,513,0.19663,0.26989
2011,17-29 y.,1st Quintile,No,0.46167,337,513,0.41849,0.50486
2011,17-29 y.,2nd Quintile,Yes,0.19890,114,418,0.16058,0.23721
2011,17-29 y.,2nd Quintile,No,0.54616,304,418,0.49838,0.59395
2011,17-29 y.,3rd Quintile,Yes,0.23925,142,478,0.20096,0.27753
2011,17-29 y.,3rd Quintile,No,0.59625,336,478,0.55222,0.64028
2011,17-29 y.,4th Quintile,Yes,0.26382,139,459,0.22346,0.30418
2011,17-29 y.,4th Quintile,No,0.59875,320,459,0.55386,0.64364
2011,17-29 y.,5th Quintile,Yes,0.20895,89,374,0.16769,0.25021
2011,17-29 y.,5th Quintile,No,0.69901,285,374,0.65246,0.74556
2011,30-45 y.,1st Quintile,Yes,0.27883,250,505,0.23968,0.31798
2011,30-45 y.,1st Quintile,No,0.21407,255,505,0.17826,0.24988
2011,30-45 y.,2nd Quintile,Yes,0.32961,288,634,0.29299,0.36623
2011,30-45 y.,2nd Quintile,No,0.34088,346,634,0.30395,0.37780
2011,30-45 y.,3rd Quintile,Yes,0.34754,316,750,0.31344,0.38164
2011,30-45 y.,3rd Quintile,No,0.44121,434,750,0.40565,0.47677
2011,30-45 y.,4th Quintile,Yes,0.39680,381,871,0.36429,0.42931
2011,30-45 y.,4th Quintile,No,0.43169,490,871,0.39878,0.46461
2011,30-45 y.,5th Quintile,Yes,0.37882,343,875,0.34666,0.41099
2011,30-45 y.,5th Quintile,No,0.48145,532,875,0.44832,0.51457
2011,46-65 y.,1st Quintile,Yes,0.69014,552,733,0.65664,0.72364
2011,46-65 y.,1st Quintile,No,0.20465,181,733,0.17542,0.23388
2011,46-65 y.,2nd Quintile,Yes,0.64444,510,745,0.61005,0.67884
2011,46-65 y.,2nd Quintile,No,0.27999,235,745,0.24773,0.31226
2011,46-65 y.,3rd Quintile,Yes,0.69942,719,1006,0.67107,0.72777
2011,46-65 y.,3rd Quintile,No,0.25287,287,1006,0.22600,0.27974
2011,46-65 y.,4th Quintile,Yes,0.64563,875,1318,0.61979,0.67146
2011,46-65 y.,4th Quintile,No,0.31822,443,1318,0.29306,0.34337
2011,46-65 y.,5th Quintile,Yes,0.64210,1282,2007,0.62112,0.66307
2011,46-65 y.,5th Quintile,No,0.32849,725,2007,0.30794,0.34904
2011,66 and older,1st Quintile,Yes,0.85430,611,702,0.82818,0.88042
2011,66 and older,1st Quintile,No,0.12925,91,702,0.10441,0.15408
2011,66 and older,2nd Quintile,Yes,0.87664,803,897,0.85510,0.89817
2011,66 and older,2nd Quintile,No,0.11017,94,897,0.08967,0.13067
2011,66 and older,3rd Quintile,Yes,0.88020,700,798,0.85765,0.90274
2011,66 and older,3rd Quintile,No,0.11360,98,798,0.09156,0.13563
2011,66 and older,4th Quintile,Yes,0.87198,517,593,0.84507,0.89889
2011,66 and older,4th Quintile,No,0.11073,76,593,0.08545,0.13601
2011,66 and older,5th Quintile,Yes,0.85000,640,775,0.82484,0.87515
2011,66 and older,5th Quintile,No,0.14510,135,775,0.12029,0.16992
2013,17-29 y.,1st Quintile,Yes,0.26034,221,649,0.22655,0.29413
2013,17-29 y.,1st Quintile,No,0.47359,428,649,0.43515,0.51204
2013,17-29 y.,2nd Quintile,Yes,0.22516,172,472,0.18743,0.26288
2013,17-29 y.,2nd Quintile,No,0.51737,300,472,0.47224,0.56250
2013,17-29 y.,3rd Quintile,Yes,0.25739,151,470,0.21782,0.29696
2013,17-29 y.,3rd Quintile,No,0.57001,319,470,0.52520,0.61481
2013,17-29 y.,4th Quintile,Yes,0.24467,126,490,0.20656,0.28277
2013,17-29 y.,4th Quintile,No,0.64008,364,490,0.59753,0.68262
2013,17-29 y.,5th Quintile,Yes,0.29164,141,418,0.24801,0.33526
2013,17-29 y.,5th Quintile,No,0.59244,277,418,0.54528,0.63961
2013,30-45 y.,1st Quintile,Yes,0.33661,330,646,0.30014,0.37308
2013,30-45 y.,1st Quintile,No,0.31780,316,646,0.28187,0.35374
2013,30-45 y.,2nd Quintile,Yes,0.36136,350,780,0.32763,0.39510
2013,30-45 y.,2nd Quintile,No,0.37830,430,780,0.34425,0.41236
2013,30-45 y.,3rd Quintile,Yes,0.38369,361,785,0.34965,0.41773
2013,30-45 y.,3rd Quintile,No,0.42082,424,785,0.38626,0.45538
2013,30-45 y.,4th Quintile,Yes,0.40714,404,874,0.37455,0.43973
2013,30-45 y.,4th Quintile,No,0.43596,470,874,0.40306,0.46885
2013,30-45 y.,5th Quintile,Yes,0.35820,378,931,0.32738,0.38902
2013,30-45 y.,5th Quintile,No,0.50361,553,931,0.47147,0.53574
2013,46-65 y.,1st Quintile,Yes,0.72221,756,962,0.69389,0.75053
2013,46-65 y.,1st Quintile,No,0.17365,206,962,0.14970,0.19761
2013,46-65 y.,2nd Quintile,Yes,0.64963,688,968,0.61956,0.67971
2013,46-65 y.,2nd Quintile,No,0.25059,280,968,0.22327,0.27790
2013,46-65 y.,3rd Quintile,Yes,0.69607,922,1270,0.67076,0.72137
2013,46-65 y.,3rd Quintile,No,0.24739,348,1270,0.22365,0.27113
2013,46-65 y.,4th Quintile,Yes,0.68540,1153,1636,0.66289,0.70791
2013,46-65 y.,4th Quintile,No,0.28004,483,1636,0.25827,0.30180
2013,46-65 y.,5th Quintile,Yes,0.63942,1587,2438,0.62035,0.65848
2013,46-65 y.,5th Quintile,No,0.33111,851,2438,0.31243,0.34980
2013,66 and older,1st Quintile,Yes,0.87076,715,815,0.84772,0.89381
2013,66 and older,1st Quintile,No,0.11753,100,815,0.09540,0.13965
2013,66 and older,2nd Quintile,Yes,0.88331,1062,1198,0.86513,0.90150
2013,66 and older,2nd Quintile,No,0.11096,136,1198,0.09317,0.12876
2013,66 and older,3rd Quintile,Yes,0.89737,952,1054,0.87904,0.91570
2013,66 and older,3rd Quintile,No,0.09577,102,1054,0.07800,0.11354
2013,66 and older,4th Quintile,Yes,0.84021,731,872,0.81587,0.86454
2013,66 and older,4th Quintile,No,0.15475,141,872,0.13073,0.17877
2013,66 and older,5th Quintile,Yes,0.85135,818,969,0.82894,0.87376
2013,66 and older,5th Quintile,No,0.14022,151,969,0.11835,0.16209
2015,17-29 y.,1st Quintile,Yes,0.32504,422,1240,0.29896,0.35112
2015,17-29 y.,1st Quintile,No,0.59809,818,1240,0.57079,0.62539
2015,17-29 y.,2nd Quintile,Yes,0.29425,276,842,0.26345,0.32505
2015,17-29 y.,2nd Quintile,No,0.59058,566,842,0.55734,0.62381
2015,17-29 y.,3rd Quintile,Yes,0.26023,227,745,0.22870,0.29176
2015,17-29 y.,3rd Quintile,No,0.65780,518,745,0.62370,0.69189
2015,17-29 y.,4th Quintile,Yes,0.29221,187,610,0.25609,0.32833
2015,17-29 y.,4th Quintile,No,0.61721,423,610,0.57860,0.65581
2015,17-29 y.,5th Quintile,Yes,0.23294,114,436,0.19321,0.27266
2015,17-29 y.,5th Quintile,No,0.68970,322,436,0.64622,0.73317
2015,30-45 y.,1st Quintile,Yes,0.55235,835,1589,0.52789,0.57681
2015,30-45 y.,1st Quintile,No,0.42554,754,1589,0.40122,0.44985
2015,30-45 y.,2nd Quintile,Yes,0.45070,714,1604,0.42634,0.47506
2015,30-45 y.,2nd Quintile,No,0.52258,890,1604,0.49813,0.54703
2015,30-45 y.,3rd Quintile,Yes,0.44702,652,1487,0.42174,0.47230
2015,30-45 y.,3rd Quintile,No,0.53128,835,1487,0.50590,0.55665
2015,30-45 y.,4th Quintile,Yes,0.43351,590,1366,0.40722,0.45980
2015,30-45 y.,4th Quintile,No,0.54301,776,1366,0.51658,0.56944
2015,30-45 y.,5th Quintile,Yes,0.36792,461,1222,0.34087,0.39497
2015,30-45 y.,5th Quintile,No,0.61107,761,1222,0.58372,0.63841
2015,46-65 y.,1st Quintile,Yes,0.77803,1098,1463,0.75673,0.79933
2015,46-65 y.,1st Quintile,No,0.20250,365,1463,0.18190,0.22310
2015,46-65 y.,2nd Quintile,Yes,0.72696,1045,1497,0.70439,0.74954
2015,46-65 y.,2nd Quintile,No,0.26050,452,1497,0.23826,0.28274
2015,46-65 y.,3rd Quintile,Yes,0.69108,993,1505,0.66773,0.71444
2015,46-65 y.,3rd Quintile,No,0.29655,512,1505,0.27347,0.31963
2015,46-65 y.,4th Quintile,Yes,0.66932,1211,1869,0.64799,0.69066
2015,46-65 y.,4th Quintile,No,0.32443,658,1869,0.30320,0.34566
2015,46-65 y.,5th Quintile,Yes,0.63022,1535,2463,0.61115,0.64929
2015,46-65 y.,5th Quintile,No,0.36172,928,2463,0.34274,0.38070
2015,66 and older,1st Quintile,Yes,0.87537,661,743,0.85160,0.89913
2015,66 and older,1st Quintile,No,0.11292,82,743,0.09015,0.13569
2015,66 and older,2nd Quintile,Yes,0.88986,1121,1250,0.87250,0.90722
2015,66 and older,2nd Quintile,No,0.10515,129,1250,0.08814,0.12216
2015,66 and older,3rd Quintile,Yes,0.86678,926,1059,0.84630,0.88725
2015,66 and older,3rd Quintile,No,0.12262,133,1059,0.10286,0.14239
2015,66 and older,4th Quintile,Yes,0.86601,767,878,0.84347,0.88856
2015,66 and older,4th Quintile,No,0.12909,111,878,0.10690,0.15128
2015,66 and older,5th Quintile,Yes,0.82663,785,934,0.80234,0.85092
2015,66 and older,5th Quintile,No,0.16699,149,934,0.14306,0.19092
2017,17-29 y.,1st Quintile,Yes,0.32430,426,1199,0.29779,0.35080
2017,17-29 y.,1st Quintile,No,0.56201,773,1199,0.53392,0.59011
2017,17-29 y.,2nd Quintile,Yes,0.29390,255,780,0.26190,0.32589
2017,17-29 y.,2nd Quintile,No,0.61258,525,780,0.57837,0.64679
2017,17-29 y.,3rd Quintile,Yes,0.25860,199,654,0.22502,0.29219
2017,17-29 y.,3rd Quintile,No,0.63617,455,654,0.59927,0.67307
2017,17-29 y.,4th Quintile,Yes,0.27854,184,587,0.24225,0.31484
