year,migback,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,male,Yes,0.60448,5068,8402,0.59402,0.61493
2011,No migration background,male,No,0.39552,3334,8402,0.38507,0.40598
2011,No migration background,female,Yes,0.68097,5996,9319,0.67151,0.69044
2011,No migration background,female,No,0.31903,3323,9319,0.30956,0.32849
2011,Direct migration background,male,Yes,0.50862,458,880,0.47557,0.54167
2011,Direct migration background,male,No,0.49138,422,880,0.45833,0.52443
2011,Direct migration background,female,Yes,0.59333,637,1111,0.56443,0.62222
2011,Direct migration background,female,No,0.40667,474,1111,0.37778,0.43557
2011,Indirect migration background,male,Yes,0.27734,113,375,0.23196,0.32271
2011,Indirect migration background,male,No,0.72266,262,375,0.67729,0.76804
2011,Indirect migration background,female,Yes,0.40020,164,411,0.35277,0.44762
2011,Indirect migration background,female,No,0.59980,247,411,0.55238,0.64723
2013,No migration background,male,Yes,0.63212,4891,7679,0.62133,0.64291
2013,No migration background,male,No,0.36788,2788,7679,0.35709,0.37867
2013,No migration background,female,Yes,0.70007,5797,8595,0.69038,0.70975
2013,No migration background,female,No,0.29993,2798,8595,0.29025,0.30962
2013,Direct migration background,male,Yes,0.58970,425,746,0.55438,0.62502
2013,Direct migration background,male,No,0.41030,321,746,0.37498,0.44562
2013,Direct migration background,female,Yes,0.67765,621,988,0.64849,0.70681
2013,Direct migration background,female,No,0.32235,367,988,0.29319,0.35151
2013,Indirect migration background,male,Yes,0.40378,127,332,0.35093,0.45664
2013,Indirect migration background,male,No,0.59622,205,332,0.54336,0.64907
2013,Indirect migration background,female,Yes,0.46515,159,361,0.41362,0.51667
2013,Indirect migration background,female,No,0.53485,202,361,0.48333,0.58638
2015,No migration background,male,Yes,0.61279,5199,8640,0.60252,0.62306
2015,No migration background,male,No,0.38721,3441,8640,0.37694,0.39748
2015,No migration background,female,Yes,0.68937,6611,10177,0.68038,0.69836
2015,No migration background,female,No,0.31063,3566,10177,0.30164,0.31962
2015,Direct migration background,male,Yes,0.50895,901,1990,0.48698,0.53092
2015,Direct migration background,male,No,0.49105,1089,1990,0.46908,0.51302
2015,Direct migration background,female,Yes,0.60058,1297,2463,0.58123,0.61992
2015,Direct migration background,female,No,0.39942,1166,2463,0.38008,0.41877
2015,Indirect migration background,male,Yes,0.34365,246,718,0.30889,0.37842
2015,Indirect migration background,male,No,0.65635,472,718,0.62158,0.69111
2015,Indirect migration background,female,Yes,0.47096,368,818,0.43674,0.50519
2015,Indirect migration background,female,No,0.52904,450,818,0.49481,0.56326
2017,No migration background,male,Yes,0.63395,5773,9296,0.62416,0.64375
2017,No migration background,male,No,0.36605,3523,9296,0.35625,0.37584
2017,No migration background,female,Yes,0.69358,7028,10665,0.68483,0.70233
2017,No migration background,female,No,0.30642,3637,10665,0.29767,0.31517
2017,Direct migration background,male,Yes,0.52685,982,2124,0.50561,0.54809
2017,Direct migration background,male,No,0.47315,1142,2124,0.45191,0.49439
2017,Direct migration background,female,Yes,0.56948,1363,2673,0.55070,0.58825
2017,Direct migration background,female,No,0.43052,1310,2673,0.41175,0.44930
2017,Indirect migration background,male,Yes,0.39516,302,761,0.36041,0.42992
2017,Indirect migration background,male,No,0.60484,459,761,0.57008,0.63959
2017,Indirect migration background,female,Yes,0.45524,392,854,0.42182,0.48866
2017,Indirect migration background,female,No,0.54476,462,854,0.51134,0.57818
2019,No migration background,male,Yes,0.66886,6317,9647,0.65947,0.67825
2019,No migration background,male,No,0.33114,3330,9647,0.32175,0.34053
2019,No migration background,female,Yes,0.73623,7309,10305,0.72772,0.74474
2019,No migration background,female,No,0.26377,2996,10305,0.25526,0.27228
2019,Direct migration background,male,Yes,0.57209,940,1789,0.54915,0.59502
2019,Direct migration background,male,No,0.42791,849,1789,0.40498,0.45085
2019,Direct migration background,female,Yes,0.65319,1296,2215,0.63336,0.67301
2019,Direct migration background,female,No,0.34681,919,2215,0.32699,0.36664
2019,Indirect migration background,male,Yes,0.43211,329,732,0.39619,0.46802
2019,Indirect migration background,male,No,0.56789,403,732,0.53198,0.60381
2019,Indirect migration background,female,Yes,0.54144,439,821,0.50734,0.57555
2019,Indirect migration background,female,No,0.45856,382,821,0.42445,0.49266
2021,No migration background,male,Yes,0.65408,4023,6165,0.64221,0.66596
2021,No migration background,male,No,0.34592,2142,6165,0.33404,0.35779
2021,No migration background,female,Yes,0.74254,5035,6882,0.73221,0.75288
2021,No migration background,female,No,0.25746,1847,6882,0.24712,0.26779
2021,Direct migration background,male,Yes,0.57124,1153,2685,0.55252,0.58996
2021,Direct migration background,male,No,0.42876,1532,2685,0.41004,0.44748
2021,Direct migration background,female,Yes,0.67202,1373,2499,0.65361,0.69043
2021,Direct migration background,female,No,0.32798,1126,2499,0.30957,0.34639
2021,Indirect migration background,male,Yes,0.48113,200,440,0.43439,0.52787
2021,Indirect migration background,male,No,0.51887,240,440,0.47213,0.56561
2021,Indirect migration background,female,Yes,0.55423,274,486,0.51000,0.59847
2021,Indirect migration background,female,No,0.44577,212,486,0.40153,0.49000
