year,migback,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Urban regions,Yes,0.50066,6839,11049,0.49133,0.50998
2011,No migration background,Urban regions,No,0.28603,4210,11049,0.27760,0.29446
2011,No migration background,Rural regions,Yes,0.50921,4225,6672,0.49722,0.52121
2011,No migration background,Rural regions,No,0.26606,2447,6672,0.25545,0.27666
2011,Direct migration background,Urban regions,Yes,0.44262,824,1527,0.41769,0.46754
2011,Direct migration background,Urban regions,No,0.36595,703,1527,0.34178,0.39012
2011,Direct migration background,Rural regions,Yes,0.48216,271,464,0.43664,0.52768
2011,Direct migration background,Rural regions,No,0.35251,193,464,0.30899,0.39602
2011,Indirect migration background,Urban regions,Yes,0.13483,225,649,0.10854,0.16113
2011,Indirect migration background,Urban regions,No,0.26260,424,649,0.22872,0.29648
2011,Indirect migration background,Rural regions,Yes,0.11518,52,137,0.06152,0.16883
2011,Indirect migration background,Rural regions,No,0.25288,85,137,0.17983,0.32593
2013,No migration background,Urban regions,Yes,0.52262,6580,10094,0.51287,0.53236
2013,No migration background,Urban regions,No,0.26435,3514,10094,0.25575,0.27295
2013,No migration background,Rural regions,Yes,0.52281,4108,6180,0.51036,0.53526
2013,No migration background,Rural regions,No,0.25499,2072,6180,0.24412,0.26585
2013,Direct migration background,Urban regions,Yes,0.30920,770,1314,0.28420,0.33420
2013,Direct migration background,Urban regions,No,0.18262,544,1314,0.16172,0.20352
2013,Direct migration background,Rural regions,Yes,0.34852,276,420,0.30290,0.39415
2013,Direct migration background,Rural regions,No,0.17556,144,420,0.13913,0.21199
2013,Indirect migration background,Urban regions,Yes,0.09541,233,560,0.07106,0.11977
2013,Indirect migration background,Urban regions,No,0.12799,327,560,0.10030,0.15569
2013,Indirect migration background,Rural regions,Yes,0.12769,53,133,0.07076,0.18463
2013,Indirect migration background,Rural regions,No,0.15072,80,133,0.08969,0.21176
2015,No migration background,Urban regions,Yes,0.55003,7159,11484,0.54093,0.55913
2015,No migration background,Urban regions,No,0.30172,4325,11484,0.29332,0.31011
2015,No migration background,Rural regions,Yes,0.56095,4651,7333,0.54959,0.57231
2015,No migration background,Rural regions,No,0.28383,2682,7333,0.27351,0.29415
2015,Direct migration background,Urban regions,Yes,0.46612,1641,3322,0.44915,0.48309
2015,Direct migration background,Urban regions,No,0.36361,1681,3322,0.34725,0.37997
2015,Direct migration background,Rural regions,Yes,0.44712,557,1131,0.41813,0.47611
2015,Direct migration background,Rural regions,No,0.38405,574,1131,0.35569,0.41241
2015,Indirect migration background,Urban regions,Yes,0.18580,493,1245,0.16419,0.20742
2015,Indirect migration background,Urban regions,No,0.30125,752,1245,0.27575,0.32674
2015,Indirect migration background,Rural regions,Yes,0.23405,121,291,0.18531,0.28278
2015,Indirect migration background,Rural regions,No,0.22442,170,291,0.17640,0.27244
2017,No migration background,Urban regions,Yes,0.56081,7806,12198,0.55200,0.56962
2017,No migration background,Urban regions,No,0.29441,4392,12198,0.28632,0.30250
2017,No migration background,Rural regions,Yes,0.57476,4995,7763,0.56376,0.58576
2017,No migration background,Rural regions,No,0.26991,2768,7763,0.26004,0.27979
2017,Direct migration background,Urban regions,Yes,0.49559,1722,3538,0.47911,0.51207
2017,Direct migration background,Urban regions,No,0.40901,1816,3538,0.39280,0.42521
2017,Direct migration background,Rural regions,Yes,0.48955,623,1259,0.46193,0.51718
2017,Direct migration background,Rural regions,No,0.39129,636,1259,0.36432,0.41826
2017,Indirect migration background,Urban regions,Yes,0.21186,581,1333,0.18992,0.23381
2017,Indirect migration background,Urban regions,No,0.29968,752,1333,0.27508,0.32428
2017,Indirect migration background,Rural regions,Yes,0.22155,113,282,0.17299,0.27010
2017,Indirect migration background,Rural regions,No,0.24092,169,282,0.19091,0.29092
2019,No migration background,Urban regions,Yes,0.59163,8159,12066,0.58286,0.60040
2019,No migration background,Urban regions,No,0.26253,3907,12066,0.25468,0.27038
2019,No migration background,Rural regions,Yes,0.60728,5101,7409,0.59616,0.61840
2019,No migration background,Rural regions,No,0.23478,2308,7409,0.22513,0.24443
2019,Direct migration background,Urban regions,Yes,0.54853,1654,2945,0.53055,0.56650
2019,Direct migration background,Urban regions,No,0.34705,1291,2945,0.32985,0.36424
2019,Direct migration background,Rural regions,Yes,0.54606,561,1028,0.51561,0.57651
2019,Direct migration background,Rural regions,No,0.32678,467,1028,0.29809,0.35546
2019,Indirect migration background,Urban regions,Yes,0.25153,619,1227,0.22724,0.27582
2019,Indirect migration background,Urban regions,No,0.25942,608,1227,0.23489,0.28396
2019,Indirect migration background,Rural regions,Yes,0.20041,119,288,0.15409,0.24672
2019,Indirect migration background,Rural regions,No,0.28075,169,288,0.22876,0.33274
2021,No migration background,Urban regions,Yes,0.59605,5678,8244,0.58546,0.60664
2021,No migration background,Urban regions,No,0.25663,2566,8244,0.24720,0.26606
2021,No migration background,Rural regions,Yes,0.58819,3386,4809,0.57428,0.60210
2021,No migration background,Rural regions,No,0.25311,1423,4809,0.24082,0.26540
2021,Direct migration background,Urban regions,Yes,0.58850,1947,4034,0.57331,0.60369
2021,Direct migration background,Urban regions,No,0.34214,2087,4034,0.32750,0.35678
2021,Direct migration background,Rural regions,Yes,0.52486,579,1150,0.49598,0.55374
2021,Direct migration background,Rural regions,No,0.36836,571,1150,0.34047,0.39626
2021,Indirect migration background,Urban regions,Yes,0.24488,380,734,0.21375,0.27601
2021,Indirect migration background,Urban regions,No,0.23454,354,734,0.20387,0.26522
2021,Indirect migration background,Rural regions,Yes,0.23468,94,192,0.17458,0.29479
2021,Indirect migration background,Rural regions,No,0.19165,98,192,0.13583,0.24747
