year,migback,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.50365,11064,17721,0.49629,0.51101
2011,No migration background,No,0.27905,6657,17721,0.27244,0.28565
2011,Direct migration background,Yes,0.45167,1095,1991,0.42980,0.47353
2011,Direct migration background,No,0.36287,896,1991,0.34175,0.38400
2011,Indirect migration background,Yes,0.13099,277,786,0.10738,0.15459
2011,Indirect migration background,No,0.26070,509,786,0.22998,0.29141
2013,No migration background,Yes,0.52269,10688,16274,0.51501,0.53036
2013,No migration background,No,0.26101,5586,16274,0.25426,0.26776
2013,Direct migration background,Yes,0.31752,1046,1734,0.29560,0.33944
2013,Direct migration background,No,0.18112,688,1734,0.16299,0.19926
2013,Indirect migration background,Yes,0.10129,286,693,0.07881,0.12377
2013,Indirect migration background,No,0.13213,407,693,0.10690,0.15736
2015,No migration background,Yes,0.55388,11810,18817,0.54678,0.56099
2015,No migration background,No,0.29541,7007,18817,0.28889,0.30193
2015,Direct migration background,Yes,0.46207,2198,4453,0.44742,0.47671
2015,Direct migration background,No,0.36797,2255,4453,0.35380,0.38214
2015,Indirect migration background,Yes,0.19445,614,1536,0.17465,0.21425
2015,Indirect migration background,No,0.28749,922,1536,0.26484,0.31013
2017,No migration background,Yes,0.56566,12801,19961,0.55879,0.57254
2017,No migration background,No,0.28589,7160,19961,0.27962,0.29216
2017,Direct migration background,Yes,0.49429,2345,4797,0.48014,0.50844
2017,Direct migration background,No,0.40518,2452,4797,0.39129,0.41908
2017,Indirect migration background,Yes,0.21337,694,1615,0.19338,0.23336
2017,Indirect migration background,No,0.29052,921,1615,0.26837,0.31267
2019,No migration background,Yes,0.59766,13631,19958,0.59086,0.60447
2019,No migration background,No,0.25211,6327,19958,0.24609,0.25814
2019,Direct migration background,Yes,0.54778,2236,4004,0.53236,0.56320
2019,Direct migration background,No,0.34353,1768,4004,0.32882,0.35825
2019,Indirect migration background,Yes,0.24738,768,1553,0.22591,0.26884
2019,Indirect migration background,No,0.26197,785,1553,0.24010,0.28385
2021,No migration background,Yes,0.59339,9065,13054,0.58497,0.60182
2021,No migration background,No,0.25532,3989,13054,0.24784,0.26280
2021,Direct migration background,Yes,0.57428,2526,5184,0.56082,0.58774
2021,Direct migration background,No,0.34800,2658,5184,0.33503,0.36097
2021,Indirect migration background,Yes,0.24311,474,926,0.21546,0.27075
2021,Indirect migration background,No,0.22708,452,926,0.20008,0.25408
