year,sampreg,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,male,Yes,0.57283,4236,7354,0.56153,0.58414
2011,West,male,No,0.42717,3118,7354,0.41586,0.43847
2011,West,female,Yes,0.65305,5136,8291,0.64280,0.66329
2011,West,female,No,0.34695,3155,8291,0.33671,0.35720
2011,East,male,Yes,0.60680,1403,2303,0.58685,0.62675
2011,East,male,No,0.39320,900,2303,0.37325,0.41315
2011,East,female,Yes,0.68906,1661,2550,0.67109,0.70703
2011,East,female,No,0.31094,889,2550,0.29297,0.32891
2013,West,male,Yes,0.62195,4095,6664,0.61031,0.63359
2013,West,male,No,0.37805,2569,6664,0.36641,0.38969
2013,West,female,Yes,0.69090,4993,7613,0.68052,0.70128
2013,West,female,No,0.30910,2620,7613,0.29872,0.31948
2013,East,male,Yes,0.62258,1348,2093,0.60180,0.64335
2013,East,male,No,0.37742,745,2093,0.35665,0.39820
2013,East,female,Yes,0.69635,1584,2331,0.67768,0.71502
2013,East,female,No,0.30365,747,2331,0.28498,0.32232
2015,West,male,Yes,0.57567,4874,8983,0.56544,0.58589
2015,West,male,No,0.42433,4109,8983,0.41411,0.43456
2015,West,female,Yes,0.66161,6410,10628,0.65262,0.67061
2015,West,female,No,0.33839,4218,10628,0.32939,0.34738
2015,East,male,Yes,0.62581,1472,2365,0.60630,0.64531
2015,East,male,No,0.37419,893,2365,0.35469,0.39370
2015,East,female,Yes,0.69454,1866,2830,0.67757,0.71152
2015,East,female,No,0.30546,964,2830,0.28848,0.32243
2017,West,male,Yes,0.60012,5446,9619,0.59033,0.60991
2017,West,male,No,0.39988,4173,9619,0.39009,0.40967
2017,West,female,Yes,0.65562,6812,11193,0.64682,0.66443
2017,West,female,No,0.34438,4381,11193,0.33557,0.35318
2017,East,male,Yes,0.62407,1611,2562,0.60531,0.64283
2017,East,male,No,0.37593,951,2562,0.35717,0.39469
2017,East,female,Yes,0.69248,1971,2999,0.67597,0.70900
2017,East,female,No,0.30752,1028,2999,0.29100,0.32403
2019,West,male,Yes,0.63130,5802,9517,0.62161,0.64099
2019,West,male,No,0.36870,3715,9517,0.35901,0.37839
2019,West,female,Yes,0.70709,6959,10419,0.69835,0.71583
2019,West,female,No,0.29291,3460,10419,0.28417,0.30165
2019,East,male,Yes,0.67983,1754,2615,0.66194,0.69771
2019,East,male,No,0.32017,861,2615,0.30229,0.33806
2019,East,female,Yes,0.73663,2058,2885,0.72056,0.75271
2019,East,female,No,0.26337,827,2885,0.24729,0.27944
2021,West,male,Yes,0.63154,4242,7449,0.62059,0.64250
2021,West,male,No,0.36846,3207,7449,0.35750,0.37941
2021,West,female,Yes,0.72136,5257,7863,0.71145,0.73127
2021,West,female,No,0.27864,2606,7863,0.26873,0.28855
2021,East,male,Yes,0.63261,1134,1841,0.61058,0.65464
2021,East,male,No,0.36739,707,1841,0.34536,0.38942
2021,East,female,Yes,0.72381,1425,2004,0.70423,0.74339
2021,East,female,No,0.27619,579,2004,0.25661,0.29577
