year,migback,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,1st Quintile,Yes,0.72576,1288,1911,0.70575,0.74577
2011,No migration background,1st Quintile,No,0.27424,623,1911,0.25423,0.29425
2011,No migration background,2nd Quintile,Yes,0.69935,1504,2274,0.68050,0.71820
2011,No migration background,2nd Quintile,No,0.30065,770,2274,0.28180,0.31950
2011,No migration background,3rd Quintile,Yes,0.66943,1718,2691,0.65166,0.68721
2011,No migration background,3rd Quintile,No,0.33057,973,2691,0.31279,0.34834
2011,No migration background,4th Quintile,Yes,0.62490,1768,2950,0.60743,0.64238
2011,No migration background,4th Quintile,No,0.37510,1182,2950,0.35762,0.39257
2011,No migration background,5th Quintile,Yes,0.60558,2196,3710,0.58985,0.62131
2011,No migration background,5th Quintile,No,0.39442,1514,3710,0.37869,0.41015
2011,Direct migration background,1st Quintile,Yes,0.64912,244,389,0.60163,0.69661
2011,Direct migration background,1st Quintile,No,0.35088,145,389,0.30339,0.39837
2011,Direct migration background,2nd Quintile,Yes,0.56936,179,309,0.51405,0.62466
2011,Direct migration background,2nd Quintile,No,0.43064,130,309,0.37534,0.48595
2011,Direct migration background,3rd Quintile,Yes,0.55751,121,226,0.49261,0.62241
2011,Direct migration background,3rd Quintile,No,0.44249,105,226,0.37759,0.50739
2011,Direct migration background,4th Quintile,Yes,0.60497,112,185,0.53433,0.67561
2011,Direct migration background,4th Quintile,No,0.39503,73,185,0.32439,0.46567
2011,Direct migration background,5th Quintile,Yes,0.56477,104,188,0.49370,0.63583
2011,Direct migration background,5th Quintile,No,0.43523,84,188,0.36417,0.50630
2011,Indirect migration background,1st Quintile,Yes,0.39608,57,153,0.31833,0.47384
2011,Indirect migration background,1st Quintile,No,0.60392,96,153,0.52616,0.68167
2011,Indirect migration background,2nd Quintile,Yes,0.31096,32,111,0.22446,0.39747
2011,Indirect migration background,2nd Quintile,No,0.68904,79,111,0.60253,0.77554
2011,Indirect migration background,3rd Quintile,Yes,0.22812,38,115,0.15109,0.30515
2011,Indirect migration background,3rd Quintile,No,0.77188,77,115,0.69485,0.84891
2011,Indirect migration background,4th Quintile,Yes,0.31397,32,106,0.22520,0.40274
2011,Indirect migration background,4th Quintile,No,0.68603,74,106,0.59726,0.77480
2011,Indirect migration background,5th Quintile,Yes,0.34610,54,133,0.26495,0.42726
2011,Indirect migration background,5th Quintile,No,0.65390,79,133,0.57274,0.73505
2013,No migration background,1st Quintile,Yes,0.71159,1646,2419,0.69354,0.72965
2013,No migration background,1st Quintile,No,0.28841,773,2419,0.27035,0.30646
2013,No migration background,2nd Quintile,Yes,0.70389,1966,2864,0.68717,0.72062
2013,No migration background,2nd Quintile,No,0.29611,898,2864,0.27938,0.31283
2013,No migration background,3rd Quintile,Yes,0.69045,2149,3134,0.67426,0.70664
2013,No migration background,3rd Quintile,No,0.30955,985,3134,0.29336,0.32574
2013,No migration background,4th Quintile,Yes,0.63911,2219,3513,0.62323,0.65500
2013,No migration background,4th Quintile,No,0.36089,1294,3513,0.34500,0.37677
2013,No migration background,5th Quintile,Yes,0.61780,2707,4341,0.60334,0.63226
2013,No migration background,5th Quintile,No,0.38220,1634,4341,0.36774,0.39666
2013,Direct migration background,1st Quintile,Yes,0.70172,317,510,0.66197,0.74147
2013,Direct migration background,1st Quintile,No,0.29828,193,510,0.25853,0.33803
2013,Direct migration background,2nd Quintile,Yes,0.61353,253,412,0.56645,0.66060
2013,Direct migration background,2nd Quintile,No,0.38647,159,412,0.33940,0.43355
2013,Direct migration background,3rd Quintile,Yes,0.62503,192,319,0.57182,0.67824
2013,Direct migration background,3rd Quintile,No,0.37497,127,319,0.32176,0.42818
2013,Direct migration background,4th Quintile,Yes,0.65385,143,238,0.59328,0.71442
2013,Direct migration background,4th Quintile,No,0.34615,95,238,0.28558,0.40672
2013,Direct migration background,5th Quintile,Yes,0.54984,141,255,0.48866,0.61103
2013,Direct migration background,5th Quintile,No,0.45016,114,255,0.38897,0.51134
2013,Indirect migration background,1st Quintile,Yes,0.40443,59,143,0.32371,0.48516
2013,Indirect migration background,1st Quintile,No,0.59557,84,143,0.51484,0.67629
2013,Indirect migration background,2nd Quintile,Yes,0.36845,53,142,0.28882,0.44807
2013,Indirect migration background,2nd Quintile,No,0.63155,89,142,0.55193,0.71118
2013,Indirect migration background,3rd Quintile,Yes,0.47364,45,126,0.38611,0.56117
2013,Indirect migration background,3rd Quintile,No,0.52636,81,126,0.43883,0.61389
2013,Indirect migration background,4th Quintile,Yes,0.41016,52,121,0.32216,0.49817
2013,Indirect migration background,4th Quintile,No,0.58984,69,121,0.50183,0.67784
2013,Indirect migration background,5th Quintile,Yes,0.47071,76,160,0.39313,0.54830
2013,Indirect migration background,5th Quintile,No,0.52929,84,160,0.45170,0.60687
2015,No migration background,1st Quintile,Yes,0.70250,1977,2994,0.68612,0.71888
2015,No migration background,1st Quintile,No,0.29750,1017,2994,0.28112,0.31388
2015,No migration background,2nd Quintile,Yes,0.70639,2459,3728,0.69177,0.72102
2015,No migration background,2nd Quintile,No,0.29361,1269,3728,0.27898,0.30823
2015,No migration background,3rd Quintile,Yes,0.66250,2358,3715,0.64730,0.67771
2015,No migration background,3rd Quintile,No,0.33750,1357,3715,0.32229,0.35270
2015,No migration background,4th Quintile,Yes,0.63136,2409,3961,0.61633,0.64639
2015,No migration background,4th Quintile,No,0.36864,1552,3961,0.35361,0.38367
2015,No migration background,5th Quintile,Yes,0.58710,2605,4415,0.57257,0.60162
2015,No migration background,5th Quintile,No,0.41290,1810,4415,0.39838,0.42743
2015,Direct migration background,1st Quintile,Yes,0.61450,843,1565,0.59038,0.63862
2015,Direct migration background,1st Quintile,No,0.38550,722,1565,0.36138,0.40962
2015,Direct migration background,2nd Quintile,Yes,0.56038,562,1126,0.53137,0.58938
