year,quintil_oecd,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Urban regions,Yes,0.69587,963,1484,0.67246,0.71929
2011,1st Quintile,Urban regions,No,0.30413,521,1484,0.28071,0.32754
2011,1st Quintile,Rural regions,Yes,0.69414,626,969,0.66511,0.72316
2011,1st Quintile,Rural regions,No,0.30586,343,969,0.27684,0.33489
2011,2nd Quintile,Urban regions,Yes,0.65768,1012,1607,0.63448,0.68089
2011,2nd Quintile,Urban regions,No,0.34232,595,1607,0.31911,0.36552
2011,2nd Quintile,Rural regions,Yes,0.67173,703,1087,0.64380,0.69965
2011,2nd Quintile,Rural regions,No,0.32827,384,1087,0.30035,0.35620
2011,3rd Quintile,Urban regions,Yes,0.63175,1117,1849,0.60976,0.65374
2011,3rd Quintile,Urban regions,No,0.36825,732,1849,0.34626,0.39024
2011,3rd Quintile,Rural regions,Yes,0.65958,760,1183,0.63256,0.68659
2011,3rd Quintile,Rural regions,No,0.34042,423,1183,0.31341,0.36744
2011,4th Quintile,Urban regions,Yes,0.59085,1267,2189,0.57024,0.61145
2011,4th Quintile,Urban regions,No,0.40915,922,2189,0.38855,0.42976
2011,4th Quintile,Rural regions,Yes,0.66175,645,1052,0.63315,0.69036
2011,4th Quintile,Rural regions,No,0.33825,407,1052,0.30964,0.36685
2011,5th Quintile,Urban regions,Yes,0.58309,1726,2997,0.56543,0.60074
2011,5th Quintile,Urban regions,No,0.41691,1271,2997,0.39926,0.43457
2011,5th Quintile,Rural regions,Yes,0.62666,628,1034,0.59717,0.65616
2011,5th Quintile,Rural regions,No,0.37334,406,1034,0.34384,0.40283
2013,1st Quintile,Urban regions,Yes,0.71618,1190,1812,0.69541,0.73694
2013,1st Quintile,Urban regions,No,0.28382,622,1812,0.26306,0.30459
2013,1st Quintile,Rural regions,Yes,0.67837,832,1260,0.65257,0.70417
2013,1st Quintile,Rural regions,No,0.32163,428,1260,0.29583,0.34743
2013,2nd Quintile,Urban regions,Yes,0.66853,1316,2027,0.64803,0.68903
2013,2nd Quintile,Urban regions,No,0.33147,711,2027,0.31097,0.35197
2013,2nd Quintile,Rural regions,Yes,0.71384,956,1391,0.69008,0.73760
2013,2nd Quintile,Rural regions,No,0.28616,435,1391,0.26240,0.30992
2013,3rd Quintile,Urban regions,Yes,0.69160,1404,2117,0.67192,0.71128
2013,3rd Quintile,Urban regions,No,0.30840,713,2117,0.28872,0.32808
2013,3rd Quintile,Rural regions,Yes,0.65779,982,1462,0.63346,0.68212
2013,3rd Quintile,Rural regions,No,0.34221,480,1462,0.31788,0.36654
2013,4th Quintile,Urban regions,Yes,0.62205,1500,2456,0.60287,0.64123
2013,4th Quintile,Urban regions,No,0.37795,956,2456,0.35877,0.39713
2013,4th Quintile,Rural regions,Yes,0.65790,914,1416,0.63318,0.68262
2013,4th Quintile,Rural regions,No,0.34210,502,1416,0.31738,0.36682
2013,5th Quintile,Urban regions,Yes,0.60524,2171,3552,0.58916,0.62132
2013,5th Quintile,Urban regions,No,0.39476,1381,3552,0.37868,0.41084
2013,5th Quintile,Rural regions,Yes,0.62539,753,1204,0.59804,0.65274
2013,5th Quintile,Rural regions,No,0.37461,451,1204,0.34726,0.40196
2015,1st Quintile,Urban regions,Yes,0.64655,1848,3172,0.62991,0.66319
2015,1st Quintile,Urban regions,No,0.35345,1324,3172,0.33681,0.37009
2015,1st Quintile,Rural regions,Yes,0.67948,1168,1863,0.65829,0.70068
2015,1st Quintile,Rural regions,No,0.32052,695,1863,0.29932,0.34171
2015,2nd Quintile,Urban regions,Yes,0.65450,1854,3111,0.63779,0.67121
2015,2nd Quintile,Urban regions,No,0.34550,1257,3111,0.32879,0.36221
2015,2nd Quintile,Rural regions,Yes,0.69302,1302,2082,0.67321,0.71284
2015,2nd Quintile,Rural regions,No,0.30698,780,2082,0.28716,0.32679
2015,3rd Quintile,Urban regions,Yes,0.61810,1695,2967,0.60061,0.63558
2015,3rd Quintile,Urban regions,No,0.38190,1272,2967,0.36442,0.39939
2015,3rd Quintile,Rural regions,Yes,0.64916,1103,1829,0.62728,0.67104
2015,3rd Quintile,Rural regions,No,0.35084,726,1829,0.32896,0.37272
2015,4th Quintile,Urban regions,Yes,0.61575,1777,3042,0.59846,0.63304
2015,4th Quintile,Urban regions,No,0.38425,1265,3042,0.36696,0.40154
2015,4th Quintile,Rural regions,Yes,0.61903,978,1681,0.59580,0.64225
2015,4th Quintile,Rural regions,No,0.38097,703,1681,0.35775,0.40420
2015,5th Quintile,Urban regions,Yes,0.56641,2117,3756,0.55056,0.58226
2015,5th Quintile,Urban regions,No,0.43359,1639,3756,0.41774,0.44944
2015,5th Quintile,Rural regions,Yes,0.59005,778,1299,0.56329,0.61680
2015,5th Quintile,Rural regions,No,0.40995,521,1299,0.38320,0.43671
2017,1st Quintile,Urban regions,Yes,0.65116,1721,2941,0.63393,0.66839
2017,1st Quintile,Urban regions,No,0.34884,1220,2941,0.33161,0.36607
2017,1st Quintile,Rural regions,Yes,0.68105,1053,1737,0.65913,0.70298
2017,1st Quintile,Rural regions,No,0.31895,684,1737,0.29702,0.34087
2017,2nd Quintile,Urban regions,Yes,0.65793,1729,2900,0.64066,0.67519
2017,2nd Quintile,Urban regions,No,0.34207,1171,2900,0.32481,0.35934
2017,2nd Quintile,Rural regions,Yes,0.69988,1168,1868,0.67909,0.72067
2017,2nd Quintile,Rural regions,No,0.30012,700,1868,0.27933,0.32091
2017,3rd Quintile,Urban regions,Yes,0.62310,1574,2658,0.60467,0.64153
2017,3rd Quintile,Urban regions,No,0.37690,1084,2658,0.35847,0.39533
2017,3rd Quintile,Rural regions,Yes,0.68183,1075,1719,0.65980,0.70385
2017,3rd Quintile,Rural regions,No,0.31817,644,1719,0.29615,0.34020
2017,4th Quintile,Urban regions,Yes,0.61274,1650,2815,0.59474,0.63074
2017,4th Quintile,Urban regions,No,0.38726,1165,2815,0.36926,0.40526
2017,4th Quintile,Rural regions,Yes,0.66092,918,1510,0.63703,0.68480
2017,4th Quintile,Rural regions,No,0.33908,592,1510,0.31520,0.36297
2017,5th Quintile,Urban regions,Yes,0.59372,2035,3408,0.57723,0.61021
2017,5th Quintile,Urban regions,No,0.40628,1373,3408,0.38979,0.42277
2017,5th Quintile,Rural regions,Yes,0.64364,689,1116,0.61553,0.67175
2017,5th Quintile,Rural regions,No,0.35636,427,1116,0.32825,0.38447
2019,1st Quintile,Urban regions,Yes,0.67617,1731,2763,0.65872,0.69362
2019,1st Quintile,Urban regions,No,0.32383,1032,2763,0.30638,0.34128
2019,1st Quintile,Rural regions,Yes,0.73640,1122,1652,0.71514,0.75765
2019,1st Quintile,Rural regions,No,0.26360,530,1652,0.24235,0.28486
2019,2nd Quintile,Urban regions,Yes,0.69293,1850,2845,0.67597,0.70988
2019,2nd Quintile,Urban regions,No,0.30707,995,2845,0.29012,0.32403
2019,2nd Quintile,Rural regions,Yes,0.71381,1253,1895,0.69345,0.73416
2019,2nd Quintile,Rural regions,No,0.28619,642,1895,0.26584,0.30655
2019,3rd Quintile,Urban regions,Yes,0.65701,1740,2727,0.63919,0.67483
2019,3rd Quintile,Urban regions,No,0.34299,987,2727,0.32517,0.36081
2019,3rd Quintile,Rural regions,Yes,0.74569,1095,1660,0.72473,0.76664
2019,3rd Quintile,Rural regions,No,0.25431,565,1660,0.23336,0.27527
2019,4th Quintile,Urban regions,Yes,0.65970,1786,2740,0.64195,0.67744
2019,4th Quintile,Urban regions,No,0.34030,954,2740,0.32256,0.35805
2019,4th Quintile,Rural regions,Yes,0.68037,1013,1497,0.65674,0.70400
2019,4th Quintile,Rural regions,No,0.31963,484,1497,0.29600,0.34326
2019,5th Quintile,Urban regions,Yes,0.64167,2303,3482,0.62574,0.65760
2019,5th Quintile,Urban regions,No,0.35833,1179,3482,0.34240,0.37426
2019,5th Quintile,Rural regions,Yes,0.62302,818,1298,0.59664,0.64939
2019,5th Quintile,Rural regions,No,0.37698,480,1298,0.35061,0.40336
2021,1st Quintile,Urban regions,Yes,0.66718,1795,3329,0.65117,0.68319
2021,1st Quintile,Urban regions,No,0.33282,1534,3329,0.31681,0.34883
2021,1st Quintile,Rural regions,Yes,0.72597,905,1442,0.70294,0.74900
2021,1st Quintile,Rural regions,No,0.27403,537,1442,0.25100,0.29706
2021,2nd Quintile,Urban regions,Yes,0.68167,1400,2176,0.66209,0.70124
2021,2nd Quintile,Urban regions,No,0.31833,776,2176,0.29876,0.33791
2021,2nd Quintile,Rural regions,Yes,0.69430,911,1352,0.66974,0.71887
2021,2nd Quintile,Rural regions,No,0.30570,441,1352,0.28113,0.33026
2021,3rd Quintile,Urban regions,Yes,0.70939,1319,1997,0.68947,0.72931
2021,3rd Quintile,Urban regions,No,0.29061,678,1997,0.27069,0.31053
2021,3rd Quintile,Rural regions,Yes,0.68134,742,1127,0.65413,0.70856
2021,3rd Quintile,Rural regions,No,0.31866,385,1127,0.29144,0.34587
2021,4th Quintile,Urban regions,Yes,0.67463,1367,2106,0.65462,0.69465
2021,4th Quintile,Urban regions,No,0.32537,739,2106,0.30535,0.34538
2021,4th Quintile,Rural regions,Yes,0.67847,744,1076,0.65055,0.70639
2021,4th Quintile,Rural regions,No,0.32153,332,1076,0.29361,0.34945
2021,5th Quintile,Urban regions,Yes,0.64852,2022,3151,0.63184,0.66519
2021,5th Quintile,Urban regions,No,0.35148,1129,3151,0.33481,0.36816
2021,5th Quintile,Rural regions,Yes,0.63567,741,1104,0.60727,0.66407
2021,5th Quintile,Rural regions,No,0.36433,363,1104,0.33593,0.39273
