year,bula_h,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Lower Secondary Level,Yes,0.65571,50,50,0.52267,0.78875
2011,Schleswig-Holstein,Upper Secondary Level,Yes,0.61905,226,357,0.56860,0.66949
2011,Schleswig-Holstein,Upper Secondary Level,No,0.38095,131,357,0.33051,0.43140
2011,Schleswig-Holstein,Second Stage of Tertiary Education,Yes,0.54659,63,101,0.44902,0.64416
2011,Schleswig-Holstein,Second Stage of Tertiary Education,No,0.45341,38,101,0.35584,0.55098
2011,Hamburg,Upper Secondary Level,Yes,0.59842,87,135,0.51541,0.68142
2011,Hamburg,Upper Secondary Level,No,0.40158,48,135,0.31858,0.48459
2011,Hamburg,Second Stage of Tertiary Education,Yes,0.52789,50,90,0.42417,0.63160
2011,Hamburg,Second Stage of Tertiary Education,No,0.47211,40,90,0.36840,0.57583
2011,Lower Saxony,Lower Secondary Level,Yes,0.69554,150,230,0.63594,0.75514
2011,Lower Saxony,Lower Secondary Level,No,0.30446,80,230,0.24486,0.36406
2011,Lower Saxony,Upper Secondary Level,Yes,0.64496,656,1021,0.61559,0.67433
2011,Lower Saxony,Upper Secondary Level,No,0.35504,365,1021,0.32567,0.38441
2011,Lower Saxony,Post-secondary Non-tertiary Level,Yes,0.52359,59,107,0.42851,0.61867
2011,Lower Saxony,Post-secondary Non-tertiary Level,No,0.47641,48,107,0.38133,0.57149
2011,Lower Saxony,First Stage of Tertiary Education,Yes,0.57457,59,106,0.48001,0.66914
2011,Lower Saxony,First Stage of Tertiary Education,No,0.42543,47,106,0.33086,0.51999
2011,Lower Saxony,Second Stage of Tertiary Education,Yes,0.59881,203,339,0.54655,0.65106
2011,Lower Saxony,Second Stage of Tertiary Education,No,0.40119,136,339,0.34894,0.45345
2011,Bremen,Upper Secondary Level,Yes,0.65840,38,38,0.50559,0.81121
2011,North Rhine-Westphalia,No answer / don't know,No,0.75938,65,65,0.65465,0.86411
2011,North Rhine-Westphalia,Pre-primary Level,No,0.83237,70,70,0.74423,0.92051
2011,North Rhine-Westphalia,Primary Level,Yes,0.60675,45,77,0.49693,0.71657
2011,North Rhine-Westphalia,Primary Level,No,0.39325,32,77,0.28343,0.50307
2011,North Rhine-Westphalia,Lower Secondary Level,Yes,0.67234,307,475,0.63009,0.71460
2011,North Rhine-Westphalia,Lower Secondary Level,No,0.32766,168,475,0.28540,0.36991
2011,North Rhine-Westphalia,Upper Secondary Level,Yes,0.65257,1239,1972,0.63155,0.67359
2011,North Rhine-Westphalia,Upper Secondary Level,No,0.34743,733,1972,0.32641,0.36845
2011,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.59619,170,314,0.54184,0.65055
2011,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.40381,144,314,0.34945,0.45816
2011,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.67780,159,247,0.61941,0.73620
2011,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.32220,88,247,0.26380,0.38059
2011,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.54344,442,825,0.50943,0.57745
2011,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.45656,383,825,0.42255,0.49057
2011,Hesse,Lower Secondary Level,Yes,0.78011,109,150,0.71361,0.84662
2011,Hesse,Lower Secondary Level,No,0.21989,41,150,0.15338,0.28639
2011,Hesse,Upper Secondary Level,Yes,0.66570,403,613,0.62833,0.70308
2011,Hesse,Upper Secondary Level,No,0.33430,210,613,0.29692,0.37167
2011,Hesse,Post-secondary Non-tertiary Level,Yes,0.47855,51,108,0.38390,0.57320
2011,Hesse,Post-secondary Non-tertiary Level,No,0.52145,57,108,0.42680,0.61610
2011,Hesse,First Stage of Tertiary Education,Yes,0.75873,53,53,0.64244,0.87502
2011,Hesse,Second Stage of Tertiary Education,Yes,0.54729,205,370,0.49650,0.59808
2011,Hesse,Second Stage of Tertiary Education,No,0.45271,165,370,0.40192,0.50350
2011,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.58229,118,197,0.51325,0.65134
2011,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.41771,79,197,0.34866,0.48675
2011,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.67150,401,609,0.63417,0.70883
2011,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.32850,208,609,0.29117,0.36583
2011,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Yes,0.53350,34,34,0.36329,0.70371
2011,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Yes,0.70699,54,88,0.61135,0.80263
2011,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,0.29301,34,88,0.19737,0.38865
2011,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Yes,0.52722,102,183,0.45469,0.59976
2011,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.47278,81,183,0.40024,0.54531
2011,Baden-Wuerttemberg,Pre-primary Level,No,0.81619,33,33,0.68199,0.95039
2011,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.61989,198,332,0.56759,0.67218
2011,Baden-Wuerttemberg,Lower Secondary Level,No,0.38011,134,332,0.32782,0.43241
2011,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.60673,677,1171,0.57874,0.63472
2011,Baden-Wuerttemberg,Upper Secondary Level,No,0.39327,494,1171,0.36528,0.42126
2011,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.55708,82,157,0.47913,0.63503
2011,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.44292,75,157,0.36497,0.52087
2011,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.63388,105,176,0.56250,0.70525
2011,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.36612,71,176,0.29475,0.43750
2011,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.53252,285,524,0.48976,0.57528
2011,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.46748,239,524,0.42472,0.51024
2011,Bavaria,Lower Secondary Level,Yes,0.69698,237,342,0.64820,0.74576
2011,Bavaria,Lower Secondary Level,No,0.30302,105,342,0.25424,0.35180
2011,Bavaria,Upper Secondary Level,Yes,0.63757,1062,1668,0.61449,0.66065
2011,Bavaria,Upper Secondary Level,No,0.36243,606,1668,0.33935,0.38551
2011,Bavaria,Post-secondary Non-tertiary Level,Yes,0.62428,96,161,0.54923,0.69932
2011,Bavaria,Post-secondary Non-tertiary Level,No,0.37572,65,161,0.30068,0.45077
2011,Bavaria,First Stage of Tertiary Education,Yes,0.68877,149,222,0.62773,0.74982
2011,Bavaria,First Stage of Tertiary Education,No,0.31123,73,222,0.25018,0.37227
2011,Bavaria,Second Stage of Tertiary Education,Yes,0.51004,348,636,0.47116,0.54892
2011,Bavaria,Second Stage of Tertiary Education,No,0.48996,288,636,0.45108,0.52884
