year,pgisced97,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No answer / don't know,male,Yes,0.28897,49,155,0.21737,0.36056
2011,No answer / don't know,male,No,0.71103,106,155,0.63944,0.78263
2011,No answer / don't know,female,Yes,0.44300,59,151,0.36350,0.52249
2011,No answer / don't know,female,No,0.55700,92,151,0.47751,0.63650
2011,Pre-primary Level,male,Yes,0.22989,33,160,0.16449,0.29530
2011,Pre-primary Level,male,No,0.77011,127,160,0.70470,0.83551
2011,Pre-primary Level,female,Yes,0.21200,35,151,0.14659,0.27742
2011,Pre-primary Level,female,No,0.78800,116,151,0.72258,0.85341
2011,Primary Level,male,Yes,0.57191,48,85,0.46609,0.67772
2011,Primary Level,male,No,0.42809,37,85,0.32228,0.53391
2011,Primary Level,female,Yes,0.77318,101,141,0.70380,0.84255
2011,Primary Level,female,No,0.22682,40,141,0.15745,0.29620
2011,Lower Secondary Level,male,Yes,0.47233,324,657,0.43412,0.51053
2011,Lower Secondary Level,male,No,0.52767,333,657,0.48947,0.56588
2011,Lower Secondary Level,female,Yes,0.76022,1065,1488,0.73852,0.78192
2011,Lower Secondary Level,female,No,0.23978,423,1488,0.21808,0.26148
2011,Upper Secondary Level,male,Yes,0.59999,2921,4840,0.58619,0.61380
2011,Upper Secondary Level,male,No,0.40001,1919,4840,0.38620,0.41381
2011,Upper Secondary Level,female,Yes,0.68273,3608,5534,0.67047,0.69499
2011,Upper Secondary Level,female,No,0.31727,1926,5534,0.30501,0.32953
2011,Post-secondary Non-tertiary Level,male,Yes,0.52306,222,442,0.47644,0.56967
2011,Post-secondary Non-tertiary Level,male,No,0.47694,220,442,0.43033,0.52356
2011,Post-secondary Non-tertiary Level,female,Yes,0.58086,397,741,0.54531,0.61641
2011,Post-secondary Non-tertiary Level,female,No,0.41914,344,741,0.38359,0.45469
2011,First Stage of Tertiary Education,male,Yes,0.68915,576,882,0.65858,0.71971
2011,First Stage of Tertiary Education,male,No,0.31085,306,882,0.28029,0.34142
2011,First Stage of Tertiary Education,female,Yes,0.68122,348,539,0.64184,0.72060
2011,First Stage of Tertiary Education,female,No,0.31878,191,539,0.27940,0.35816
2011,Second Stage of Tertiary Education,male,Yes,0.58200,1466,2436,0.56240,0.60159
2011,Second Stage of Tertiary Education,male,No,0.41800,970,2436,0.39841,0.43760
2011,Second Stage of Tertiary Education,female,Yes,0.56109,1184,2096,0.53984,0.58234
2011,Second Stage of Tertiary Education,female,No,0.43891,912,2096,0.41766,0.46016
2013,No answer / don't know,male,Yes,0.36042,46,140,0.28060,0.44024
2013,No answer / don't know,male,No,0.63958,94,140,0.55976,0.71940
2013,No answer / don't know,female,Yes,0.42789,56,128,0.34184,0.51394
2013,No answer / don't know,female,No,0.57211,72,128,0.48606,0.65816
2013,Pre-primary Level,male,Yes,0.23102,33,121,0.15561,0.30644
2013,Pre-primary Level,male,No,0.76898,88,121,0.69356,0.84439
2013,Pre-primary Level,female,No,0.71592,108,108,0.63047,0.80137
2013,Primary Level,male,Yes,0.65826,56,56,0.53291,0.78361
2013,Primary Level,female,Yes,0.76558,76,109,0.68569,0.84548
2013,Primary Level,female,No,0.23442,33,109,0.15452,0.31431
2013,Lower Secondary Level,male,Yes,0.52435,303,576,0.48353,0.56517
2013,Lower Secondary Level,male,No,0.47565,273,576,0.43483,0.51647
2013,Lower Secondary Level,female,Yes,0.80904,972,1262,0.78735,0.83074
2013,Lower Secondary Level,female,No,0.19096,290,1262,0.16926,0.21265
2013,Upper Secondary Level,male,Yes,0.64610,2769,4293,0.63179,0.66041
2013,Upper Secondary Level,male,No,0.35390,1524,4293,0.33959,0.36821
2013,Upper Secondary Level,female,Yes,0.70859,3447,5043,0.69605,0.72113
2013,Upper Secondary Level,female,No,0.29141,1596,5043,0.27887,0.30395
2013,Post-secondary Non-tertiary Level,male,Yes,0.60044,222,412,0.55309,0.64780
2013,Post-secondary Non-tertiary Level,male,No,0.39956,190,412,0.35220,0.44691
2013,Post-secondary Non-tertiary Level,female,Yes,0.61453,383,672,0.57770,0.65135
2013,Post-secondary Non-tertiary Level,female,No,0.38547,289,672,0.34865,0.42230
2013,First Stage of Tertiary Education,male,Yes,0.66427,539,811,0.63175,0.69680
2013,First Stage of Tertiary Education,male,No,0.33573,272,811,0.30320,0.36825
2013,First Stage of Tertiary Education,female,Yes,0.71370,352,499,0.67400,0.75340
2013,First Stage of Tertiary Education,female,No,0.28630,147,499,0.24660,0.32600
2013,Second Stage of Tertiary Education,male,Yes,0.62109,1475,2322,0.60135,0.64082
2013,Second Stage of Tertiary Education,male,No,0.37891,847,2322,0.35918,0.39865
2013,Second Stage of Tertiary Education,female,Yes,0.61084,1261,2093,0.58995,0.63173
2013,Second Stage of Tertiary Education,female,No,0.38916,832,2093,0.36827,0.41005
2015,No answer / don't know,male,Yes,0.32533,94,312,0.27326,0.37740
2015,No answer / don't know,male,No,0.67467,218,312,0.62260,0.72674
