year,migback,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Pre-primary Level,Yes,0.11591,56,241,0.07541,0.15642
2011,No migration background,Pre-primary Level,No,0.35420,185,241,0.29369,0.41471
2011,No migration background,Primary Level,Yes,0.62078,79,115,0.53172,0.70985
2011,No migration background,Primary Level,No,0.22582,36,115,0.14907,0.30258
2011,No migration background,Lower Secondary Level,Yes,0.63452,1105,1596,0.61089,0.65815
2011,No migration background,Lower Secondary Level,No,0.26238,491,1596,0.24079,0.28397
2011,No migration background,Upper Secondary Level,Yes,0.61170,5971,9280,0.60179,0.62162
2011,No migration background,Upper Secondary Level,No,0.31273,3309,9280,0.30330,0.32217
2011,No migration background,Post-secondary Non-tertiary Level,Yes,0.48061,488,930,0.44849,0.51274
2011,No migration background,Post-secondary Non-tertiary Level,No,0.38438,442,930,0.35310,0.41567
2011,No migration background,First Stage of Tertiary Education,Yes,0.63909,853,1293,0.61290,0.66528
2011,No migration background,First Stage of Tertiary Education,No,0.27906,440,1293,0.25460,0.30352
2011,No migration background,Second Stage of Tertiary Education,Yes,0.54770,2440,4059,0.53239,0.56302
2011,No migration background,Second Stage of Tertiary Education,No,0.36585,1619,4059,0.35103,0.38067
2011,Direct migration background,Primary Level,Yes,0.59927,66,98,0.50175,0.69679
2011,Direct migration background,Primary Level,No,0.21944,32,98,0.13707,0.30180
2011,Direct migration background,Lower Secondary Level,Yes,0.50591,239,417,0.45787,0.55396
2011,Direct migration background,Lower Secondary Level,No,0.34823,178,417,0.30245,0.39401
2011,Direct migration background,Upper Secondary Level,Yes,0.48822,425,757,0.45259,0.52386
2011,Direct migration background,Upper Secondary Level,No,0.37107,332,757,0.33663,0.40550
2011,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.48119,113,207,0.41296,0.54943
2011,Direct migration background,Post-secondary Non-tertiary Level,No,0.34940,94,207,0.28429,0.41451
2011,Direct migration background,First Stage of Tertiary Education,Yes,0.58445,57,92,0.48320,0.68571
2011,Direct migration background,First Stage of Tertiary Education,No,0.31753,35,92,0.22188,0.41317
2011,Direct migration background,Second Stage of Tertiary Education,Yes,0.36282,176,366,0.31349,0.41215
2011,Direct migration background,Second Stage of Tertiary Education,No,0.44668,190,366,0.39567,0.49768
2011,Indirect migration background,Pre-primary Level,No,0.36647,46,46,0.22569,0.50726
2011,Indirect migration background,Lower Secondary Level,Yes,0.28572,45,132,0.20836,0.36309
2011,Indirect migration background,Lower Secondary Level,No,0.53438,87,132,0.44896,0.61980
2011,Indirect migration background,Upper Secondary Level,Yes,0.32284,133,337,0.27284,0.37283
2011,Indirect migration background,Upper Secondary Level,No,0.55086,204,337,0.49767,0.60405
2011,Indirect migration background,Second Stage of Tertiary Education,Yes,0.21813,34,107,0.13951,0.29675
2011,Indirect migration background,Second Stage of Tertiary Education,No,0.65273,73,107,0.56210,0.74337
2013,No migration background,Pre-primary Level,Yes,0.11743,46,195,0.07213,0.16274
2013,No migration background,Pre-primary Level,No,0.30872,149,195,0.24371,0.37373
2013,No migration background,Primary Level,Yes,0.62139,78,111,0.53074,0.71203
2013,No migration background,Primary Level,No,0.21632,33,111,0.13938,0.29327
2013,No migration background,Lower Secondary Level,Yes,0.65864,1007,1377,0.63358,0.68369
2013,No migration background,Lower Secondary Level,No,0.22765,370,1377,0.20550,0.24981
2013,No migration background,Upper Secondary Level,Yes,0.63130,5683,8383,0.62097,0.64162
2013,No migration background,Upper Secondary Level,No,0.28940,2700,8383,0.27969,0.29910
2013,No migration background,Post-secondary Non-tertiary Level,Yes,0.51530,472,860,0.48188,0.54872
2013,No migration background,Post-secondary Non-tertiary Level,No,0.35541,388,860,0.32341,0.38742
2013,No migration background,First Stage of Tertiary Education,Yes,0.63824,832,1208,0.61113,0.66535
2013,No migration background,First Stage of Tertiary Education,No,0.29175,376,1208,0.26611,0.31740
2013,No migration background,Second Stage of Tertiary Education,Yes,0.57330,2496,3941,0.55785,0.58874
2013,No migration background,Second Stage of Tertiary Education,No,0.33742,1445,3941,0.32266,0.35219
2013,Direct migration background,Primary Level,Yes,0.33156,50,50,0.19975,0.46338
2013,Direct migration background,Lower Secondary Level,Yes,0.33476,219,346,0.28496,0.38455
2013,Direct migration background,Lower Secondary Level,No,0.18164,127,346,0.14096,0.22233
2013,Direct migration background,Upper Secondary Level,Yes,0.34692,392,654,0.31041,0.38343
2013,Direct migration background,Upper Secondary Level,No,0.19969,262,654,0.16903,0.23036
2013,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.32551,119,187,0.25817,0.39285
2013,Direct migration background,Post-secondary Non-tertiary Level,No,0.10842,68,187,0.06374,0.15310
2013,Direct migration background,First Stage of Tertiary Education,Yes,0.55951,47,47,0.41604,0.70298
2013,Direct migration background,Second Stage of Tertiary Education,Yes,0.28101,199,368,0.23503,0.32700
2013,Direct migration background,Second Stage of Tertiary Education,No,0.23389,169,368,0.19058,0.27720
2013,Indirect migration background,Pre-primary Level,No,0.22716,39,39,0.09394,0.36038
2013,Indirect migration background,Lower Secondary Level,Yes,0.16792,49,115,0.09930,0.23654
2013,Indirect migration background,Lower Secondary Level,No,0.19475,66,115,0.12205,0.26744
2013,Indirect migration background,Upper Secondary Level,Yes,0.27815,141,299,0.22728,0.32903
