year,age_gr,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Yes,0.23501,859,2946,0.21969,0.25032
2011,17-29 y.,No,0.58143,2087,2946,0.56362,0.59925
2011,30-45 y.,Yes,0.35077,2052,4783,0.33724,0.36429
2011,30-45 y.,No,0.42456,2731,4783,0.41055,0.43857
2011,46-65 y.,Yes,0.65338,5183,7692,0.64274,0.66402
2011,46-65 y.,No,0.29455,2509,7692,0.28436,0.30473
2011,66 and older,Yes,0.85653,4342,5077,0.84689,0.86617
2011,66 and older,No,0.13214,735,5077,0.12282,0.14145
2013,17-29 y.,Yes,0.21302,811,2501,0.19697,0.22907
2013,17-29 y.,No,0.46330,1690,2501,0.44375,0.48284
2013,30-45 y.,Yes,0.31443,1824,4017,0.30007,0.32879
2013,30-45 y.,No,0.35545,2193,4017,0.34064,0.37025
2013,46-65 y.,Yes,0.64121,5106,7274,0.63018,0.65223
2013,46-65 y.,No,0.25569,2168,7274,0.24567,0.26572
2013,66 and older,Yes,0.86600,4279,4909,0.85647,0.87553
2013,66 and older,No,0.12070,630,4909,0.11159,0.12982
2015,17-29 y.,Yes,0.27527,1228,3877,0.26121,0.28934
2015,17-29 y.,No,0.59884,2649,3877,0.58341,0.61427
2015,30-45 y.,Yes,0.42744,3252,7268,0.41607,0.43882
2015,30-45 y.,No,0.50821,4016,7268,0.49671,0.51970
2015,46-65 y.,Yes,0.68299,5882,8797,0.67326,0.69271
2015,46-65 y.,No,0.29954,2915,8797,0.28996,0.30911
2015,66 and older,Yes,0.86726,4260,4864,0.85772,0.87679
2015,66 and older,No,0.12450,604,4864,0.11522,0.13377
2017,17-29 y.,Yes,0.30182,1438,4319,0.28812,0.31551
2017,17-29 y.,No,0.59856,2881,4319,0.58394,0.61318
2017,30-45 y.,Yes,0.44159,3248,7204,0.43013,0.45306
2017,30-45 y.,No,0.53654,3956,7204,0.52502,0.54805
2017,46-65 y.,Yes,0.71121,6830,9910,0.70229,0.72013
2017,46-65 y.,No,0.27874,3080,9910,0.26991,0.28757
2017,66 and older,Yes,0.87253,4324,4940,0.86323,0.88183
2017,66 and older,No,0.12149,616,4940,0.11238,0.13061
2019,17-29 y.,Yes,0.36290,1463,3805,0.34762,0.37818
2019,17-29 y.,No,0.53059,2342,3805,0.51473,0.54645
2019,30-45 y.,Yes,0.48691,3179,6221,0.47449,0.49933
2019,30-45 y.,No,0.48741,3042,6221,0.47499,0.49983
2019,46-65 y.,Yes,0.74495,7394,10329,0.73655,0.75336
2019,46-65 y.,No,0.24028,2935,10329,0.23204,0.24852
2019,66 and older,Yes,0.89569,4599,5160,0.88735,0.90403
2019,66 and older,No,0.09907,561,5160,0.09092,0.10722
2021,17-29 y.,Yes,0.36305,1129,3180,0.34634,0.37977
2021,17-29 y.,No,0.55926,2051,3180,0.54200,0.57652
2021,30-45 y.,Yes,0.50813,2550,5205,0.49455,0.52171
2021,30-45 y.,No,0.47569,2655,5205,0.46213,0.48926
2021,46-65 y.,Yes,0.74355,5224,7215,0.73347,0.75363
2021,46-65 y.,No,0.24733,1991,7215,0.23737,0.25728
2021,66 and older,Yes,0.90264,3162,3564,0.89290,0.91237
2021,66 and older,No,0.08884,402,3564,0.07950,0.09819
