year,sex,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.43700,5639,9657,0.42710,0.44689
2011,male,No,0.31741,4018,9657,0.30812,0.32669
2011,female,Yes,0.50039,6797,10841,0.49097,0.50980
2011,female,No,0.25833,4044,10841,0.25009,0.26657
2013,male,Yes,0.43330,5443,8757,0.42292,0.44367
2013,male,No,0.26324,3314,8757,0.25401,0.27246
2013,female,Yes,0.49135,6577,9944,0.48152,0.50118
2013,female,No,0.21877,3367,9944,0.21065,0.22690
2015,male,Yes,0.47208,6346,11348,0.46290,0.48127
2015,male,No,0.33532,5002,11348,0.32664,0.34401
2015,female,Yes,0.55013,8276,13458,0.54172,0.55853
2015,female,No,0.27408,5182,13458,0.26654,0.28162
2017,male,Yes,0.49378,7057,12181,0.48490,0.50265
2017,male,No,0.32332,5124,12181,0.31501,0.33163
2017,female,Yes,0.55327,8783,14192,0.54509,0.56145
2017,female,No,0.28256,5409,14192,0.27515,0.28997
2019,male,Yes,0.52025,7586,12168,0.51137,0.52912
2019,male,No,0.29294,4582,12168,0.28485,0.30103
2019,female,Yes,0.59304,9044,13341,0.58470,0.60137
2019,female,No,0.23972,4297,13341,0.23247,0.24696
2021,male,Yes,0.51668,5376,9290,0.50651,0.52684
2021,male,No,0.30121,3914,9290,0.29188,0.31054
2021,female,Yes,0.59780,6682,9867,0.58813,0.60748
2021,female,No,0.23044,3185,9867,0.22213,0.23875
