year,bula_h,hhtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Single-person household,Yes,0.46270,43,95,0.36191,0.56350
2001,Schleswig-Holstein,Single-person household,No,0.53730,52,95,0.43650,0.63809
2001,Schleswig-Holstein,Couple without children,Yes,0.88830,114,114,0.83022,0.94638
2001,Schleswig-Holstein,Couple with children,Yes,0.97793,109,109,0.95023,1.00564
2001,Hamburg,Single-person household,Yes,0.37381,36,86,0.27096,0.47667
2001,Hamburg,Single-person household,No,0.62619,50,86,0.52333,0.72904
2001,Hamburg,Couple without children,Yes,0.79702,33,33,0.65765,0.93638
2001,Hamburg,Couple with children,Yes,0.95255,36,36,0.88212,1.02298
2001,Lower Saxony,Single-person household,Yes,0.62188,130,201,0.55468,0.68909
2001,Lower Saxony,Single-person household,No,0.37812,71,201,0.31091,0.44532
2001,Lower Saxony,Couple without children,Yes,0.91509,283,283,0.88256,0.94762
2001,Lower Saxony,Single parent,Yes,0.77736,39,39,0.64509,0.90964
2001,Lower Saxony,Couple with children,Yes,0.97132,354,354,0.95391,0.98873
2001,North Rhine-Westphalia,Single-person household,Yes,0.50708,324,601,0.46708,0.54709
2001,North Rhine-Westphalia,Single-person household,No,0.49292,277,601,0.45291,0.53292
2001,North Rhine-Westphalia,Couple without children,Yes,0.88333,697,789,0.86092,0.90575
2001,North Rhine-Westphalia,Couple without children,No,0.11667,92,789,0.09425,0.13908
2001,North Rhine-Westphalia,Single parent,Yes,0.66565,91,131,0.58456,0.74675
2001,North Rhine-Westphalia,Single parent,No,0.33435,40,131,0.25325,0.41544
2001,North Rhine-Westphalia,Couple with children,Yes,0.94847,842,893,0.93396,0.96298
2001,North Rhine-Westphalia,Couple with children,No,0.05153,51,893,0.03702,0.06604
2001,Hesse,Single-person household,Yes,0.54264,98,178,0.46925,0.61603
2001,Hesse,Single-person household,No,0.45736,80,178,0.38397,0.53075
2001,Hesse,Couple without children,Yes,0.90088,223,223,0.86158,0.94019
2001,Hesse,Couple with children,Yes,0.95981,278,278,0.93669,0.98294
2001,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.61653,100,164,0.54189,0.69118
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.38347,64,164,0.30882,0.45811
2001,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.89569,180,180,0.85091,0.94047
2001,"Rhineland-Palatinate, Saarland",Single parent,Yes,0.71233,35,35,0.56017,0.86449
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.97127,272,272,0.95139,0.99116
2001,Baden-Wuerttemberg,Single-person household,Yes,0.59609,201,324,0.54258,0.64960
2001,Baden-Wuerttemberg,Single-person household,No,0.40391,123,324,0.35040,0.45742
2001,Baden-Wuerttemberg,Couple without children,Yes,0.91918,331,368,0.89129,0.94706
2001,Baden-Wuerttemberg,Couple without children,No,0.08082,37,368,0.05294,0.10871
2001,Baden-Wuerttemberg,Single parent,Yes,0.65326,55,55,0.52632,0.78020
2001,Baden-Wuerttemberg,Couple with children,Yes,0.97275,528,528,0.95885,0.98665
2001,Bavaria,Single-person household,Yes,0.59852,257,413,0.55118,0.64585
2001,Bavaria,Single-person household,No,0.40148,156,413,0.35415,0.44882
2001,Bavaria,Couple without children,Yes,0.87843,414,466,0.84873,0.90813
2001,Bavaria,Couple without children,No,0.12157,52,466,0.09187,0.15127
2001,Bavaria,Single parent,Yes,0.86731,87,87,0.79561,0.93901
2001,Bavaria,Couple with children,Yes,0.98045,570,570,0.96907,0.99182
2001,Berlin,Single-person household,Yes,0.38446,73,175,0.31217,0.45674
2001,Berlin,Single-person household,No,0.61554,102,175,0.54326,0.68783
2001,Berlin,Couple without children,Yes,0.77474,88,88,0.68696,0.86253
2001,Berlin,Couple with children,Yes,0.93225,119,119,0.88690,0.97759
2001,Brandenburg,Single-person household,Yes,0.45798,57,115,0.36652,0.54944
2001,Brandenburg,Single-person household,No,0.54202,58,115,0.45056,0.63348
2001,Brandenburg,Couple without children,Yes,0.86316,149,149,0.80779,0.91853
2001,Brandenburg,Couple with children,Yes,0.93247,155,155,0.89283,0.97210
2001,Mecklenburg-Western Pomerania,Single-person household,Yes,0.43383,39,86,0.32847,0.53919
2001,Mecklenburg-Western Pomerania,Single-person household,No,0.56617,47,86,0.46081,0.67153
2001,Mecklenburg-Western Pomerania,Couple without children,Yes,0.85276,70,70,0.76915,0.93637
2001,Mecklenburg-Western Pomerania,Couple with children,Yes,0.95811,84,84,0.91501,1.00121
2001,Saxony,Single-person household,Yes,0.44390,92,198,0.37452,0.51328
2001,Saxony,Single-person household,No,0.55610,106,198,0.48672,0.62548
2001,Saxony,Couple without children,Yes,0.85777,251,288,0.81736,0.89818
2001,Saxony,Couple without children,No,0.14223,37,288,0.10182,0.18264
2001,Saxony,Single parent,Yes,0.73614,33,33,0.58344,0.88885
2001,Saxony,Couple with children,Yes,0.93674,280,280,0.90818,0.96531
