year,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Yes,0.75669,9393,11628,0.74889,0.76449
2001,No,0.24331,2235,11628,0.23551,0.25111
2003,Yes,0.75546,9623,11762,0.74769,0.76323
2003,No,0.24454,2139,11762,0.23677,0.25231
2005,Yes,0.75596,9109,11155,0.74799,0.76393
2005,No,0.24404,2046,11155,0.23607,0.25201
2007,Yes,0.75892,9369,11403,0.75106,0.76677
2007,No,0.24108,2034,11403,0.23323,0.24894
2011,Yes,0.76801,9789,12052,0.76047,0.77554
2011,No,0.23199,2263,12052,0.22446,0.23953
2013,Yes,0.76500,11099,13931,0.75796,0.77204
2013,No,0.23500,2832,13931,0.22796,0.24204
2016,Yes,0.77131,11560,14281,0.76442,0.77820
2016,No,0.22869,2721,14281,0.22180,0.23558
2017,Yes,0.77030,13253,17462,0.76406,0.77654
2017,No,0.22970,4209,17462,0.22346,0.23594
2018,Yes,0.77528,13272,17858,0.76916,0.78140
2018,No,0.22472,4586,17858,0.21860,0.23084
2019,Yes,0.78250,13378,16134,0.77613,0.78886
2019,No,0.21750,2756,16134,0.21114,0.22387
2021,Yes,0.79532,9895,12560,0.78826,0.80237
2021,No,0.20468,2665,12560,0.19763,0.21174
