year,hhtyp,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Yes,0.51619,1552,2905,0.49802,0.53437
2001,Single-person household,No,0.48381,1353,2905,0.46563,0.50198
2001,Couple without children,Yes,0.88012,3137,3574,0.86947,0.89077
2001,Couple without children,No,0.11988,437,3574,0.10923,0.13053
2001,Single parent,Yes,0.69593,490,704,0.66193,0.72994
2001,Single parent,No,0.30407,214,704,0.27006,0.33807
2001,Couple with children,Yes,0.95913,3975,4162,0.95312,0.96515
2001,Couple with children,No,0.04087,187,4162,0.03485,0.04688
2001,Multi-generational household,Yes,0.87188,145,145,0.81729,0.92647
2001,Other Combinations,Yes,0.76751,94,94,0.68166,0.85337
2003,Single-person household,Yes,0.52763,1587,2895,0.50944,0.54582
2003,Single-person household,No,0.47237,1308,2895,0.45418,0.49056
2003,Couple without children,Yes,0.88084,3393,3810,0.87055,0.89113
2003,Couple without children,No,0.11916,417,3810,0.10887,0.12945
2003,Single parent,Yes,0.66893,469,694,0.63389,0.70397
2003,Single parent,No,0.33107,225,694,0.29603,0.36611
2003,Couple with children,Yes,0.95744,3974,4128,0.95128,0.96360
2003,Couple with children,No,0.04256,154,4128,0.03640,0.04872
2003,Multi-generational household,Yes,0.84483,110,110,0.77685,0.91280
2003,Other Combinations,Yes,0.75408,90,90,0.66461,0.84355
2005,Single-person household,Yes,0.53070,1604,2891,0.51250,0.54889
2005,Single-person household,No,0.46930,1287,2891,0.45111,0.48750
2005,Couple without children,Yes,0.89050,3316,3679,0.88041,0.90059
2005,Couple without children,No,0.10950,363,3679,0.09941,0.11959
2005,Single parent,Yes,0.67703,479,690,0.64212,0.71195
2005,Single parent,No,0.32297,211,690,0.28805,0.35788
2005,Couple with children,Yes,0.94909,3534,3689,0.94200,0.95619
2005,Couple with children,No,0.05091,155,3689,0.04381,0.05800
2005,Multi-generational household,Yes,0.83721,93,93,0.76178,0.91265
2005,Other Combinations,Yes,0.87624,83,83,0.80497,0.94752
2007,Single-person household,Yes,0.54318,1774,3082,0.52559,0.56076
2007,Single-person household,No,0.45682,1308,3082,0.43924,0.47441
2007,Couple without children,Yes,0.89893,3525,3867,0.88943,0.90844
2007,Couple without children,No,0.10107,342,3867,0.09156,0.11057
