year,bula_h,hhtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,Yes,0.61814,32,32,0.44711,0.78917
1984,Schleswig-Holstein,Couple with children,Yes,0.78553,62,62,0.68252,0.88853
1984,Hamburg,Single-person household,Yes,0.64588,34,34,0.48271,0.80906
1984,Hamburg,Couple without children,Yes,0.82729,33,33,0.69632,0.95826
1984,Hamburg,Couple with children,Yes,0.72358,32,32,0.56615,0.88102
1984,Lower Saxony,Single-person household,Yes,0.41254,46,117,0.32295,0.50213
1984,Lower Saxony,Single-person household,No,0.58746,71,117,0.49787,0.67705
1984,Lower Saxony,Couple without children,Yes,0.67007,91,141,0.59218,0.74795
1984,Lower Saxony,Couple without children,No,0.32993,50,141,0.25205,0.40782
1984,Lower Saxony,Couple with children,Yes,0.73862,176,253,0.68437,0.79287
1984,Lower Saxony,Couple with children,No,0.26138,77,253,0.20713,0.31563
1984,North Rhine-Westphalia,Single-person household,Yes,0.44075,145,360,0.38939,0.49211
1984,North Rhine-Westphalia,Single-person household,No,0.55925,215,360,0.50789,0.61061
1984,North Rhine-Westphalia,Couple without children,Yes,0.68544,219,350,0.63672,0.73415
1984,North Rhine-Westphalia,Couple without children,No,0.31456,131,350,0.26585,0.36328
1984,North Rhine-Westphalia,Single parent,Yes,0.63996,49,85,0.53731,0.74261
1984,North Rhine-Westphalia,Single parent,No,0.36004,36,85,0.25739,0.46269
1984,North Rhine-Westphalia,Couple with children,Yes,0.72255,434,714,0.68969,0.75542
1984,North Rhine-Westphalia,Couple with children,No,0.27745,280,714,0.24458,0.31031
1984,Hesse,Single-person household,Yes,0.42334,48,118,0.33381,0.51287
1984,Hesse,Single-person household,No,0.57666,70,118,0.48713,0.66619
1984,Hesse,Couple without children,Yes,0.68128,84,137,0.60297,0.75960
1984,Hesse,Couple without children,No,0.31872,53,137,0.24040,0.39703
1984,Hesse,Couple with children,Yes,0.68865,157,261,0.63237,0.74494
1984,Hesse,Couple with children,No,0.31135,104,261,0.25506,0.36763
1984,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.50869,36,72,0.39240,0.62498
1984,"Rhineland-Palatinate, Saarland",Single-person household,No,0.49131,36,72,0.37502,0.60760
1984,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.69630,69,101,0.60617,0.78643
1984,"Rhineland-Palatinate, Saarland",Couple without children,No,0.30370,32,101,0.21357,0.39383
1984,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.70172,100,160,0.63061,0.77284
1984,"Rhineland-Palatinate, Saarland",Couple with children,No,0.29828,60,160,0.22716,0.36939
1984,Baden-Wuerttemberg,Single-person household,Yes,0.58505,108,206,0.51760,0.65250
1984,Baden-Wuerttemberg,Single-person household,No,0.41495,98,206,0.34750,0.48240
1984,Baden-Wuerttemberg,Couple without children,Yes,0.71173,124,200,0.64880,0.77466
1984,Baden-Wuerttemberg,Couple without children,No,0.28827,76,200,0.22534,0.35120
1984,Baden-Wuerttemberg,Single parent,Yes,0.62597,33,33,0.45832,0.79362
1984,Baden-Wuerttemberg,Couple with children,Yes,0.73120,330,533,0.69353,0.76888
1984,Baden-Wuerttemberg,Couple with children,No,0.26880,203,533,0.23112,0.30647
1984,Bavaria,Single-person household,Yes,0.57458,102,185,0.50314,0.64601
1984,Bavaria,Single-person household,No,0.42542,83,185,0.35399,0.49686
1984,Bavaria,Couple without children,Yes,0.76255,170,235,0.70803,0.81707
1984,Bavaria,Couple without children,No,0.23745,65,235,0.18293,0.29197
1984,Bavaria,Couple with children,Yes,0.82978,330,446,0.79487,0.86470
1984,Bavaria,Couple with children,No,0.17022,116,446,0.13530,0.20513
1984,Berlin,Single-person household,Yes,0.73573,52,52,0.61472,0.85675
1984,Berlin,Couple without children,Yes,0.87922,43,43,0.78066,0.97777
1984,Berlin,Couple with children,Yes,0.84064,56,56,0.74390,0.93737
1985,Schleswig-Holstein,Couple with children,Yes,0.76916,56,56,0.65780,0.88052
1985,Hamburg,Single-person household,Yes,0.68483,38,38,0.53513,0.83453
1985,Hamburg,Couple without children,Yes,0.80366,33,33,0.66603,0.94130
1985,Lower Saxony,Single-person household,Yes,0.44706,44,103,0.35057,0.54355
1985,Lower Saxony,Single-person household,No,0.55294,59,103,0.45645,0.64943
1985,Lower Saxony,Couple without children,Yes,0.65121,84,131,0.56928,0.73314
1985,Lower Saxony,Couple without children,No,0.34879,47,131,0.26686,0.43072
1985,Lower Saxony,Couple with children,Yes,0.74945,153,217,0.69166,0.80724
1985,Lower Saxony,Couple with children,No,0.25055,64,217,0.19276,0.30834
1985,North Rhine-Westphalia,Single-person household,Yes,0.44216,130,318,0.38749,0.49684
1985,North Rhine-Westphalia,Single-person household,No,0.55784,188,318,0.50316,0.61251
1985,North Rhine-Westphalia,Couple without children,Yes,0.67498,194,311,0.62284,0.72712
1985,North Rhine-Westphalia,Couple without children,No,0.32502,117,311,0.27288,0.37716
