year,regtyp,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Owner,Yes,0.76839,1545,1968,0.74974,0.78703
1984,No answer / don't know,Owner,No,0.23161,423,1968,0.21297,0.25026
1984,No answer / don't know,Tenant,Yes,0.58971,2001,3789,0.57405,0.60538
1984,No answer / don't know,Tenant,No,0.41029,1788,3789,0.39462,0.42595
1985,Urban regions,Owner,Yes,0.77586,1019,1284,0.75304,0.79868
1985,Urban regions,Owner,No,0.22414,265,1284,0.20132,0.24696
1985,Urban regions,Tenant,Yes,0.60251,1542,2838,0.58451,0.62052
1985,Urban regions,Tenant,No,0.39749,1296,2838,0.37948,0.41549
1985,Rural regions,Owner,Yes,0.74588,417,543,0.70923,0.78254
1985,Rural regions,Owner,No,0.25412,126,543,0.21746,0.29077
1985,Rural regions,Tenant,Yes,0.56675,270,500,0.52327,0.61023
1985,Rural regions,Tenant,No,0.43325,230,500,0.38977,0.47673
1986,Urban regions,Owner,Yes,0.78279,1010,1267,0.76008,0.80550
1986,Urban regions,Owner,No,0.21721,257,1267,0.19450,0.23992
1986,Urban regions,Tenant,Yes,0.61661,1488,2665,0.59815,0.63508
1986,Urban regions,Tenant,No,0.38339,1177,2665,0.36492,0.40185
1986,Rural regions,Owner,Yes,0.76867,414,529,0.73270,0.80464
1986,Rural regions,Owner,No,0.23133,115,529,0.19536,0.26730
1986,Rural regions,Tenant,Yes,0.55898,242,459,0.51350,0.60445
1986,Rural regions,Tenant,No,0.44102,217,459,0.39555,0.48650
1987,Urban regions,Owner,Yes,0.77624,1008,1280,0.75340,0.79909
1987,Urban regions,Owner,No,0.22376,272,1280,0.20091,0.24660
1987,Urban regions,Tenant,Yes,0.61906,1472,2603,0.60040,0.63772
1987,Urban regions,Tenant,No,0.38094,1131,2603,0.36228,0.39960
1987,Rural regions,Owner,Yes,0.77643,404,514,0.74037,0.81248
1987,Rural regions,Owner,No,0.22357,110,514,0.18752,0.25963
1987,Rural regions,Tenant,Yes,0.58214,260,464,0.53721,0.62706
1987,Rural regions,Tenant,No,0.41786,204,464,0.37294,0.46279
1988,Urban regions,Owner,Yes,0.78992,994,1244,0.76728,0.81257
1988,Urban regions,Owner,No,0.21008,250,1244,0.18743,0.23272
1988,Urban regions,Tenant,Yes,0.62672,1423,2494,0.60773,0.64570
1988,Urban regions,Tenant,No,0.37328,1071,2494,0.35430,0.39227
1988,Rural regions,Owner,Yes,0.77507,371,472,0.73736,0.81278
1988,Rural regions,Owner,No,0.22493,101,472,0.18722,0.26264
1988,Rural regions,Tenant,Yes,0.60259,260,450,0.55733,0.64786
1988,Rural regions,Tenant,No,0.39741,190,450,0.35214,0.44267
1989,Urban regions,Owner,Yes,0.79447,986,1228,0.77186,0.81709
1989,Urban regions,Owner,No,0.20553,242,1228,0.18291,0.22814
1989,Urban regions,Tenant,Yes,0.63331,1397,2429,0.61414,0.65248
1989,Urban regions,Tenant,No,0.36669,1032,2429,0.34752,0.38586
1989,Rural regions,Owner,Yes,0.77345,358,454,0.73490,0.81200
1989,Rural regions,Owner,No,0.22655,96,454,0.18800,0.26510
1989,Rural regions,Tenant,Yes,0.56799,234,424,0.52079,0.61520
