year,hhtyp,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,No answer / don't know,Yes,0.52555,624,1262,0.49798,0.55311
1984,Single-person household,No answer / don't know,No,0.47445,638,1262,0.44689,0.50202
1984,Couple without children,No answer / don't know,Yes,0.71898,882,1326,0.69478,0.74319
1984,Couple without children,No answer / don't know,No,0.28102,444,1326,0.25681,0.30522
1984,Single parent,No answer / don't know,Yes,0.65181,192,322,0.59970,0.70393
1984,Single parent,No answer / don't know,No,0.34819,130,322,0.29607,0.40030
1984,Couple with children,No answer / don't know,Yes,0.74748,1691,2590,0.73074,0.76421
1984,Couple with children,No answer / don't know,No,0.25252,899,2590,0.23579,0.26926
1984,Multi-generational household,No answer / don't know,Yes,0.67209,71,126,0.58980,0.75439
1984,Multi-generational household,No answer / don't know,No,0.32791,55,126,0.24561,0.41020
1984,Other Combinations,No answer / don't know,Yes,0.72115,86,131,0.64406,0.79824
1984,Other Combinations,No answer / don't know,No,0.27885,45,131,0.20176,0.35594
1985,Single-person household,Urban regions,Yes,0.54860,489,943,0.51682,0.58038
1985,Single-person household,Urban regions,No,0.45140,454,943,0.41962,0.48318
1985,Single-person household,Rural regions,Yes,0.49922,83,174,0.42471,0.57373
1985,Single-person household,Rural regions,No,0.50078,91,174,0.42627,0.57529
1985,Couple without children,Urban regions,Yes,0.72668,638,946,0.69826,0.75509
1985,Couple without children,Urban regions,No,0.27332,308,946,0.24491,0.30174
1985,Couple without children,Rural regions,Yes,0.65547,161,256,0.59714,0.71380
1985,Couple without children,Rural regions,No,0.34453,95,256,0.28620,0.40286
1985,Single parent,Urban regions,Yes,0.66129,135,228,0.59972,0.72286
1985,Single parent,Urban regions,No,0.33871,93,228,0.27714,0.40028
1985,Single parent,Rural regions,Yes,0.62987,39,39,0.47635,0.78339
1985,Couple with children,Urban regions,Yes,0.75031,1198,1842,0.73054,0.77008
1985,Couple with children,Urban regions,No,0.24969,644,1842,0.22992,0.26946
1985,Couple with children,Rural regions,Yes,0.79874,365,485,0.76302,0.83446
1985,Couple with children,Rural regions,No,0.20126,120,485,0.16554,0.23698
1985,Multi-generational household,Urban regions,Yes,0.76438,43,43,0.63603,0.89273
1985,Other Combinations,Urban regions,Yes,0.62134,58,95,0.52328,0.71940
1985,Other Combinations,Urban regions,No,0.37866,37,95,0.28060,0.47672
1986,Single-person household,Urban regions,Yes,0.57760,483,888,0.54510,0.61011
1986,Single-person household,Urban regions,No,0.42240,405,888,0.38989,0.45490
1986,Single-person household,Rural regions,Yes,0.56283,89,162,0.48621,0.63945
1986,Single-person household,Rural regions,No,0.43717,73,162,0.36055,0.51379
1986,Couple without children,Urban regions,Yes,0.72770,643,947,0.69933,0.75607
1986,Couple without children,Urban regions,No,0.27230,304,947,0.24393,0.30067
1986,Couple without children,Rural regions,Yes,0.64250,144,233,0.58082,0.70417
1986,Couple without children,Rural regions,No,0.35750,89,233,0.29583,0.41918
1986,Single parent,Urban regions,Yes,0.67081,137,216,0.60799,0.73362
1986,Single parent,Urban regions,No,0.32919,79,216,0.26638,0.39201
1986,Single parent,Rural regions,Yes,0.62102,39,39,0.46677,0.77527
1986,Couple with children,Urban regions,Yes,0.75473,1138,1723,0.73441,0.77505
1986,Couple with children,Urban regions,No,0.24527,585,1723,0.22495,0.26559
1986,Couple with children,Rural regions,Yes,0.78529,343,466,0.74797,0.82261
1986,Couple with children,Rural regions,No,0.21471,123,466,0.17739,0.25203
1986,Multi-generational household,Urban regions,Yes,0.61194,40,71,0.49778,0.72610
1986,Multi-generational household,Urban regions,No,0.38806,31,71,0.27390,0.50222
1986,Other Combinations,Urban regions,Yes,0.64432,57,89,0.54430,0.74434
1986,Other Combinations,Urban regions,No,0.35568,32,89,0.25566,0.45570
1987,Single-person household,Urban regions,Yes,0.57561,488,889,0.54310,0.60812
1987,Single-person household,Urban regions,No,0.42439,401,889,0.39188,0.45690
1987,Single-person household,Rural regions,Yes,0.57842,92,165,0.50284,0.65400
1987,Single-person household,Rural regions,No,0.42158,73,165,0.34600,0.49716
1987,Couple without children,Urban regions,Yes,0.73189,636,932,0.70344,0.76035
1987,Couple without children,Urban regions,No,0.26811,296,932,0.23965,0.29656
1987,Couple without children,Rural regions,Yes,0.65959,149,239,0.59939,0.71979
1987,Couple without children,Rural regions,No,0.34041,90,239,0.28021,0.40061
1987,Single parent,Urban regions,Yes,0.67810,135,204,0.61383,0.74237
