year,hhtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Yes,0.52555,624,1262,0.49798,0.55311
1984,Single-person household,No,0.47445,638,1262,0.44689,0.50202
1984,Couple without children,Yes,0.71898,882,1326,0.69478,0.74319
1984,Couple without children,No,0.28102,444,1326,0.25681,0.30522
1984,Single parent,Yes,0.65181,192,322,0.59970,0.70393
1984,Single parent,No,0.34819,130,322,0.29607,0.40030
1984,Couple with children,Yes,0.74748,1691,2590,0.73074,0.76421
1984,Couple with children,No,0.25252,899,2590,0.23579,0.26926
1984,Multi-generational household,Yes,0.67209,71,126,0.58980,0.75439
1984,Multi-generational household,No,0.32791,55,126,0.24561,0.41020
1984,Other Combinations,Yes,0.72115,86,131,0.64406,0.79824
1984,Other Combinations,No,0.27885,45,131,0.20176,0.35594
1985,Single-person household,Yes,0.53978,572,1117,0.51053,0.56902
1985,Single-person household,No,0.46022,545,1117,0.43098,0.48947
1985,Couple without children,Yes,0.70967,799,1202,0.68400,0.73535
1985,Couple without children,No,0.29033,403,1202,0.26465,0.31600
1985,Single parent,Yes,0.65349,174,288,0.59844,0.70855
1985,Single parent,No,0.34651,114,288,0.29145,0.40156
1985,Couple with children,Yes,0.76244,1563,2327,0.74514,0.77973
1985,Couple with children,No,0.23756,764,2327,0.22027,0.25486
1985,Multi-generational household,Yes,0.68673,68,112,0.60044,0.77302
1985,Multi-generational household,No,0.31327,44,112,0.22698,0.39956
1985,Other Combinations,Yes,0.64121,72,119,0.55467,0.72776
1985,Other Combinations,No,0.35879,47,119,0.27224,0.44533
1986,Single-person household,Yes,0.57495,572,1050,0.54503,0.60486
1986,Single-person household,No,0.42505,478,1050,0.39514,0.45497
1986,Couple without children,Yes,0.70914,787,1180,0.68321,0.73506
1986,Couple without children,No,0.29086,393,1180,0.26494,0.31679
1986,Single parent,Yes,0.65827,176,275,0.60211,0.71443
1986,Single parent,No,0.34173,99,275,0.28557,0.39789
1986,Couple with children,Yes,0.76245,1481,2189,0.74462,0.78028
1986,Couple with children,No,0.23755,708,2189,0.21972,0.25538
1986,Multi-generational household,Yes,0.63860,66,113,0.54963,0.72757
1986,Multi-generational household,No,0.36140,47,113,0.27243,0.45037
1986,Other Combinations,Yes,0.65023,73,116,0.56307,0.73739
1986,Other Combinations,No,0.34977,43,116,0.26261,0.43693
1987,Single-person household,Yes,0.57610,580,1054,0.54625,0.60595
1987,Single-person household,No,0.42390,474,1054,0.39405,0.45375
1987,Couple without children,Yes,0.71577,785,1171,0.68993,0.74162
1987,Couple without children,No,0.28423,386,1171,0.25838,0.31007
1987,Single parent,Yes,0.66342,177,267,0.60663,0.72020
1987,Single parent,No,0.33658,90,267,0.27980,0.39337
1987,Couple with children,Yes,0.76187,1464,2143,0.74383,0.77990
1987,Couple with children,No,0.23813,679,2143,0.22010,0.25617
1987,Multi-generational household,Yes,0.67471,69,118,0.58982,0.75960
1987,Multi-generational household,No,0.32529,49,118,0.24040,0.41018
1987,Other Combinations,Yes,0.65612,69,109,0.56653,0.74570
1987,Other Combinations,No,0.34388,40,109,0.25430,0.43347
1988,Single-person household,Yes,0.58947,577,1016,0.55921,0.61973
1988,Single-person household,No,0.41053,439,1016,0.38027,0.44079
1988,Couple without children,Yes,0.72470,776,1144,0.69881,0.75060
1988,Couple without children,No,0.27530,368,1144,0.24940,0.30119
1988,Single parent,Yes,0.68648,175,260,0.62998,0.74299
1988,Single parent,No,0.31352,85,260,0.25701,0.37002
1988,Couple with children,Yes,0.76762,1402,2047,0.74932,0.78592
1988,Couple with children,No,0.23238,645,2047,0.21408,0.25068
1988,Multi-generational household,Yes,0.69370,58,98,0.60196,0.78543
1988,Multi-generational household,No,0.30630,40,98,0.21457,0.39804
1988,Other Combinations,Yes,0.68573,60,95,0.59189,0.77958
1988,Other Combinations,No,0.31427,35,95,0.22042,0.40811
1989,Single-person household,Yes,0.58860,573,1014,0.55830,0.61891
1989,Single-person household,No,0.41140,441,1014,0.38109,0.44170
1989,Couple without children,Yes,0.72776,771,1132,0.70182,0.75370
1989,Couple without children,No,0.27224,361,1132,0.24630,0.29818
1989,Single parent,Yes,0.69635,167,247,0.63888,0.75381
1989,Single parent,No,0.30365,80,247,0.24619,0.36112
1989,Couple with children,Yes,0.76989,1348,1956,0.75123,0.78855
1989,Couple with children,No,0.23011,608,1956,0.21145,0.24877
1989,Multi-generational household,Yes,0.69810,60,104,0.60944,0.78676
1989,Multi-generational household,No,0.30190,44,104,0.21324,0.39056
1989,Other Combinations,Yes,0.73337,58,58,0.61858,0.84817
1990,Single-person household,Yes,0.62004,644,1060,0.59080,0.64927
1990,Single-person household,No,0.37996,416,1060,0.35073,0.40920
1990,Couple without children,Yes,0.74071,957,1332,0.71717,0.76426
1990,Couple without children,No,0.25929,375,1332,0.23574,0.28283
1990,Single parent,Yes,0.77928,245,313,0.73326,0.82530
1990,Single parent,No,0.22072,68,313,0.17470,0.26674
1990,Couple with children,Yes,0.79211,1826,2429,0.77597,0.80825
1990,Couple with children,No,0.20789,603,2429,0.19175,0.22403
1990,Multi-generational household,Yes,0.75436,89,133,0.68092,0.82780
1990,Multi-generational household,No,0.24564,44,133,0.17220,0.31908
1990,Other Combinations,Yes,0.71702,74,74,0.61368,0.82035
1991,Single-person household,Yes,0.56217,658,1269,0.53486,0.58947
1991,Single-person household,No,0.43783,611,1269,0.41053,0.46514
1991,Couple without children,Yes,0.67014,1002,1633,0.64733,0.69295
1991,Couple without children,No,0.32986,631,1633,0.30705,0.35267
1991,Single parent,Yes,0.67428,242,381,0.62716,0.72140
1991,Single parent,No,0.32572,139,381,0.27860,0.37284
1991,Couple with children,Yes,0.71775,1870,2975,0.70158,0.73393
1991,Couple with children,No,0.28225,1105,2975,0.26607,0.29842
1991,Multi-generational household,Yes,0.68385,83,151,0.60944,0.75826
1991,Multi-generational household,No,0.31615,68,151,0.24174,0.39056
1991,Other Combinations,Yes,0.54475,75,148,0.46424,0.62525
1991,Other Combinations,No,0.45525,73,148,0.37475,0.53576
1992,Single-person household,Yes,0.58372,686,1258,0.55647,0.61097
1992,Single-person household,No,0.41628,572,1258,0.38903,0.44353
1992,Couple without children,Yes,0.68432,1030,1640,0.66182,0.70683
1992,Couple without children,No,0.31568,610,1640,0.29317,0.33818
1992,Single parent,Yes,0.70553,243,386,0.66000,0.75106
1992,Single parent,No,0.29447,143,386,0.24894,0.34000
1992,Couple with children,Yes,0.73170,1823,2843,0.71541,0.74799
1992,Couple with children,No,0.26830,1020,2843,0.25201,0.28459
1992,Multi-generational household,Yes,0.71282,82,144,0.63867,0.78698
1992,Multi-generational household,No,0.28718,62,144,0.21302,0.36133
1992,Other Combinations,Yes,0.56604,81,161,0.48925,0.64284
1992,Other Combinations,No,0.43396,80,161,0.35716,0.51075
1993,Single-person household,Yes,0.58705,715,1301,0.56028,0.61381
1993,Single-person household,No,0.41295,586,1301,0.38619,0.43972
1993,Couple without children,Yes,0.68796,1055,1663,0.66568,0.71023
1993,Couple without children,No,0.31204,608,1663,0.28977,0.33432
1993,Single parent,Yes,0.70225,230,366,0.65534,0.74916
1993,Single parent,No,0.29775,136,366,0.25084,0.34466
1993,Couple with children,Yes,0.73302,1749,2729,0.71642,0.74962
1993,Couple with children,No,0.26698,980,2729,0.25038,0.28358
1993,Multi-generational household,Yes,0.74847,88,145,0.67760,0.81934
1993,Multi-generational household,No,0.25153,57,145,0.18066,0.32240
1993,Other Combinations,Yes,0.55055,81,157,0.47249,0.62861
