year,age_gr,regtyp,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Yes,0.65103,1545,2488,0.63230,0.66977
1985,17-29 y.,Urban regions,No,0.34897,943,2488,0.33023,0.36770
1985,17-29 y.,Rural regions,Yes,0.67017,432,652,0.63406,0.70629
1985,17-29 y.,Rural regions,No,0.32983,220,652,0.29371,0.36594
1985,30-45 y.,Urban regions,Yes,0.63617,1736,2750,0.61819,0.65416
1985,30-45 y.,Urban regions,No,0.36383,1014,2750,0.34584,0.38181
1985,30-45 y.,Rural regions,Yes,0.65251,477,725,0.61783,0.68720
1985,30-45 y.,Rural regions,No,0.34749,248,725,0.31280,0.38217
1985,46-65 y.,Urban regions,Yes,0.75574,1940,2605,0.73923,0.77224
1985,46-65 y.,Urban regions,No,0.24426,665,2605,0.22776,0.26077
1985,46-65 y.,Rural regions,Yes,0.75064,519,699,0.71854,0.78273
1985,46-65 y.,Rural regions,No,0.24936,180,699,0.21727,0.28146
1985,66 and older,Urban regions,Yes,0.85529,696,816,0.83114,0.87944
1985,66 and older,Urban regions,No,0.14471,120,816,0.12056,0.16886
1985,66 and older,Rural regions,Yes,0.86721,253,291,0.82815,0.90627
1985,66 and older,Rural regions,No,0.13279,38,291,0.09373,0.17185
1986,17-29 y.,Urban regions,Yes,0.68491,1542,2413,0.66637,0.70345
1986,17-29 y.,Urban regions,No,0.31490,871,2413,0.29636,0.33344
1986,17-29 y.,Rural regions,Yes,0.67398,428,641,0.63767,0.71030
1986,17-29 y.,Rural regions,No,0.32602,213,641,0.28970,0.36233
1986,30-45 y.,Urban regions,Yes,0.66602,1727,2598,0.64788,0.68416
1986,30-45 y.,Urban regions,No,0.33398,871,2598,0.31584,0.35212
1986,30-45 y.,Rural regions,Yes,0.66269,435,672,0.62692,0.69846
1986,30-45 y.,Rural regions,No,0.33731,237,672,0.30154,0.37308
1986,46-65 y.,Urban regions,Yes,0.76589,1924,2553,0.74946,0.78232
1986,46-65 y.,Urban regions,No,0.23411,629,2553,0.21768,0.25054
1986,46-65 y.,Rural regions,Yes,0.76192,517,675,0.72977,0.79408
1986,46-65 y.,Rural regions,No,0.23808,158,675,0.20592,0.27023
1986,66 and older,Urban regions,Yes,0.85884,652,764,0.83414,0.88355
1986,66 and older,Urban regions,No,0.14116,112,764,0.11645,0.16586
1986,66 and older,Rural regions,Yes,0.87288,234,267,0.83285,0.91291
1986,66 and older,Rural regions,No,0.12712,33,267,0.08709,0.16715
1987,17-29 y.,Urban regions,Yes,0.67185,1488,2365,0.65292,0.69077
1987,17-29 y.,Urban regions,No,0.32717,877,2365,0.30826,0.34608
1987,17-29 y.,Rural regions,Yes,0.67343,432,643,0.63716,0.70971
1987,17-29 y.,Rural regions,No,0.32657,211,643,0.29029,0.36284
1987,30-45 y.,Urban regions,Yes,0.64696,1640,2519,0.62830,0.66563
1987,30-45 y.,Urban regions,No,0.35304,879,2519,0.33437,0.37170
1987,30-45 y.,Rural regions,Yes,0.63270,401,649,0.59558,0.66982
1987,30-45 y.,Rural regions,No,0.36730,248,649,0.33018,0.40442
1987,46-65 y.,Urban regions,Yes,0.76620,1894,2548,0.74977,0.78264
1987,46-65 y.,Urban regions,No,0.23380,654,2548,0.21736,0.25023
1987,46-65 y.,Rural regions,Yes,0.76222,501,660,0.72971,0.79472
