year,age_gr,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Yes,0.63884,2127,3435,0.62277,0.65490
1984,17-29 y.,No,0.35986,1308,3435,0.34381,0.37591
1984,30-45 y.,Yes,0.64426,2483,3906,0.62924,0.65927
1984,30-45 y.,No,0.35574,1423,3906,0.34073,0.37076
1984,46-65 y.,Yes,0.74974,2598,3556,0.73550,0.76398
1984,46-65 y.,No,0.25026,958,3556,0.23602,0.26450
1984,66 and older,Yes,0.84488,1070,1267,0.82494,0.86482
1984,66 and older,No,0.15512,197,1267,0.13518,0.17506
1985,17-29 y.,Yes,0.65567,1977,3140,0.63905,0.67230
1985,17-29 y.,No,0.34433,1163,3140,0.32770,0.36095
1985,30-45 y.,Yes,0.64004,2213,3475,0.62408,0.65600
1985,30-45 y.,No,0.35996,1262,3475,0.34400,0.37592
1985,46-65 y.,Yes,0.75449,2459,3304,0.73982,0.76917
1985,46-65 y.,No,0.24551,845,3304,0.23083,0.26018
1985,66 and older,Yes,0.85854,949,1107,0.83801,0.87908
1985,66 and older,No,0.14146,158,1107,0.12092,0.16199
1986,17-29 y.,Yes,0.68220,1970,3054,0.66568,0.69872
1986,17-29 y.,No,0.31765,1084,3054,0.30114,0.33417
1986,30-45 y.,Yes,0.66525,2162,3270,0.64907,0.68142
1986,30-45 y.,No,0.33475,1108,3270,0.31858,0.35093
1986,46-65 y.,Yes,0.76494,2441,3228,0.75031,0.77957
1986,46-65 y.,No,0.23506,787,3228,0.22043,0.24969
1986,66 and older,Yes,0.86256,886,1031,0.84153,0.88358
1986,66 and older,No,0.13744,145,1031,0.11642,0.15847
1987,17-29 y.,Yes,0.67223,1920,3008,0.65545,0.68901
1987,17-29 y.,No,0.32702,1088,3008,0.31026,0.34379
1987,30-45 y.,Yes,0.64367,2041,3168,0.62699,0.66035
1987,30-45 y.,No,0.35633,1127,3168,0.33965,0.37301
1987,46-65 y.,Yes,0.76527,2395,3208,0.75060,0.77994
1987,46-65 y.,No,0.23473,813,3208,0.22006,0.24940
1987,66 and older,Yes,0.87077,922,1068,0.85064,0.89090
1987,66 and older,No,0.12923,146,1068,0.10910,0.14936
1988,17-29 y.,Yes,0.60694,1663,2864,0.58904,0.62483
1988,17-29 y.,No,0.39174,1201,2864,0.37386,0.40962
1988,30-45 y.,Yes,0.60058,1771,2942,0.58288,0.61828
1988,30-45 y.,No,0.39656,1171,2942,0.37888,0.41424
1988,46-65 y.,Yes,0.71111,2226,3099,0.69515,0.72707
1988,46-65 y.,No,0.28410,873,3099,0.26822,0.29998
1988,66 and older,Yes,0.85222,873,1030,0.83054,0.87390
1988,66 and older,No,0.14345,157,1030,0.12203,0.16486
1989,17-29 y.,Yes,0.63370,1730,2818,0.61590,0.65149
1989,17-29 y.,No,0.36425,1088,2818,0.34647,0.38202
1989,30-45 y.,Yes,0.60264,1742,2832,0.58461,0.62066
1989,30-45 y.,No,0.39372,1090,2832,0.37572,0.41172
1989,46-65 y.,Yes,0.72732,2115,2971,0.71130,0.74333
1989,46-65 y.,No,0.26859,856,2971,0.25265,0.28453
1989,66 and older,Yes,0.85484,857,1006,0.83306,0.87662
1989,66 and older,No,0.14019,149,1006,0.11873,0.16166
1991,17-29 y.,Yes,0.63745,2231,3676,0.62191,0.65300
1991,17-29 y.,No,0.35821,1445,3676,0.34271,0.37371
1991,30-45 y.,Yes,0.60189,2525,4297,0.58725,0.61653
1991,30-45 y.,No,0.39487,1772,4297,0.38025,0.40949
1991,46-65 y.,Yes,0.72730,2926,4101,0.71367,0.74093
1991,46-65 y.,No,0.26544,1175,4101,0.25192,0.27896
1991,66 and older,Yes,0.85465,1228,1439,0.83644,0.87287
1991,66 and older,No,0.14056,211,1439,0.12260,0.15853
1992,17-29 y.,Yes,0.61312,2118,3549,0.59709,0.62915
1992,17-29 y.,No,0.38013,1431,3549,0.36416,0.39610
1992,30-45 y.,Yes,0.62643,2652,4212,0.61182,0.64104
1992,30-45 y.,No,0.36368,1560,4212,0.34915,0.37821
1992,46-65 y.,Yes,0.72052,2871,3968,0.70656,0.73449
1992,46-65 y.,No,0.26419,1097,3968,0.25047,0.27791
1992,66 and older,Yes,0.84495,1224,1427,0.82617,0.86374
1992,66 and older,No,0.13935,203,1427,0.12138,0.15733
1994,17-29 y.,Yes,0.70994,2312,3333,0.69453,0.72535
1994,17-29 y.,No,0.28775,1021,3333,0.27238,0.30312
1994,30-45 y.,Yes,0.71681,2981,4124,0.70306,0.73056
1994,30-45 y.,No,0.27615,1143,4124,0.26251,0.28980
1994,46-65 y.,Yes,0.79283,3093,3866,0.78005,0.80561
1994,46-65 y.,No,0.19880,773,3866,0.18622,0.21138
1994,66 and older,Yes,0.89791,1346,1483,0.88249,0.91332
1994,66 and older,No,0.09482,137,1483,0.07991,0.10974
1995,17-29 y.,Yes,0.62208,2056,3333,0.60562,0.63855
1995,17-29 y.,No,0.36774,1277,3333,0.35137,0.38411
1995,30-45 y.,Yes,0.63769,2820,4411,0.62350,0.65187
1995,30-45 y.,No,0.35526,1591,4411,0.34114,0.36939
1995,46-65 y.,Yes,0.74143,2932,3931,0.72774,0.75512
1995,46-65 y.,No,0.24710,999,3931,0.23361,0.26058
1995,66 and older,Yes,0.87813,1341,1502,0.86158,0.89468
1995,66 and older,No,0.10596,161,1502,0.09039,0.12153
1996,17-29 y.,Yes,0.61928,1939,3128,0.60226,0.63630
1996,17-29 y.,No,0.36504,1189,3128,0.34816,0.38191
1996,30-45 y.,Yes,0.63818,2832,4387,0.62396,0.65241
1996,30-45 y.,No,0.34910,1555,4387,0.33499,0.36321
1996,46-65 y.,Yes,0.74326,2901,3856,0.72947,0.75705
1996,46-65 y.,No,0.24021,955,3856,0.22672,0.25370
1996,66 and older,Yes,0.85306,1323,1524,0.83527,0.87084
1996,66 and older,No,0.12687,201,1524,0.11016,0.14359
1997,17-29 y.,Yes,0.60919,1821,3020,0.59178,0.62659
1997,17-29 y.,No,0.38769,1199,3020,0.37031,0.40507
1997,30-45 y.,Yes,0.61058,2677,4348,0.59609,0.62508
1997,30-45 y.,No,0.38619,1671,4348,0.37171,0.40066
1997,46-65 y.,Yes,0.74809,2861,3839,0.73435,0.76182
1997,46-65 y.,No,0.24896,978,3839,0.23528,0.26264
1997,66 and older,Yes,0.87144,1393,1569,0.85487,0.88800
1997,66 and older,No,0.11567,176,1569,0.09984,0.13150
1998,17-29 y.,Yes,0.57757,1859,3148,0.56031,0.59482
1998,17-29 y.,No,0.41737,1289,3148,0.40014,0.43460
1998,30-45 y.,Yes,0.58588,2864,4791,0.57194,0.59983
1998,30-45 y.,No,0.40580,1927,4791,0.39189,0.41970
1998,46-65 y.,Yes,0.71319,3119,4356,0.69975,0.72662
1998,46-65 y.,No,0.27607,1237,4356,0.26279,0.28934
1998,66 and older,Yes,0.85641,1588,1834,0.84036,0.87247
1998,66 and older,No,0.12739,246,1834,0.11213,0.14266
1999,17-29 y.,Yes,0.63459,1865,2958,0.61724,0.65195
1999,17-29 y.,No,0.35994,1093,2958,0.34264,0.37724
1999,30-45 y.,Yes,0.60483,2934,4696,0.59084,0.61881
1999,30-45 y.,No,0.38970,1762,4696,0.37575,0.40365
1999,46-65 y.,Yes,0.73648,3116,4168,0.72310,0.74985
1999,46-65 y.,No,0.25830,1052,4168,0.24501,0.27159
1999,66 and older,Yes,0.87948,1588,1790,0.86439,0.89456
1999,66 and older,No,0.11476,202,1790,0.09999,0.12953
2000,17-29 y.,Yes,0.58114,2711,4554,0.56681,0.59548
2000,17-29 y.,No,0.41253,1843,4554,0.39823,0.42683
2000,30-45 y.,Yes,0.59332,4898,8144,0.58265,0.60399
2000,30-45 y.,No,0.40305,3246,8144,0.39239,0.41370
2000,46-65 y.,Yes,0.71167,5570,7733,0.70157,0.72176
2000,46-65 y.,No,0.28425,2163,7733,0.27420,0.29431
2000,66 and older,Yes,0.86377,3109,3581,0.85253,0.87501
2000,66 and older,No,0.13050,472,3581,0.11947,0.14153
2001,17-29 y.,Yes,0.58099,2432,4087,0.56586,0.59612
2001,17-29 y.,No,0.41581,1655,4087,0.40070,0.43092
2001,30-45 y.,Yes,0.60518,4495,7309,0.59397,0.61639
2001,30-45 y.,No,0.39135,2814,7309,0.38016,0.40254
2001,46-65 y.,Yes,0.71886,5145,7058,0.70837,0.72935
2001,46-65 y.,No,0.27365,1913,7058,0.26325,0.28406
2001,66 and older,Yes,0.87219,2967,3383,0.86094,0.88344
2001,66 and older,No,0.12251,416,3383,0.11146,0.13356
2002,17-29 y.,Yes,0.55861,2385,4125,0.54346,0.57377
2002,17-29 y.,No,0.43584,1740,4125,0.42071,0.45097
2002,30-45 y.,Yes,0.59006,4482,7424,0.57887,0.60125
2002,30-45 y.,No,0.40630,2942,7424,0.39513,0.41748
2002,46-65 y.,Yes,0.70153,5577,7832,0.69140,0.71167
2002,46-65 y.,No,0.29461,2255,7832,0.28451,0.30470
2002,66 and older,Yes,0.86273,3102,3579,0.85145,0.87400
2002,66 and older,No,0.13336,477,3579,0.12222,0.14450
2003,17-29 y.,Yes,0.58587,2359,3983,0.57057,0.60117
2003,17-29 y.,No,0.40641,1624,3983,0.39115,0.42166
2003,30-45 y.,Yes,0.60432,4314,6909,0.59279,0.61585
2003,30-45 y.,No,0.39063,2595,6909,0.37912,0.40214
2003,46-65 y.,Yes,0.71822,5469,7533,0.70806,0.72838
2003,46-65 y.,No,0.27461,2064,7533,0.26453,0.28469
2003,66 and older,Yes,0.86446,3149,3623,0.85332,0.87561
2003,66 and older,No,0.12608,474,3623,0.11527,0.13689
2004,17-29 y.,Yes,0.55824,2249,3945,0.54274,0.57374
2004,17-29 y.,No,0.43616,1696,3945,0.42068,0.45164
2004,30-45 y.,Yes,0.59594,3922,6510,0.58402,0.60786
2004,30-45 y.,No,0.40017,2588,6510,0.38827,0.41207
2004,46-65 y.,Yes,0.69764,5159,7345,0.68714,0.70815
2004,46-65 y.,No,0.29958,2186,7345,0.28911,0.31006
2004,66 and older,Yes,0.87050,3258,3732,0.85973,0.88128
2004,66 and older,No,0.11965,474,3732,0.10924,0.13007
2005,17-29 y.,Yes,0.57830,2235,3809,0.56261,0.59398
2005,17-29 y.,No,0.41365,1574,3809,0.39801,0.42929
2005,30-45 y.,Yes,0.61504,3782,6064,0.60279,0.62729
2005,30-45 y.,No,0.37879,2282,6064,0.36658,0.39100
2005,46-65 y.,Yes,0.70170,4985,6979,0.69097,0.71244
2005,46-65 y.,No,0.28902,1994,6979,0.27839,0.29966
2005,66 and older,Yes,0.87124,3259,3744,0.86051,0.88197
2005,66 and older,No,0.12005,485,3744,0.10964,0.13046
2006,17-29 y.,Yes,0.53870,2141,3671,0.52258,0.55483
2006,17-29 y.,No,0.39741,1530,3671,0.38158,0.41324
2006,30-45 y.,Yes,0.60650,3789,6270,0.59441,0.61859
2006,30-45 y.,No,0.39015,2481,6270,0.37808,0.40223
2006,46-65 y.,Yes,0.68664,5268,7565,0.67619,0.69709
2006,46-65 y.,No,0.31161,2297,7565,0.30118,0.32205
2006,66 and older,Yes,0.86130,3809,4417,0.85111,0.87150
2006,66 and older,No,0.13434,608,4417,0.12428,0.14439
2007,17-29 y.,Yes,0.53859,2010,3379,0.52178,0.55540
2007,17-29 y.,No,0.37396,1369,3379,0.35764,0.39028
2007,30-45 y.,Yes,0.61160,3547,5692,0.59894,0.62426
2007,30-45 y.,No,0.38406,2145,5692,0.37142,0.39669
2007,46-65 y.,Yes,0.71032,5049,7027,0.69972,0.72093
2007,46-65 y.,No,0.28256,1978,7027,0.27203,0.29309
2007,66 and older,Yes,0.87329,3770,4317,0.86337,0.88322
2007,66 and older,No,0.11969,547,4317,0.11000,0.12937
2008,17-29 y.,Yes,0.53168,1824,3134,0.51421,0.54915
2008,17-29 y.,No,0.38616,1310,3134,0.36911,0.40321
2008,30-45 y.,Yes,0.61226,3207,5154,0.59896,0.62557
2008,30-45 y.,No,0.38321,1947,5154,0.36994,0.39649
2008,46-65 y.,Yes,0.71366,4812,6664,0.70280,0.72451
2008,46-65 y.,No,0.27930,1852,6664,0.26853,0.29008
2008,66 and older,Yes,0.87222,3745,4275,0.86222,0.88223
2008,66 and older,No,0.12015,530,4275,0.11040,0.12989
2009,17-29 y.,Yes,0.53982,1727,2842,0.52150,0.55815
2009,17-29 y.,No,0.39095,1115,2842,0.37301,0.40890
2009,30-45 y.,Yes,0.64039,3027,4658,0.62660,0.65417
2009,30-45 y.,No,0.35539,1631,4658,0.34164,0.36914
2009,46-65 y.,Yes,0.71324,4596,6294,0.70207,0.72442
2009,46-65 y.,No,0.28081,1698,6294,0.26970,0.29191
2009,66 and older,Yes,0.88134,3661,4141,0.87149,0.89119
2009,66 and older,No,0.11211,480,4141,0.10250,0.12172
2010,17-29 y.,Yes,0.53114,2267,3884,0.51544,0.54684
2010,17-29 y.,No,0.40031,1617,3884,0.38490,0.41572
2010,30-45 y.,Yes,0.63041,5715,9031,0.62045,0.64037
2010,30-45 y.,No,0.36192,3316,9031,0.35200,0.37183
2010,46-65 y.,Yes,0.70810,4932,6905,0.69738,0.71883
2010,46-65 y.,No,0.28358,1973,6905,0.27295,0.29421
2010,66 and older,Yes,0.86971,3488,3998,0.85928,0.88015
2010,66 and older,No,0.12073,510,3998,0.11063,0.13084
2011,17-29 y.,Yes,0.56555,2563,4168,0.55050,0.58060
2011,17-29 y.,No,0.36162,1605,4168,0.34704,0.37621
2011,30-45 y.,Yes,0.64088,6368,9920,0.63144,0.65032
2011,30-45 y.,No,0.35732,3552,9920,0.34788,0.36675
2011,46-65 y.,Yes,0.71731,6584,9104,0.70805,0.72656
2011,46-65 y.,No,0.27796,2520,9104,0.26875,0.28716
2011,66 and older,Yes,0.87017,4475,5120,0.86096,0.87938
2011,66 and older,No,0.12105,645,5120,0.11211,0.12998
2012,17-29 y.,Yes,0.55235,2429,3963,0.53687,0.56783
2012,17-29 y.,No,0.37274,1534,3963,0.35768,0.38780
2012,30-45 y.,Yes,0.63186,5839,9053,0.62192,0.64179
2012,30-45 y.,No,0.36483,3214,9053,0.35492,0.37475
2012,46-65 y.,Yes,0.71426,6722,9343,0.70510,0.72342
2012,46-65 y.,No,0.28087,2621,9343,0.27176,0.28998
2012,66 and older,Yes,0.86865,4506,5172,0.85944,0.87785
2012,66 and older,No,0.12371,666,5172,0.11474,0.13269
2013,17-29 y.,Yes,0.50489,2381,3636,0.48863,0.52114
2013,17-29 y.,No,0.26709,1255,3636,0.25271,0.28148
2013,30-45 y.,Yes,0.56404,5333,8047,0.55320,0.57487
2013,30-45 y.,No,0.27987,2714,8047,0.27006,0.28968
2013,46-65 y.,Yes,0.70498,6652,9013,0.69556,0.71439
2013,46-65 y.,No,0.24349,2361,9013,0.23463,0.25235
2013,66 and older,Yes,0.85922,4285,4949,0.84953,0.86891
2013,66 and older,No,0.13157,664,4949,0.12215,0.14099
2014,17-29 y.,Yes,0.56085,2606,4268,0.54596,0.57574
2014,17-29 y.,No,0.36494,1662,4268,0.35050,0.37939
2014,30-45 y.,Yes,0.62501,5378,8493,0.61472,0.63531
2014,30-45 y.,No,0.37329,3115,8493,0.36300,0.38358
2014,46-65 y.,Yes,0.71990,6686,9279,0.71076,0.72903
2014,46-65 y.,No,0.27684,2593,9279,0.26773,0.28594
2014,66 and older,Yes,0.86587,4285,4940,0.85637,0.87538
2014,66 and older,No,0.13150,655,4940,0.12208,0.14093
2015,17-29 y.,Yes,0.54233,2425,3907,0.52671,0.55796
2015,17-29 y.,No,0.33983,1482,3907,0.32498,0.35469
2015,30-45 y.,Yes,0.60389,4667,7342,0.59271,0.61508
2015,30-45 y.,No,0.34669,2675,7342,0.33581,0.35758
2015,46-65 y.,Yes,0.71739,6333,8842,0.70801,0.72678
2015,46-65 y.,No,0.26685,2509,8842,0.25763,0.27607
2015,66 and older,Yes,0.85185,4181,4869,0.84187,0.86183
2015,66 and older,No,0.14213,688,4869,0.13232,0.15194
2016,17-29 y.,Yes,0.53080,2269,3774,0.51488,0.54673
2016,17-29 y.,No,0.36545,1505,3774,0.35008,0.38081
2016,30-45 y.,Yes,0.63753,4446,7025,0.62628,0.64877
2016,30-45 y.,No,0.34231,2579,7025,0.33121,0.35341
2016,46-65 y.,Yes,0.70314,6016,8562,0.69346,0.71282
2016,46-65 y.,No,0.28842,2546,8562,0.27882,0.29802
2016,66 and older,Yes,0.84441,4000,4694,0.83404,0.85478
2016,66 and older,No,0.14829,694,4694,0.13813,0.15846
2017,17-29 y.,Yes,0.57113,2710,4268,0.55628,0.58598
2017,17-29 y.,No,0.32325,1558,4268,0.30922,0.33729
2017,30-45 y.,Yes,0.63748,4687,7199,0.62637,0.64859
2017,30-45 y.,No,0.34441,2512,7199,0.33344,0.35539
2017,46-65 y.,Yes,0.73664,7292,9936,0.72798,0.74530
2017,46-65 y.,No,0.25640,2644,9936,0.24782,0.26499
2017,66 and older,Yes,0.85231,4234,4941,0.84241,0.86220
2017,66 and older,No,0.14015,707,4941,0.13047,0.14983
2018,17-29 y.,Yes,0.57511,2658,4224,0.56021,0.59002
2018,17-29 y.,No,0.32757,1566,4224,0.31341,0.34172
2018,30-45 y.,Yes,0.62856,4355,6697,0.61699,0.64014
2018,30-45 y.,No,0.35216,2342,6697,0.34072,0.36360
2018,46-65 y.,Yes,0.72331,7006,9613,0.71437,0.73226
2018,46-65 y.,No,0.27015,2607,9613,0.26127,0.27903
2018,66 and older,Yes,0.84717,4272,4970,0.83716,0.85717
2018,66 and older,No,0.14582,698,4970,0.13601,0.15564
2019,17-29 y.,Yes,0.57471,2435,3826,0.55904,0.59038
2019,17-29 y.,No,0.32411,1391,3826,0.30928,0.33894
2019,30-45 y.,Yes,0.63608,4015,6272,0.62417,0.64799
2019,30-45 y.,No,0.34683,2257,6272,0.33505,0.35861
2019,46-65 y.,Yes,0.74127,7609,10396,0.73285,0.74969
2019,46-65 y.,No,0.25273,2787,10396,0.24438,0.26109
2019,66 and older,Yes,0.85529,4406,5160,0.84569,0.86489
2019,66 and older,No,0.13861,754,5160,0.12919,0.14804
2020,17-29 y.,Yes,0.51975,2752,5049,0.50596,0.53353
2020,17-29 y.,No,0.39372,2297,5049,0.38024,0.40720
2020,30-45 y.,Yes,0.58753,4525,8015,0.57676,0.59831
2020,30-45 y.,No,0.40379,3490,8015,0.39305,0.41454
2020,46-65 y.,Yes,0.68601,7034,10348,0.67707,0.69495
2020,46-65 y.,No,0.30757,3314,10348,0.29867,0.31646
2020,66 and older,Yes,0.81736,4046,4883,0.80652,0.82820
2020,66 and older,No,0.17360,837,4883,0.16297,0.18422
2021,17-29 y.,Yes,0.57063,1705,2682,0.55189,0.58936
2021,17-29 y.,No,0.33575,977,2682,0.31787,0.35362
2021,30-45 y.,Yes,0.61969,2661,4128,0.60488,0.63450
2021,30-45 y.,No,0.35971,1467,4128,0.34507,0.37435
2021,46-65 y.,Yes,0.73155,4980,6786,0.72101,0.74210
2021,46-65 y.,No,0.26266,1806,6786,0.25219,0.27313
2021,66 and older,Yes,0.83923,3005,3549,0.82714,0.85131
2021,66 and older,No,0.15763,544,3549,0.14564,0.16962
