year,pgisced97,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Yes,0.51581,101,187,0.44399,0.58763
1984,Pre-primary Level,No,0.44854,86,187,0.37706,0.52002
1984,Primary Level,Yes,0.65889,630,999,0.62947,0.68830
1984,Primary Level,No,0.34070,369,999,0.31130,0.37011
1984,Lower Secondary Level,Yes,0.72907,2366,3448,0.71423,0.74391
1984,Lower Secondary Level,No,0.26980,1082,3448,0.25498,0.28462
1984,Upper Secondary Level,Yes,0.70723,3922,5705,0.69542,0.71904
1984,Upper Secondary Level,No,0.29277,1783,5705,0.28096,0.30458
1984,Post-secondary Non-tertiary Level,Yes,0.69007,199,309,0.63842,0.74172
1984,Post-secondary Non-tertiary Level,No,0.30993,110,309,0.25828,0.36158
1984,First Stage of Tertiary Education,Yes,0.75550,493,660,0.72268,0.78831
1984,First Stage of Tertiary Education,No,0.24450,167,660,0.21169,0.27732
1984,Second Stage of Tertiary Education,Yes,0.67856,523,790,0.64597,0.71115
1984,Second Stage of Tertiary Education,No,0.32144,267,790,0.28885,0.35403
1985,Pre-primary Level,Yes,0.60233,111,187,0.53199,0.67266
1985,Pre-primary Level,No,0.39565,76,187,0.32538,0.46593
1985,Primary Level,Yes,0.66545,549,834,0.63341,0.69750
1985,Primary Level,No,0.33455,285,834,0.30250,0.36659
1985,Lower Secondary Level,Yes,0.74516,2147,3061,0.72972,0.76060
1985,Lower Secondary Level,No,0.25478,914,3061,0.23934,0.27022
1985,Upper Secondary Level,Yes,0.71715,3590,5180,0.70488,0.72941
1985,Upper Secondary Level,No,0.28283,1590,5180,0.27057,0.29510
1985,Post-secondary Non-tertiary Level,Yes,0.72543,192,275,0.67258,0.77827
1985,Post-secondary Non-tertiary Level,No,0.27457,83,275,0.22173,0.32742
1985,First Stage of Tertiary Education,Yes,0.72616,444,620,0.69103,0.76129
1985,First Stage of Tertiary Education,No,0.27384,176,620,0.23871,0.30897
1985,Second Stage of Tertiary Education,Yes,0.66167,489,755,0.62789,0.69544
1985,Second Stage of Tertiary Education,No,0.33833,266,755,0.30456,0.37211
1986,Pre-primary Level,Yes,0.64020,114,188,0.57141,0.70899
1986,Pre-primary Level,No,0.35980,74,188,0.29101,0.42859
1986,Primary Level,Yes,0.69335,516,778,0.66093,0.72577
1986,Primary Level,No,0.30665,262,778,0.27423,0.33907
