"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","32.3","38.25","140","9","35","40","40","40.5","30.5","34.1","2.2","48","37.5","38.5"
"1995","(Fach-)Abitur","2","33.97","37.75","148","20","35","38.5","40","43.5","32.54","35.4","3","45","37.5","38.5"
"1995","(Fach-)Abitur","3","35.42","38.4","96","19.5","37.5","40","40","42.5","33.93","36.91","5","45","38.5","39"
"1995","(Fach-)Abitur","4","36.46","38.25","89","28","37.5","39","40","42","34.95","37.97","8","52","37.5","38.5"
"1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","32.9","37.25","39","19","23","39","40","40","30.08","35.72","4","40","37","38.5"
"1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","33.97","37.25","109","20","36","39","40","40.2","32.31","35.63","4","48","37","38"
"1995","(noch) kein Abschluss","2","35.88","37.75","82","26","36.5","39","40","50","34.31","37.45","8","50","37.5","38"
"1995","(noch) kein Abschluss","3","33.82","37.75","36","7","37.5","39.5","40","40","30.73","36.91","7","45","37","39"
"1995","(noch) kein Abschluss","4","","","","","","","","","","","","","",""
"1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","AkademikerIn","1 Einkommensschwächstes Quintil","35.29","38.25","169","20","30","40","40","60","34.04","36.54","7.5","72","38.5","40"
"1995","AkademikerIn","2","34.29","38.4","289","19.5","31.5","40","40","42","33.42","35.16","6.5","56","38.5","40"
"1995","AkademikerIn","3","35.97","38.25","253","23","37","40","40","42.5","35.1","36.84","5","45","38.5","40"
"1995","AkademikerIn","4","35.89","38.25","213","24","36","40","40","60","35","36.78","6","60","38.5","39"
"1995","AkademikerIn","5 Einkommensstärkstes Quintil","35.02","38.25","149","22.5","36","39.5","40","47","33.66","36.38","2","55","37.5","38.5"
"1995","Hauptschule","1 Einkommensschwächstes Quintil","34.22","37.75","874","17","35","40","40","50.5","33.61","34.83","5","72","38","38"
"1995","Hauptschule","2","35.27","37.75","900","20","36","40","40","48","34.73","35.81","4","56","38","38"
"1995","Hauptschule","3","36.02","37.75","529","25","36.5","39","40","48","35.45","36.59","6.3","52.5","38","38.5"
"1995","Hauptschule","4","35.69","37.25","347","24","36","39","40","55.5","34.86","36.52","2","60","37.5","38"
"1995","Hauptschule","5 Einkommensstärkstes Quintil","33.54","37.25","81","19.3","35","38.5","40","42","31.56","35.52","9","42","37","38"
"1995","Realschule","1 Einkommensschwächstes Quintil","35.41","38.9","593","20","36","40","40","50","34.73","36.09","0.4","60","39","40"
"1995","Realschule","2","36.13","38.25","601","22","36.5","40","40","45","35.57","36.69","8","60","38.5","39"
"1995","Realschule","3","35.79","38.4","371","20","37","40","40","45","35.05","36.53","2.5","56","38.5","38.5"
"1995","Realschule","4","35.49","37.75","292","22.5","36.5","38.5","40","42.5","34.67","36.31","6","50","38","38.5"
"1995","Realschule","5 Einkommensstärkstes Quintil","36.83","38.25","109","35","37","39","40","50","35.9","37.76","9","50","38","38.5"
"1996","(Fach-)Abitur","1 Einkommensschwächstes Quintil","31.55","37.25","134","10","27.5","39","40","44","29.74","33.36","0.3","45","37.5","38.5"
"1996","(Fach-)Abitur","2","35.08","38.25","136","20","37.5","38.5","40","43","33.67","36.49","3.5","46","38","38.5"
"1996","(Fach-)Abitur","3","35.57","38.25","117","22.5","37","40","40","46","34.12","37.02","9","56","38.5","38.5"
"1996","(Fach-)Abitur","4","33","37.25","80","18.5","30","38.5","40","40","31.34","34.66","8","41","37.5","38.5"
"1996","(Fach-)Abitur","5 Einkommensstärkstes Quintil","34.26","37.75","43","20","35","38.5","40","46","31.62","36.9","9.3","46","37","38.5"
"1996","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","32.61","37.25","100","19.2","28","38.5","40","45","30.79","34.43","5.5","45","36","38"
"1996","(noch) kein Abschluss","2","35.17","37.25","90","18.5","35","40","40","50","33.63","36.71","12","59","37","38"
"1996","(noch) kein Abschluss","3","32.56","37.75","32","5","35","38.5","40","40","29.82","35.3","5","40","35","39"
"1996","(noch) kein Abschluss","4","","","","","","","","","","","","","",""
"1996","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1996","AkademikerIn","1 Einkommensschwächstes Quintil","32.57","38.25","125","20","22.5","40","40","50","31.06","34.08","10","50","39","40"
"1996","AkademikerIn","2","35.89","38.25","280","25","35","40","40","42.5","35.15","36.63","9","48","39","40"
"1996","AkademikerIn","3","35.94","38.25","230","25","35","40","40","42.5","35.09","36.79","5","43.8","38.5","40"
"1996","AkademikerIn","4","36.38","38.25","229","25","37.5","40","40","41","35.65","37.11","15","50","38.5","39"
"1996","AkademikerIn","5 Einkommensstärkstes Quintil","35.93","38.25","177","23","37","40","40","45","34.88","36.98","2.5","50","38.5","38.5"
"1996","Hauptschule","1 Einkommensschwächstes Quintil","34.39","37.75","762","20","35","40","40","47","33.79","34.99","3","60","38","38"
"1996","Hauptschule","2","35.14","37.75","822","20","35","40","40","48","34.57","35.71","0.5","56","37.5","38"
"1996","Hauptschule","3","34.72","37.85","551","20","35","39","40","45","34.1","35.34","2","51","37.5","38"
"1996","Hauptschule","4","36.6","37.25","346","30","35.5","38.5","40","55","35.93","37.27","4.5","60","37.5","38"
"1996","Hauptschule","5 Einkommensstärkstes Quintil","34","37.85","96","18","35","38.5","39","40","32.22","35.78","2","45","37.5","38.5"
"1996","Realschule","1 Einkommensschwächstes Quintil","35.67","38.75","512","20","37","40","40","48","34.97","36.37","6","60","39","40"
"1996","Realschule","2","36","38.25","584","24","36","40","40","50","35.39","36.61","6","60","38.5","39"
