"year","alter_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","direkter Migrationshintergrund","39.45","40","808","39","39.9"
"1984","16-34 Jahre alt","indirekter Migrationshintergrund","37.99","40","49","36.69","39.29"
"1984","16-34 Jahre alt","kein Migrationshintergrund ","38.58","40","1821","38.22","38.94"
"1984","35-65 Jahre alt","direkter Migrationshintergrund","38.18","40","1332","37.85","38.51"
"1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1984","35-65 Jahre alt","kein Migrationshintergrund ","37.24","40","2248","36.85","37.63"
"1984","66 und älter","direkter Migrationshintergrund","","","","",""
"1984","66 und älter","indirekter Migrationshintergrund","","","","",""
"1984","66 und älter","kein Migrationshintergrund ","","","","",""
"1985","16-34 Jahre alt","direkter Migrationshintergrund","39.01","40","658","38.5","39.52"
"1985","16-34 Jahre alt","indirekter Migrationshintergrund","38.61","40","52","37.56","39.66"
"1985","16-34 Jahre alt","kein Migrationshintergrund ","38.3","40","1634","37.97","38.63"
"1985","35-65 Jahre alt","direkter Migrationshintergrund","37.57","40","1142","37.2","37.94"
"1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1985","35-65 Jahre alt","kein Migrationshintergrund ","36.35","40","2021","35.98","36.72"
"1985","66 und älter","direkter Migrationshintergrund","","","","",""
"1985","66 und älter","indirekter Migrationshintergrund","","","","",""
"1985","66 und älter","kein Migrationshintergrund ","","","","",""
"1986","16-34 Jahre alt","direkter Migrationshintergrund","38.28","40","629","37.84","38.72"
"1986","16-34 Jahre alt","indirekter Migrationshintergrund","37.58","40","72","36.17","38.99"
"1986","16-34 Jahre alt","kein Migrationshintergrund ","38.23","40","1665","37.91","38.55"
"1986","35-65 Jahre alt","direkter Migrationshintergrund","37.41","40","1079","37.06","37.76"
"1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1986","35-65 Jahre alt","kein Migrationshintergrund ","36.42","40","1878","36.05","36.79"
"1986","66 und älter","direkter Migrationshintergrund","","","","",""
"1986","66 und älter","indirekter Migrationshintergrund","","","","",""
"1986","66 und älter","kein Migrationshintergrund ","","","","",""
"1987","16-34 Jahre alt","direkter Migrationshintergrund","38.01","40","624","37.54","38.48"
"1987","16-34 Jahre alt","indirekter Migrationshintergrund","38.46","40","69","37.44","39.48"
"1987","16-34 Jahre alt","kein Migrationshintergrund ","37.95","40","1677","37.62","38.28"
"1987","35-65 Jahre alt","direkter Migrationshintergrund","37.35","40","1072","36.98","37.72"
"1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1987","35-65 Jahre alt","kein Migrationshintergrund ","36.19","40","1870","35.81","36.57"
"1987","66 und älter","direkter Migrationshintergrund","","","","",""
"1987","66 und älter","indirekter Migrationshintergrund","","","","",""
"1987","66 und älter","kein Migrationshintergrund ","","","","",""
"1988","16-34 Jahre alt","direkter Migrationshintergrund","37.95","40","618","37.44","38.46"
"1988","16-34 Jahre alt","indirekter Migrationshintergrund","36.8","40","91","35.46","38.14"
"1988","16-34 Jahre alt","kein Migrationshintergrund ","37.81","40","1559","37.47","38.15"
"1988","35-65 Jahre alt","direkter Migrationshintergrund","36.73","40","957","36.33","37.13"
"1988","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1988","35-65 Jahre alt","kein Migrationshintergrund ","35.91","40","1807","35.52","36.3"
"1988","66 und älter","direkter Migrationshintergrund","","","","",""
"1988","66 und älter","indirekter Migrationshintergrund","","","","",""
"1988","66 und älter","kein Migrationshintergrund ","","","","",""
"1989","16-34 Jahre alt","direkter Migrationshintergrund","37.26","40","587","36.75","37.77"
"1989","16-34 Jahre alt","indirekter Migrationshintergrund","36.64","39","106","35.45","37.83"
"1989","16-34 Jahre alt","kein Migrationshintergrund ","37.39","40","1606","37.05","37.73"
"1989","35-65 Jahre alt","direkter Migrationshintergrund","36.69","39","961","36.29","37.09"
"1989","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1989","35-65 Jahre alt","kein Migrationshintergrund ","35.94","39","1730","35.54","36.34"
"1989","66 und älter","direkter Migrationshintergrund","","","","",""
"1989","66 und älter","indirekter Migrationshintergrund","","","","",""
"1989","66 und älter","kein Migrationshintergrund ","","","","",""
"1990","16-34 Jahre alt","direkter Migrationshintergrund","37.04","38.5","567","36.54","37.54"
"1990","16-34 Jahre alt","indirekter Migrationshintergrund","36.47","38.5","135","35.54","37.4"
"1990","16-34 Jahre alt","kein Migrationshintergrund ","38.08","39","2830","37.82","38.34"
"1990","35-65 Jahre alt","direkter Migrationshintergrund","37.15","38.5","1006","36.74","37.56"
"1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1990","35-65 Jahre alt","kein Migrationshintergrund ","36.68","39","3490","36.41","36.95"
"1990","66 und älter","direkter Migrationshintergrund","","","","",""
"1990","66 und älter","indirekter Migrationshintergrund","","","","",""
"1990","66 und älter","kein Migrationshintergrund ","","","","",""
"1991","16-34 Jahre alt","direkter Migrationshintergrund","37.11","38.5","538","36.57","37.65"
"1991","16-34 Jahre alt","indirekter Migrationshintergrund","36.33","38.5","170","35.32","37.34"
"1991","16-34 Jahre alt","kein Migrationshintergrund ","37.14","38.5","2559","36.88","37.4"
"1991","35-65 Jahre alt","direkter Migrationshintergrund","36.29","38","1027","35.87","36.71"
"1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1991","35-65 Jahre alt","kein Migrationshintergrund ","35.83","38.5","3210","35.56","36.1"
"1991","66 und älter","direkter Migrationshintergrund","","","","",""
"1991","66 und älter","indirekter Migrationshintergrund","","","","",""
"1991","66 und älter","kein Migrationshintergrund ","","","","",""
"1992","16-34 Jahre alt","direkter Migrationshintergrund","36.04","38","508","35.51","36.57"
"1992","16-34 Jahre alt","indirekter Migrationshintergrund","35.26","38","192","34.05","36.47"
"1992","16-34 Jahre alt","kein Migrationshintergrund ","37.06","38.5","2348","36.8","37.32"
"1992","35-65 Jahre alt","direkter Migrationshintergrund","36.22","38","948","35.8","36.64"
"1992","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1992","35-65 Jahre alt","kein Migrationshintergrund ","35.49","38.5","2973","35.21","35.77"
"1992","66 und älter","direkter Migrationshintergrund","","","","",""
"1992","66 und älter","indirekter Migrationshintergrund","","","","",""
"1992","66 und älter","kein Migrationshintergrund ","","","","",""
"1993","16-34 Jahre alt","direkter Migrationshintergrund","36.62","38","479","36.05","37.19"
"1993","16-34 Jahre alt","indirekter Migrationshintergrund","36.86","38","242","36.17","37.55"
"1993","16-34 Jahre alt","kein Migrationshintergrund ","36.8","38.5","2211","36.53","37.07"
"1993","35-65 Jahre alt","direkter Migrationshintergrund","36.09","38","888","35.65","36.53"
"1993","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1993","35-65 Jahre alt","kein Migrationshintergrund ","35.29","38.5","2882","35","35.58"
"1993","66 und älter","direkter Migrationshintergrund","","","","",""
"1993","66 und älter","indirekter Migrationshintergrund","","","","",""
"1993","66 und älter","kein Migrationshintergrund ","","","","",""
"1994","16-34 Jahre alt","direkter Migrationshintergrund","35.74","38","424","35.1","36.38"
"1994","16-34 Jahre alt","indirekter Migrationshintergrund","37.23","38.5","242","36.38","38.08"
"1994","16-34 Jahre alt","kein Migrationshintergrund ","36.71","38.5","2148","36.42","37"
"1994","35-65 Jahre alt","direkter Migrationshintergrund","35.57","37.5","797","35.05","36.09"
"1994","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1994","35-65 Jahre alt","kein Migrationshintergrund ","35.19","38.5","2836","34.9","35.48"
"1994","66 und älter","direkter Migrationshintergrund","","","","",""
"1994","66 und älter","indirekter Migrationshintergrund","","","","",""
