year,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,As soon as possible,0.03179,614,2046,0.02418,0.03939
1984,Next year,0.02051,323,2046,0.01437,0.02665
1984,In the next 2 to 5 years,0.04353,666,2046,0.03469,0.05237
1984,"In the distant future, in more than five years",0.02794,443,2046,0.02079,0.03508
1985,As soon as possible,0.03531,587,1571,0.02618,0.04444
1985,Next year,0.02342,325,1571,0.01594,0.03090
1985,In the next 2 to 5 years,0.03055,444,1571,0.02204,0.03906
1985,"In the distant future, in more than five years",0.01465,215,1571,0.00871,0.02059
1986,As soon as possible,0.03227,507,1531,0.02341,0.04112
1986,Next year,0.01851,276,1531,0.01176,0.02527
1986,In the next 2 to 5 years,0.03109,474,1531,0.02239,0.03978
1986,"In the distant future, in more than five years",0.01983,274,1531,0.01285,0.02682
1987,As soon as possible,0.03158,498,1568,0.02292,0.04024
1987,Next year,0.02259,349,1568,0.01523,0.02995
1987,In the next 2 to 5 years,0.03288,476,1568,0.02405,0.04171
1987,"In the distant future, in more than five years",0.01691,245,1568,0.01053,0.02330
1988,As soon as possible,0.02869,443,1505,0.02025,0.03712
1988,Next year,0.02589,345,1505,0.01786,0.03391
1988,In the next 2 to 5 years,0.03603,498,1505,0.02661,0.04545
1988,"In the distant future, in more than five years",0.01601,219,1505,0.00966,0.02235
1989,As soon as possible,0.02414,362,1319,0.01586,0.03243
1989,Next year,0.01931,261,1319,0.01188,0.02674
1989,In the next 2 to 5 years,0.03598,486,1319,0.02592,0.04603
1989,"In the distant future, in more than five years",0.01637,210,1319,0.00952,0.02322
1990,As soon as possible,0.01994,398,1545,0.01297,0.02692
1990,Next year,0.02037,399,1545,0.01333,0.02742
1990,In the next 2 to 5 years,0.02893,506,1545,0.02057,0.03729
1990,"In the distant future, in more than five years",0.01474,242,1545,0.00873,0.02075
1991,As soon as possible,0.02484,541,1671,0.01738,0.03231
1991,Next year,0.01995,387,1671,0.01324,0.02665
1991,In the next 2 to 5 years,0.02898,518,1671,0.02093,0.03703
1991,"In the distant future, in more than five years",0.01297,225,1671,0.00755,0.01840
1992,As soon as possible,0.03239,684,1916,0.02446,0.04032
1992,Next year,0.02389,437,1916,0.01705,0.03073
1992,In the next 2 to 5 years,0.03117,582,1916,0.02339,0.03895
1992,"In the distant future, in more than five years",0.01196,213,1916,0.00709,0.01683
1993,As soon as possible,0.03577,719,1919,0.02746,0.04408
1993,Next year,0.02151,407,1919,0.01501,0.02800
1993,In the next 2 to 5 years,0.03318,576,1919,0.02516,0.04120
1993,"In the distant future, in more than five years",0.01131,217,1919,0.00658,0.01604
1994,As soon as possible,0.03975,788,2013,0.03121,0.04828
1994,Next year,0.02481,431,2013,0.01801,0.03161
1994,In the next 2 to 5 years,0.03314,579,2013,0.02532,0.04096
1994,"In the distant future, in more than five years",0.01184,215,2013,0.00711,0.01657
1995,As soon as possible,0.03635,728,2124,0.02838,0.04431
1995,Next year,0.02385,463,2124,0.01736,0.03034
1995,In the next 2 to 5 years,0.03691,681,2124,0.02889,0.04493
1995,"In the distant future, in more than five years",0.01352,252,2124,0.00861,0.01843
1996,As soon as possible,0.03826,766,2130,0.03011,0.04640
1996,Next year,0.02596,483,2130,0.01921,0.03272
1996,In the next 2 to 5 years,0.03596,639,2130,0.02805,0.04387
1996,"In the distant future, in more than five years",0.01382,242,2130,0.00886,0.01878
1997,As soon as possible,0.04297,823,2112,0.03432,0.05162
1997,Next year,0.02369,407,2112,0.01721,0.03018
1997,In the next 2 to 5 years,0.03697,654,2112,0.02892,0.04502
1997,"In the distant future, in more than five years",0.01235,228,2112,0.00764,0.01706
1998,As soon as possible,0.04147,859,2212,0.03316,0.04978
1998,Next year,0.02310,457,2212,0.01684,0.02937
1998,In the next 2 to 5 years,0.03280,634,2212,0.02538,0.04022
1998,"In the distant future, in more than five years",0.01332,262,2212,0.00854,0.01810
1999,As soon as possible,0.03514,688,1922,0.02691,0.04338
1999,Next year,0.02165,420,1922,0.01514,0.02816
1999,In the next 2 to 5 years,0.03135,595,1922,0.02355,0.03914
1999,"In the distant future, in more than five years",0.01089,219,1922,0.00625,0.01553
2000,As soon as possible,0.03238,1098,3337,0.02638,0.03839
2000,Next year,0.02191,734,3337,0.01694,0.02688
2000,In the next 2 to 5 years,0.03207,1085,3337,0.02609,0.03804
2000,"In the distant future, in more than five years",0.01206,420,3337,0.00836,0.01577
2001,As soon as possible,0.03355,992,2959,0.02706,0.04004
2001,Next year,0.02266,652,2959,0.01730,0.02803
2001,In the next 2 to 5 years,0.03007,952,2959,0.02392,0.03623
2001,"In the distant future, in more than five years",0.01149,363,2959,0.00765,0.01533
2002,As soon as possible,0.04128,1098,3162,0.03434,0.04821
2002,Next year,0.02340,673,3162,0.01813,0.02867
2002,In the next 2 to 5 years,0.03121,1003,3162,0.02515,0.03727
2002,"In the distant future, in more than five years",0.01129,388,3162,0.00761,0.01497
2003,As soon as possible,0.04647,1196,3074,0.03903,0.05391
2003,Next year,0.02373,668,3074,0.01835,0.02911
2003,In the next 2 to 5 years,0.02889,895,3074,0.02296,0.03481
2003,"In the distant future, in more than five years",0.00896,315,3074,0.00563,0.01230
2004,As soon as possible,0.05141,1258,3167,0.04372,0.05911
2004,Next year,0.02286,634,3167,0.01765,0.02806
2004,In the next 2 to 5 years,0.03247,945,3167,0.02630,0.03865
2004,"In the distant future, in more than five years",0.00910,330,3167,0.00579,0.01240
2005,As soon as possible,0.05428,1233,3062,0.04625,0.06230
2005,Next year,0.02312,612,3062,0.01779,0.02844
2005,In the next 2 to 5 years,0.03233,882,3062,0.02606,0.03859
2005,"In the distant future, in more than five years",0.01045,335,3062,0.00684,0.01405
2006,As soon as possible,0.05334,1277,3050,0.04536,0.06131
2006,Next year,0.02276,602,3050,0.01746,0.02805
2006,In the next 2 to 5 years,0.03154,903,3050,0.02534,0.03775
2006,"In the distant future, in more than five years",0.00792,268,3050,0.00477,0.01106
2007,As soon as possible,0.04643,1018,2556,0.03827,0.05459
2007,Next year,0.02308,541,2556,0.01726,0.02891
2007,In the next 2 to 5 years,0.02764,776,2556,0.02128,0.03399
2007,"In the distant future, in more than five years",0.00722,221,2556,0.00393,0.01050
2008,As soon as possible,0.03986,830,2257,0.03179,0.04793
2008,Next year,0.02077,512,2257,0.01488,0.02665
2008,In the next 2 to 5 years,0.02626,680,2257,0.01966,0.03286
2008,"In the distant future, in more than five years",0.00830,235,2257,0.00456,0.01204
2009,As soon as possible,0.04177,802,2068,0.03315,0.05040
2009,Next year,0.02131,472,2068,0.01509,0.02754
2009,In the next 2 to 5 years,0.02586,606,2068,0.01902,0.03270
