year,age_gr,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Next year,0.25294,47,164,0.18621,0.31968
1984,17-29 y.,Pre-primary Level,In the next 2 to 5 years,0.41517,76,164,0.33952,0.49082
1984,17-29 y.,Pre-primary Level,"In the distant future, in more than five years",0.22184,41,164,0.15806,0.28563
1984,17-29 y.,Primary Level,As soon as possible,0.27295,45,45,0.14132,0.40458
1984,17-29 y.,Lower Secondary Level,As soon as possible,0.07798,96,372,0.05070,0.10527
1984,17-29 y.,Lower Secondary Level,Next year,0.07898,79,372,0.05153,0.10642
1984,17-29 y.,Lower Secondary Level,In the next 2 to 5 years,0.14458,132,372,0.10879,0.18036
1984,17-29 y.,Lower Secondary Level,"In the distant future, in more than five years",0.06349,65,372,0.03868,0.08831
1984,17-29 y.,Upper Secondary Level,As soon as possible,0.06540,118,460,0.04278,0.08802
1984,17-29 y.,Upper Secondary Level,Next year,0.05001,75,460,0.03007,0.06995
1984,17-29 y.,Upper Secondary Level,In the next 2 to 5 years,0.11559,171,460,0.08634,0.14484
1984,17-29 y.,Upper Secondary Level,"In the distant future, in more than five years",0.06201,96,460,0.03994,0.08407
1984,30-45 y.,Lower Secondary Level,As soon as possible,0.06289,51,148,0.02365,0.10214
1984,30-45 y.,Lower Secondary Level,In the next 2 to 5 years,0.07521,49,148,0.03258,0.11785
1984,30-45 y.,Lower Secondary Level,"In the distant future, in more than five years",0.07251,48,148,0.03059,0.11443
1984,30-45 y.,Upper Secondary Level,As soon as possible,0.04632,100,344,0.02408,0.06856
1984,30-45 y.,Upper Secondary Level,Next year,0.01848,35,344,0.00422,0.03273
1984,30-45 y.,Upper Secondary Level,In the next 2 to 5 years,0.05468,104,344,0.03062,0.07874
1984,30-45 y.,Upper Secondary Level,"In the distant future, in more than five years",0.05702,105,344,0.03248,0.08156
1984,46-65 y.,Lower Secondary Level,As soon as possible,0.02967,39,39,-0.02428,0.08362
1984,46-65 y.,Upper Secondary Level,As soon as possible,0.02318,41,41,-0.02345,0.06981
1985,17-29 y.,Pre-primary Level,Next year,0.19713,40,119,0.12535,0.26892
1985,17-29 y.,Pre-primary Level,In the next 2 to 5 years,0.22770,44,119,0.15204,0.30337
1985,17-29 y.,Pre-primary Level,"In the distant future, in more than five years",0.20176,35,119,0.12935,0.27417
1985,17-29 y.,Primary Level,As soon as possible,0.22765,31,31,0.07760,0.37770
1985,17-29 y.,Lower Secondary Level,As soon as possible,0.07468,92,294,0.04458,0.10478
1985,17-29 y.,Lower Secondary Level,Next year,0.10280,84,294,0.06803,0.13758
1985,17-29 y.,Lower Secondary Level,In the next 2 to 5 years,0.08835,75,294,0.05585,0.12085
1985,17-29 y.,Lower Secondary Level,"In the distant future, in more than five years",0.04377,43,294,0.02034,0.06719
1985,17-29 y.,Upper Secondary Level,As soon as possible,0.06416,101,330,0.03768,0.09064
1985,17-29 y.,Upper Secondary Level,Next year,0.04424,62,330,0.02202,0.06647
1985,17-29 y.,Upper Secondary Level,In the next 2 to 5 years,0.08556,126,330,0.05534,0.11579
