year,age_gr,regtyp,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,As soon as possible,0.06619,204,746,0.04833,0.08404
1985,17-29 y.,Urban regions,Next year,0.07506,177,746,0.05613,0.09398
1985,17-29 y.,Urban regions,In the next 2 to 5 years,0.10472,252,746,0.08273,0.12670
1985,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04632,113,746,0.03122,0.06141
1985,17-29 y.,Rural regions,As soon as possible,0.09102,61,166,0.04713,0.13491
1985,17-29 y.,Rural regions,Next year,0.08889,53,166,0.04547,0.13232
1985,17-29 y.,Rural regions,In the next 2 to 5 years,0.08039,52,166,0.03890,0.12187
1985,30-45 y.,Urban regions,As soon as possible,0.04550,140,345,0.02348,0.06753
1985,30-45 y.,Urban regions,Next year,0.01949,54,345,0.00488,0.03410
1985,30-45 y.,Urban regions,In the next 2 to 5 years,0.03668,95,345,0.01681,0.05654
1985,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02251,56,345,0.00684,0.03819
1985,30-45 y.,Rural regions,As soon as possible,0.07473,52,52,0.00256,0.14690
1985,46-65 y.,Urban regions,As soon as possible,0.03023,99,99,-0.00367,0.06413
1985,46-65 y.,Rural regions,As soon as possible,0.04054,31,31,-0.03004,0.11111
1986,17-29 y.,Urban regions,As soon as possible,0.06266,175,724,0.04500,0.08033
1986,17-29 y.,Urban regions,Next year,0.06691,158,724,0.04869,0.08512
1986,17-29 y.,Urban regions,In the next 2 to 5 years,0.10406,268,724,0.08180,0.12631
1986,17-29 y.,Urban regions,"In the distant future, in more than five years",0.05051,123,724,0.03455,0.06648
1986,17-29 y.,Rural regions,As soon as possible,0.06919,44,171,0.03104,0.10734
1986,17-29 y.,Rural regions,Next year,0.05015,38,171,0.01734,0.08296
1986,17-29 y.,Rural regions,In the next 2 to 5 years,0.07462,50,171,0.03512,0.11412
1986,17-29 y.,Rural regions,"In the distant future, in more than five years",0.06850,39,171,0.03053,0.10647
1986,30-45 y.,Urban regions,As soon as possible,0.04628,122,361,0.02458,0.06799
1986,30-45 y.,Urban regions,Next year,0.01377,41,361,0.00173,0.02581
1986,30-45 y.,Urban regions,In the next 2 to 5 years,0.04281,111,361,0.02190,0.06372
1986,30-45 y.,Urban regions,"In the distant future, in more than five years",0.03764,87,361,0.01798,0.05731
1986,30-45 y.,Rural regions,As soon as possible,0.06060,40,40,-0.01428,0.13548
1986,46-65 y.,Urban regions,As soon as possible,0.02768,96,96,-0.00531,0.06067
1987,17-29 y.,Urban regions,As soon as possible,0.06077,161,716,0.04326,0.07829
1987,17-29 y.,Urban regions,Next year,0.06929,182,716,0.05067,0.08790
1987,17-29 y.,Urban regions,In the next 2 to 5 years,0.10784,262,716,0.08511,0.13058
1987,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04260,111,716,0.02780,0.05741
1987,17-29 y.,Rural regions,As soon as possible,0.05706,44,141,0.01863,0.09548
1987,17-29 y.,Rural regions,Next year,0.06886,50,141,0.02691,0.11080
1987,17-29 y.,Rural regions,In the next 2 to 5 years,0.07370,47,141,0.03042,0.11698
1987,30-45 y.,Urban regions,As soon as possible,0.04015,112,370,0.02012,0.06018
1987,30-45 y.,Urban regions,Next year,0.02462,65,370,0.00881,0.04044
1987,30-45 y.,Urban regions,In the next 2 to 5 years,0.04660,112,370,0.02509,0.06811
1987,30-45 y.,Urban regions,"In the distant future, in more than five years",0.03637,81,370,0.01727,0.05547
1987,30-45 y.,Rural regions,As soon as possible,0.06961,40,40,-0.01026,0.14948
1987,46-65 y.,Urban regions,As soon as possible,0.03330,108,144,0.00389,0.06271
1987,46-65 y.,Urban regions,Next year,0.01381,36,144,-0.00532,0.03294
1987,46-65 y.,Rural regions,As soon as possible,0.03758,32,32,-0.02937,0.10452
1988,17-29 y.,Urban regions,As soon as possible,0.05082,150,696,0.03449,0.06714
1988,17-29 y.,Urban regions,Next year,0.06949,156,696,0.05058,0.08840
1988,17-29 y.,Urban regions,In the next 2 to 5 years,0.12695,286,696,0.10220,0.15170
1988,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04446,104,696,0.02914,0.05979
1988,17-29 y.,Rural regions,As soon as possible,0.06359,42,135,0.02227,0.10490
1988,17-29 y.,Rural regions,Next year,0.08354,46,135,0.03669,0.13039
1988,17-29 y.,Rural regions,In the next 2 to 5 years,0.08688,47,135,0.03919,0.13457
1988,30-45 y.,Urban regions,As soon as possible,0.03787,94,343,0.01764,0.05810
1988,30-45 y.,Urban regions,Next year,0.03301,73,343,0.01408,0.05195
1988,30-45 y.,Urban regions,In the next 2 to 5 years,0.04657,107,343,0.02424,0.06890
1988,30-45 y.,Urban regions,"In the distant future, in more than five years",0.03079,69,343,0.01248,0.04909
1988,30-45 y.,Rural regions,As soon as possible,0.06012,35,35,-0.01978,0.14002
1988,46-65 y.,Urban regions,As soon as possible,0.03143,96,137,0.00210,0.06075
1988,46-65 y.,Urban regions,Next year,0.01404,41,137,-0.00573,0.03381
1989,17-29 y.,Urban regions,As soon as possible,0.03606,118,628,0.02146,0.05065
1989,17-29 y.,Urban regions,Next year,0.06037,135,628,0.04173,0.07901
1989,17-29 y.,Urban regions,In the next 2 to 5 years,0.11991,267,628,0.09448,0.14534
1989,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04855,108,628,0.03173,0.06538
1989,17-29 y.,Rural regions,As soon as possible,0.06766,37,93,0.01634,0.11899
1989,17-29 y.,Rural regions,In the next 2 to 5 years,0.10083,56,93,0.03930,0.16236
1989,30-45 y.,Urban regions,As soon as possible,0.03168,72,285,0.01131,0.05204
1989,30-45 y.,Urban regions,Next year,0.01958,48,285,0.00347,0.03570
1989,30-45 y.,Urban regions,In the next 2 to 5 years,0.04851,113,285,0.02352,0.07349
1989,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02548,52,285,0.00715,0.04381
1989,46-65 y.,Urban regions,As soon as possible,0.02676,85,85,-0.00775,0.06127
1990,17-29 y.,Urban regions,As soon as possible,0.03435,114,684,0.02069,0.04801
1990,17-29 y.,Urban regions,Next year,0.07166,182,684,0.05232,0.09101
1990,17-29 y.,Urban regions,In the next 2 to 5 years,0.11087,265,684,0.08733,0.13442
1990,17-29 y.,Urban regions,"In the distant future, in more than five years",0.05184,123,684,0.03521,0.06846
1990,17-29 y.,Rural regions,As soon as possible,0.05885,74,284,0.03143,0.08627
1990,17-29 y.,Rural regions,Next year,0.05688,79,284,0.02989,0.08386
1990,17-29 y.,Rural regions,In the next 2 to 5 years,0.07619,96,284,0.04528,0.10709
1990,17-29 y.,Rural regions,"In the distant future, in more than five years",0.03406,35,284,0.01293,0.05520
1990,30-45 y.,Urban regions,As soon as possible,0.02701,75,291,0.00835,0.04567
1990,30-45 y.,Urban regions,Next year,0.02116,60,291,0.00459,0.03772
1990,30-45 y.,Urban regions,In the next 2 to 5 years,0.03752,93,291,0.01565,0.05939
1990,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02624,63,291,0.00784,0.04464
1990,30-45 y.,Rural regions,As soon as possible,0.02834,36,36,-0.02664,0.08332
1990,46-65 y.,Urban regions,As soon as possible,0.02197,72,72,-0.01213,0.05608
1991,17-29 y.,Urban regions,As soon as possible,0.03954,123,615,0.02412,0.05495
1991,17-29 y.,Urban regions,Next year,0.05204,135,615,0.03447,0.06961
1991,17-29 y.,Urban regions,In the next 2 to 5 years,0.10334,248,615,0.07926,0.12742
1991,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04439,109,615,0.02810,0.06069
1991,17-29 y.,Rural regions,As soon as possible,0.06773,85,314,0.03989,0.09557
1991,17-29 y.,Rural regions,Next year,0.07031,86,314,0.04199,0.09864
1991,17-29 y.,Rural regions,In the next 2 to 5 years,0.08482,104,314,0.05395,0.11569
1991,17-29 y.,Rural regions,"In the distant future, in more than five years",0.03586,39,314,0.01526,0.05646
1991,30-45 y.,Urban regions,As soon as possible,0.03403,100,318,0.01407,0.05399
1991,30-45 y.,Urban regions,Next year,0.02352,63,318,0.00684,0.04021
1991,30-45 y.,Urban regions,In the next 2 to 5 years,0.03903,101,318,0.01771,0.06035
1991,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02245,54,318,0.00614,0.03876
1991,30-45 y.,Rural regions,As soon as possible,0.04405,86,168,0.01293,0.07518
1991,30-45 y.,Rural regions,Next year,0.03013,49,168,0.00421,0.05606
1991,30-45 y.,Rural regions,In the next 2 to 5 years,0.03476,33,168,0.00698,0.06254
1991,46-65 y.,Urban regions,As soon as possible,0.02435,79,79,-0.00986,0.05856
1991,46-65 y.,Rural regions,As soon as possible,0.03244,61,61,-0.01239,0.07726
1992,17-29 y.,Urban regions,As soon as possible,0.05394,142,656,0.03664,0.07124
1992,17-29 y.,Urban regions,Next year,0.06389,141,656,0.04516,0.08262
1992,17-29 y.,Urban regions,In the next 2 to 5 years,0.11567,274,656,0.09117,0.14016
1992,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04131,99,656,0.02607,0.05655
1992,17-29 y.,Rural regions,As soon as possible,0.07143,89,342,0.04409,0.09876
1992,17-29 y.,Rural regions,Next year,0.07682,91,342,0.04856,0.10509
1992,17-29 y.,Rural regions,In the next 2 to 5 years,0.09457,122,342,0.06351,0.12562
1992,17-29 y.,Rural regions,"In the distant future, in more than five years",0.03500,40,342,0.01549,0.05450
1992,30-45 y.,Urban regions,As soon as possible,0.04029,123,385,0.02062,0.05996
1992,30-45 y.,Urban regions,Next year,0.03227,82,385,0.01459,0.04994
1992,30-45 y.,Urban regions,In the next 2 to 5 years,0.04947,130,385,0.02778,0.07115
1992,30-45 y.,Urban regions,"In the distant future, in more than five years",0.01895,50,385,0.00531,0.03258
1992,30-45 y.,Rural regions,As soon as possible,0.07101,123,212,0.03635,0.10566
1992,30-45 y.,Rural regions,Next year,0.03582,58,212,0.01075,0.06090
1992,30-45 y.,Rural regions,In the next 2 to 5 years,0.02372,31,212,0.00318,0.04425
1992,46-65 y.,Urban regions,As soon as possible,0.03094,108,144,0.00256,0.05932
1992,46-65 y.,Urban regions,Next year,0.01276,36,144,-0.00563,0.03116
1992,46-65 y.,Rural regions,As soon as possible,0.05127,88,88,0.00492,0.09761
1993,17-29 y.,Urban regions,As soon as possible,0.05949,152,702,0.04198,0.07700
1993,17-29 y.,Urban regions,Next year,0.06041,136,702,0.04278,0.07805
1993,17-29 y.,Urban regions,In the next 2 to 5 years,0.13031,289,702,0.10539,0.15524
1993,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04952,125,702,0.03346,0.06558
1993,17-29 y.,Rural regions,As soon as possible,0.09277,108,310,0.06043,0.12512
1993,17-29 y.,Rural regions,Next year,0.06504,85,310,0.03754,0.09253
1993,17-29 y.,Rural regions,In the next 2 to 5 years,0.09693,117,310,0.06394,0.12992
1993,30-45 y.,Urban regions,As soon as possible,0.04213,125,370,0.02163,0.06263
1993,30-45 y.,Urban regions,Next year,0.02723,82,370,0.01063,0.04384
1993,30-45 y.,Urban regions,In the next 2 to 5 years,0.04907,115,370,0.02703,0.07111
1993,30-45 y.,Urban regions,"In the distant future, in more than five years",0.01847,48,370,0.00473,0.03221
1993,30-45 y.,Rural regions,As soon as possible,0.07832,138,210,0.04189,0.11475
1993,30-45 y.,Rural regions,Next year,0.01951,36,210,0.00076,0.03826
1993,30-45 y.,Rural regions,In the next 2 to 5 years,0.03264,36,210,0.00855,0.05673
1993,46-65 y.,Urban regions,As soon as possible,0.02986,90,125,-0.00010,0.05982
1993,46-65 y.,Urban regions,Next year,0.01480,35,125,-0.00646,0.03605
1993,46-65 y.,Rural regions,As soon as possible,0.06555,105,138,0.02410,0.10699
1993,46-65 y.,Rural regions,Next year,0.02400,33,138,-0.00163,0.04964
1994,17-29 y.,Urban regions,As soon as possible,0.06752,171,709,0.04904,0.08600
1994,17-29 y.,Urban regions,Next year,0.07822,157,709,0.05844,0.09800
1994,17-29 y.,Urban regions,In the next 2 to 5 years,0.13320,273,709,0.10817,0.15823
1994,17-29 y.,Urban regions,"In the distant future, in more than five years",0.04712,108,709,0.03151,0.06273
1994,17-29 y.,Rural regions,As soon as possible,0.10678,119,303,0.07195,0.14162
1994,17-29 y.,Rural regions,Next year,0.06815,74,303,0.03973,0.09657
1994,17-29 y.,Rural regions,In the next 2 to 5 years,0.09714,110,303,0.06374,0.13054
1994,30-45 y.,Urban regions,As soon as possible,0.05157,157,422,0.03044,0.07269
1994,30-45 y.,Urban regions,Next year,0.03278,88,422,0.01577,0.04978
1994,30-45 y.,Urban regions,In the next 2 to 5 years,0.04283,121,422,0.02349,0.06217
1994,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02226,56,422,0.00817,0.03635
1994,30-45 y.,Rural regions,As soon as possible,0.07668,131,221,0.04152,0.11184
1994,30-45 y.,Rural regions,Next year,0.02715,45,221,0.00568,0.04863
1994,30-45 y.,Rural regions,In the next 2 to 5 years,0.04222,45,221,0.01565,0.06880
1994,46-65 y.,Urban regions,As soon as possible,0.03170,101,148,0.00337,0.06002
1994,46-65 y.,Urban regions,Next year,0.01793,47,148,-0.00352,0.03939
1994,46-65 y.,Rural regions,As soon as possible,0.07572,106,106,0.02512,0.12632
1995,17-29 y.,Urban regions,As soon as possible,0.06601,143,732,0.04801,0.08401
1995,17-29 y.,Urban regions,Next year,0.07766,164,732,0.05826,0.09707
1995,17-29 y.,Urban regions,In the next 2 to 5 years,0.14067,309,732,0.11547,0.16588
1995,17-29 y.,Urban regions,"In the distant future, in more than five years",0.05527,116,732,0.03870,0.07183
1995,17-29 y.,Rural regions,As soon as possible,0.07545,81,327,0.04678,0.10412
1995,17-29 y.,Rural regions,Next year,0.07091,98,327,0.04305,0.09878
1995,17-29 y.,Rural regions,In the next 2 to 5 years,0.09982,110,327,0.06728,0.13236
1995,17-29 y.,Rural regions,"In the distant future, in more than five years",0.03113,38,327,0.01227,0.04998
1995,30-45 y.,Urban regions,As soon as possible,0.04821,159,471,0.02884,0.06758
1995,30-45 y.,Urban regions,Next year,0.02760,88,471,0.01279,0.04241
1995,30-45 y.,Urban regions,In the next 2 to 5 years,0.06029,166,471,0.03877,0.08181
1995,30-45 y.,Urban regions,"In the distant future, in more than five years",0.02030,58,471,0.00755,0.03306
1995,30-45 y.,Rural regions,As soon as possible,0.06885,120,253,0.03759,0.10011
1995,30-45 y.,Rural regions,Next year,0.02430,36,253,0.00529,0.04331
1995,30-45 y.,Rural regions,In the next 2 to 5 years,0.04994,66,253,0.02304,0.07683
1995,30-45 y.,Rural regions,"In the distant future, in more than five years",0.02174,31,253,0.00373,0.03974
1995,46-65 y.,Urban regions,As soon as possible,0.03394,122,172,0.00680,0.06108
1995,46-65 y.,Urban regions,Next year,0.02150,50,172,-0.00024,0.04324
1995,46-65 y.,Rural regions,As soon as possible,0.06704,101,101,0.01802,0.11605
1996,17-29 y.,Urban regions,As soon as possible,0.06915,157,699,0.05033,0.08797
1996,17-29 y.,Urban regions,Next year,0.07691,151,699,0.05714,0.09667
1996,17-29 y.,Urban regions,In the next 2 to 5 years,0.14974,269,699,0.12327,0.17622
1996,17-29 y.,Urban regions,"In the distant future, in more than five years",0.05499,122,699,0.03807,0.07190
1996,17-29 y.,Rural regions,As soon as possible,0.08730,101,314,0.05603,0.11857
1996,17-29 y.,Rural regions,Next year,0.09323,99,314,0.06102,0.12544
1996,17-29 y.,Rural regions,In the next 2 to 5 years,0.10221,114,314,0.06865,0.13577
