"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1995","2","","","","","","","","","","","","","",""
"1995","3","","","","","","","","","","","","","",""
"1995","4","79.16","62.5","875","31","41","102","153","256","75.46","82.86","4","643","61","66"
"1995","5 Einkommensstärkstes Quintil","87.32","65","560","37","51","102","153","265","82.23","92.41","9","578","61","77"
"1996","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1996","2","","","","","","","","","","","","","",""
"1996","3","","","","","","","","","","","","","",""
"1996","4","91.7","76","948","33","49","125","179","281","88.03","95.37","8","358","66","77"
"1996","5 Einkommensstärkstes Quintil","94.67","75.5","602","34","51","128","179","358","89.61","99.73","14","460","72","77"
"1997","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1997","2","","","","","","","","","","","","","",""
"1997","3","","","","","","","","","","","","","",""
"1997","4","86.67","70.5","971","31","49","107","179","271","83.05","90.29","8","614","66","77"
"1997","5 Einkommensstärkstes Quintil","96.56","75.5","611","38","51","128","179","256","91.6","101.52","5","353","77","87"
"1998","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1998","2","","","","","","","","","","","","","",""
"1998","3","","","","","","","","","","","","","",""
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","101.24","76","724","34","51","128","205","409","96.08","106.4","15","460","77","82"
"1999","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1999","2","","","","","","","","","","","","","",""
"1999","3","","","","","","","","","","","","","",""
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","89.18","75.5","838","33","51","102","169","307","85.34","93.02","15","407","61","77"
"2000","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2000","2","50.71","42.5","3883","17.92","28.58","63.92","85.25","168.33","49.72","51.7","0","234.33","42.5833320617676","42.5833320617676"
"2000","3","53.71","45.71","3491","21.33","29.83","68.17","94.75","170.42","52.59","54.83","0","340.83","45.8333320617676","50.5833320617676"
"2000","4","","","","","","","","","","","","","",""
"2000","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2001","2","53.72","46.79","3368","20.42","33.67","63.92","89.5","170.42","52.57","54.87","0","276.92","46.8333320617676","51.1666679382324"
"2001","3","56.25","47.54","3261","21.33","34.08","68.17","102.25","187.92","55","57.5","0","383.5","49.4166679382324","51.1666679382324"
"2001","4","","","","","","","","","","","","","",""
"2001","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2002","2","","","","","","","","","","","","","",""
"2002","3","","","","","","","","","","","","","",""
"2002","4","59.71","49.83","3145","21.33","33.33","75","108.33","237.5","58.24","61.18","0","350","50","55"
"2002","5 Einkommensstärkstes Quintil","67.31","56.5","3648","20.83","33.33","83.33","125","225","65.79","68.83","0","333.33","58.3333320617676","62.5"
"2003","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2003","2","","","","","","","","","","","","","",""
"2003","3","61.84","49.58","3140","20.83","33.33","83.33","116.67","200","60.47","63.21","0","291.67","50","54.1666679382324"
"2003","4","62.82","49.79","3200","25","33.33","82.75","116.67","216.67","61.38","64.26","0","291.67","54.1666679382324","58.3333320617676"
"2003","5 Einkommensstärkstes Quintil","66.12","54.08","3277","23.33","35","83.33","125","250","64.32","67.92","0","613.83","58.3333320617676","62.5"
"2004","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2004","2","","","","","","","","","","","","","",""
"2004","3","61.71","49.79","3057","23.33","33.33","79.17","116.67","200","60.21","63.21","0","338.17","50","55.4166679382324"
"2004","4","65.01","49.58","3215","22.17","34.17","83.33","125","210.83","63.47","66.55","0","291.67","56.6666679382324","59.1666679382324"
"2004","5 Einkommensstärkstes Quintil","71.98","59.83","3207","25","41.67","91.67","125","250","70.15","73.81","0","700","65","66.6666641235352"
"2005","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2005","2","","","","","","","","","","","","","",""
"2005","3","","","","","","","","","","","","","",""
"2005","4","66.68","53.75","3196","25","34.83","83.33","125","216.67","65.01","68.35","0","733.33","57.5","58.3333320617676"
"2005","5 Einkommensstärkstes Quintil","74.58","59.96","3177","25.08","41.67","91.67","133.33","250","72.69","76.47","5.5","666.67","66.6666641235352","66.6666641235352"
"2006","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2006","2","","","","","","","","","","","","","",""
"2006","3","64.96","53.96","3032","25","39.17","83.33","115","208.33","63.44","66.48","0","375","54.1666679382324","58.3333320617676"
"2006","4","67.44","52.62","3471","25","37.5","83.33","125","234","65.87","69.01","0","375","57.3333320617676","58.3333320617676"
"2006","5 Einkommensstärkstes Quintil","74.74","58.25","3379","25","41.67","94.75","150","250","72.93","76.55","0","583.33","61.6666679382324","66.6666641235352"
"2007","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2007","2","","","","","","","","","","","","","",""
"2007","3","","","","","","","","","","","","","",""
"2007","4","65.54","53.96","3256","25","39.17","83.33","125","216.67","63.98","67.1","0","375","54.5833320617676","58.3333320617676"
"2007","5 Einkommensstärkstes Quintil","72.52","57.92","3345","25","41.67","91.67","125","291.67","70.61","74.43","0","500","63.3333320617676","66.6666641235352"
"2008","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2008","2","","","","","","","","","","","","","",""
"2008","3","","","","","","","","","","","","","",""
"2008","4","66.36","54.38","3124","25","39.17","83.33","125","246.92","64.81","67.91","0","339.25","54.1666679382324","58.3333320617676"
"2008","5 Einkommensstärkstes Quintil","74.23","62.29","3324","27","41.67","100","133.33","225","72.48","75.98","0","400","62.5","66.6666641235352"
"2009","1 Einkommensschwächstes Quintil","56.91","49.83","985","20.83","33.33","66.67","108.33","166.67","54.04","59.78","5","291.67","50","50"
"2009","2","","","","","","","","","","","","","",""
"2009","3","","","","","","","","","","","","","",""
"2009","4","68.88","54.08","3059","25","37.5","83.33","128.33","250","67.25","70.51","3.75","321.33","54.1666679382324","58.3333320617676"
