"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","75.4","55","1106","71.61","79.19"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","86.06","65","891","81.86","90.26"
"1995","2","Laendlicher Raum","68.93","50.5","861","64.51","73.35"
"1995","2","Staedtischer Raum","86.73","65","997","82.55","90.91"
"1995","3","Laendlicher Raum","73.35","60","488","68.73","77.97"
"1995","3","Staedtischer Raum","91.99","74.5","829","87.96","96.02"
"1995","4","Laendlicher Raum","68.44","50","263","60.79","76.09"
"1995","4","Staedtischer Raum","83.53","73.5","612","79.43","87.63"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","89.56","60","121","78.26","100.86"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","86.71","69","439","80.99","92.43"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","76.89","58.5","999","73.16","80.62"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","77.84","65","774","74.5","81.18"
"1996","2","Laendlicher Raum","74.48","53.5","884","71.25","77.71"
"1996","2","Staedtischer Raum","84.45","70.5","951","80.56","88.34"
"1996","3","Laendlicher Raum","70.44","55","584","67.07","73.81"
"1996","3","Staedtischer Raum","94.83","75.5","840","89.84","99.82"
"1996","4","Laendlicher Raum","81.56","58.5","290","74.85","88.27"
"1996","4","Staedtischer Raum","95.57","76","658","91.21","99.93"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","97.56","97","135","87.65","107.47"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","93.94","74.5","467","88.06","99.82"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","74.82","58.5","1006","70.71","78.93"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","82.76","63.5","825","78.13","87.39"
"1997","2","Laendlicher Raum","76.58","60","898","72.76","80.4"
"1997","2","Staedtischer Raum","88.74","65","993","85.01","92.47"
"1997","3","Laendlicher Raum","83.41","62.5","548","76.34","90.48"
"1997","3","Staedtischer Raum","89.18","64.5","916","84.95","93.41"
"1997","4","Laendlicher Raum","82.4","58.5","330","75.17","89.63"
"1997","4","Staedtischer Raum","88.58","75.5","641","84.54","92.62"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","93.26","69","142","83.21","103.31"
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","97.5","75.5","469","91.8","103.2"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","76.16","60.5","1111","73.2","79.12"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","82.97","74.5","825","79.29","86.65"
"1998","2","Laendlicher Raum","75.5","59.5","1067","72.29","78.71"
"1998","2","Staedtischer Raum","92.43","76","1078","88.76","96.1"
"1998","3","Laendlicher Raum","79.41","65","650","75.27","83.55"
"1998","3","Staedtischer Raum","94.24","76","1008","90.4","98.08"
"1998","4","Laendlicher Raum","82.97","64","388","77.31","88.63"
