"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","79.79","50","916","13","26","102","159","511","72.86","86.72","0","1534","51","56"
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","98.75","74.5","3562","20","41","123","205","562","95.38","102.12","0","920","72","77"
"1984","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Sonstige","Westdeutschland","83.51","48.5","424","17","26","102","171","511","75.15","91.87","0","511","51","61"
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","54.12","35.5","876","15","20","61","102","258","48.43","59.81","0","1534","36","41"
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","54.98","40","3721","18","26","61","102","245","53.25","56.71","0","716","41","41"
"1985","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Sonstige","Westdeutschland","70.03","39.5","450","15","26","77","128","920","59.95","80.11","0","920","41","46"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","49.73","33.5","880","13","20","56","102","256","46.03","53.43","0","767","31","36"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","59.84","40.5","3594","18","26","74","102","358","57.37","62.31","0","1534","41","46"
"1986","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Sonstige","Westdeutschland","62.58","50","437","13","26","77","128","511","56.3","68.86","0","511","46","51"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","49.23","33.5","924","15","21","56","92","256","45.57","52.89","0","659","31","36"
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","60.26","41.5","3502","20","27","66","102","256","57.34","63.18","5","1534","41","46"
"1987","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Sonstige","Westdeutschland","54.61","42","409","20","26","77","102","153","50.85","58.37","0","179","43","49"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","53.47","35.5","874","15","23","56","100","307","45.78","61.16","0","2250","33","41"
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","60.79","45","3395","20","30","66","102","409","57.38","64.2","3","2301","46","49"
"1988","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Sonstige","Westdeutschland","57.54","43.5","308","10","26","64","128","307","50.95","64.13","0","307","46","51"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","65.09","36.5","864","15","26","61","102","307","52.06","78.12","0","3835","36","41"
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","","","","","","","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1989","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","59.36","47.5","3251","20","31","77","107","293","57.61","61.11","5","521","46","51"
"1989","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Sonstige","Westdeutschland","60.35","40","336","20","31","77","102","307","54.65","66.05","0","307","41","54"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","62.16","34.5","894","15","24","61","102","323","46.05","78.27","0","5112","36","41"
"1990","1-Pers.- Haushalt","Ostdeutschland","8.17","3.5","41","1","2","10","20","31","5.74","10.6","1","31","3","10"
"1990","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1990","Alleinerziehende","Ostdeutschland","9.31","7","46","2","5","15","15","24","7.46","11.16","2","24","5","10"
"1990","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1990","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Paar mit Kind(ern)","Westdeutschland","68.33","50","3190","20","31","77","112","515","64.09","72.57","0","2045","48","51"
"1990","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1990","Sonstige","Westdeutschland","53","42","380","18","26","66","102","153","37.81","68.19","5","1140","43","51"
"1991","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1991","(Ehe-)Paar ohne Kind(er)","Westdeutschland","52.4","37.5","900","18","26","61","102","256","49.58","55.22","5","424","38","41"
"1991","1-Pers.- Haushalt","Ostdeutschland","16.67","9","42","3","8","20","30","102","9.78","23.56","2","107","10","18"
"1991","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1991","Alleinerziehende","Ostdeutschland","18.22","6.5","45","5","5","38","46","46","13.97","22.47","3","46","8","12"
"1991","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1991","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Paar mit Kind(ern)","Westdeutschland","66.52","50.5","3159","23","33","82","128","256","64.8","68.24","5","358","51","51"
"1991","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1991","Sonstige","Westdeutschland","64.16","48.5","360","23","33","79","128","219","59.69","68.63","5","219","51","61"
"1992","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1992","(Ehe-)Paar ohne Kind(er)","Westdeutschland","63.32","50.5","902","20","31","77","128","256","60.14","66.5","8","358","46","51"
"1992","1-Pers.- Haushalt","Ostdeutschland","25.25","21.5","39","8","10","31","41","153","16.06","34.44","4","153","15","28"
"1992","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1992","Alleinerziehende","Ostdeutschland","61.51","43.5","48","10","26","61","161","307","37.47","85.55","5","307","26","51"
"1992","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1992","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1992","Paar mit Kind(ern)","Westdeutschland","70.04","53.5","3154","26","36","92","137","230","68.38","71.7","6","307","51","56"
"1992","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1992","Sonstige","Westdeutschland","72.17","58.5","370","26","41","82","153","307","66.48","77.86","8","307","55","67"
"1993","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1993","(Ehe-)Paar ohne Kind(er)","Westdeutschland","67.14","50","948","26","36","77","120","297","63.41","70.87","8","706","51","51"
"1993","1-Pers.- Haushalt","Ostdeutschland","34.77","24","38","8","13","36","77","205","21.75","47.79","7","205","20","31"
"1993","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1993","Alleinerziehende","Ostdeutschland","51.67","49.5","55","26","26","64","92","102","44.5","58.84","15","102","36","51"
"1993","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"1993","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Paar mit Kind(ern)","Westdeutschland","78.48","60","3040","28","41","102","153","256","76.42","80.54","8","566","61","66"
"1993","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1993","Sonstige","Westdeutschland","70.89","59","460","26","41","92","128","212","65.77","76.01","5","409","66","72"
"1994","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1994","(Ehe-)Paar ohne Kind(er)","Westdeutschland","69.39","50.5","980","26","31","85","128","307","65.57","73.21","0","826","51","56"
