year,age_gr,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Secondary School Degree,0.34639,911,2416,0.32741,0.36537
1985,17-29 y.,Urban regions,Intermediate School Degree,0.30278,606,2416,0.28445,0.32110
1985,17-29 y.,Urban regions,Technical School Degree,0.04891,99,2416,0.04031,0.05752
1985,17-29 y.,Urban regions,Upper Secondary Degree,0.15953,328,2416,0.14492,0.17413
1985,17-29 y.,Urban regions,Other Degree,0.02785,198,2416,0.02129,0.03441
1985,17-29 y.,Urban regions,"Dropout, No School Degree",0.02273,119,2416,0.01679,0.02867
1985,17-29 y.,Urban regions,No School Degree Yet,0.07153,155,2416,0.06125,0.08181
1985,17-29 y.,Rural regions,Secondary School Degree,0.46737,301,602,0.42748,0.50726
1985,17-29 y.,Rural regions,Intermediate School Degree,0.31416,188,602,0.27705,0.35127
1985,17-29 y.,Rural regions,Upper Secondary Degree,0.06570,44,602,0.04589,0.08551
1985,17-29 y.,Rural regions,Other Degree,0.02096,32,602,0.00950,0.03241
1985,17-29 y.,Rural regions,No School Degree Yet,0.06464,37,602,0.04498,0.08430
1985,30-45 y.,Urban regions,Secondary School Degree,0.53555,1101,2716,0.51679,0.55431
1985,30-45 y.,Urban regions,Intermediate School Degree,0.19759,411,2716,0.18261,0.21257
1985,30-45 y.,Urban regions,Technical School Degree,0.03774,78,2716,0.03057,0.04491
1985,30-45 y.,Urban regions,Upper Secondary Degree,0.13099,263,2716,0.11830,0.14368
1985,30-45 y.,Urban regions,Other Degree,0.05846,552,2716,0.04963,0.06728
1985,30-45 y.,Urban regions,"Dropout, No School Degree",0.02737,239,2716,0.02124,0.03351
1985,30-45 y.,Urban regions,No School Attended,0.00724,72,2716,0.00405,0.01043
1985,30-45 y.,Rural regions,Secondary School Degree,0.63887,391,686,0.60289,0.67484
1985,30-45 y.,Rural regions,Intermediate School Degree,0.19624,123,686,0.16650,0.22599
1985,30-45 y.,Rural regions,Upper Secondary Degree,0.07585,49,686,0.05603,0.09568
1985,30-45 y.,Rural regions,Other Degree,0.03688,91,686,0.02276,0.05099
1985,30-45 y.,Rural regions,"Dropout, No School Degree",0.00936,32,686,0.00215,0.01658
1985,46-65 y.,Urban regions,Secondary School Degree,0.70123,1445,2579,0.68356,0.71890
1985,46-65 y.,Urban regions,Intermediate School Degree,0.14946,309,2579,0.13569,0.16322
1985,46-65 y.,Urban regions,Technical School Degree,0.02557,54,2579,0.01948,0.03166
1985,46-65 y.,Urban regions,Upper Secondary Degree,0.06820,146,2579,0.05847,0.07793
1985,46-65 y.,Urban regions,Other Degree,0.02477,290,2579,0.01877,0.03077
1985,46-65 y.,Urban regions,"Dropout, No School Degree",0.02060,264,2579,0.01512,0.02609
1985,46-65 y.,Urban regions,No School Attended,0.00538,71,2579,0.00255,0.00820
1985,46-65 y.,Rural regions,Secondary School Degree,0.77722,503,649,0.74518,0.80926
1985,46-65 y.,Rural regions,Intermediate School Degree,0.11467,73,649,0.09014,0.13920
1985,46-65 y.,Rural regions,Upper Secondary Degree,0.05354,34,649,0.03621,0.07087
1985,46-65 y.,Rural regions,Other Degree,0.01402,39,649,0.00497,0.02307
1985,66 and older,Urban regions,Secondary School Degree,0.73836,594,779,0.70748,0.76925
1985,66 and older,Urban regions,Intermediate School Degree,0.17014,136,779,0.14373,0.19654
1985,66 and older,Urban regions,Upper Secondary Degree,0.05750,49,779,0.04114,0.07386
1985,66 and older,Rural regions,Secondary School Degree,0.78254,232,265,0.73277,0.83230
1985,66 and older,Rural regions,Intermediate School Degree,0.12573,33,265,0.08573,0.16572
1986,17-29 y.,Urban regions,Secondary School Degree,0.34213,892,2344,0.32292,0.36134
1986,17-29 y.,Urban regions,Intermediate School Degree,0.29956,594,2344,0.28102,0.31811
1986,17-29 y.,Urban regions,Technical School Degree,0.04984,95,2344,0.04102,0.05865
1986,17-29 y.,Urban regions,Upper Secondary Degree,0.16746,314,2344,0.15234,0.18258
1986,17-29 y.,Urban regions,Other Degree,0.02614,164,2344,0.01968,0.03261
1986,17-29 y.,Urban regions,"Dropout, No School Degree",0.02402,113,2344,0.01782,0.03022
1986,17-29 y.,Urban regions,No School Degree Yet,0.06771,172,2344,0.05753,0.07788
1986,17-29 y.,Rural regions,Secondary School Degree,0.45658,296,558,0.41522,0.49795
1986,17-29 y.,Rural regions,Intermediate School Degree,0.31697,181,558,0.27833,0.35562
1986,17-29 y.,Rural regions,Upper Secondary Degree,0.08211,50,558,0.05931,0.10491
1986,17-29 y.,Rural regions,Other Degree,0.02691,31,558,0.01347,0.04035
1986,30-45 y.,Urban regions,Secondary School Degree,0.51229,1004,2563,0.49293,0.53164
1986,30-45 y.,Urban regions,Intermediate School Degree,0.20465,403,2563,0.18903,0.22027
1986,30-45 y.,Urban regions,Technical School Degree,0.04197,80,2563,0.03420,0.04973
1986,30-45 y.,Urban regions,Upper Secondary Degree,0.14488,288,2563,0.13125,0.15851
1986,30-45 y.,Urban regions,Other Degree,0.05771,516,2563,0.04868,0.06674
1986,30-45 y.,Urban regions,"Dropout, No School Degree",0.02705,214,2563,0.02077,0.03333
1986,30-45 y.,Urban regions,No School Attended,0.00631,58,2563,0.00324,0.00937
1986,30-45 y.,Rural regions,Secondary School Degree,0.62852,358,613,0.59023,0.66680
1986,30-45 y.,Rural regions,Intermediate School Degree,0.19992,114,613,0.16823,0.23161
1986,30-45 y.,Rural regions,Upper Secondary Degree,0.09027,55,613,0.06757,0.11298
1986,30-45 y.,Rural regions,Other Degree,0.03499,86,613,0.02043,0.04955
1986,46-65 y.,Urban regions,Secondary School Degree,0.69293,1397,2526,0.67494,0.71092
1986,46-65 y.,Urban regions,Intermediate School Degree,0.15629,308,2526,0.14213,0.17046
1986,46-65 y.,Urban regions,Technical School Degree,0.02488,53,2526,0.01881,0.03096
1986,46-65 y.,Urban regions,Upper Secondary Degree,0.06775,144,2526,0.05795,0.07756
1986,46-65 y.,Urban regions,Other Degree,0.02670,308,2526,0.02041,0.03299
1986,46-65 y.,Urban regions,"Dropout, No School Degree",0.01969,243,2526,0.01427,0.02511
1986,46-65 y.,Urban regions,No School Attended,0.00568,73,2526,0.00275,0.00862
1986,46-65 y.,Rural regions,Secondary School Degree,0.76184,470,623,0.72837,0.79532
1986,46-65 y.,Rural regions,Intermediate School Degree,0.12181,72,623,0.09611,0.14752
1986,46-65 y.,Rural regions,Upper Secondary Degree,0.05649,33,623,0.03835,0.07463
1986,46-65 y.,Rural regions,Other Degree,0.01975,48,623,0.00881,0.03068
1986,66 and older,Urban regions,Secondary School Degree,0.72584,545,722,0.69328,0.75840
1986,66 and older,Urban regions,Intermediate School Degree,0.17732,131,722,0.14944,0.20520
1986,66 and older,Urban regions,Upper Secondary Degree,0.05653,46,722,0.03967,0.07339
1986,66 and older,Rural regions,Secondary School Degree,0.76435,207,241,0.71066,0.81805
1986,66 and older,Rural regions,Intermediate School Degree,0.13902,34,241,0.09525,0.18279
1987,17-29 y.,Urban regions,Secondary School Degree,0.34843,895,2280,0.32887,0.36799
1987,17-29 y.,Urban regions,Intermediate School Degree,0.29328,581,2280,0.27459,0.31197
1987,17-29 y.,Urban regions,Technical School Degree,0.04561,85,2280,0.03704,0.05418
1987,17-29 y.,Urban regions,Upper Secondary Degree,0.17600,306,2280,0.16037,0.19164
1987,17-29 y.,Urban regions,Other Degree,0.02487,153,2280,0.01848,0.03126
1987,17-29 y.,Urban regions,"Dropout, No School Degree",0.01997,90,2280,0.01423,0.02571
1987,17-29 y.,Urban regions,No School Degree Yet,0.06311,170,2280,0.05313,0.07309
1987,17-29 y.,Rural regions,Secondary School Degree,0.43062,291,563,0.38968,0.47156
1987,17-29 y.,Rural regions,Intermediate School Degree,0.33730,190,563,0.29821,0.37639
1987,17-29 y.,Rural regions,Upper Secondary Degree,0.07827,45,563,0.05607,0.10048
1987,17-29 y.,Rural regions,Other Degree,0.03777,37,563,0.02201,0.05353
1987,30-45 y.,Urban regions,Secondary School Degree,0.49594,964,2487,0.47628,0.51559
1987,30-45 y.,Urban regions,Intermediate School Degree,0.20810,400,2487,0.19214,0.22406
1987,30-45 y.,Urban regions,Technical School Degree,0.04397,79,2487,0.03591,0.05203
1987,30-45 y.,Urban regions,Upper Secondary Degree,0.15105,293,2487,0.13697,0.16513
1987,30-45 y.,Urban regions,Other Degree,0.05947,485,2487,0.05017,0.06877
1987,30-45 y.,Urban regions,"Dropout, No School Degree",0.02972,213,2487,0.02304,0.03639
1987,30-45 y.,Urban regions,No School Attended,0.00652,53,2487,0.00336,0.00969
1987,30-45 y.,Rural regions,Secondary School Degree,0.62560,343,617,0.58738,0.66382
1987,30-45 y.,Rural regions,Intermediate School Degree,0.21247,117,617,0.18017,0.24478
1987,30-45 y.,Rural regions,Upper Secondary Degree,0.07654,47,617,0.05554,0.09753
1987,30-45 y.,Rural regions,Other Degree,0.03565,79,617,0.02101,0.05030
1987,30-45 y.,Rural regions,"Dropout, No School Degree",0.01239,31,617,0.00365,0.02112
1987,46-65 y.,Urban regions,Secondary School Degree,0.69057,1377,2521,0.67252,0.70862
1987,46-65 y.,Urban regions,Intermediate School Degree,0.15171,300,2521,0.13770,0.16571
1987,46-65 y.,Urban regions,Technical School Degree,0.02549,54,2521,0.01934,0.03165
1987,46-65 y.,Urban regions,Upper Secondary Degree,0.06731,142,2521,0.05752,0.07709
1987,46-65 y.,Urban regions,Other Degree,0.03004,325,2521,0.02338,0.03671
1987,46-65 y.,Urban regions,"Dropout, No School Degree",0.02181,247,2521,0.01611,0.02751
1987,46-65 y.,Urban regions,No School Attended,0.00697,76,2521,0.00372,0.01021
1987,46-65 y.,Rural regions,Secondary School Degree,0.75544,450,609,0.72127,0.78960
1987,46-65 y.,Rural regions,Intermediate School Degree,0.11664,70,609,0.09112,0.14215
1987,46-65 y.,Rural regions,Upper Secondary Degree,0.06175,34,609,0.04262,0.08088
1987,46-65 y.,Rural regions,Other Degree,0.02376,55,609,0.01165,0.03586
1987,66 and older,Urban regions,Secondary School Degree,0.72240,566,752,0.69037,0.75443
1987,66 and older,Urban regions,Intermediate School Degree,0.17390,133,752,0.14679,0.20101
1987,66 and older,Urban regions,Upper Secondary Degree,0.06459,53,752,0.04701,0.08217
1987,66 and older,Rural regions,Secondary School Degree,0.77573,214,249,0.72381,0.82764
1987,66 and older,Rural regions,Intermediate School Degree,0.14340,35,249,0.09978,0.18702
1988,17-29 y.,Urban regions,Secondary School Degree,0.34740,885,2183,0.32742,0.36738
1988,17-29 y.,Urban regions,Intermediate School Degree,0.29461,571,2183,0.27548,0.31373
1988,17-29 y.,Urban regions,Technical School Degree,0.04065,75,2183,0.03237,0.04894
1988,17-29 y.,Urban regions,Upper Secondary Degree,0.17493,286,2183,0.15899,0.19087
1988,17-29 y.,Urban regions,Other Degree,0.02423,147,2183,0.01778,0.03068
1988,17-29 y.,Urban regions,"Dropout, No School Degree",0.01765,81,2183,0.01213,0.02318
1988,17-29 y.,Urban regions,No School Degree Yet,0.06098,138,2183,0.05094,0.07102
1988,17-29 y.,Rural regions,Secondary School Degree,0.44110,262,470,0.39617,0.48604
1988,17-29 y.,Rural regions,Intermediate School Degree,0.31341,164,470,0.27142,0.35539
1988,17-29 y.,Rural regions,Upper Secondary Degree,0.08961,44,470,0.06376,0.11546
1988,30-45 y.,Urban regions,Secondary School Degree,0.49068,905,2301,0.47025,0.51111
1988,30-45 y.,Urban regions,Intermediate School Degree,0.21010,380,2301,0.19345,0.22675
1988,30-45 y.,Urban regions,Technical School Degree,0.04635,81,2301,0.03776,0.05495
1988,30-45 y.,Urban regions,Upper Secondary Degree,0.16384,293,2301,0.14872,0.17897
1988,30-45 y.,Urban regions,Other Degree,0.04963,419,2301,0.04075,0.05851
1988,30-45 y.,Urban regions,"Dropout, No School Degree",0.02767,182,2301,0.02097,0.03438
1988,30-45 y.,Urban regions,No School Attended,0.00513,41,2301,0.00221,0.00805
1988,30-45 y.,Rural regions,Secondary School Degree,0.61752,320,587,0.57817,0.65687
1988,30-45 y.,Rural regions,Intermediate School Degree,0.22877,122,587,0.19476,0.26278
1988,30-45 y.,Rural regions,Upper Secondary Degree,0.06356,38,587,0.04380,0.08331
1988,30-45 y.,Rural regions,Other Degree,0.03317,76,587,0.01867,0.04767
1988,30-45 y.,Rural regions,"Dropout, No School Degree",0.01766,31,587,0.00700,0.02833
1988,46-65 y.,Urban regions,Secondary School Degree,0.68587,1320,2454,0.66750,0.70424
1988,46-65 y.,Urban regions,Intermediate School Degree,0.15077,287,2454,0.13661,0.16493
1988,46-65 y.,Urban regions,Technical School Degree,0.02645,51,2454,0.02010,0.03280
1988,46-65 y.,Urban regions,Upper Secondary Degree,0.07389,149,2454,0.06353,0.08424
1988,46-65 y.,Urban regions,Other Degree,0.03078,334,2454,0.02394,0.03761
1988,46-65 y.,Urban regions,"Dropout, No School Degree",0.01914,234,2454,0.01372,0.02456
1988,46-65 y.,Urban regions,No School Attended,0.00696,79,2454,0.00367,0.01025
1988,46-65 y.,Rural regions,Secondary School Degree,0.76033,429,555,0.72478,0.79587
1988,46-65 y.,Rural regions,Intermediate School Degree,0.12251,72,555,0.09521,0.14982
1988,46-65 y.,Rural regions,Other Degree,0.02202,54,555,0.00980,0.03425
1988,66 and older,Urban regions,Secondary School Degree,0.71538,549,735,0.68273,0.74802
1988,66 and older,Urban regions,Intermediate School Degree,0.18335,136,735,0.15536,0.21135
1988,66 and older,Urban regions,Upper Secondary Degree,0.06295,50,735,0.04538,0.08052
1988,66 and older,Rural regions,Secondary School Degree,0.78338,202,234,0.73049,0.83628
1988,66 and older,Rural regions,Intermediate School Degree,0.13626,32,234,0.09221,0.18031
1989,17-29 y.,Urban regions,Secondary School Degree,0.33207,851,2156,0.31219,0.35196
1989,17-29 y.,Urban regions,Intermediate School Degree,0.29135,557,2156,0.27216,0.31053
1989,17-29 y.,Urban regions,Technical School Degree,0.04025,73,2156,0.03196,0.04855
1989,17-29 y.,Urban regions,Upper Secondary Degree,0.18209,308,2156,0.16579,0.19838
1989,17-29 y.,Urban regions,Other Degree,0.02385,134,2156,0.01741,0.03030
1989,17-29 y.,Urban regions,"Dropout, No School Degree",0.01772,82,2156,0.01215,0.02329
1989,17-29 y.,Urban regions,No School Degree Yet,0.07152,151,2156,0.06064,0.08240
1989,17-29 y.,Rural regions,Secondary School Degree,0.44538,261,460,0.39991,0.49085
1989,17-29 y.,Rural regions,Intermediate School Degree,0.27941,153,460,0.23836,0.32046
1989,17-29 y.,Rural regions,Upper Secondary Degree,0.09654,46,460,0.06953,0.12356
1989,30-45 y.,Urban regions,Secondary School Degree,0.48764,890,2238,0.46692,0.50835
1989,30-45 y.,Urban regions,Intermediate School Degree,0.20194,372,2238,0.18530,0.21858
1989,30-45 y.,Urban regions,Technical School Degree,0.04922,84,2238,0.04025,0.05818
1989,30-45 y.,Urban regions,Upper Secondary Degree,0.16810,292,2238,0.15261,0.18360
1989,30-45 y.,Urban regions,Other Degree,0.05243,394,2238,0.04320,0.06167
1989,30-45 y.,Urban regions,"Dropout, No School Degree",0.02808,167,2238,0.02124,0.03493
1989,30-45 y.,Urban regions,No School Attended,0.00513,39,2238,0.00217,0.00810
1989,30-45 y.,Rural regions,Secondary School Degree,0.59558,288,538,0.55407,0.63709
1989,30-45 y.,Rural regions,Intermediate School Degree,0.23778,117,538,0.20177,0.27378
1989,30-45 y.,Rural regions,Upper Secondary Degree,0.06698,34,538,0.04584,0.08813
1989,30-45 y.,Rural regions,Other Degree,0.03475,68,538,0.01926,0.05025
1989,30-45 y.,Rural regions,"Dropout, No School Degree",0.01941,31,538,0.00774,0.03108
1989,46-65 y.,Urban regions,Secondary School Degree,0.67076,1237,2366,0.65182,0.68970
1989,46-65 y.,Urban regions,Intermediate School Degree,0.15368,273,2366,0.13915,0.16822
1989,46-65 y.,Urban regions,Technical School Degree,0.02758,53,2366,0.02098,0.03418
1989,46-65 y.,Urban regions,Upper Secondary Degree,0.07650,148,2366,0.06578,0.08721
1989,46-65 y.,Urban regions,Other Degree,0.03642,347,2366,0.02887,0.04397
1989,46-65 y.,Urban regions,"Dropout, No School Degree",0.02059,230,2366,0.01487,0.02631
1989,46-65 y.,Urban regions,No School Attended,0.00770,78,2366,0.00418,0.01123
1989,46-65 y.,Rural regions,Secondary School Degree,0.74682,395,519,0.70937,0.78426
1989,46-65 y.,Rural regions,Intermediate School Degree,0.12976,72,519,0.10082,0.15870
1989,46-65 y.,Rural regions,Other Degree,0.02425,52,519,0.01100,0.03749
1989,66 and older,Urban regions,Secondary School Degree,0.70531,531,721,0.67201,0.73861
1989,66 and older,Urban regions,Intermediate School Degree,0.19450,139,721,0.16558,0.22341
1989,66 and older,Urban regions,Upper Secondary Degree,0.06545,51,721,0.04738,0.08351
1989,66 and older,Rural regions,Secondary School Degree,0.78872,199,199,0.73186,0.84558
1990,17-29 y.,Urban regions,Secondary School Degree,0.30821,845,2406,0.28976,0.32667
1990,17-29 y.,Urban regions,Intermediate School Degree,0.33691,794,2406,0.31802,0.35580
1990,17-29 y.,Urban regions,Technical School Degree,0.03573,73,2406,0.02831,0.04315
1990,17-29 y.,Urban regions,Upper Secondary Degree,0.18077,348,2406,0.16539,0.19615
1990,17-29 y.,Urban regions,Other Degree,0.02483,128,2406,0.01861,0.03105
1990,17-29 y.,Urban regions,"Dropout, No School Degree",0.01840,73,2406,0.01303,0.02377
1990,17-29 y.,Urban regions,No School Degree Yet,0.05816,145,2406,0.04881,0.06751
1990,17-29 y.,Rural regions,Secondary School Degree,0.29219,327,1226,0.26672,0.31765
1990,17-29 y.,Rural regions,Intermediate School Degree,0.47588,719,1226,0.44792,0.50385
1990,17-29 y.,Rural regions,Upper Secondary Degree,0.10038,126,1226,0.08355,0.11721
1990,17-29 y.,Rural regions,No School Degree Yet,0.04900,54,1226,0.03691,0.06109
1990,30-45 y.,Urban regions,Secondary School Degree,0.43846,950,2690,0.41971,0.45722
1990,30-45 y.,Urban regions,Intermediate School Degree,0.24436,659,2690,0.22812,0.26060
1990,30-45 y.,Urban regions,Technical School Degree,0.04687,88,2690,0.03889,0.05486
1990,30-45 y.,Urban regions,Upper Secondary Degree,0.18070,424,2690,0.16616,0.19524
1990,30-45 y.,Urban regions,Other Degree,0.04843,382,2690,0.04032,0.05655
1990,30-45 y.,Urban regions,"Dropout, No School Degree",0.02358,153,2690,0.01784,0.02931
1990,30-45 y.,Urban regions,No School Attended,0.00445,34,2690,0.00193,0.00696
1990,30-45 y.,Rural regions,Secondary School Degree,0.43333,491,1467,0.40796,0.45869
1990,30-45 y.,Rural regions,Intermediate School Degree,0.39961,721,1467,0.37454,0.42468
1990,30-45 y.,Rural regions,Upper Secondary Degree,0.10147,177,1467,0.08601,0.11692
1990,30-45 y.,Rural regions,Other Degree,0.02623,78,1467,0.01805,0.03441
