year,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Secondary School Degree,0.47665,2844,5910,0.46392,0.48939
1984,male,Intermediate School Degree,0.13612,832,5910,0.12738,0.14487
1984,male,Technical School Degree,0.03562,214,5910,0.03089,0.04034
1984,male,Upper Secondary Degree,0.09848,592,5910,0.09088,0.10608
1984,male,Other Degree,0.03039,854,5910,0.02602,0.03477
1984,male,"Dropout, No School Degree",0.01691,403,5910,0.01362,0.02019
1984,male,No School Degree Yet,0.01418,101,5910,0.01116,0.01719
1984,male,No School Attended,0.00183,70,5910,0.00074,0.00293
1984,female,Secondary School Degree,0.53450,3267,6163,0.52204,0.54695
1984,female,Intermediate School Degree,0.17740,1125,6163,0.16786,0.18694
1984,female,Technical School Degree,0.01720,114,6163,0.01395,0.02045
1984,female,Upper Secondary Degree,0.05677,373,6163,0.05100,0.06255
1984,female,Other Degree,0.01722,576,6163,0.01398,0.02047
1984,female,"Dropout, No School Degree",0.01656,468,6163,0.01337,0.01974
1984,female,No School Degree Yet,0.01257,100,6163,0.00979,0.01535
1984,female,No School Attended,0.00391,140,6163,0.00235,0.00546
1985,male,Secondary School Degree,0.47149,2561,5352,0.45811,0.48486
1985,male,Intermediate School Degree,0.14345,795,5352,0.13406,0.15284
1985,male,Technical School Degree,0.03632,197,5352,0.03131,0.04133
1985,male,Upper Secondary Degree,0.10112,568,5352,0.09304,0.10920
1985,male,Other Degree,0.03082,730,5352,0.02618,0.03545
1985,male,"Dropout, No School Degree",0.01722,326,5352,0.01373,0.02070
1985,male,No School Degree Yet,0.01886,114,5352,0.01521,0.02250
1985,male,No School Attended,0.00204,61,5352,0.00083,0.00325
1985,female,Secondary School Degree,0.52679,2917,5527,0.51362,0.53995
1985,female,Intermediate School Degree,0.19014,1084,5527,0.17980,0.20049
1985,female,Technical School Degree,0.01738,104,5527,0.01393,0.02082
1985,female,Upper Secondary Degree,0.06028,359,5527,0.05400,0.06655
1985,female,Other Degree,0.01670,479,5527,0.01332,0.02008
1985,female,"Dropout, No School Degree",0.01653,391,5527,0.01317,0.01989
1985,female,No School Degree Yet,0.01118,78,5527,0.00841,0.01396
1985,female,No School Attended,0.00347,115,5527,0.00192,0.00502
1986,male,Secondary School Degree,0.46300,2437,5166,0.44940,0.47660
1986,male,Intermediate School Degree,0.14774,780,5166,0.13806,0.15742
1986,male,Technical School Degree,0.03697,196,5166,0.03182,0.04212
1986,male,Upper Secondary Degree,0.10693,571,5166,0.09850,0.11536
1986,male,Other Degree,0.03123,703,5166,0.02648,0.03597
1986,male,"Dropout, No School Degree",0.01725,303,5166,0.01370,0.02081
1986,male,No School Degree Yet,0.01643,120,5166,0.01296,0.01990
1986,male,No School Attended,0.00197,56,5166,0.00076,0.00318
1986,female,Secondary School Degree,0.51488,2732,5271,0.50138,0.52837
1986,female,Intermediate School Degree,0.19330,1057,5271,0.18264,0.20397
1986,female,Technical School Degree,0.01909,107,5271,0.01539,0.02278
1986,female,Upper Secondary Degree,0.06490,375,5271,0.05825,0.07155
1986,female,Other Degree,0.01712,456,5271,0.01362,0.02062
1986,female,"Dropout, No School Degree",0.01701,362,5271,0.01352,0.02051
1986,female,No School Degree Yet,0.00906,76,5271,0.00650,0.01162
1986,female,No School Attended,0.00346,106,5271,0.00187,0.00504
1987,male,Secondary School Degree,0.45932,2420,5090,0.44563,0.47301
1987,male,Intermediate School Degree,0.14665,787,5090,0.13693,0.15637
1987,male,Technical School Degree,0.03687,187,5090,0.03169,0.04205
1987,male,Upper Secondary Degree,0.10796,566,5090,0.09943,0.11648
1987,male,Other Degree,0.03237,680,5090,0.02751,0.03724
1987,male,"Dropout, No School Degree",0.01682,291,5090,0.01329,0.02036
1987,male,No School Degree Yet,0.01220,104,5090,0.00919,0.01522
1987,male,No School Attended,0.00222,55,5090,0.00093,0.00351
1987,female,Secondary School Degree,0.51222,2680,5198,0.49863,0.52581
1987,female,Intermediate School Degree,0.19153,1039,5198,0.18083,0.20223
1987,female,Technical School Degree,0.01829,103,5198,0.01465,0.02194
1987,female,Upper Secondary Degree,0.06719,369,5198,0.06039,0.07400
1987,female,Other Degree,0.01907,462,5198,0.01535,0.02279
1987,female,"Dropout, No School Degree",0.01589,348,5198,0.01249,0.01929
1987,female,No School Degree Yet,0.01088,93,5198,0.00806,0.01370
1987,female,No School Attended,0.00373,104,5198,0.00207,0.00538
