year,regtyp,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Secondary School Degree,0.48323,4051,8534,0.47263,0.49384
1985,Urban regions,Intermediate School Degree,0.17232,1462,8534,0.16431,0.18033
1985,Urban regions,Technical School Degree,0.02827,248,8534,0.02475,0.03179
1985,Urban regions,Upper Secondary Degree,0.08936,786,8534,0.08330,0.09541
1985,Urban regions,Other Degree,0.02590,1046,8534,0.02253,0.02927
1985,Urban regions,"Dropout, No School Degree",0.01788,633,8534,0.01507,0.02069
1985,Urban regions,No School Degree Yet,0.01535,155,8534,0.01274,0.01796
1985,Urban regions,No School Attended,0.00323,153,8534,0.00202,0.00443
1985,Rural regions,Secondary School Degree,0.55197,1427,2322,0.53173,0.57220
1985,Rural regions,Intermediate School Degree,0.15453,417,2322,0.13982,0.16923
1985,Rural regions,Technical School Degree,0.02083,53,2322,0.01502,0.02664
1985,Rural regions,Upper Secondary Degree,0.05095,141,2322,0.04200,0.05990
1985,Rural regions,Other Degree,0.01602,163,2322,0.01092,0.02113
1985,Rural regions,"Dropout, No School Degree",0.01380,84,2322,0.00905,0.01855
1985,Rural regions,No School Degree Yet,0.01333,37,2322,0.00866,0.01799
1986,Urban regions,Secondary School Degree,0.47462,3838,8203,0.46382,0.48543
1986,Urban regions,Intermediate School Degree,0.17537,1436,8203,0.16714,0.18360
1986,Urban regions,Technical School Degree,0.02979,248,8203,0.02611,0.03347
1986,Urban regions,Upper Secondary Degree,0.09335,792,8203,0.08706,0.09965
1986,Urban regions,Other Degree,0.02587,994,8203,0.02243,0.02930
1986,Urban regions,"Dropout, No School Degree",0.01807,583,8203,0.01519,0.02096
1986,Urban regions,No School Degree Yet,0.01426,172,8203,0.01169,0.01683
1986,Urban regions,No School Attended,0.00312,140,8203,0.00191,0.00432
1986,Rural regions,Secondary School Degree,0.53708,1331,2188,0.51619,0.55798
1986,Rural regions,Intermediate School Degree,0.15986,401,2188,0.14450,0.17522
1986,Rural regions,Technical School Degree,0.02107,55,2188,0.01505,0.02708
1986,Rural regions,Upper Secondary Degree,0.05956,154,2188,0.04964,0.06948
1986,Rural regions,Other Degree,0.01776,165,2188,0.01222,0.02329
1986,Rural regions,"Dropout, No School Degree",0.01426,82,2188,0.00929,0.01923
1987,Urban regions,Secondary School Degree,0.47324,3802,8088,0.46236,0.48412
1987,Urban regions,Intermediate School Degree,0.17223,1414,8088,0.16400,0.18046
1987,Urban regions,Technical School Degree,0.02898,236,8088,0.02532,0.03264
1987,Urban regions,Upper Secondary Degree,0.09672,794,8088,0.09028,0.10317
1987,Urban regions,Other Degree,0.02697,971,8088,0.02344,0.03050
1987,Urban regions,"Dropout, No School Degree",0.01809,565,8088,0.01518,0.02099
1987,Urban regions,No School Degree Yet,0.01295,170,8088,0.01048,0.01541
1987,Urban regions,No School Attended,0.00345,136,8088,0.00217,0.00473
1987,Rural regions,Secondary School Degree,0.52866,1298,2150,0.50756,0.54977
1987,Rural regions,Intermediate School Degree,0.16314,412,2150,0.14752,0.17876
1987,Rural regions,Technical School Degree,0.02174,54,2150,0.01557,0.02791
1987,Rural regions,Upper Secondary Degree,0.05609,141,2150,0.04636,0.06582
1987,Rural regions,Other Degree,0.02080,171,2150,0.01476,0.02683
