year,migback,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Secondary School Degree,0.54098,5437,8649,0.53048,0.55149
1984,No migration background,Intermediate School Degree,0.16812,1785,8649,0.16024,0.17600
1984,No migration background,Technical School Degree,0.02711,293,8649,0.02369,0.03053
1984,No migration background,Upper Secondary Degree,0.07944,871,8649,0.07374,0.08514
1984,No migration background,Other Degree,0.00345,37,8649,0.00222,0.00469
1984,No migration background,"Dropout, No School Degree",0.00657,67,8649,0.00487,0.00827
1984,No migration background,No School Degree Yet,0.01426,159,8649,0.01176,0.01675
1984,Direct migration background,Secondary School Degree,0.29647,606,3299,0.28088,0.31205
1984,Direct migration background,Intermediate School Degree,0.09091,145,3299,0.08110,0.10073
1984,Direct migration background,Technical School Degree,0.02234,33,3299,0.01729,0.02738
1984,Direct migration background,Upper Secondary Degree,0.06806,88,3299,0.05947,0.07666
1984,Direct migration background,Other Degree,0.23230,1386,3299,0.21788,0.24671
1984,Direct migration background,"Dropout, No School Degree",0.12386,799,3299,0.11262,0.13510
1984,Direct migration background,No School Degree Yet,0.00614,34,3299,0.00348,0.00881
1984,Direct migration background,No School Attended,0.03302,208,3299,0.02693,0.03912
1984,Indirect migration background,Secondary School Degree,0.06262,68,68,0.00460,0.12063
1985,No migration background,Secondary School Degree,0.53171,4838,7921,0.52072,0.54270
1985,No migration background,Intermediate School Degree,0.17862,1707,7921,0.17018,0.18705
1985,No migration background,Technical School Degree,0.02788,271,7921,0.02425,0.03150
1985,No migration background,Upper Secondary Degree,0.08283,838,7921,0.07676,0.08890
1985,No migration background,Other Degree,0.00424,42,7921,0.00281,0.00568
1985,No migration background,"Dropout, No School Degree",0.00775,70,7921,0.00582,0.00968
1985,No migration background,No School Degree Yet,0.01570,155,7921,0.01296,0.01843
1985,Direct migration background,Secondary School Degree,0.32218,566,2768,0.30477,0.33959
1985,Direct migration background,Intermediate School Degree,0.10179,142,2768,0.09053,0.11306
1985,Direct migration background,Upper Secondary Degree,0.06969,85,2768,0.06020,0.07918
1985,Direct migration background,Other Degree,0.22545,1160,2768,0.20988,0.24103
1985,Direct migration background,"Dropout, No School Degree",0.11496,641,2768,0.10307,0.12685
1985,Direct migration background,No School Attended,0.03206,174,2768,0.02549,0.03862
1985,Indirect migration background,Secondary School Degree,0.07213,74,74,0.01278,0.13148
1986,No migration background,Secondary School Degree,0.52078,4503,7543,0.50950,0.53205
1986,No migration background,Intermediate School Degree,0.18326,1656,7543,0.17453,0.19199
1986,No migration background,Technical School Degree,0.02953,273,7543,0.02571,0.03335
1986,No migration background,Upper Secondary Degree,0.08876,852,7543,0.08234,0.09518
1986,No migration background,Other Degree,0.00420,41,7543,0.00274,0.00566
1986,No migration background,"Dropout, No School Degree",0.00820,71,7543,0.00617,0.01024
1986,No migration background,No School Degree Yet,0.01298,147,7543,0.01042,0.01553
1986,Direct migration background,Secondary School Degree,0.33703,585,2719,0.31926,0.35480
1986,Direct migration background,Intermediate School Degree,0.10435,151,2719,0.09285,0.11584
1986,Direct migration background,Upper Secondary Degree,0.07141,86,2719,0.06173,0.08109
1986,Direct migration background,Other Degree,0.22126,1113,2719,0.20565,0.23687
1986,Direct migration background,"Dropout, No School Degree",0.10904,588,2719,0.09732,0.12076
1986,Direct migration background,No School Degree Yet,0.00983,36,2719,0.00612,0.01353
1986,Direct migration background,No School Attended,0.03012,160,2719,0.02369,0.03655
1986,Indirect migration background,Secondary School Degree,0.07058,81,81,0.01445,0.12670
1987,No migration background,Secondary School Degree,0.51884,4400,7392,0.50745,0.53024
1987,No migration background,Intermediate School Degree,0.18233,1639,7392,0.17353,0.19114
1987,No migration background,Technical School Degree,0.02887,258,7392,0.02505,0.03268
1987,No migration background,Upper Secondary Degree,0.09099,838,7392,0.08443,0.09755
1987,No migration background,Other Degree,0.00476,47,7392,0.00319,0.00633
1987,No migration background,"Dropout, No School Degree",0.00689,59,7392,0.00501,0.00878
1987,No migration background,No School Degree Yet,0.01215,151,7392,0.00965,0.01465
1987,Direct migration background,Secondary School Degree,0.34001,611,2702,0.32215,0.35788
1987,Direct migration background,Intermediate School Degree,0.10570,154,2702,0.09410,0.11729
1987,Direct migration background,Upper Secondary Degree,0.06927,83,2702,0.05969,0.07884
1987,Direct migration background,Other Degree,0.22766,1089,2702,0.21185,0.24347
1987,Direct migration background,"Dropout, No School Degree",0.11039,573,2702,0.09857,0.12221
1987,Direct migration background,No School Degree Yet,0.00833,35,2702,0.00490,0.01176
1987,Direct migration background,No School Attended,0.03211,157,2702,0.02546,0.03875
1987,Indirect migration background,Secondary School Degree,0.07100,89,122,0.02524,0.11676
1987,Indirect migration background,Intermediate School Degree,0.03047,33,122,-0.00016,0.06109
1988,No migration background,Secondary School Degree,0.51503,4152,6989,0.50331,0.52675
1988,No migration background,Intermediate School Degree,0.18265,1569,6989,0.17359,0.19171
1988,No migration background,Technical School Degree,0.02901,244,6989,0.02507,0.03294
1988,No migration background,Upper Secondary Degree,0.09335,802,6989,0.08653,0.10017
1988,No migration background,Other Degree,0.00440,42,6989,0.00285,0.00595
1988,No migration background,"Dropout, No School Degree",0.00680,55,6989,0.00487,0.00873
1988,No migration background,No School Degree Yet,0.01191,125,6989,0.00936,0.01445
1988,Direct migration background,Secondary School Degree,0.35983,617,2530,0.34112,0.37853
1988,Direct migration background,Intermediate School Degree,0.10940,151,2530,0.09723,0.12156
1988,Direct migration background,Upper Secondary Degree,0.07237,81,2530,0.06227,0.08247
1988,Direct migration background,Other Degree,0.21108,1012,2530,0.19517,0.22698
1988,Direct migration background,"Dropout, No School Degree",0.10096,518,2530,0.08922,0.11271
1988,Direct migration background,No School Attended,0.03114,151,2530,0.02437,0.03791
1988,Indirect migration background,Secondary School Degree,0.07721,103,147,0.03391,0.12051
1988,Indirect migration background,Intermediate School Degree,0.03582,44,147,0.00568,0.06597
1989,No migration background,Secondary School Degree,0.50732,3935,6720,0.49537,0.51928
1989,No migration background,Intermediate School Degree,0.18250,1510,6720,0.17326,0.19173
1989,No migration background,Technical School Degree,0.03009,246,6720,0.02601,0.03418
1989,No migration background,Upper Secondary Degree,0.09839,813,6720,0.09127,0.10551
1989,No migration background,Other Degree,0.00420,39,6720,0.00266,0.00575
1989,No migration background,"Dropout, No School Degree",0.00688,56,6720,0.00491,0.00886
1989,No migration background,No School Degree Yet,0.01381,121,6720,0.01102,0.01660
1989,Direct migration background,Secondary School Degree,0.35425,599,2452,0.33531,0.37318
1989,Direct migration background,Intermediate School Degree,0.10968,150,2452,0.09731,0.12205
1989,Direct migration background,Upper Secondary Degree,0.07817,91,2452,0.06754,0.08880
1989,Direct migration background,Other Degree,0.21882,976,2452,0.20246,0.23519
1989,Direct migration background,"Dropout, No School Degree",0.10041,492,2452,0.08851,0.11231
1989,Direct migration background,No School Attended,0.03062,144,2452,0.02380,0.03744
1989,Indirect migration background,Secondary School Degree,0.08218,118,199,0.04392,0.12043
1989,Indirect migration background,Intermediate School Degree,0.03690,50,199,0.01064,0.06316
1989,Indirect migration background,No School Degree Yet,0.02556,31,199,0.00358,0.04754
1990,No migration background,Secondary School Degree,0.46292,5455,10805,0.45352,0.47233
1990,No migration background,Intermediate School Degree,0.21887,3491,10805,0.21107,0.22667
1990,No migration background,Technical School Degree,0.02361,247,10805,0.02074,0.02647
1990,No migration background,Upper Secondary Degree,0.09779,1321,10805,0.09219,0.10339
1990,No migration background,Other Degree,0.00610,92,10805,0.00463,0.00757
1990,No migration background,"Dropout, No School Degree",0.00618,67,10805,0.00470,0.00765
1990,No migration background,No School Degree Yet,0.01045,132,10805,0.00854,0.01237
1990,Direct migration background,Secondary School Degree,0.36497,668,2582,0.34639,0.38354
1990,Direct migration background,Intermediate School Degree,0.11780,178,2582,0.10536,0.13024
1990,Direct migration background,Technical School Degree,0.02290,33,2582,0.01713,0.02867
1990,Direct migration background,Upper Secondary Degree,0.07837,109,2582,0.06800,0.08874
1990,Direct migration background,Other Degree,0.21383,960,2582,0.19801,0.22965
1990,Direct migration background,"Dropout, No School Degree",0.09399,465,2582,0.08273,0.10525
1990,Direct migration background,No School Degree Yet,0.00865,31,2582,0.00508,0.01222
1990,Direct migration background,No School Attended,0.02982,138,2582,0.02326,0.03639
1990,Indirect migration background,Secondary School Degree,0.08286,136,225,0.04676,0.11896
1990,Indirect migration background,Intermediate School Degree,0.03818,53,225,0.01308,0.06327
1990,Indirect migration background,No School Degree Yet,0.02524,36,225,0.00470,0.04578
1991,No migration background,Secondary School Degree,0.45430,5210,10467,0.44476,0.46384
1991,No migration background,Intermediate School Degree,0.22373,3414,10467,0.21575,0.23172
1991,No migration background,Technical School Degree,0.02481,254,10467,0.02183,0.02779
1991,No migration background,Upper Secondary Degree,0.10112,1309,10467,0.09534,0.10689
1991,No migration background,Other Degree,0.00589,82,10467,0.00442,0.00735
1991,No migration background,"Dropout, No School Degree",0.00716,98,10467,0.00555,0.00878
1991,No migration background,No School Degree Yet,0.00889,100,10467,0.00709,0.01069
1991,Direct migration background,Secondary School Degree,0.36101,655,2512,0.34222,0.37979
1991,Direct migration background,Intermediate School Degree,0.12266,183,2512,0.10983,0.13549
1991,Direct migration background,Technical School Degree,0.02096,34,2512,0.01536,0.02656
1991,Direct migration background,Upper Secondary Degree,0.08205,110,2512,0.07131,0.09278
1991,Direct migration background,Other Degree,0.21808,940,2512,0.20193,0.23423
1991,Direct migration background,"Dropout, No School Degree",0.09666,459,2512,0.08511,0.10822
1991,Direct migration background,No School Attended,0.02997,131,2512,0.02330,0.03664
1991,Indirect migration background,Secondary School Degree,0.09107,155,256,0.05576,0.12639
1991,Indirect migration background,Intermediate School Degree,0.04181,66,256,0.01724,0.06637
1991,Indirect migration background,No School Degree Yet,0.01929,35,256,0.00241,0.03617
1992,No migration background,Secondary School Degree,0.44682,5018,10201,0.43717,0.45646
1992,No migration background,Intermediate School Degree,0.22516,3347,10201,0.21706,0.23327
1992,No migration background,Technical School Degree,0.02561,258,10201,0.02254,0.02867
1992,No migration background,Upper Secondary Degree,0.10310,1296,10201,0.09720,0.10900
1992,No migration background,Other Degree,0.00573,78,10201,0.00426,0.00719
1992,No migration background,"Dropout, No School Degree",0.00664,84,10201,0.00507,0.00822
1992,No migration background,No School Degree Yet,0.00887,120,10201,0.00705,0.01069
1992,Direct migration background,Secondary School Degree,0.35965,642,2443,0.34062,0.37869
1992,Direct migration background,Intermediate School Degree,0.11575,176,2443,0.10306,0.12844
1992,Direct migration background,Technical School Degree,0.02089,38,2443,0.01522,0.02656
1992,Direct migration background,Upper Secondary Degree,0.08661,111,2443,0.07545,0.09777
1992,Direct migration background,Other Degree,0.23020,911,2443,0.21351,0.24690
1992,Direct migration background,"Dropout, No School Degree",0.10043,442,2443,0.08851,0.11235
1992,Direct migration background,No School Attended,0.03002,123,2443,0.02326,0.03679
1992,Indirect migration background,Secondary School Degree,0.10190,176,308,0.06806,0.13574
1992,Indirect migration background,Intermediate School Degree,0.06200,81,308,0.03502,0.08897
1992,Indirect migration background,No School Degree Yet,0.03185,51,308,0.01220,0.05149
1993,No migration background,Secondary School Degree,0.43992,4850,9993,0.43019,0.44965
1993,No migration background,Intermediate School Degree,0.22800,3296,9993,0.21978,0.23623
1993,No migration background,Technical School Degree,0.02575,259,9993,0.02264,0.02885
1993,No migration background,Upper Secondary Degree,0.10511,1314,9993,0.09910,0.11113
1993,No migration background,Other Degree,0.00555,72,9993,0.00409,0.00700
1993,No migration background,"Dropout, No School Degree",0.00693,80,9993,0.00531,0.00856
1993,No migration background,No School Degree Yet,0.00840,122,9993,0.00661,0.01018
1993,Direct migration background,Secondary School Degree,0.35306,626,2379,0.33385,0.37227
1993,Direct migration background,Intermediate School Degree,0.11014,167,2379,0.09755,0.12272
1993,Direct migration background,Technical School Degree,0.02167,35,2379,0.01582,0.02752
1993,Direct migration background,Upper Secondary Degree,0.09232,112,2379,0.08069,0.10396
1993,Direct migration background,Other Degree,0.23814,886,2379,0.22102,0.25526
1993,Direct migration background,"Dropout, No School Degree",0.10327,429,2379,0.09104,0.11550
1993,Direct migration background,No School Attended,0.03329,124,2379,0.02608,0.04050
1993,Indirect migration background,Secondary School Degree,0.11876,193,381,0.08624,0.15129
1993,Indirect migration background,Intermediate School Degree,0.07935,107,381,0.05218,0.10653
1993,Indirect migration background,Upper Secondary Degree,0.02383,33,381,0.00850,0.03917
1993,Indirect migration background,No School Degree Yet,0.03874,48,381,0.01934,0.05814
1994,No migration background,Secondary School Degree,0.43431,4705,9856,0.42453,0.44410
1994,No migration background,Intermediate School Degree,0.22611,3242,9856,0.21785,0.23436
1994,No migration background,Technical School Degree,0.02721,270,9856,0.02400,0.03042
1994,No migration background,Upper Secondary Degree,0.10827,1348,9856,0.10214,0.11441
1994,No migration background,Other Degree,0.00516,65,9856,0.00375,0.00658
1994,No migration background,"Dropout, No School Degree",0.00632,68,9856,0.00475,0.00788
1994,No migration background,No School Degree Yet,0.01052,158,9856,0.00851,0.01254
1994,Direct migration background,Secondary School Degree,0.34587,595,2233,0.32614,0.36560
1994,Direct migration background,Intermediate School Degree,0.10696,158,2233,0.09414,0.11979
1994,Direct migration background,Technical School Degree,0.02157,37,2233,0.01554,0.02760
1994,Direct migration background,Upper Secondary Degree,0.10026,109,2233,0.08780,0.11272
1994,Direct migration background,Other Degree,0.23494,818,2233,0.21735,0.25252
1994,Direct migration background,"Dropout, No School Degree",0.10284,402,2233,0.09024,0.11544
1994,Direct migration background,No School Attended,0.03198,114,2233,0.02468,0.03928
1994,Indirect migration background,Secondary School Degree,0.11492,190,396,0.08347,0.14637
1994,Indirect migration background,Intermediate School Degree,0.07730,109,396,0.05096,0.10364
1994,Indirect migration background,Upper Secondary Degree,0.02658,37,396,0.01071,0.04244
1994,Indirect migration background,No School Degree Yet,0.05283,60,396,0.03077,0.07489
1995,No migration background,Secondary School Degree,0.42913,4576,9824,0.41934,0.43892
1995,No migration background,Intermediate School Degree,0.22626,3277,9824,0.21798,0.23453
