year,hhtyp,regtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Single-person household,Urban regions,Yes,0.06631,143,2198,0.05590,0.07671
2006,Single-person household,Urban regions,No,0.90157,2055,2198,0.88912,0.91403
2006,Single-person household,Rural regions,Yes,0.09381,110,995,0.07568,0.11193
2006,Single-person household,Rural regions,No,0.87252,885,995,0.85179,0.89325
2006,Couple without children,Urban regions,Yes,0.03690,93,2723,0.02982,0.04398
2006,Couple without children,Urban regions,No,0.93052,2630,2723,0.92097,0.94007
2006,Couple without children,Rural regions,Yes,0.04736,72,1323,0.03591,0.05881
2006,Couple without children,Rural regions,No,0.90030,1251,1323,0.88415,0.91645
2006,Single parent,Urban regions,Yes,0.27451,129,470,0.23412,0.31490
2006,Single parent,Urban regions,No,0.64602,341,470,0.60275,0.68930
2006,Single parent,Rural regions,Yes,0.32209,78,264,0.26561,0.37856
2006,Single parent,Rural regions,No,0.63096,186,264,0.57264,0.68928
2006,Couple with children,Urban regions,Yes,0.09315,195,2318,0.08132,0.10499
2006,Couple with children,Urban regions,No,0.80902,2123,2318,0.79302,0.82503
2006,Couple with children,Rural regions,Yes,0.10676,147,1239,0.08956,0.12397
2006,Couple with children,Rural regions,No,0.80541,1092,1239,0.78336,0.82747
2006,Multi-generational household,Urban regions,No,0.75263,50,50,0.63181,0.87344
2006,Multi-generational household,Rural regions,No,0.70254,33,33,0.54414,0.86093
2006,Other Combinations,Urban regions,No,0.97000,61,61,0.92684,1.01316
2006,Other Combinations,Rural regions,No,0.98306,38,38,0.94148,1.02464
2007,Single-person household,Urban regions,Yes,0.07405,156,2044,0.06270,0.08541
2007,Single-person household,Urban regions,No,0.87787,1888,2044,0.86367,0.89206
2007,Single-person household,Rural regions,Yes,0.11431,122,949,0.09406,0.13457
2007,Single-person household,Rural regions,No,0.83999,827,949,0.81665,0.86332
2007,Couple without children,Urban regions,Yes,0.04508,105,2499,0.03695,0.05322
2007,Couple without children,Urban regions,No,0.91248,2394,2499,0.90140,0.92356
2007,Couple without children,Rural regions,Yes,0.05698,84,1260,0.04417,0.06978
2007,Couple without children,Rural regions,No,0.88745,1176,1260,0.86999,0.90491
2007,Single parent,Urban regions,Yes,0.32355,137,436,0.27958,0.36751
2007,Single parent,Urban regions,No,0.60789,299,436,0.56201,0.65377
2007,Single parent,Rural regions,Yes,0.38855,86,242,0.32701,0.45009
2007,Single parent,Rural regions,No,0.54931,156,242,0.48649,0.61213
