year,quintil_oecd_hh,regtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Urban regions,Yes,0.26994,375,1266,0.24548,0.29441
2006,1st Quintile,Urban regions,No,0.66704,891,1266,0.64106,0.69301
2006,1st Quintile,Rural regions,Yes,0.30121,262,725,0.26779,0.33463
2006,1st Quintile,Rural regions,No,0.63252,463,725,0.59740,0.66764
2006,2nd Quintile,Urban regions,Yes,0.06753,89,1272,0.05373,0.08133
2006,2nd Quintile,Urban regions,No,0.87287,1183,1272,0.85455,0.89118
2006,2nd Quintile,Rural regions,Yes,0.07868,86,853,0.06060,0.09676
2006,2nd Quintile,Rural regions,No,0.87393,767,853,0.85164,0.89622
2006,3rd Quintile,Urban regions,Yes,0.03042,50,1441,0.02155,0.03929
2006,3rd Quintile,Urban regions,No,0.91944,1391,1441,0.90538,0.93350
2006,3rd Quintile,Rural regions,Yes,0.04127,40,839,0.02780,0.05474
2006,3rd Quintile,Rural regions,No,0.90694,799,839,0.88728,0.92661
2006,4th Quintile,Urban regions,Yes,0.02209,32,1603,0.01489,0.02928
2006,4th Quintile,Urban regions,No,0.92845,1571,1603,0.91583,0.94107
2006,4th Quintile,Rural regions,No,0.90975,745,745,0.88916,0.93034
2006,5th Quintile,Urban regions,No,0.95512,2221,2221,0.94651,0.96374
2006,5th Quintile,Rural regions,No,0.95750,710,710,0.94265,0.97235
2007,1st Quintile,Urban regions,Yes,0.27919,357,1176,0.25354,0.30484
2007,1st Quintile,Urban regions,No,0.65147,819,1176,0.62422,0.67871
2007,1st Quintile,Rural regions,Yes,0.34469,282,695,0.30933,0.38005
2007,1st Quintile,Rural regions,No,0.60710,413,695,0.57077,0.64344
2007,2nd Quintile,Urban regions,Yes,0.09011,119,1232,0.07411,0.10610
2007,2nd Quintile,Urban regions,No,0.83672,1113,1232,0.81607,0.85736
2007,2nd Quintile,Rural regions,Yes,0.09403,94,772,0.07343,0.11463
2007,2nd Quintile,Rural regions,No,0.84565,678,772,0.82014,0.87115
2007,3rd Quintile,Urban regions,Yes,0.04815,67,1318,0.03659,0.05972
2007,3rd Quintile,Urban regions,No,0.89542,1251,1318,0.87890,0.91195
