year,bula_h,hhtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Schleswig-Holstein,Single-person household,No,0.93007,90,90,0.87709,0.98306
2006,Schleswig-Holstein,Couple without children,No,0.92915,137,137,0.88602,0.97227
2006,Schleswig-Holstein,Couple with children,No,0.74836,92,92,0.65920,0.83752
2006,Hamburg,Single-person household,No,0.91877,74,74,0.85610,0.98144
2006,Hamburg,Couple without children,No,0.94398,53,53,0.88147,1.00648
2006,Hamburg,Couple with children,No,0.77700,38,38,0.64288,0.91113
2006,Lower Saxony,Single-person household,No,0.88154,226,226,0.83931,0.92376
2006,Lower Saxony,Couple without children,No,0.91184,349,349,0.88205,0.94163
2006,Lower Saxony,Single parent,No,0.74123,48,48,0.61603,0.86644
2006,Lower Saxony,Couple with children,No,0.84992,311,311,0.81016,0.88968
2006,Bremen,Single-person household,No,0.93950,33,33,0.85689,1.02210
2006,North Rhine-Westphalia,Single-person household,Yes,0.07723,42,631,0.05639,0.09808
2006,North Rhine-Westphalia,Single-person household,No,0.90294,589,631,0.87982,0.92605
2006,North Rhine-Westphalia,Couple without children,No,0.94707,858,858,0.93208,0.96206
2006,North Rhine-Westphalia,Single parent,Yes,0.33473,49,144,0.25738,0.41207
2006,North Rhine-Westphalia,Single parent,No,0.57131,95,144,0.49019,0.65242
2006,North Rhine-Westphalia,Couple with children,Yes,0.10546,61,766,0.08369,0.12722
2006,North Rhine-Westphalia,Couple with children,No,0.83488,705,766,0.80857,0.86119
2006,Hesse,Single-person household,No,0.89415,205,205,0.85194,0.93637
2006,Hesse,Couple without children,No,0.98869,301,301,0.97673,1.00066
2006,Hesse,Single parent,No,0.71351,35,35,0.56154,0.86549
2006,Hesse,Couple with children,No,0.82678,220,220,0.77665,0.87690
2006,"Rhineland-Palatinate, Saarland",Single-person household,No,0.92425,190,190,0.88653,0.96198
2006,"Rhineland-Palatinate, Saarland",Couple without children,No,0.92479,200,200,0.88815,0.96144
2006,"Rhineland-Palatinate, Saarland",Single parent,No,0.54582,33,33,0.37330,0.71833
2006,"Rhineland-Palatinate, Saarland",Couple with children,No,0.79803,199,199,0.74211,0.85395
2006,Baden-Wuerttemberg,Single-person household,No,0.94330,367,367,0.91961,0.96700
2006,Baden-Wuerttemberg,Couple without children,No,0.92856,441,441,0.90449,0.95262
2006,Baden-Wuerttemberg,Single parent,No,0.80395,75,75,0.71349,0.89441
2006,Baden-Wuerttemberg,Couple with children,No,0.80865,441,441,0.77190,0.84541
2006,Bavaria,Single-person household,No,0.92584,410,410,0.90044,0.95123
2006,Bavaria,Couple without children,No,0.92444,537,537,0.90206,0.94681
2006,Bavaria,Single parent,No,0.74694,88,88,0.65558,0.83830
2006,Bavaria,Couple with children,No,0.87173,521,521,0.84299,0.90047
2006,Berlin,Single-person household,No,0.82317,144,144,0.76064,0.88571
2006,Berlin,Couple without children,No,0.86341,137,137,0.80569,0.92112
2006,Berlin,Couple with children,No,0.68057,80,80,0.57775,0.78339
2006,Brandenburg,Single-person household,No,0.79427,113,113,0.71941,0.86914
2006,Brandenburg,Couple without children,No,0.87603,161,161,0.82497,0.92710
2006,Brandenburg,Couple with children,No,0.69436,111,111,0.60827,0.78045
2006,Mecklenburg-Western Pomerania,Single-person household,No,0.86766,73,73,0.78939,0.94594
2006,Mecklenburg-Western Pomerania,Couple without children,No,0.84908,90,90,0.77470,0.92345
2006,Mecklenburg-Western Pomerania,Couple with children,No,0.67942,65,65,0.56508,0.79376
2006,Saxony,Single-person household,Yes,0.13557,33,236,0.09180,0.17934
2006,Saxony,Single-person household,No,0.82834,203,236,0.78012,0.87655
2006,Saxony,Couple without children,No,0.84555,279,279,0.80307,0.88803
2006,Saxony,Single parent,No,0.59086,38,38,0.43243,0.74929
2006,Saxony,Couple with children,Yes,0.19888,35,221,0.14614,0.25163
2006,Saxony,Couple with children,No,0.68848,186,221,0.62728,0.74968
2006,Saxony-Anhalt,Single-person household,No,0.76971,100,100,0.68678,0.85265
2006,Saxony-Anhalt,Couple without children,No,0.87957,158,158,0.82866,0.93048
2006,Saxony-Anhalt,Couple with children,No,0.78121,121,121,0.70724,0.85518
2006,Thuringa,Single-person household,No,0.86140,123,123,0.80008,0.92271
2006,Thuringa,Couple without children,No,0.88530,151,151,0.83430,0.93629
2006,Thuringa,Couple with children,Yes,0.22061,34,145,0.15288,0.28834
2006,Thuringa,Couple with children,No,0.71279,111,145,0.63889,0.78670
2007,Schleswig-Holstein,Single-person household,No,0.88029,90,90,0.81284,0.94773
2007,Schleswig-Holstein,Couple without children,No,0.90906,121,121,0.85761,0.96050
2007,Schleswig-Holstein,Couple with children,No,0.82730,84,84,0.74598,0.90862
2007,Hamburg,Single-person household,No,0.91889,73,73,0.85583,0.98195
2007,Hamburg,Couple without children,No,0.91404,54,54,0.83858,0.98951
2007,Hamburg,Couple with children,No,0.77545,35,35,0.63518,0.91571
2007,Lower Saxony,Single-person household,No,0.85535,211,211,0.80778,0.90293
2007,Lower Saxony,Couple without children,No,0.92216,336,336,0.89346,0.95085
2007,Lower Saxony,Single parent,No,0.56228,32,32,0.38763,0.73692
2007,Lower Saxony,Couple with children,Yes,0.10510,32,316,0.07124,0.13897
